,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3259,승리,하이머딩거,Kingen,3,5,7,14381,1,10,1,167,6.4,1,3,8
1,3259,승리,쉬바나,F0y,11,2,4,19975,7,9,9,197,7.5,1,3,8
2,3259,승리,아지르,chirchri,5,1,7,13768,6,10,6,226,8.6,1,3,8
3,3259,승리,진,Afreeca Kramer,4,2,12,14773,4,19,6,233,8.9,1,3,8
4,3259,승리,쉔,Afreeca Kuro,3,4,12,8152,5,26,7,71,2.7,1,3,8
5,3259,패배,일라오이,xaxaxaxaxa,3,2,7,18417,2,15,1,241,9.2,0,0,2
6,3259,패배,엘리스,마이엠브,7,4,4,14700,6,16,2,153,5.8,0,0,2
7,3259,패배,라이즈,송하영 팬,3,6,2,8375,3,12,8,217,8.3,0,0,2
8,3259,패배,바루스,Greed A Pride,1,6,5,10126,5,24,3,196,7.5,0,0,2
9,3259,패배,미스 포츈,IgNar,0,8,4,9099,3,8,10,43,1.6,0,0,2
10,3260,패배,오른,Kingen,5,7,7,29964,1,17,9,256,7.3,1,3,5
11,3260,패배,자르반 4세,Twink1e,8,7,9,15705,4,22,11,162,4.6,1,3,5
12,3260,패배,탈리야,송하영 팬,6,11,11,26038,4,18,3,216,6.1,1,3,5
13,3260,패배,미스 포츈,Excal1bur1,6,6,11,23742,4,34,19,305,8.7,1,3,5
14,3260,패배,제라스,최석배 사생팬,5,5,11,30835,4,37,11,56,1.6,1,3,5
15,3260,승리,갱플랭크,피넛사냥개2,6,4,13,32263,1,25,5,344,9.8,1,1,8
16,3260,승리,니달리,PuncHh,7,4,14,23788,5,23,13,225,6.4,1,1,8
17,3260,승리,라이즈,마산가자,7,7,14,30909,5,17,8,301,8.5,1,1,8
18,3260,승리,진,구름꽃길만걷자,9,7,11,30136,2,12,7,265,7.5,1,1,8
19,3260,승리,쉔,534N,7,8,14,10958,5,64,16,90,2.6,1,1,8
20,3261,패배,케넨,Kingen,4,8,0,8191,1,7,1,90,5.6,0,0,0
21,3261,패배,카직스,PuncHh,0,5,2,4278,2,12,1,59,3.7,0,0,0
22,3261,패배,말자하,지현이의빗자루,1,4,0,5425,1,6,3,95,5.9,0,0,0
23,3261,패배,미스 포츈,담원 얼라이브,1,3,1,6115,2,5,3,122,7.6,0,0,0
24,3261,패배,알리스타,IGS Coli,0,5,3,3233,4,10,1,19,1.2,0,0,0
25,3261,승리,잭스,나네쫓다꿈소년,6,2,3,8212,0,8,1,166,10.3,0,0,6
26,3261,승리,자르반 4세,M1anhua,8,0,5,6815,2,13,3,85,5.3,0,0,6
27,3261,승리,탈리야,송하영 팬,4,2,4,10009,2,8,1,116,7.2,0,0,6
28,3261,승리,진,김메피,5,1,4,8886,3,8,1,137,8.5,0,0,6
29,3261,승리,쉔,JAG S0hwan,2,1,8,5950,3,9,4,31,1.9,0,0,6
30,3262,패배,블라디미르,Kingen,7,8,7,34862,3,21,3,274,7.6,1,1,3
31,3262,패배,리 신,피넛사냥개1,3,9,15,12070,5,51,17,113,3.1,1,1,3
32,3262,패배,베이가,1414774182,7,6,9,27788,1,12,12,324,9.0,1,1,3
33,3262,패배,진,Atlen,9,7,7,23211,3,9,6,256,7.1,1,1,3
34,3262,패배,나미,YOYOuuuuuO,0,10,19,7437,11,51,37,38,1.1,1,1,3
35,3262,승리,카밀,Alielie,7,12,8,28418,2,14,6,236,6.5,1,3,10
36,3262,승리,자르반 4세,죠토마킹,9,5,14,17208,4,48,11,211,5.8,1,3,10
37,3262,승리,피들스틱,FW Maple,9,4,17,24035,5,22,2,229,6.3,1,3,10
38,3262,승리,애쉬,Afreeca Aiming,9,4,16,29672,8,18,5,300,8.3,1,3,10
39,3262,승리,쉔,By myself,6,1,22,7215,18,86,19,86,2.4,1,3,10
40,3263,승리,마오카이,Kingen,2,4,4,16902,3,21,5,276,7.3,1,2,9
41,3263,승리,세주아니,259x,4,3,10,8446,12,38,31,175,4.6,1,2,9
42,3263,승리,오리아나,멘탈 실력 운,9,2,7,21260,5,40,22,406,10.7,1,2,9
43,3263,승리,이즈리얼,SKT T1 Bang,7,5,13,29606,2,34,12,329,8.7,1,2,9
44,3263,승리,카르마,JackeyLove,8,1,13,12742,10,33,36,65,1.7,1,2,9
45,3263,패배,제이스,뒷텔와드점,4,5,4,30360,3,39,8,395,10.4,0,1,5
46,3263,패배,케인,춘봉박,7,7,4,18319,5,19,7,231,6.1,0,1,5
47,3263,패배,라이즈,FW Maple,3,2,5,17363,9,26,10,353,9.3,0,1,5
48,3263,패배,미스 포츈,deft123456,0,6,5,18201,8,45,17,376,9.9,0,1,5
49,3263,패배,잔나,Jisu,1,10,6,7351,13,76,28,36,0.9,0,1,5
50,3264,패배,갱플랭크,Kingen,2,6,7,25158,0,20,1,216,7.2,1,1,6
51,3264,패배,리 신,성혁님미드가신다,13,6,3,22634,5,41,4,149,5.0,1,1,6
52,3264,패배,카르마,reMember Mistake,2,5,6,18001,5,15,4,213,7.1,1,1,6
53,3264,패배,미스 포츈,FVV BETTY,4,7,10,19704,6,21,5,263,8.8,1,1,6
54,3264,패배,쉔,XinMo,4,3,12,8855,11,42,14,72,2.4,1,1,6
55,3264,승리,오른,미율치에오,5,3,8,20304,2,13,3,261,8.7,0,1,6
56,3264,승리,렝가,SKT T1 WoIf,12,6,8,31208,3,19,15,223,7.4,0,1,6
57,3264,승리,블라디미르,PawN God,5,6,3,14156,6,19,3,247,8.2,0,1,6
58,3264,승리,시비르,xaxaxaxaxa,2,4,6,11312,0,11,6,295,9.8,0,1,6
59,3264,승리,트런들,Lvmao,3,6,9,6718,8,37,23,65,2.2,0,1,6
60,3265,패배,제이스,Kingen,8,8,5,42031,3,49,6,339,8.0,1,2,6
61,3265,패배,자르반 4세,ROX Lindarang,3,6,11,15373,11,51,4,163,3.8,1,2,6
62,3265,패배,라이즈,reMember Mistake,1,4,6,25053,5,24,6,392,9.3,1,2,6
63,3265,패배,진,메 끠,5,3,4,24312,4,16,8,320,7.6,1,2,6
64,3265,패배,트런들,엄청강한 올빼미,0,5,10,6730,17,48,20,90,2.1,1,2,6
65,3265,승리,카밀,코w코,7,4,8,21318,1,21,9,331,7.8,2,2,11
66,3265,승리,세주아니,담원 크러쉬,1,3,18,13868,13,16,20,187,4.4,2,2,11
67,3265,승리,말자하,상어가족,4,4,14,25495,2,10,16,309,7.3,2,2,11
68,3265,승리,바루스,Zhongdan XD,13,1,7,43071,5,21,10,350,8.3,2,2,11
69,3265,승리,탐 켄치,160810,1,5,16,8252,21,64,26,102,2.4,2,2,11
70,3266,승리,제이스,Kingen,2,1,9,14585,0,17,5,130,6.4,0,1,3
71,3266,승리,엘리스,IGS Dasher,8,2,6,9536,5,23,2,94,4.6,0,1,3
72,3266,승리,조이,By myself,10,3,4,19067,5,19,0,150,7.4,0,1,3
73,3266,승리,진,FeelsCoffeeMan,8,1,7,12233,1,7,8,178,8.8,0,1,3
74,3266,승리,브라움,삼성갤럭시CoreJJ,1,0,15,7626,5,40,6,40,2.0,0,1,3
75,3266,패배,갱플랭크,Gazuaaaaaaa,1,5,1,7164,3,9,4,147,7.3,0,0,0
76,3266,패배,카직스,KDM 유준,3,4,3,8034,2,18,9,94,4.6,0,0,0
77,3266,패배,탈리야,송하영 팬,3,8,0,10489,2,9,5,151,7.5,0,0,0
78,3266,패배,드레이븐,Afreeca Kramer,0,6,2,6733,5,14,8,160,7.9,0,0,0
79,3266,패배,쉔,Nova1,0,6,2,1228,5,22,11,34,1.7,0,0,0
80,3267,패배,나르,Kingen,12,8,3,31694,2,16,6,234,7.1,1,0,2
81,3267,패배,자크,Cuz2,5,4,15,13019,4,30,18,167,5.1,1,0,2
82,3267,패배,말자하,인정쓰,10,3,14,32095,2,10,5,259,7.9,1,0,2
83,3267,패배,트리스타나,Please find it,5,14,7,15295,0,17,12,223,6.8,1,0,2
84,3267,패배,레오나,Heiz4,1,12,19,8609,3,28,8,52,1.6,1,0,2
85,3267,승리,자르반 4세,담원 너구리,4,5,15,14804,4,34,4,275,8.4,0,2,9
