,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10117,승리,클레드,VIP 민형,10,7,11,24571,3,4,4,147,6.2,1,2,10
1,10117,승리,렝가,Hide on bush,15,2,7,20980,4,25,8,157,6.6,1,2,10
2,10117,승리,아지르,겸손하고 근면한,8,2,4,23191,2,9,1,242,10.2,1,2,10
3,10117,승리,진,LPL noob ad QAQ,7,2,9,19684,3,10,3,194,8.2,1,2,10
4,10117,승리,탐 켄치,라인전이기니갱와,0,0,20,9893,4,17,3,30,1.3,1,2,10
5,10117,패배,초가스,지현이의빗자루,5,10,0,17693,0,8,1,129,5.5,0,0,1
6,10117,패배,니달리,PuncHh,2,9,3,9309,4,17,8,94,4.0,0,0,1
7,10117,패배,카타리나,DWG ShowMaker,2,7,1,12711,2,8,4,189,8.0,0,0,1
8,10117,패배,칼리스타,Afreeca Aiming,2,9,1,10197,1,6,4,133,5.6,0,0,1
9,10117,패배,알리스타,IGS Coli,1,5,1,6032,5,23,0,36,1.5,0,0,1
10,10118,승리,칼리스타,김메피,9,3,9,17739,2,10,9,262,8.2,2,1,9
11,10118,승리,케넨,우에하라 크롱,8,5,9,20569,2,16,4,197,6.2,2,1,9
12,10118,승리,라이즈,MVP Ian,2,1,13,18631,4,19,14,346,10.8,2,1,9
13,10118,승리,제라스,LPL noob ad QAQ,6,8,14,17893,6,44,15,31,1.0,2,1,9
14,10118,승리,자르반 4세,단군의청춘부재,9,5,18,15088,5,65,22,124,3.9,2,1,9
15,10118,패배,니달리,J Spectre G,3,6,7,10135,5,26,14,182,5.7,0,2,3
16,10118,패배,블리츠크랭크,DWG ShowMaker,1,9,10,6835,10,26,10,61,1.9,0,2,3
17,10118,패배,잭스,나네쫓다꿈소년,7,7,2,17722,2,22,5,288,9.0,0,2,3
18,10118,패배,탈리야,Hide on bush,8,5,3,17671,6,38,12,306,9.6,0,2,3
19,10118,패배,진,FeelsCoffeeMan,3,8,8,16560,2,11,13,255,8.0,0,2,3
20,10119,승리,라이즈,아테나찡,4,7,6,18194,4,11,2,212,6.7,1,2,10
21,10119,승리,렝가,DaYE,10,4,7,18966,6,25,18,204,6.5,1,2,10
22,10119,승리,코르키,APK Rainbow,15,5,4,36758,5,9,13,299,9.5,1,2,10
23,10119,승리,트리스타나,LPL noob ad QAQ,9,5,10,19728,3,27,13,234,7.4,1,2,10
24,10119,승리,알리스타,먹는건즐거워,2,7,19,8597,10,35,12,49,1.6,1,2,10
25,10119,패배,오른,뒷텔와드점,5,6,11,21239,3,17,3,225,7.1,1,1,3
26,10119,패배,세주아니,마산가자,4,7,8,10961,6,29,13,148,4.7,1,1,3
27,10119,패배,탈리야,Lucete,9,5,12,29721,7,17,4,249,7.9,1,1,3
28,10119,패배,진,RRRuleRRR,4,11,2,16240,6,22,5,245,7.8,1,1,3
29,10119,패배,제라스,FeelsAwesomeMan,6,11,8,16449,7,38,15,76,2.4,1,1,3
30,10120,패배,잭스,뒷텔와드점,8,9,4,28464,3,23,5,231,7.1,0,0,5
31,10120,패배,자르반 4세,DaYE,1,9,12,12848,8,56,15,122,3.7,0,0,5
32,10120,패배,라이즈,담원 얼라이브,5,7,3,26342,3,19,9,245,7.5,0,0,5
33,10120,패배,진,LPL noob ad QAQ,9,9,7,25654,2,11,7,210,6.4,0,0,5
34,10120,패배,카르마,Lucete,4,8,14,20352,9,40,7,26,0.8,0,0,5
35,10120,승리,카밀,미율치에오,4,8,13,21188,1,16,11,219,6.7,1,1,10
36,10120,승리,렝가,SKT T1 WoIf,20,3,7,30868,3,21,7,207,6.3,1,1,10
37,10120,승리,르블랑,DWG ShowMaker,10,3,14,38391,5,14,15,254,7.8,1,1,10
38,10120,승리,미스 포츈,RRRuleRRR,4,8,9,23039,5,18,7,294,9.0,1,1,10
