,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60577,승리,카밀,Like Waves,5,4,4,11271,1,21,1,251,8.5,1,2,8
1,60577,승리,렝가,종학윙,11,2,7,17055,3,6,11,185,6.3,1,2,8
2,60577,승리,조이,피넛사냥개1,1,6,12,23075,5,26,6,221,7.5,1,2,8
3,60577,승리,이즈리얼,SnakeLight,11,3,8,26867,0,19,15,290,9.8,1,2,8
4,60577,승리,바드,그러면안돼요짜샤,1,6,9,6699,9,27,15,22,0.7,1,2,8
5,60577,패배,잭스,나네쫓다꿈소년,11,6,0,19365,2,19,4,212,7.2,0,0,7
6,60577,패배,세주아니,Heiz4,1,7,10,6714,5,10,8,101,3.4,0,0,7
7,60577,패배,신드라,MVP Ian,4,5,5,15672,3,33,11,242,8.2,0,0,7
8,60577,패배,애쉬,먹는건즐거워,0,2,5,8259,2,10,5,256,8.7,0,0,7
9,60577,패배,미스 포츈,YM  zhongdan,5,9,4,16296,3,41,10,39,1.3,0,0,7
10,60578,승리,라이즈,Like Waves,3,2,0,9710,1,11,1,203,9.0,1,2,5
11,60578,승리,렝가,kenzhu9,6,2,6,11877,3,27,6,169,7.5,1,2,5
12,60578,승리,카타리나,find myself,5,2,2,10487,1,7,5,203,9.0,1,2,5
13,60578,승리,미스 포츈,그러면안돼요짜샤,2,1,6,13734,1,13,1,198,8.8,1,2,5
14,60578,승리,탐 켄치,YserAoA,1,2,9,2850,5,18,7,40,1.8,1,2,5
15,60578,패배,갱플랭크,피넛사냥개2,1,5,1,6979,1,9,1,163,7.2,0,0,0
16,60578,패배,카직스,XinyiQAQ,2,3,4,7268,7,11,6,115,5.1,0,0,0
17,60578,패배,탈리야,아테나찡,5,2,1,9613,3,20,5,190,8.5,0,0,0
18,60578,패배,바루스,Bvoy,1,3,1,6147,2,11,3,172,7.7,0,0,0
19,60578,패배,쉔,땅우양,0,4,4,3941,6,22,3,53,2.4,0,0,0
20,60579,승리,케넨,Like Waves,2,3,2,10104,3,9,1,200,8.3,1,3,8
21,60579,승리,쉬바나,yizhiyu,5,3,5,10787,4,7,13,197,8.2,1,3,8
22,60579,승리,피즈,피넛사냥개1,6,4,5,14439,3,19,5,162,6.7,1,3,8
23,60579,승리,미스 포츈,그러면안돼요짜샤,3,2,8,19707,2,17,3,206,8.6,1,3,8
24,60579,승리,탐 켄치,YserAoA,4,1,5,8127,9,27,7,42,1.7,1,3,8
25,60579,패배,라이즈,find myself,7,3,0,17781,2,4,2,234,9.7,0,0,2
26,60579,패배,렝가,삼성갤럭시 하루,3,3,1,5823,5,20,5,136,5.7,0,0,2
27,60579,패배,신드라,송하영 팬,3,5,4,13888,3,12,9,187,7.8,0,0,2
28,60579,패배,이즈리얼,으아으앙으아앙,0,5,0,10166,3,15,5,156,6.5,0,0,2
29,60579,패배,쉔,삼성갤럭시CoreJJ,0,4,2,4815,7,23,8,50,2.1,0,0,2
30,60580,패배,자르반 4세,chi le kou shi,5,4,1,15622,1,14,6,272,8.3,0,1,2
31,60580,패배,리 신,Like Waves,1,10,4,9718,12,34,11,148,4.5,0,1,2
32,60580,패배,카사딘,아테나찡,1,3,4,14893,4,15,18,266,8.1,0,1,2
33,60580,패배,미스 포츈,혼자가 편해졌어,7,7,3,24028,3,12,12,286,8.7,0,1,2
34,60580,패배,사이온,커소리어스나,0,4,8,8771,14,50,20,93,2.8,0,1,2
35,60580,승리,오른,reMember Mistake,5,2,4,26373,2,16,2,242,7.4,1,2,9
36,60580,승리,니달리,나는야베이베이1,4,5,14,19761,4,37,11,185,5.6,1,2,9
37,60580,승리,탈리야,chirchri,7,2,8,24866,10,32,11,272,8.3,1,2,9
38,60580,승리,진,asfd12,5,4,14,27839,5,14,6,265,8.1,1,2,9
39,60580,승리,쉔,Nova1,7,1,14,12094,16,55,24,80,2.4,1,2,9
40,60581,패배,갱플랭크,Like Waves,4,8,4,25025,10,27,7,261,8.1,1,1,7
41,60581,패배,쉬바나,M1anhua,7,4,5,17192,12,17,17,209,6.5,1,1,7
42,60581,패배,라이즈,송하영 팬,4,5,7,16967,0,13,4,254,7.9,1,1,7
43,60581,패배,칼리스타,Yeeclipse,1,6,11,14485,5,24,2,277,8.6,1,1,7
44,60581,패배,카르마,2Kano,1,2,9,9349,8,34,10,23,0.7,1,1,7
45,60581,승리,오른,삶이힘든사람,2,5,9,15836,8,20,3,217,6.7,1,2,6
46,60581,승리,그레이브즈,분당고 엄성현,10,4,9,27774,6,25,6,225,7.0,1,2,6
47,60581,승리,트위스티드 페이트,상어가족,4,3,9,17063,3,7,10,244,7.6,1,2,6
48,60581,승리,애쉬,STITCH2,9,3,7,24385,1,5,9,317,9.9,1,2,6
49,60581,승리,브라움,Nem2sis,0,2,12,6831,7,39,14,63,2.0,1,2,6
50,60582,패배,사이온,이도류,0,6,1,5589,1,7,2,102,6.4,0,0,0
51,60582,패배,쉬바나,Like Waves,2,5,1,4377,3,8,9,69,4.4,0,0,0
52,60582,패배,아지르,DWG ShowMaker,0,4,0,4305,2,5,4,123,7.8,0,0,0
53,60582,패배,드레이븐,아 백,2,1,0,3343,1,11,1,118,7.4,0,0,0
54,60582,패배,브라움,Nem2sis,0,3,2,1738,2,11,3,23,1.5,0,0,0
55,60582,승리,제이스,FeelsIronMan,5,0,5,10321,1,13,3,135,8.5,0,0,5
56,60582,승리,세주아니,담원 크러쉬,2,0,9,3930,3,7,0,86,5.4,0,0,5
57,60582,승리,조이,2Kano,9,0,2,11508,2,10,2,123,7.8,0,0,5
58,60582,승리,이즈리얼,sqb,2,1,4,5202,0,10,4,142,9.0,0,0,5
59,60582,승리,카르마,Lucete,1,3,8,4819,6,15,5,18,1.1,0,0,5
60,60583,패배,자르반 4세,Like Waves,0,4,1,5152,4,18,2,122,6.4,0,1,0
61,60583,패배,쉬바나,마이엠브,1,4,0,4591,6,17,0,104,5.5,0,1,0
62,60583,패배,카사딘,DWG ShowMaker,0,2,0,3403,4,11,3,173,9.1,0,1,0
63,60583,패배,미스 포츈,ROX Sangyoon,1,5,0,5454,1,7,1,158,8.3,0,1,0
64,60583,패배,잔나,ROX 라바,1,4,0,2910,5,21,4,15,0.8,0,1,0
65,60583,승리,갱플랭크,Gazuaaaaaaa,0,1,6,7506,2,11,5,166,8.8,0,1,5
66,60583,승리,렝가,KDM 유준,12,2,1,15533,3,7,7,124,6.5,0,1,5
67,60583,승리,말자하,이치방츠요이야츠,1,0,2,3182,1,7,3,169,8.9,0,1,5
68,60583,승리,진,DWG BeryL,4,0,5,8536,4,10,3,188,9.9,0,1,5
69,60583,승리,알리스타,160810,2,0,4,3091,6,17,12,39,2.1,0,1,5
70,60584,패배,제이스,Like Waves,1,9,5,16718,5,34,9,248,7.5,0,1,3
71,60584,패배,니달리,해운대잠만보,4,7,4,9307,4,22,18,187,5.6,0,1,3
72,60584,패배,라이즈,ROX 라바,4,3,3,16277,4,19,3,353,10.7,0,1,3
