,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10097,승리,사이온,baramgaebi,4,1,10,11098,3,22,3,160,6.5,1,1,7
1,10097,승리,니달리,Longzhu Cuzz,9,1,12,19797,2,4,9,202,8.3,1,1,7
2,10097,승리,제이스,뿡뿡뿡뿡뿡쁑,7,4,8,19728,4,7,4,165,6.7,1,1,7
3,10097,승리,진,담원 얼라이브,4,3,6,17887,2,8,6,176,7.2,1,1,7
4,10097,승리,쉔,PeanuToT,2,2,16,9090,3,24,10,47,1.9,1,1,7
5,10097,패배,나르,Kingen,1,7,2,13430,3,10,3,161,6.6,0,1,2
6,10097,패배,쉬바나,마이엠브,0,4,3,4076,7,19,6,135,5.5,0,1,2
7,10097,패배,라이즈,reMember Mistake,2,4,3,10200,3,23,1,225,9.2,0,1,2
8,10097,패배,트리스타나,RRRuleRRR,6,6,3,16329,2,17,4,220,9.0,0,1,2
9,10097,패배,알리스타,풀 뜯는 미드,2,5,5,6223,3,24,3,35,1.4,0,1,2
10,10098,승리,오른,atlenismydaddy,3,2,8,13582,6,16,8,187,7.4,0,2,6
11,10098,승리,카직스,Longzhu Cuzz,4,1,9,14704,2,15,6,166,6.6,0,2,6
12,10098,승리,제이스,해운대잠만보,5,0,3,14199,4,9,12,254,10.1,0,2,6
13,10098,승리,바루스,Atlen,8,3,2,12465,0,17,4,200,7.9,0,2,6
14,10098,승리,미스 포츈,KDM Secret,0,3,14,12799,8,58,15,28,1.1,0,2,6
15,10098,패배,다리우스,7hal,1,4,1,8155,1,26,6,241,9.5,0,1,2
16,10098,패배,니달리,담원 크러쉬,2,2,2,6188,4,18,10,164,6.5,0,1,2
17,10098,패배,라이즈,마레말해뭘말해,1,4,1,8743,4,9,11,203,8.0,0,1,2
18,10098,패배,진,DWG BeryL,3,4,5,9299,4,10,9,186,7.4,0,1,2
19,10098,패배,알리스타,리인제이,2,6,6,5299,9,35,17,45,1.8,0,1,2
20,10099,승리,잭스,나네쫓다꿈소년,4,7,4,25516,1,23,6,351,9.7,1,3,11
21,10099,승리,니달리,Longzhu Cuzz,15,2,10,51031,1,5,14,314,8.7,1,3,11
22,10099,승리,제드,매우뚱뚱한고양이,9,4,8,25328,1,26,15,269,7.4,1,3,11
23,10099,승리,조이,DWG BeryL,3,3,8,30274,8,32,6,248,6.8,1,3,11
24,10099,승리,레오나,qweqasddasas,0,7,10,6723,11,46,15,76,2.1,1,3,11
25,10099,패배,럼블,커피물조절장인,4,8,12,28225,4,20,1,257,7.1,1,0,1
26,10099,패배,쉬바나,yizhiyu,9,5,6,20840,7,13,15,223,6.1,1,0,1
27,10099,패배,라이즈,Heart,5,9,9,25301,6,42,8,291,8.0,1,0,1
28,10099,패배,트리스타나,whisper snow,5,4,10,22681,1,10,13,352,9.7,1,0,1
29,10099,패배,탐 켄치,YserAoA,0,5,15,5394,12,56,8,66,1.8,1,0,1
30,10100,승리,나르,삼성갤럭시 cuvee,3,5,6,24469,4,15,6,245,8.4,1,2,8
31,10100,승리,니달리,Longzhu Cuzz,9,6,6,19106,2,6,10,174,6.0,1,2,8
32,10100,승리,클레드,161561,5,3,7,13943,1,13,3,236,8.1,1,2,8
33,10100,승리,루시안,cbzOvO,2,5,6,9820,0,6,6,239,8.2,1,2,8
34,10100,승리,트런들,12월27,4,5,10,9841,6,61,5,48,1.6,1,2,8
35,10100,패배,잭스,격세지감,6,7,1,18720,1,7,1,207,7.1,0,0,5
36,10100,패배,세주아니,Only caozuo,5,5,8,11463,7,21,4,143,4.9,0,0,5
37,10100,패배,조이,이치방츠요이야츠,3,5,6,21259,2,14,5,224,7.7,0,0,5
38,10100,패배,바루스,STITCH1,5,4,6,29084,2,9,5,229,7.8,0,0,5
39,10100,패배,제라스,Dutch Coffee,5,2,8,24158,15,34,13,43,1.5,0,0,5
40,10101,승리,제이스,돌잔치때도란잡음,4,4,2,13639,4,14,12,254,9.9,0,1,7
41,10101,승리,카직스,Longzhu Cuzz,11,1,5,17719,4,17,10,182,7.1,0,1,7
42,10101,승리,말자하,JAG UmTi,3,4,6,12796,0,10,5,232,9.0,0,1,7
43,10101,승리,진,F0y,7,1,8,12411,1,9,3,189,7.4,0,1,7
44,10101,승리,쉔,Eth4n,3,2,15,6976,0,17,17,67,2.6,0,1,7
45,10101,패배,올라프,코w코,2,5,4,8856,1,19,1,230,8.9,0,1,2
46,10101,패배,니달리,삼성갤럭시 하루,5,4,2,10080,11,28,8,150,5.8,0,1,2
47,10101,패배,라이즈,DWG ShowMaker,5,7,3,9482,2,7,4,197,7.7,0,1,2
48,10101,패배,바루스,스마트섹시뷰티,0,5,3,10579,2,12,2,193,7.5,0,1,2
49,10101,패배,카르마,Destiny,0,7,6,6021,5,42,8,19,0.7,0,1,2
50,10102,패배,블라디미르,Peray,0,6,3,8788,1,16,2,153,7.6,0,0,0
51,10102,패배,카직스,Longzhu Cuzz,4,8,6,10324,0,10,1,65,3.2,0,0,0
52,10102,패배,아지르,SSG Ambiton,4,7,2,10962,1,8,6,146,7.2,0,0,0
53,10102,패배,진,SmartPilot,5,8,2,7554,2,8,0,145,7.2,0,0,0
54,10102,패배,미스 포츈,PvPpvpPvPpvpPvP,1,11,9,7320,6,17,2,17,0.8,0,0,0
55,10102,승리,제이스,11 14 9 7 8 20,10,2,5,27060,2,18,1,204,10.1,0,2,7
56,10102,승리,쉬바나,wadid,8,2,4,7981,5,11,6,154,7.6,0,2,7
57,10102,승리,탈리야,삼성갤럭시 Crown,5,3,3,8111,4,11,3,192,9.5,0,2,7
58,10102,승리,이즈리얼,Destiny,14,3,8,19365,2,12,4,167,8.3,0,2,7
59,10102,승리,카르마,12월27,3,4,15,7228,5,25,7,18,0.9,0,2,7
60,10103,패배,나르,Only caozuo,3,8,7,22252,7,18,7,300,7.1,1,1,3
61,10103,패배,카직스,Longzhu Cuzz,12,9,7,31232,2,58,16,212,5.0,1,1,3
62,10103,패배,카사딘,chirchri,14,6,8,41705,5,10,24,318,7.5,1,1,3
63,10103,패배,미스 포츈,삼성갤럭시 cuvee,5,11,15,37060,2,18,16,288,6.8,1,1,3
64,10103,패배,탐 켄치,뒷텔와드점,2,7,12,14051,9,53,15,93,2.2,1,1,3
65,10103,승리,오른,빅파이초코파이,10,5,14,41883,1,22,7,318,7.5,0,3,8
66,10103,승리,리 신,PeanuToT,8,3,16,20440,5,69,11,178,4.2,0,3,8
67,10103,승리,르블랑,Hide on bush,5,10,9,31547,4,43,6,232,5.5,0,3,8
68,10103,승리,진,whisper snow,12,10,17,48903,2,15,2,311,7.3,0,3,8
69,10103,승리,제라스,Co2dplay,6,8,14,34431,12,62,22,123,2.9,0,3,8
70,10104,패배,올라프,Super Secret,0,4,1,5146,0,4,2,104,5.8,0,0,0
71,10104,패배,니달리,Longzhu Cuzz,2,5,1,5403,0,4,3,83,4.6,0,0,0
72,10104,패배,리산드라,Algorism,1,6,0,3793,2,7,2,74,4.1,0,0,0
73,10104,패배,트리스타나,온몸에 담,3,3,0,5592,0,7,1,127,7.0,0,0,0
74,10104,패배,쓰레쉬,IlllllIIIIlIlI,0,6,1,2704,4,20,0,29,1.6,0,0,0
75,10104,승리,신지드,She Jinping,1,1,6,5465,2,8,1,142,7.9,0,1,9
76,10104,승리,렝가,트와이스 원스,6,1,5,7836,1,16,3,117,6.5,0,1,9
77,10104,승리,카타리나,find myself,7,3,3,11655,1,6,0,129,7.1,0,1,9
