,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40139,패배,제이스,SKT T1 Bang,2,4,4,13357,1,14,1,112,7.0,0,0,0
1,40139,패배,트리스타나,해강고원딜 팬,1,5,0,3247,2,7,1,62,3.9,0,0,0
2,40139,패배,탈리야,201505,1,9,1,7947,2,6,1,74,4.6,0,0,0
3,40139,패배,진,MVP Max,2,5,1,4618,0,7,3,107,6.7,0,0,0
4,40139,패배,레오나,AKG Bene,0,5,3,4600,3,11,1,17,1.1,0,0,0
5,40139,승리,마오카이,돌잔치때도란잡음,2,2,6,6623,2,8,2,133,8.3,0,0,6
6,40139,승리,세주아니,Fission,2,1,8,5043,2,8,1,100,6.2,0,0,6
7,40139,승리,코르키,11 14 9 7 8 20,10,2,1,12260,1,6,4,147,9.2,0,0,6
8,40139,승리,미스 포츈,담원 얼라이브,8,1,7,11818,3,8,2,149,9.3,0,0,6
9,40139,승리,쉔,DWG BeryL,6,0,12,7025,2,12,2,35,2.2,0,0,6
10,40140,패배,갱플랭크,JAG S0hwan,11,5,6,32784,2,16,12,371,11.0,0,0,1
11,40140,패배,엘리스,종학윙,4,13,3,11913,5,8,4,103,3.1,0,0,1
12,40140,패배,라이즈,laets,2,10,7,18713,1,17,23,282,8.4,0,0,1
13,40140,패배,바루스,RRRuleRRR,2,16,12,19278,8,14,18,209,6.2,0,0,1
14,40140,패배,럭스,MVP Max,5,10,14,15632,3,39,25,49,1.5,0,0,1
15,40140,승리,나르,PuncHh,6,1,7,18271,4,35,5,278,8.3,2,2,11
16,40140,승리,자르반 4세,좋은날,16,4,22,25725,6,31,13,171,5.1,2,2,11
17,40140,승리,아지르,Yaharong,10,6,10,26208,2,18,3,268,8.0,2,2,11
18,40140,승리,애쉬,chirchri,6,9,11,19040,3,16,1,197,5.9,2,2,11
19,40140,승리,미스 포츈,Dutch Coffee,16,4,16,31780,9,76,21,51,1.5,2,2,11
20,40141,패배,럼블,WENJUNXI,1,6,8,17677,2,14,6,219,7.0,0,3,3
21,40141,패배,렉사이,Please find it,6,5,4,8821,1,22,8,161,5.2,0,3,3
22,40141,패배,라이즈,By 불비,4,3,5,16552,3,15,4,316,10.2,0,3,3
23,40141,패배,진,whisper snow,5,3,6,17373,6,14,10,277,8.9,0,3,3
24,40141,패배,사이온,MVP Max,3,3,7,12676,6,41,6,67,2.2,0,3,3
25,40141,승리,제이스,Flyquest Flame,6,7,7,20739,3,25,1,257,8.3,1,2,9
26,40141,승리,쉬바나,FeelsSosoMan,4,2,8,13418,6,18,10,236,7.6,1,2,9
27,40141,승리,신드라,Peecaboo,6,2,6,19448,2,7,6,328,10.6,1,2,9
28,40141,승리,미스 포츈,Martin VG,2,6,10,20442,5,15,5,233,7.5,1,2,9
29,40141,승리,카르마,1874  Eason,2,2,14,11102,7,32,5,16,0.5,1,2,9
30,40142,패배,오른,담원 너구리,4,5,2,14352,4,12,4,195,8.3,0,1,2
31,40142,패배,자르반 4세,TeawaN,3,6,9,8073,6,21,5,126,5.3,0,1,2
32,40142,패배,트위스티드 페이트,죠토마킹,3,9,3,8364,1,14,5,135,5.7,0,1,2
33,40142,패배,베인,LPL noob ad QAQ,6,4,7,15995,1,8,5,180,7.6,0,1,2
34,40142,패배,제라스,MVP Max,2,7,8,12057,6,27,11,25,1.1,0,1,2
35,40142,승리,사이온,우에하라 크롱,3,5,2,7191,5,18,3,148,6.3,1,2,7
36,40142,승리,쉬바나,FeelsSosoMan,8,4,6,16098,2,10,8,156,6.6,1,2,7
37,40142,승리,빅토르,Kingen,9,5,5,20174,3,17,5,216,9.2,1,2,7
38,40142,승리,트리스타나,Please find it,9,2,7,18647,2,15,3,194,8.2,1,2,7
39,40142,승리,레오나,R4phael,2,2,10,4901,7,24,10,29,1.2,1,2,7
40,40143,승리,나르,담원 너구리,11,1,10,20062,4,27,7,205,8.0,0,2,9
41,40143,승리,세주아니,ROX Se0ngHwan,6,3,10,11121,1,29,5,167,6.5,0,2,9
