,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40734,승리,초가스,pushopush,7,7,6,16284,6,18,5,183,5.6,1,2,6
1,40734,승리,자르반 4세,정글노바,4,8,19,12730,5,30,15,164,5.0,1,2,6
2,40734,승리,탈리야,Mani eh MwH,9,6,14,28016,3,16,2,237,7.3,1,2,6
3,40734,승리,진,aeternitas,12,4,17,36611,2,14,3,286,8.8,1,2,6
4,40734,승리,제라스,으아으앙으아앙,5,8,20,23072,4,30,6,31,1.0,1,2,6
5,40734,패배,다리우스,VTG FIFA,9,8,4,18789,0,22,2,192,5.9,1,2,8
6,40734,패배,카밀,보고 싶어Tiamo,13,7,8,28991,2,24,13,155,4.8,1,2,8
7,40734,패배,아지르,꾸자니 똑땅해,5,9,10,27377,4,18,16,294,9.1,1,2,8
8,40734,패배,바루스,Give me a kiss,3,8,6,18564,3,10,4,177,5.4,1,2,8
9,40734,패배,카르마,Flaycid,3,5,13,13034,5,44,13,51,1.6,1,2,8
10,40735,승리,오른,Jisu,4,4,4,9853,2,9,2,181,7.6,1,1,5
11,40735,승리,트위치,Mani eh MwH,7,6,11,10134,4,27,5,89,3.7,1,1,5
12,40735,승리,말자하,삼성갤럭시 Crown,9,5,8,21005,13,20,3,217,9.1,1,1,5
13,40735,승리,진,BtC RYAN,7,3,10,13964,3,12,6,200,8.4,1,1,5
14,40735,승리,조이,담원 베리릴,4,4,10,10991,8,23,10,25,1.0,1,1,5
15,40735,패배,케넨,커피물조절장인,5,4,2,11030,2,12,6,207,8.7,0,1,1
16,40735,패배,니달리,으아으앙으아앙,5,5,4,11779,2,16,5,127,5.3,0,1,1
17,40735,패배,루시안,꾸자니 똑땅해,1,10,1,8913,4,13,7,161,6.7,0,1,1
18,40735,패배,자야,aeternitas,5,6,6,14591,2,9,7,210,8.8,0,1,1
19,40735,패배,라칸,Misdate,6,6,5,5859,6,16,5,6,0.3,0,1,1
20,40736,승리,나르,Jisu,4,7,9,18536,3,15,7,205,6.5,1,3,8
21,40736,승리,킨드레드,XinyiQAQ,12,4,11,21636,5,11,14,189,5.9,1,3,8
22,40736,승리,탈리야,Mani eh MwH,2,6,10,20226,4,18,4,223,7.0,1,3,8
23,40736,승리,바루스,꾸자니 똑땅해,13,5,13,28965,1,13,7,231,7.3,1,3,8
24,40736,승리,조이,담원 베리릴,8,3,18,23859,12,39,22,64,2.0,1,3,8
25,40736,패배,럼블,커피물조절장인,6,9,11,15361,3,15,4,211,6.6,1,1,4
26,40736,패배,엘리스,9346,4,8,6,11222,2,52,3,159,5.0,1,1,4
27,40736,패배,루시안,으아으앙으아앙,8,4,4,27280,3,7,9,300,9.4,1,1,4
28,40736,패배,미스 포츈,Mengqiuqiu,6,7,4,14111,3,14,4,232,7.3,1,1,4
29,40736,패배,트런들,GuGer,1,11,10,5647,7,70,11,45,1.4,1,1,4
30,40737,패배,오른,Jisu,2,5,5,8898,2,6,1,207,7.5,0,0,2
31,40737,패배,렝가,커피물조절장인,4,5,5,9101,4,27,5,177,6.4,0,0,2
32,40737,패배,탈리야,Mani eh MwH,1,7,5,14887,5,15,2,179,6.5,0,0,2
