,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,20300,승리,나르,담원 너구리,2,4,15,20706,5,25,14,339,8.2,3,2,9
1,20300,승리,리 신,담원 얼라이브,12,5,13,17882,9,56,22,213,5.2,3,2,9
2,20300,승리,자이라,행운의 변화,8,6,12,37368,4,14,7,311,7.6,3,2,9
3,20300,승리,칼리스타,구름꽃길만걷자,8,5,13,19501,2,10,15,359,8.7,3,2,9
4,20300,승리,세주아니,MataMataMata,3,5,24,12724,18,99,21,79,1.9,3,2,9
5,20300,패배,야스오,JAG S0hwan,5,6,8,23278,3,50,15,431,10.5,0,2,6
6,20300,패배,카직스,ROX Se0ngHwan,12,8,8,31050,8,52,20,167,4.1,0,2,6
7,20300,패배,말자하,bbq Tempt,5,5,9,43283,8,21,9,362,8.8,0,2,6
8,20300,패배,진,비 브이 오 와이,1,5,10,27024,3,15,17,336,8.2,0,2,6
9,20300,패배,쉔,GuGer,2,9,6,5934,16,55,23,93,2.3,0,2,6
10,20301,패배,사이온,춘봉박,4,6,11,20077,2,19,10,257,6.4,1,1,5
11,20301,패배,케인,PeanuToT,6,8,8,22132,11,38,34,258,6.5,1,1,5
12,20301,패배,빅토르,학교밀베포친키,6,4,9,32089,3,23,26,324,8.1,1,1,5
13,20301,패배,이즈리얼,비 브이 오 와이,8,3,10,49444,2,25,18,359,9.0,1,1,5
14,20301,패배,세주아니,MataMataMata,2,11,11,10559,21,99,25,78,2.0,1,1,5
15,20301,승리,제이스,JAG S0hwan,7,7,16,34163,7,50,11,348,8.7,1,2,11
16,20301,승리,자르반 4세,ROX Se0ngHwan,0,6,19,10892,11,69,20,162,4.1,1,2,11
17,20301,승리,라이즈,푸딩은푸딩해,13,4,6,49556,4,26,14,409,10.3,1,2,11
18,20301,승리,칼리스타,구름꽃길만걷자,11,4,11,32445,1,13,31,355,8.9,1,2,11
19,20301,승리,쓰레쉬,chorongie,1,5,23,10960,17,106,30,65,1.6,1,2,11
20,20302,승리,티모,춘봉박,7,5,6,30515,3,9,8,248,8.1,1,2,8
21,20302,승리,쉬바나,PeanuToT,8,4,6,14517,9,13,16,214,7.0,1,2,8
22,20302,승리,갱플랭크,뒷텔와드점,4,6,11,13768,2,16,6,276,9.0,1,2,8
23,20302,승리,이즈리얼,담원 얼라이브,8,4,15,24943,2,14,17,296,9.7,1,2,8
24,20302,승리,세주아니,MataMataMata,4,5,16,10383,15,75,20,78,2.6,1,2,8
25,20302,패배,블라디미르,빅파이초코파이,4,7,4,18994,3,17,9,235,7.7,0,1,2
26,20302,패배,렝가,chorongie,10,6,4,20871,9,27,11,169,5.5,0,1,2
27,20302,패배,탈리야,푸딩은푸딩해,3,3,4,17986,2,14,5,312,10.2,0,1,2
28,20302,패배,미스 포츈,먹는건즐거워,6,10,3,12216,7,32,19,249,8.2,0,1,2
29,20302,패배,마오카이,진쟤승,0,5,9,10179,5,36,12,67,2.2,0,1,2
30,20303,승리,카밀,뒷텔와드점,0,0,0,606,0,0,0,12,3.7,0,1,6
31,20303,승리,카직스,kenzhu9,0,0,0,0,0,0,0,0,0.0,0,1,6
32,20303,승리,베이가,이도류,0,0,0,257,0,1,0,17,5.3,0,1,6
33,20303,승리,진,아 백,0,0,0,986,0,2,0,17,5.3,0,1,6
34,20303,승리,카르마,MataMataMata,0,0,0,1157,0,4,1,1,0.3,0,1,6
35,20303,패배,카밀,갱만가드림,2,3,1,6828,0,10,3,162,6.8,0,0,1
36,20303,패배,세주아니,마이엠브,3,0,7,6230,6,45,8,99,4.2,0,0,1
37,20303,패배,라이즈,승 로,3,3,4,10436,1,11,2,180,7.6,0,0,1
38,20303,패배,진,Greed A Pride,2,2,4,7001,4,11,8,214,9.0,0,0,1
39,20303,패배,갈리오,IgNar,0,4,7,3207,7,31,9,45,1.9,0,0,1
40,20304,패배,나르,Gazuaaaaaaa,1,8,4,13429,1,13,1,158,7.3,0,0,1
41,20304,패배,자르반 4세,ROX Se0ngHwan,4,4,1,6241,4,32,4,103,4.7,0,0,1
42,20304,패배,라이즈,KDM 유준,0,3,1,8671,1,9,2,180,8.3,0,0,1
