,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10314,승리,마오카이,555555555554,2,1,11,12118,2,14,3,167,5.6,1,1,7
1,10314,승리,신 짜오,삼성갤럭시 하루,10,4,11,24768,6,11,16,184,6.2,1,1,7
2,10314,승리,카사딘,Megalia,10,3,10,25113,1,8,3,188,6.4,1,1,7
3,10314,승리,칼리스타,LPL noob ad QAQ,7,6,6,18076,2,11,5,234,7.9,1,1,7
4,10314,승리,소라카,최석배 사생팬,1,4,19,9121,4,23,13,40,1.4,1,1,7
5,10314,패배,올라프,코w코,6,6,2,22736,4,17,4,212,7.2,0,2,3
6,10314,패배,리 신,일견무시도성빈,6,7,5,9832,6,39,6,109,3.7,0,2,3
7,10314,패배,오리아나,Hide on bush,1,6,6,25034,3,24,0,240,8.1,0,2,3
8,10314,패배,바루스,영광 스런 년,5,6,5,17163,1,11,5,259,8.8,0,2,3
9,10314,패배,쓰레쉬,rxyyyyyyyyyyyyy,0,5,10,6201,7,32,10,45,1.5,0,2,3
10,10315,패배,럼블,변춘수,1,6,6,15498,1,15,2,202,7.4,0,1,2
11,10315,패배,이즈리얼,GabrielCRO,11,6,8,23863,3,8,5,174,6.4,0,1,2
12,10315,패배,탈리야,Megalia,5,8,9,17483,0,12,3,220,8.0,0,1,2
13,10315,패배,자야,Dingchenyu,5,8,7,17863,4,13,4,203,7.4,0,1,2
14,10315,패배,라칸,So1o,3,8,9,7138,9,26,4,14,0.5,0,1,2
15,10315,승리,세주아니,이 차가 식기전에,2,5,10,9987,2,11,7,176,6.4,1,1,9
16,10315,승리,리 신,기리기리기억되리,5,6,9,10314,8,22,4,127,4.6,1,1,9
17,10315,승리,카사딘,유튜브충현랩모음,16,3,6,25575,0,9,1,240,8.8,1,1,9
18,10315,승리,베인,Afreeca Aiming,5,6,12,18031,4,15,5,236,8.6,1,1,9
19,10315,승리,케넨,160810,8,5,9,15926,3,12,6,24,0.9,1,1,9
20,10316,패배,쉔,양충하,1,4,8,15541,4,14,1,261,7.4,0,2,1
21,10316,패배,이즈리얼,So1o,3,7,6,19185,7,12,18,155,4.4,0,2,1
22,10316,패배,트위스티드 페이트,상어가족,6,3,5,17115,2,17,5,245,7.0,0,2,1
23,10316,패배,자야,네 옆에,4,6,6,21293,2,14,6,236,6.7,0,2,1
24,10316,패배,소라카,Megalia,1,6,13,6293,9,32,11,27,0.8,0,2,1
25,10316,승리,잭스,SKT T1 Untara,9,2,7,24518,2,15,5,291,8.3,1,2,10
26,10316,승리,리 신,Klmjg,5,5,13,15639,4,36,6,132,3.8,1,2,10
27,10316,승리,루시안,으아으앙으아앙,2,3,14,27559,5,11,12,289,8.2,1,2,10
28,10316,승리,시비르,마레말해뭘말해,6,3,13,25169,3,17,4,316,9.0,1,2,10
29,10316,승리,라칸,DDDDNNNN,4,2,18,9640,12,61,17,26,0.7,1,2,10
30,10317,승리,클레드,빵재애오,5,2,10,13630,0,7,0,171,7.0,1,2,4
31,10317,승리,렝가,Koed OwO,5,1,5,7198,4,10,6,107,4.4,1,2,4
32,10317,승리,탈리야,Megalia,10,2,10,25389,3,11,1,184,7.5,1,2,4
33,10317,승리,트리스타나,KDM U jun,2,4,2,5365,0,10,1,223,9.1,1,2,4
34,10317,승리,라칸,악시 뒷바라지,0,3,9,3237,6,26,4,11,0.4,1,2,4
35,10317,패배,럼블,Nantatata,2,4,4,13233,1,11,0,170,6.9,0,1,3
36,10317,패배,렉사이,나는야베이베이1,0,5,5,4617,6,15,2,127,5.2,0,1,3
37,10317,패배,피즈,하늘킹,6,6,1,15854,2,6,3,191,7.8,0,1,3
38,10317,패배,자야,ROX Iava,3,4,4,13571,1,8,6,229,9.4,0,1,3
39,10317,패배,블리츠크랭크,MinKOOK2,1,3,4,4409,5,21,1,26,1.1,0,1,3
40,10318,패배,레넥톤,Kingen,3,4,2,11995,3,10,0,192,9.4,0,0,3
41,10318,패배,그라가스,심심풀이 남신,3,4,3,5202,4,18,3,66,3.2,0,0,3
42,10318,패배,카사딘,Megalia,1,4,3,7106,1,7,2,122,6.0,0,0,3
43,10318,패배,케이틀린,학교밀베포친키,2,3,0,7377,0,7,2,141,6.9,0,0,3
44,10318,패배,쓰레쉬,슬프다고말하면,1,4,5,5526,6,22,4,26,1.3,0,0,3
45,10318,승리,카밀,DWG Nuguri,6,4,3,12725,0,8,3,139,6.8,0,2,3
46,10318,승리,렝가,나는야베이베이1,4,1,3,7444,5,13,2,88,4.3,0,2,3
47,10318,승리,르블랑,Sakura Devil,2,3,5,10469,2,8,4,140,6.8,0,2,3
48,10318,승리,자야,ROX Mightybear,5,1,5,13679,0,6,2,164,8.0,0,2,3
49,10318,승리,라칸,IGS Doran,2,2,9,5907,6,28,3,12,0.6,0,2,3
50,10319,승리,피오라,사 용 수,2,2,3,5412,3,14,6,218,8.1,1,2,6
51,10319,승리,카직스,GabrielCRO,4,2,7,10368,5,11,4,113,4.2,1,2,6
52,10319,승리,탈리야,Megalia,6,2,3,11227,0,10,3,239,8.9,1,2,6
53,10319,승리,케이틀린,학교밀베포친키,7,2,7,26269,0,8,10,279,10.4,1,2,6
54,10319,승리,모르가나,심심풀이 남신,2,1,12,6263,13,40,7,9,0.3,1,2,6
55,10319,패배,케넨,Nantatata,4,3,1,12591,4,13,5,233,8.7,0,0,3
56,10319,패배,니달리,스마트섹시뷰티,3,4,2,9194,6,29,5,126,4.7,0,0,3
57,10319,패배,신드라,Sakura Devil,0,3,5,12096,3,7,3,226,8.4,0,0,3
58,10319,패배,코그모,DWG Nuguri,1,5,4,11613,3,13,4,212,7.9,0,0,3
59,10319,패배,오른,세상만사내리막길,1,6,3,6880,6,18,4,60,2.2,0,0,3
60,10320,패배,제이스,king2n,3,12,3,20689,1,15,3,224,7.0,0,2,3
61,10320,패배,이즈리얼,건드리지말라했다,5,5,5,14378,4,10,7,155,4.8,0,2,3
62,10320,패배,질리언,Megalia,3,4,4,11921,1,13,3,275,8.6,0,2,3
63,10320,패배,애쉬,I am ZIatan,2,3,3,23991,2,11,4,319,10.0,0,2,3
64,10320,패배,잔나,Lehends,0,6,5,4508,11,29,7,11,0.3,0,2,3
65,10320,승리,신지드,Here we go,4,3,10,13753,5,17,5,248,7.8,2,1,11
66,10320,승리,렝가,appearflawless,7,2,7,19506,8,12,4,176,5.5,2,1,11
67,10320,승리,말자하,Zhongdan XD,10,3,8,30374,4,14,4,272,8.5,2,1,11
68,10320,승리,트리스타나,IgNar,5,1,10,23340,1,11,7,293,9.2,2,1,11
69,10320,승리,쓰레쉬,킁킁킹캉킁,4,4,12,5384,12,37,9,29,0.9,2,1,11
70,10321,승리,럼블,무이무익,2,3,4,10938,4,11,1,195,7.3,1,3,11
71,10321,승리,니달리,수입뿌드,7,2,5,15212,3,23,10,177,6.7,1,3,11
72,10321,승리,말자하,Megalia,4,2,4,11510,1,13,2,240,9.0,1,3,11
73,10321,승리,트리스타나,Greed A Pride,3,2,6,13209,2,10,3,268,10.1,1,3,11
74,10321,승리,잔나,7895123,0,5,12,4447,6,16,6,12,0.5,1,3,11
75,10321,패배,갱플랭크,귤렐루야,1,4,6,10371,4,9,5,226,8.5,0,0,1
76,10321,패배,세주아니,진쟤승,0,4,8,4380,2,10,8,91,3.4,0,0,1
77,10321,패배,탈리야,유내현,9,3,3,19383,1,12,3,222,8.4,0,0,1
78,10321,패배,미스 포츈,카우걸 미스 포츈,3,4,9,11613,3,5,5,194,7.3,0,0,1
79,10321,패배,알리스타,악시 뒷바라지,1,1,6,2957,8,42,5,52,2.0,0,0,1
80,10322,승리,쉔,쌀국수뚝붸기,8,2,4,13553,1,10,3,191,7.4,1,1,10
81,10322,승리,그레이브즈,43480287del,7,1,3,13725,9,14,8,147,5.7,1,1,10
82,10322,승리,말자하,Megalia,6,1,5,18930,3,12,5,237,9.2,1,1,10
83,10322,승리,자야,Dingchenyu,6,1,5,15375,4,14,4,232,9.0,1,1,10
84,10322,승리,쓰레쉬,Axiyo,2,2,12,6826,3,25,6,41,1.6,1,1,10
85,10322,패배,갱플랭크,브리즈번,3,7,2,19487,2,11,1,206,8.0,0,0,1
86,10322,패배,이즈리얼,RRRR,3,8,2,11280,2,18,5,115,4.5,0,0,1
87,10322,패배,카시오페아,미율치에오,0,4,2,8578,2,12,3,245,9.5,0,0,1
88,10322,패배,트리스타나,Bvoy,1,4,3,10010,1,9,6,209,8.1,0,0,1
89,10322,패배,룰루,VeryBitter,0,6,4,3981,4,25,3,19,0.7,0,0,1
90,10323,승리,나르,king2n,6,2,2,10906,1,6,2,113,7.4,0,0,4
91,10323,승리,자르반 4세,ROX Mightybear,2,0,5,4525,3,12,4,93,6.1,0,0,4
92,10323,승리,말자하,Megalia,8,1,2,8590,3,7,0,122,8.0,0,0,4
93,10323,승리,트리스타나,미율치에오,0,0,1,3903,1,6,1,136,9.0,0,0,4
94,10323,승리,브라움,꼬맹이전쟁,0,0,4,3213,2,7,1,25,1.6,0,0,4
95,10323,패배,케넨,브리즈번,1,6,0,6144,2,8,1,103,6.8,0,0,0
96,10323,패배,세주아니,bbq bono33,0,3,1,2602,1,10,1,73,4.8,0,0,0
97,10323,패배,카사딘,건드리지말라했다,1,5,1,2839,1,5,0,98,6.5,0,0,0
98,10323,패배,자야,땅우양,1,1,1,7162,0,4,2,117,7.7,0,0,0
99,10323,패배,라칸,잠시만 기달려줘,0,1,2,1279,2,14,1,1,0.1,0,0,0
100,10324,승리,자르반 4세,수기슈기슈기,2,5,21,12865,0,13,7,237,6.9,0,1,8
101,10324,승리,니달리,RRRR,16,5,12,25840,0,25,15,203,5.9,0,1,8
102,10324,승리,말자하,Megalia,10,5,14,31691,2,16,7,319,9.2,0,1,8
103,10324,승리,미스 포츈,카우걸 미스 포츈,7,6,11,21447,2,11,4,208,6.0,0,1,8
104,10324,승리,라칸,꼬맹이전쟁,1,5,24,6161,3,38,7,8,0.2,0,1,8
105,10324,패배,럼블,커피물조절장인,8,8,5,20714,2,14,1,274,7.9,1,2,5
106,10324,패배,렉사이,매우뚱뚱한고양이,8,9,6,13428,7,10,11,170,4.9,1,2,5
107,10324,패배,카르마,FeelsLovelyMan,3,6,10,15380,12,24,7,207,6.0,1,2,5
108,10324,패배,케이틀린,학교밀베포친키,6,8,8,23167,2,12,13,301,8.7,1,2,5
109,10324,패배,브라움,160810,1,5,16,6543,16,45,11,55,1.6,1,2,5
110,10325,승리,자르반 4세,쌀국수뚝붸기,11,4,8,30020,3,17,2,241,7.1,1,3,7
111,10325,승리,이블린,T 1 a n,3,4,15,13542,8,17,4,128,3.8,1,3,7
112,10325,승리,갈리오,Megalia,3,4,17,17773,4,16,6,315,9.3,1,3,7
113,10325,승리,바루스,담원 크러쉬,9,4,4,17467,1,12,5,253,7.5,1,3,7
114,10325,승리,르블랑,담원 쇼메이커,6,3,10,17451,7,31,17,51,1.5,1,3,7
115,10325,패배,피오라,kfo,9,6,1,22640,4,18,5,244,7.2,1,0,3
116,10325,패배,샤코,챔프폭 늘리는중,2,7,8,14091,2,16,8,123,3.6,1,0,3
117,10325,패배,신드라,GSRDJ,1,6,3,13710,5,8,5,297,8.8,1,0,3
118,10325,패배,트리스타나,다시 돌아갈까요,6,8,1,15359,2,14,6,280,8.3,1,0,3
119,10325,패배,쓰레쉬,160810,1,5,10,7132,15,46,7,29,0.9,1,0,3
120,10326,패배,레넥톤,JAG S0hwan,4,4,6,17897,5,20,5,304,9.0,1,1,3
121,10326,패배,리 신,분당고 엄성현,7,6,4,9937,8,41,10,166,4.9,1,1,3
122,10326,패배,말자하,Megalia,4,5,1,16657,3,12,2,288,8.6,1,1,3
123,10326,패배,트리스타나,Yeeclipse,4,9,9,18547,1,13,6,243,7.2,1,1,3
124,10326,패배,브라움,모르게써요야깐,2,4,11,5557,11,37,5,43,1.3,1,1,3
125,10326,승리,잭스,Alun,5,1,5,20690,2,16,8,305,9.1,0,3,9
126,10326,승리,샤코,챔프폭 늘리는중,9,3,7,17119,4,19,7,177,5.3,0,3,9
