,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50375,패배,럼블,담원 너구리,2,5,3,10201,3,11,6,143,7.0,0,0,2
1,50375,패배,자르반 4세,MooJin,2,6,3,6965,3,18,3,103,5.0,0,0,2
2,50375,패배,코르키,Heart,3,4,2,9012,3,22,3,209,10.2,0,0,2
3,50375,패배,미스 포츈,학교밀베포친키,1,6,2,9668,2,10,4,177,8.6,0,0,2
4,50375,패배,카르마,h1rb,1,2,3,6299,6,19,8,9,0.4,0,0,2
5,50375,승리,제이스,우에하라 크롱,5,2,2,8068,1,9,6,193,9.4,0,0,3
6,50375,승리,엘리스,종학윙,6,2,3,7895,3,15,6,110,5.4,0,0,3
7,50375,승리,카타리나,겸손하고 근면한,7,3,3,16428,3,22,8,194,9.5,0,0,3
8,50375,승리,바루스,진에어 저스티스,4,1,7,9722,2,10,2,160,7.8,0,0,3
9,50375,승리,라칸,FVV BETTY,1,1,9,3105,5,16,8,12,0.6,0,0,3
10,50376,승리,쉔,비 브이 오 와이,4,0,11,12376,1,23,2,155,6.1,1,2,8
11,50376,승리,자르반 4세,MooJin,5,1,6,11124,7,41,7,182,7.2,1,2,8
12,50376,승리,조이,2Kano,9,3,6,23755,2,18,3,193,7.6,1,2,8
13,50376,승리,칼리스타,RRRuleRRR,9,2,6,14180,2,17,8,257,10.1,1,2,8
14,50376,승리,모르가나,BtC Joker,4,3,16,11395,10,37,12,20,0.8,1,2,8
15,50376,패배,블라디미르,뒷텔와드점,1,4,4,15455,1,12,4,239,9.4,0,0,1
16,50376,패배,카직스,DaYE,3,7,1,10905,5,24,10,110,4.3,0,0,1
17,50376,패배,탈리야,Lucete,3,5,3,11989,3,11,9,212,8.4,0,0,1
18,50376,패배,미스 포츈,Please find it,1,10,5,8824,1,7,5,169,6.7,0,0,1
19,50376,패배,브라움,Yumemiru Shonen,1,5,5,3530,8,21,13,56,2.2,0,0,1
20,50377,패배,카밀,1987 Plls,5,9,4,13207,0,11,2,210,7.2,0,0,4
21,50377,패배,카직스,pokeryo,9,7,5,17263,9,61,12,137,4.7,0,0,4
22,50377,패배,아지르,FW Maple,4,4,11,22402,4,30,8,267,9.1,0,0,4
23,50377,패배,진,MooJin,5,9,6,14674,4,13,5,188,6.4,0,0,4
24,50377,패배,바드,Gambit Support,2,6,14,11936,3,24,17,32,1.1,0,0,4
25,50377,승리,피오라,chijixuanshou,8,8,4,17393,2,12,4,239,8.2,1,2,8
26,50377,승리,리 신,duibuqiziji,3,2,7,10536,5,45,22,160,5.5,1,2,8
27,50377,승리,르블랑,박효신사생팬,12,4,3,27046,2,4,9,216,7.4,1,2,8
28,50377,승리,미스 포츈,JackeyLove,11,5,6,21266,2,10,8,261,8.9,1,2,8
29,50377,승리,제라스,YOYOuuuuuO,1,6,11,12489,10,35,16,31,1.1,1,2,8
30,50378,승리,일라오이,1987 Plls,1,0,0,4473,1,5,1,164,10.3,0,0,3
31,50378,승리,카직스,MooJin,5,1,1,6378,4,9,4,101,6.3,0,0,3
32,50378,승리,카사딘,chirchri,2,0,1,4154,2,12,3,133,8.3,0,0,3
33,50378,승리,진,상어가족,1,1,2,5496,0,6,2,134,8.4,0,0,3
34,50378,승리,쓰레쉬,Gambit Support,1,2,3,1675,5,26,6,25,1.6,0,0,3
35,50378,패배,라이즈,mcmglllc,0,2,0,5350,0,7,3,130,8.2,0,0,0
36,50378,패배,렝가,chijixuanshou,3,2,0,3141,5,16,5,84,5.3,0,0,0
37,50378,패배,올라프,Super Secret,0,2,0,5447,2,7,3,100,6.3,0,0,0
38,50378,패배,미스 포츈,FVV BETTY,1,1,2,4292,1,11,2,128,8.0,0,0,0
39,50378,패배,제라스,heeseong,0,3,2,5514,2,11,7,19,1.2,0,0,0
40,50379,승리,요릭,나는여자가좋아요,1,3,0,6434,1,8,0,205,8.9,1,2,8
41,50379,승리,카밀,MooJin,6,4,3,10266,1,17,2,120,5.2,1,2,8
42,50379,승리,아지르,chirchri,3,2,3,8880,4,21,5,225,9.8,1,2,8
43,50379,승리,미스 포츈,FVV BETTY,7,1,6,18076,4,17,2,204,8.9,1,2,8
44,50379,승리,탐 켄치,Gambit Support,0,6,9,4829,4,32,7,47,2.0,1,2,8
45,50379,패배,케넨,1987 Plls,2,1,5,9469,0,9,3,156,6.8,0,0,3
46,50379,패배,쉬바나,yizhiyu,7,4,4,15531,1,7,7,149,6.5,0,0,3
47,50379,패배,트위스티드 페이트,상어가족,1,3,6,6816,1,10,8,163,7.1,0,0,3
48,50379,패배,진,벤센트불탄,5,5,4,7890,0,6,6,132,5.7,0,0,3
49,50379,패배,제라스,heeseong,1,4,6,11730,4,29,9,26,1.1,0,0,3
50,50380,승리,케넨,1987 Plls,5,1,7,9997,0,8,4,181,8.4,0,1,5
51,50380,승리,카직스,MooJin,10,1,3,14886,3,8,0,124,5.8,0,1,5
52,50380,승리,트위스티드 페이트,상어가족,2,3,6,8436,4,11,6,193,9.0,0,1,5
53,50380,승리,진,I will not lose,3,3,8,10011,0,13,4,171,8.0,0,1,5
54,50380,승리,쓰레쉬,Gambit Support,3,0,9,3508,4,54,25,53,2.5,0,1,5
55,50380,패배,카서스,벤센트불탄,2,7,2,12640,1,5,0,148,6.9,0,0,0
56,50380,패배,리 신,죠토마킹,2,3,3,4377,2,23,5,101,4.7,0,0,0
57,50380,패배,아우렐리온 솔,미드가는 용용이,4,3,2,10460,4,8,6,175,8.2,0,0,0
58,50380,패배,미스 포츈,FVV BETTY,0,4,2,7976,2,17,6,151,7.0,0,0,0
59,50380,패배,소라카,16학번이은하,0,6,4,4613,7,24,10,13,0.6,0,0,0
60,50381,패배,라이즈,duibuqiziji,4,6,2,9329,4,12,4,179,7.9,0,0,1
61,50381,패배,렝가,MooJin,1,9,4,9068,7,12,4,108,4.8,0,0,1
62,50381,패배,말자하,상어가족,0,3,1,8230,3,9,4,170,7.5,0,0,1
63,50381,패배,진,갇 힘,3,10,3,11201,0,8,6,177,7.8,0,0,1
64,50381,패배,레오나,Gambit Support,1,6,6,5880,4,20,10,46,2.0,0,0,1
65,50381,승리,갈리오,Calmmmm,4,3,10,9627,3,12,5,141,6.2,0,2,5
66,50381,승리,자르반 4세,이치방츠요이야츠,5,2,18,9537,5,18,5,115,5.1,0,2,5
67,50381,승리,아우렐리온 솔,미드가는 용용이,9,2,8,15552,3,9,0,141,6.2,0,2,5
68,50381,승리,미스 포츈,FVV BETTY,13,0,6,23168,1,17,4,221,9.7,0,2,5
69,50381,승리,소라카,16학번이은하,3,2,16,4664,7,27,8,19,0.8,0,2,5
70,50382,패배,갱플랭크,우르프rider,0,4,0,6464,1,15,2,102,6.3,0,0,0
71,50382,패배,카직스,MooJin,1,4,0,2472,3,7,3,65,4.0,0,0,0
72,50382,패배,제라스,11 14 9 7 8 20,0,5,1,7086,3,9,2,93,5.8,0,0,0
73,50382,패배,트리스타나,SnakeLight,0,2,0,4435,1,12,2,130,8.1,0,0,0
74,50382,패배,알리스타,FeelsAwesomeMan,0,2,0,2756,2,5,2,19,1.2,0,0,0
75,50382,승리,마오카이,마이엠브,0,0,8,7159,2,6,5,144,8.9,0,2,6
76,50382,승리,신 짜오,yizhiyu,9,0,3,10393,1,5,2,106,6.6,0,2,6
77,50382,승리,아지르,풀 뜯는 미드,3,1,4,7721,2,17,5,130,8.1,0,2,6
78,50382,승리,자야,FVV BETTY,4,0,0,7618,2,10,2,142,8.8,0,2,6
79,50382,승리,라칸,fengquyunbuhui,1,0,9,4081,6,19,5,9,0.6,0,2,6
80,50383,패배,나르,FVV BETTY,0,4,0,2563,0,10,1,78,5.0,0,0,0
81,50383,패배,렝가,MooJin,1,4,1,2628,4,7,3,77,4.9,0,0,0
82,50383,패배,르블랑,SP님이다,0,2,0,3909,1,12,1,86,5.5,0,0,0
83,50383,패배,진,SnakeLight,1,2,0,2265,2,6,1,111,7.1,0,0,0
84,50383,패배,블리츠크랭크,진쟤승,1,3,2,3323,4,13,0,14,0.9,0,0,0
85,50383,승리,갱플랭크,11 14 9 7 8 20,6,1,3,10120,1,7,1,147,9.4,0,0,6
86,50383,승리,자르반 4세,삼성갤럭시 하루,9,0,3,7104,2,15,4,95,6.1,0,0,6
87,50383,승리,조이,삼성갤럭시 Crown,0,1,3,3802,0,6,1,111,7.1,0,0,6
88,50383,승리,미스 포츈,Avicii fans,0,1,2,4351,0,6,1,139,8.9,0,0,6
89,50383,승리,라칸,fengquyunbuhui,0,0,6,2080,3,15,3,9,0.6,0,0,6
90,50384,패배,럼블,God보보,6,4,2,13373,1,9,2,170,6.5,0,0,1
91,50384,패배,세주아니,MooJin,1,3,7,8420,4,9,6,117,4.4,0,0,1
92,50384,패배,라이즈,FeelsAwesomeMan,0,4,4,5585,2,11,7,230,8.7,0,0,1
93,50384,패배,자야,아트가 앗뜨거,0,6,2,4373,6,16,8,232,8.8,0,0,1
94,50384,패배,라칸,Sake of it,2,2,2,3579,6,24,3,20,0.8,0,0,1
95,50384,승리,케넨,Zhongdan XD,0,2,3,9266,4,16,5,195,7.4,1,3,5
96,50384,승리,쉬바나,망고코코아,4,3,8,10804,2,5,5,171,6.5,1,3,5
97,50384,승리,제이스,피넛사냥개1,8,2,7,22660,4,21,4,211,8.0,1,3,5
98,50384,승리,진,Jin air Yaharong,4,0,8,14543,1,8,4,254,9.7,1,3,5
99,50384,승리,카르마,열심히하겠슴다,3,2,12,9537,6,33,12,22,0.8,1,3,5
100,50385,패배,제이스,DaYE,6,5,3,13369,1,19,3,132,6.3,0,0,0
101,50385,패배,리 신,MooJin,2,8,4,6634,5,35,2,81,3.8,0,0,0
102,50385,패배,말자하,wjhfjihtiu,1,6,6,7052,2,8,1,150,7.1,0,0,0
103,50385,패배,미스 포츈,GALAAAA,2,5,5,8332,3,9,0,121,5.7,0,0,0
104,50385,패배,쉔,쓰레기새기들,2,5,4,4837,4,16,2,33,1.6,0,0,0
105,50385,승리,피오라,TOP아빠,5,4,3,8429,3,10,6,170,8.1,1,2,9
106,50385,승리,니달리,치 열,11,2,5,14510,2,8,5,149,7.1,1,2,9
107,50385,승리,라이즈,승 로,5,3,12,13210,3,10,4,157,7.4,1,2,9
108,50385,승리,진,혼자가 편해졌어,6,3,8,16987,3,10,5,175,8.3,1,2,9
109,50385,승리,잔나,SnakeLight,2,1,17,7920,2,20,6,15,0.7,1,2,9
110,50386,승리,초가스,bbq Crazy,7,1,8,26456,6,22,9,310,9.3,2,3,10
111,50386,승리,렝가,MooJin,7,3,8,19630,5,11,10,215,6.4,2,3,10
112,50386,승리,야스오,R0ver,5,4,7,20977,0,9,5,301,9.0,2,3,10
113,50386,승리,진,wjhfjihtiu,1,5,13,23714,4,14,3,212,6.3,2,3,10
114,50386,승리,제라스,Lgp,5,3,12,32550,7,44,16,56,1.7,2,3,10
115,50386,패배,그라가스,치 열,2,5,5,18036,1,14,1,207,6.2,0,0,1
116,50386,패배,세주아니,DaYE,0,6,12,11944,10,14,10,163,4.9,0,0,1
117,50386,패배,루시안,쓰레기새기들,9,3,4,26251,3,18,5,283,8.5,0,0,1
118,50386,패배,칼리스타,veigar go next,4,7,5,16013,2,9,6,243,7.3,0,0,1
119,50386,패배,쉔,Sim Student,1,4,11,4106,14,46,6,60,1.8,0,0,1
120,50387,패배,트리스타나,SnakeLight,4,3,2,12235,0,17,10,226,9.5,0,0,3
121,50387,패배,쉔,I LightHouse,1,5,5,5382,5,29,13,46,1.9,0,0,3
122,50387,패배,라이즈,마산가자,6,4,1,12879,4,22,5,212,8.9,0,0,3
123,50387,패배,트런들,MooJin,2,3,6,6999,4,9,9,102,4.3,0,0,3
124,50387,패배,오른,bbq Crazy,2,4,1,9350,3,11,4,154,6.5,0,0,3
125,50387,승리,아지르,mcmglllc,4,2,11,13694,5,21,9,169,7.1,1,2,5
126,50387,승리,케넨,Afreeca Aiming,2,5,11,12340,12,34,9,27,1.1,1,2,5
127,50387,승리,칼리스타,JackeyLove,6,3,8,17718,1,22,10,234,9.8,1,2,5
128,50387,승리,니달리,치 열,4,2,10,9337,5,11,3,142,6.0,1,2,5
129,50387,승리,올라프,코w코,3,3,6,14153,1,11,3,199,8.4,1,2,5
130,50388,승리,럼블,MooJin,8,8,14,26238,0,5,6,232,6.5,1,2,8
131,50388,승리,세주아니,죠토마킹,3,7,25,18477,7,12,9,140,3.9,1,2,8
132,50388,승리,루시안,republic123,9,5,15,30070,4,16,5,283,7.9,1,2,8
133,50388,승리,진,SKT T1 Bang,17,4,12,39145,3,18,6,287,8.0,1,2,8
134,50388,승리,쓰레쉬,Gambit Support,0,9,29,6746,12,82,12,35,1.0,1,2,8
135,50388,패배,케넨,마이엠브,4,7,12,28782,2,33,4,259,7.2,0,2,6
136,50388,패배,자르반 4세,XinyiQAQ,2,8,23,9531,9,12,18,167,4.7,0,2,6
137,50388,패배,카사딘,mide gui tou,16,6,6,33971,3,7,14,294,8.2,0,2,6
138,50388,패배,미스 포츈,천점못찍는벌레,8,7,14,39126,4,13,14,313,8.7,0,2,6
139,50388,패배,오른,Lehends,3,9,18,16265,13,41,7,82,2.3,0,2,6
140,50389,승리,갱플랭크,gamer666,2,3,12,7907,1,7,1,157,7.8,0,1,9
141,50389,승리,쉬바나,MooJin,11,0,0,8868,3,8,5,184,9.1,0,1,9
142,50389,승리,카타리나,duibuqiziji,7,3,5,14225,1,8,5,168,8.3,0,1,9
143,50389,승리,미스 포츈,나츠카린,5,2,9,17511,1,7,3,128,6.3,0,1,9
144,50389,승리,브라움,yizhiyu,0,3,14,4292,4,17,5,40,2.0,0,1,9
145,50389,패배,올라프,Super Secret,3,4,3,7935,0,5,3,140,6.9,0,0,0
146,50389,패배,니달리,니달리버프좀해줘,4,5,4,7643,3,13,1,84,4.2,0,0,0
147,50389,패배,제드,유튜브충현랩모음,2,3,2,8102,0,12,1,168,8.3,0,0,0
148,50389,패배,코그모,혼자가 편해졌어,1,8,5,9830,0,4,2,130,6.4,0,0,0
149,50389,패배,레오나,Gambit Support,1,5,5,3864,3,28,2,37,1.8,0,0,0
150,50390,패배,오른,JAG S0hwan,0,3,3,7556,2,10,3,217,9.5,0,0,3
151,50390,패배,카밀,MooJin,4,6,3,6976,7,12,4,108,4.8,0,0,3
152,50390,패배,라이즈,republic123,1,3,7,9295,1,9,3,184,8.1,0,0,3
153,50390,패배,진,1987 Plls,1,4,3,7333,2,11,5,134,5.9,0,0,3
154,50390,패배,레오나,By myself,2,3,1,2915,7,47,9,42,1.8,0,0,3
155,50390,승리,마오카이,mide gui tou,0,2,9,5860,3,11,2,151,6.6,1,2,5
156,50390,승리,자르반 4세,트와이스 원스,7,2,4,11585,3,26,8,134,5.9,1,2,5
157,50390,승리,아지르,KDM PERT,3,2,9,10705,3,13,11,196,8.6,1,2,5
158,50390,승리,바루스,7895123,7,0,5,15653,2,9,5,208,9.1,1,2,5
159,50390,승리,알리스타,슬프다고말하면,2,2,13,6531,9,30,9,36,1.6,1,2,5
160,50391,승리,오른,wadid,3,3,14,24479,2,16,3,260,7.6,1,1,8
161,50391,승리,카직스,MooJin,14,8,4,26376,4,10,15,179,5.2,1,1,8
162,50391,승리,라이즈,상현승,8,3,10,28042,2,14,4,318,9.3,1,1,8
163,50391,승리,애쉬,엉덩국 갱승제로,3,5,16,20705,3,10,11,258,7.6,1,1,8
164,50391,승리,제라스,heeseong,6,2,17,28446,6,49,7,36,1.1,1,1,8
165,50391,패배,마오카이,나는여자가좋아요,2,5,6,17055,0,3,6,242,7.1,1,0,4
166,50391,패배,렝가,Orianna Reveck,7,10,7,16086,1,11,5,162,4.7,1,0,4
167,50391,패배,카르마,ESRS10,7,5,8,21749,2,16,1,230,6.7,1,0,4
168,50391,패배,바루스,bengali tiger,3,6,3,16650,1,14,2,259,7.6,1,0,4
169,50391,패배,미스 포츈,Lehends,2,8,4,20847,13,64,16,55,1.6,1,0,4
170,50392,승리,오른,삶이힘든사람,0,0,4,8021,3,7,2,123,8.1,0,1,6
171,50392,승리,트리스타나,MooJin,3,2,2,3021,2,4,4,107,7.0,0,1,6
172,50392,승리,탈리야,Mani eh MwH,5,1,3,4660,3,9,5,160,10.5,0,1,6
173,50392,승리,바루스,STITCH1,5,1,6,6920,2,6,0,112,7.4,0,1,6
174,50392,승리,제라스,츠코파이,3,1,7,6515,2,6,3,8,0.5,0,1,6
175,50392,패배,신지드,republic123,0,3,1,6068,1,5,0,83,5.5,0,0,0
176,50392,패배,쉬바나,yizhiyu,1,2,0,2113,2,4,2,60,3.9,0,0,0
177,50392,패배,아지르,FW Maple,0,1,1,2818,2,12,1,99,6.5,0,0,0
178,50392,패배,진,옷벗고춤추고싶다,0,4,0,2233,1,5,0,66,4.3,0,0,0
179,50392,패배,이즈리얼,BtC Joker,2,6,0,6128,1,9,0,24,1.6,0,0,0
