,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40971,승리,자르반 4세,Nantatata,6,1,6,11149,3,12,3,183,8.1,0,2,6
1,40971,승리,자크,매우뚱뚱한고양이,2,3,12,5225,4,12,2,93,4.1,0,2,6
2,40971,승리,말자하,유내현,15,0,5,20164,1,10,3,183,8.1,0,2,6
3,40971,승리,베인,KDM SSol,4,3,7,16016,1,6,5,180,8.0,0,2,6
4,40971,승리,타릭,토마토페이스트,0,1,13,4148,6,19,3,44,1.9,0,2,6
5,40971,패배,제이스,멘탈과실력을겸비,2,6,2,15765,1,9,1,167,7.4,0,0,1
6,40971,패배,이즈리얼,정글노바,0,7,3,6526,4,11,3,83,3.7,0,0,1
7,40971,패배,라이즈,성민콩,2,5,1,9175,4,12,1,173,7.7,0,0,1
8,40971,패배,자야,The shy,4,6,1,14194,0,5,2,182,8.1,0,0,1
9,40971,패배,알리스타,Dutch Coffee,0,3,4,3064,4,18,1,24,1.1,0,0,1
10,40972,승리,쉔,Nantatata,3,2,6,24547,4,19,2,326,8.8,2,2,11
11,40972,승리,렝가,GabrielCRO,11,3,4,29489,6,10,9,210,5.7,2,2,11
12,40972,승리,카르마,쌀국수뚝붸기,3,3,7,23367,2,7,6,255,6.9,2,2,11
13,40972,승리,트리스타나,구직자 zzus,5,3,7,27217,3,15,13,321,8.6,2,2,11
14,40972,승리,알리스타,Z 2017 11 25,2,4,11,10787,16,49,7,51,1.4,2,2,11
15,40972,패배,초가스,협곡의개,4,2,4,18900,4,20,5,304,8.2,0,2,1
16,40972,패배,카직스,매우뚱뚱한고양이,2,10,8,15287,10,11,11,130,3.5,0,2,1
17,40972,패배,오리아나,124124356452,4,3,8,26050,2,16,5,270,7.3,0,2,1
18,40972,패배,바루스,KDM SSol,5,5,5,27595,1,10,5,353,9.5,0,2,1
19,40972,패배,잔나,Lvmao,0,4,11,5901,10,42,6,11,0.3,0,2,1
20,40973,패배,케넨,WENJUNXI,6,3,1,12800,4,14,2,188,7.8,0,1,5
21,40973,패배,카직스,마이엠브,2,2,6,8282,7,12,2,93,3.9,0,1,5
22,40973,패배,블라디미르,뿡뿡뿡뿡뿡쁑,3,5,0,10856,5,9,3,163,6.8,0,1,5
23,40973,패배,트리스타나,HKA Riris,2,4,2,9415,3,10,7,179,7.4,0,1,5
24,40973,패배,소라카,Nantatata,0,6,3,4986,7,22,1,7,0.3,0,1,5
25,40973,승리,쉔,춘봉박,3,4,9,10014,2,11,7,176,7.3,1,1,7
26,40973,승리,이즈리얼,정글노바,2,4,8,10594,3,9,5,113,4.7,1,1,7
27,40973,승리,카사딘,성민콩,7,2,4,16263,3,9,4,166,6.9,1,1,7
28,40973,승리,트위치,124124356452,6,0,6,13137,0,8,2,211,8.8,1,1,7
29,40973,승리,룰루,토마토페이스트,2,3,9,6205,8,23,8,14,0.6,1,1,7
30,40974,패배,초가스,Nantatata,4,3,10,17973,2,17,3,234,7.1,1,2,3
31,40974,패배,자르반 4세,WENJUNXI,4,3,20,14945,7,11,6,146,4.4,1,2,3
32,40974,패배,르블랑,HKA Riris,6,8,7,17021,5,11,6,226,6.8,1,2,3
33,40974,패배,바루스,영광 스런 년,12,6,9,29421,2,11,14,293,8.9,1,2,3
34,40974,패배,모르가나,LinLan,3,7,21,21098,10,39,10,19,0.6,1,2,3
35,40974,승리,제이스,감정이풍부한사람,5,4,11,32309,5,16,4,335,10.1,0,1,9
36,40974,승리,잭스,춘봉박,3,4,16,19581,7,18,7,164,5.0,0,1,9
37,40974,승리,라이즈,요플래,7,4,8,25928,2,16,2,284,8.6,0,1,9
38,40974,승리,트리스타나,wjhfjihtiu,11,6,8,26084,1,9,2,234,7.1,0,1,9
39,40974,승리,알리스타,IGS Bear,1,11,8,5667,8,43,6,37,1.1,0,1,9
40,40975,승리,럼블,Nantatata,7,5,14,29352,5,23,1,294,7.3,2,2,8
41,40975,승리,리 신,망고코코아,3,6,12,12271,12,44,4,157,3.9,2,2,8
42,40975,승리,신드라,king2n,9,3,5,35629,4,19,5,323,8.0,2,2,8
43,40975,승리,케이틀린,진에어 테디,7,7,18,53569,5,18,21,396,9.8,2,2,8
44,40975,승리,레오나,JAG SnowFlower,4,6,17,10326,14,49,10,54,1.3,2,2,8
45,40975,패배,블라디미르,Zhongdan XD,2,7,9,23880,4,22,7,282,7.0,0,2,4
46,40975,패배,렉사이,매우뚱뚱한고양이,13,7,8,24391,11,14,15,163,4.0,0,2,4
47,40975,패배,말자하,Xero,2,4,9,18804,10,28,7,316,7.8,0,2,4
48,40975,패배,자야,KDM SSol,7,6,12,33380,5,13,16,363,9.0,0,2,4
49,40975,패배,쓰레쉬,FeelsCoffeeMan,3,6,13,5346,9,39,23,62,1.5,0,2,4
50,40976,승리,제이스,Nantatata,7,1,4,15036,3,11,2,167,8.2,0,0,10
51,40976,승리,세주아니,아트가 앗뜨거,3,2,8,4354,4,13,5,81,4.0,0,0,10
52,40976,승리,다이애나,이야공,4,4,5,10470,1,6,0,173,8.5,0,0,10
53,40976,승리,바루스,옷벗고춤추고싶다,5,1,7,16601,2,9,2,176,8.7,0,0,10
54,40976,승리,오른,담원 너굴맨,2,1,8,7030,7,21,5,53,2.6,0,0,10
55,40976,패배,나르,Kingen,2,4,1,8894,3,10,2,150,7.4,0,0,1
56,40976,패배,쉬바나,yizhiyu,2,5,3,6008,2,7,3,73,3.6,0,0,1
57,40976,패배,말자하,IGS Dasher,3,3,3,7609,2,8,1,145,7.1,0,0,1
58,40976,패배,칼리스타,Creative Self,2,5,0,4772,0,6,0,126,6.2,0,0,1
59,40976,패배,알리스타,IGS Bear,0,4,3,2239,4,18,3,21,1.0,0,0,1
60,40977,패배,초가스,Nantatata,5,4,0,10638,5,16,3,199,7.4,1,0,1
61,40977,패배,자르반 4세,Klmjg,3,4,7,11609,4,10,13,134,5.0,1,0,1
62,40977,패배,라이즈,안개 낀 미드,1,3,6,11212,4,15,3,225,8.4,1,0,1
63,40977,패배,애쉬,hard girl,2,6,5,22871,4,12,7,239,8.9,1,0,1
64,40977,패배,레오나,Destiny,0,6,5,4361,8,35,11,50,1.9,1,0,1
65,40977,승리,나르,돌잔치때도란잡음,3,2,9,18458,7,18,3,198,7.4,0,2,8
66,40977,승리,세주아니,haubangbang,1,4,10,5575,2,20,3,87,3.2,0,2,8
67,40977,승리,신드라,Lucete,3,2,8,19438,3,13,6,244,9.1,0,2,8
68,40977,승리,트리스타나,이제 졸려,14,1,7,26624,3,12,8,252,9.4,0,2,8
69,40977,승리,브라움,SKT T1 Effort,2,2,14,6753,9,37,12,54,2.0,0,2,8
70,40978,승리,잭스,Nantatata,5,1,6,9082,2,9,1,147,7.0,0,1,9
71,40978,승리,렉사이,나츠카린,8,0,11,13460,3,10,2,119,5.7,0,1,9
72,40978,승리,르블랑,페이커화이팅up,9,1,9,21981,2,9,1,140,6.7,0,1,9
73,40978,승리,트리스타나,열심히할게요오,7,1,10,13230,1,9,2,171,8.2,0,1,9
74,40978,승리,알리스타,bbq bono33,4,1,14,6413,5,23,4,34,1.6,0,1,9
75,40978,패배,제이스,Yaharong,2,8,0,14633,2,9,3,141,6.7,0,0,1
76,40978,패배,자르반 4세,사스갓지지,0,7,0,6443,2,10,2,93,4.4,0,0,1
77,40978,패배,카타리나,nTMnbzm,0,7,1,7273,2,9,1,107,5.1,0,0,1
78,40978,패배,진,담원 크러쉬,2,7,0,14608,0,6,0,130,6.2,0,0,1
79,40978,패배,룰루,쪼렙이다말로하자,0,5,0,5686,4,24,3,29,1.4,0,0,1
80,40979,승리,피오라,Nantatata,4,8,4,20640,3,23,2,331,7.7,2,4,11
81,40979,승리,엘리스,열심히할게요오,11,4,8,22035,13,36,18,159,3.7,2,4,11
82,40979,승리,신드라,bbq Tempt,7,6,14,39647,4,18,4,354,8.3,2,4,11
83,40979,승리,케이틀린,튀자튀자아,6,4,13,71382,4,15,9,448,10.5,2,4,11
84,40979,승리,잔나,사스갓지지,1,2,19,6547,14,58,10,23,0.5,2,4,11
85,40979,패배,초가스,Awe BarOh,6,6,7,20086,1,17,6,240,5.6,1,1,5
86,40979,패배,자르반 4세,Klmjg,6,5,13,16746,4,8,27,238,5.6,1,1,5
87,40979,패배,라이즈,Yaharong,5,8,12,30453,2,20,7,356,8.3,1,1,5
88,40979,패배,자야,JAG S0hwan,7,5,5,37040,4,17,15,439,10.2,1,1,5
89,40979,패배,룰루,도령니이임,0,5,13,6228,12,50,10,18,0.4,1,1,5
90,40980,승리,피오라,Nantatata,5,3,9,25271,6,19,1,303,9.0,1,1,10
91,40980,승리,렉사이,sanspareil1,4,1,7,8942,6,14,10,238,7.1,1,1,10
