,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50455,승리,나르,FVV BETTY,7,4,14,32247,6,46,12,353,8.5,0,1,8
1,50455,승리,엘리스,So1o,4,3,14,21437,10,73,20,195,4.7,0,1,8
2,50455,승리,라이즈,bbq Tempt,7,5,14,26370,6,22,8,389,9.4,0,1,8
3,50455,승리,진,NekoL,12,4,14,42416,3,25,17,370,8.9,0,1,8
4,50455,승리,쉔,XinMo,5,5,19,12122,16,71,26,108,2.6,0,1,8
5,50455,패배,일라오이,xaxaxaxaxa,5,14,4,34465,0,29,9,237,5.7,2,2,3
6,50455,패배,니달리,해운대잠만보,5,7,9,16632,8,50,37,229,5.5,2,2,3
7,50455,패배,제라스,DWG ShowMaker,0,4,3,32757,8,23,16,369,8.9,2,2,3
8,50455,패배,칼리스타,구름꽃길만걷자,5,7,7,23244,2,11,26,372,9.0,2,2,3
9,50455,패배,조이,DWG BeryL,6,4,10,29195,23,66,35,73,1.8,2,2,3
10,50456,패배,블라디미르,IGS Dasher,2,4,5,8387,5,17,2,242,8.4,0,0,4
11,50456,패배,엘리스,종학윙,3,7,10,8767,7,12,10,111,3.9,0,0,4
12,50456,패배,아지르,아테나찡,7,8,4,21619,4,11,5,245,8.5,0,0,4
13,50456,패배,이즈리얼,NekoL,3,6,4,16960,1,15,2,263,9.1,0,0,4
14,50456,패배,쉔,천천히올라감,1,9,7,3967,10,35,4,48,1.7,0,0,4
15,50456,승리,제이스,Heiz4,2,5,9,11656,0,12,4,259,9.0,1,3,8
16,50456,승리,렝가,마산가자,7,3,12,16273,4,20,6,162,5.6,1,3,8
17,50456,승리,카사딘,송하영 팬,13,5,11,27869,5,14,3,215,7.5,1,3,8
18,50456,승리,미스 포츈,먹는건즐거워,5,0,11,14978,1,10,13,290,10.1,1,3,8
19,50456,승리,갱플랭크,Lvmao,7,3,15,13047,6,20,7,56,1.9,1,3,8
20,50457,패배,제이스,pppyp,4,7,3,14978,4,12,4,153,6.3,0,2,3
21,50457,패배,렝가,Wilder,7,2,1,8814,1,17,10,149,6.1,0,2,3
22,50457,패배,탈리야,아테나찡,0,7,4,9685,2,22,6,195,8.0,0,2,3
23,50457,패배,미스 포츈,NekoL,4,1,4,12620,3,7,1,196,8.0,0,2,3
24,50457,패배,카르마,Empmuyi,2,3,7,9643,3,46,14,28,1.1,0,2,3
25,50457,승리,오른,미율치에오,3,4,3,11884,2,11,6,189,7.7,1,0,7
26,50457,승리,세주아니,so nihao zaijian,3,3,8,7780,4,38,9,145,5.9,1,0,7
27,50457,승리,신드라,ROYG,6,1,5,18225,4,7,8,226,9.2,1,0,7
28,50457,승리,이즈리얼,RRRuleRRR,4,2,8,16699,3,15,7,202,8.3,1,0,7
29,50457,승리,제라스,161561,4,7,5,12115,5,17,6,27,1.1,1,0,7
30,50458,패배,쉔,아트가 앗뜨거,1,2,0,8006,2,11,2,134,7.1,0,1,0
31,50458,패배,세주아니,MVP Ian,0,1,2,3852,3,10,5,103,5.4,0,1,0
