,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30737,승리,제이스,Delicious Fish,5,1,0,14228,3,22,5,185,9.3,0,2,8
1,30737,승리,니달리,점점나의마음이끌,0,0,5,5608,4,19,7,125,6.3,0,2,8
2,30737,승리,탈리야,Lucete,3,1,3,10864,3,11,4,185,9.3,0,2,8
3,30737,승리,트리스타나,GALA,8,1,1,5634,4,19,4,190,9.6,0,2,8
4,30737,승리,마오카이,Nova1,0,1,9,4939,8,18,9,41,2.1,0,2,8
5,30737,패배,카밀,Co1dplay,2,2,0,4076,2,9,5,140,7.1,0,0,0
6,30737,패배,카직스,So1o,0,2,2,3738,5,15,6,103,5.2,0,0,0
7,30737,패배,르블랑,Jin air Yaharong,1,4,0,7076,2,20,6,150,7.6,0,0,0
8,30737,패배,진,김메피,1,5,1,4470,2,9,3,150,7.6,0,0,0
9,30737,패배,제라스,강고릴,0,3,2,8103,1,9,8,33,1.7,0,0,0
10,30738,승리,나르,커피물조절장인,3,6,4,13560,3,27,6,232,8.1,1,2,10
11,30738,승리,세주아니,So1o,1,2,9,10765,5,46,7,148,5.2,1,2,10
12,30738,승리,제이스,ysdgqxcj,8,2,5,22843,3,9,10,262,9.2,1,2,10
13,30738,승리,트리스타나,RRRuleRRR,2,5,8,26702,3,19,10,245,8.6,1,2,10
14,30738,승리,브라움,Nova1,3,4,7,7952,16,48,24,52,1.8,1,2,10
15,30738,패배,사이온,JAG S0hwan,2,1,7,13306,5,16,2,214,7.5,0,0,2
16,30738,패배,엘리스,작전동 노란머리,1,4,10,12376,10,50,19,150,5.3,0,0,2
17,30738,패배,아지르,진에어 저스티스,5,4,3,20891,3,15,16,232,8.1,0,0,2
18,30738,패배,진,GALA,7,5,5,18389,3,11,1,196,6.9,0,0,2
19,30738,패배,오른,진쟤승,4,3,6,9700,2,28,8,62,2.2,0,0,2
20,30739,승리,그라가스,커피물조절장인,4,0,4,15991,2,11,2,150,7.0,0,2,5
21,30739,승리,쉬바나,작전동 노란머리,9,3,3,15373,5,10,9,192,9.0,0,2,5
22,30739,승리,아지르,MVP Ian,3,0,7,12218,4,24,2,220,10.3,0,2,5
23,30739,승리,이즈리얼,피넛사냥개1,3,2,9,11729,1,10,4,157,7.3,0,2,5
24,30739,승리,브라움,Nova1,1,4,11,4390,9,31,15,52,2.4,0,2,5
25,30739,패배,초가스,스마트섹시뷰티,1,6,1,9500,1,8,2,126,5.9,0,0,1
26,30739,패배,니달리,So1o,3,4,4,9859,4,20,9,125,5.8,0,0,1
27,30739,패배,제이스,진에어 저스티스,0,2,2,8529,4,10,6,184,8.6,0,0,1
28,30739,패배,바루스,RRRuleRRR,3,4,3,10612,4,18,6,200,9.3,0,0,1
29,30739,패배,마오카이,진쟤승,2,4,5,8195,4,21,5,41,1.9,0,0,1
30,30740,패배,케넨,담원 너구리,4,3,3,13320,1,9,1,152,7.0,0,1,1
31,30740,패배,쉬바나,분당고 엄성현,3,2,2,8204,5,10,8,156,7.2,0,1,1
32,30740,패배,르블랑,승 로,1,2,2,8654,4,22,5,130,6.0,0,1,1
33,30740,패배,바루스,sqb,1,4,0,8824,0,6,5,190,8.8,0,1,1
34,30740,패배,마오카이,Nova1,0,6,2,6863,9,23,13,44,2.0,0,1,1
35,30740,승리,일라오이,xaxaxaxaxa,2,6,2,14351,0,11,1,166,7.7,0,1,4
36,30740,승리,세주아니,75387,3,1,9,6293,6,23,9,110,5.1,0,1,4
37,30740,승리,아지르,PawN God,4,0,3,12888,1,10,4,231,10.7,0,1,4
38,30740,승리,진,먹는건즐거워,6,2,3,11452,4,11,3,185,8.6,0,1,4
39,30740,승리,알리스타,Nem2sis,2,0,7,5048,2,35,7,52,2.4,0,1,4
40,30741,패배,마오카이,7895123,3,5,8,12871,3,8,4,153,6.0,0,1,1
41,30741,패배,쉬바나,작전동 노란머리,6,4,5,16579,5,7,14,211,8.2,0,1,1
42,30741,패배,탈론,Afreeca Kuro,5,6,6,10470,4,14,7,181,7.1,0,1,1
43,30741,패배,이즈리얼,GALA,4,9,11,20017,0,10,5,174,6.8,0,1,1
44,30741,패배,브라움,Nova1,3,4,9,5309,11,33,11,58,2.3,0,1,1
45,30741,승리,일라오이,빅파이초코파이,6,7,3,32072,7,20,1,250,9.7,1,2,9
46,30741,승리,카직스,DaYE,8,5,9,20374,1,14,6,107,4.2,1,2,9
47,30741,승리,르블랑,FeelsCoffeeMan,3,1,5,16421,1,21,3,233,9.1,1,2,9
48,30741,승리,트리스타나,비 브이 오 와이,10,3,7,21579,0,21,5,279,10.9,1,2,9
49,30741,승리,쓰레쉬,호경모드,1,5,12,6934,11,31,11,30,1.2,1,2,9
50,30742,승리,마오카이,TeawaN,3,2,12,19272,1,27,6,211,7.4,1,2,5
51,30742,승리,이블린,h1rb,14,2,12,21762,4,26,8,126,4.4,1,2,5
52,30742,승리,라이즈,By myself,10,1,5,20805,4,29,2,265,9.3,1,2,5
53,30742,승리,칼리스타,FVV BETTY,5,4,5,23000,2,8,8,262,9.2,1,2,5
54,30742,승리,쉔,Nova1,2,2,13,10067,11,41,14,57,2.0,1,2,5
55,30742,패배,갱플랭크,담원 너구리,3,6,3,29354,5,21,8,248,8.7,0,0,1
56,30742,패배,세주아니,7895123,1,5,3,10418,9,27,11,162,5.7,0,0,1
57,30742,패배,피들스틱,FW Maple,4,8,3,12661,4,14,9,179,6.3,0,0,1
58,30742,패배,진,Heart,0,10,7,19234,4,14,8,195,6.9,0,0,1
59,30742,패배,브라움,YOYOuuuuuO,3,5,3,4679,3,28,12,64,2.3,0,0,1
60,30743,패배,라이즈,푸딩은푸딩해,0,10,5,7298,1,9,0,114,5.7,0,0,1
61,30743,패배,카직스,kenzhu9,4,6,2,3873,5,23,4,103,5.1,0,0,1
62,30743,패배,아지르,KDM PERT,3,5,3,10699,3,11,6,144,7.2,0,0,1
63,30743,패배,진,마이엠브,2,4,4,8859,2,9,2,156,7.8,0,0,1
64,30743,패배,알리스타,Nova1,0,4,5,3362,6,34,12,33,1.6,0,0,1
65,30743,승리,제이스,Heiz4,6,6,6,13404,0,7,3,137,6.8,0,2,8
66,30743,승리,니달리,DS XiaoPeng,3,1,8,8146,3,24,18,128,6.4,0,2,8
67,30743,승리,탈리야,으아으앙으아앙,10,1,5,12032,2,7,6,181,9.0,0,2,8
68,30743,승리,미스 포츈,SnakeLight,10,0,4,15641,2,9,2,198,9.8,0,2,8
69,30743,승리,레오나,호잇이,0,1,12,6000,3,21,7,34,1.7,0,2,8
70,30744,패배,갈리오,푸딩은푸딩해,5,5,3,16372,3,13,4,195,7.1,0,0,1
71,30744,패배,렝가,마이엠브,8,6,5,15607,6,27,11,118,4.3,0,0,1
72,30744,패배,트위스티드 페이트,상어가족,4,4,10,15787,1,8,6,223,8.1,0,0,1
73,30744,패배,진,Yumemiru Shonen,2,7,8,12337,4,11,12,244,8.9,0,0,1
74,30744,패배,쉔,Nova1,3,7,8,6250,14,40,29,55,2.0,0,0,1
75,30744,승리,갱플랭크,피넛사냥개2,3,5,12,20658,3,18,5,220,8.0,1,3,9
76,30744,승리,카직스,kenzhu9,12,4,3,23481,10,52,13,215,7.8,1,3,9
77,30744,승리,카타리나,find myself,6,6,11,20689,3,6,0,186,6.8,1,3,9
78,30744,승리,시비르,비 브이 오 와이,8,1,10,26775,5,14,10,306,11.1,1,3,9
79,30744,승리,카르마,쌀국수뚝붸기,0,6,12,6424,7,51,10,36,1.3,1,3,9
80,30745,패배,카밀,피넛사냥개2,0,5,0,5925,1,9,2,108,5.2,0,0,0
81,30745,패배,렝가,Wilder,3,7,2,6603,3,16,6,86,4.1,0,0,0
82,30745,패배,라이즈,find myself,1,5,1,7243,5,15,7,160,7.7,0,0,0
