,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60438,승리,카밀,P2k Key,7,5,9,24787,3,18,7,230,6.8,2,3,10
1,60438,승리,세주아니,망고코코아,6,5,14,17159,9,33,12,168,5.0,2,3,10
2,60438,승리,라이즈,나에게 기회를,6,2,5,22229,5,10,11,319,9.5,2,3,10
3,60438,승리,바루스,ktmgs,8,6,5,26523,4,32,8,261,7.8,2,3,10
4,60438,승리,타릭,Zhongdan XD,0,4,18,7590,9,39,21,65,1.9,2,3,10
5,60438,패배,제이스,p1g farm,9,6,4,29278,3,15,3,304,9.1,0,1,6
6,60438,패배,리 신,Wilder,2,8,9,9229,5,67,16,145,4.3,0,1,6
7,60438,패배,다이애나,이야공,6,3,5,30702,1,6,6,309,9.2,0,1,6
8,60438,패배,진,GALA,4,6,6,21095,1,12,7,279,8.3,0,1,6
9,60438,패배,탐 켄치,Sim Student,1,4,12,9443,10,36,6,79,2.4,0,1,6
10,60439,패배,쉔,MVP ADD,1,4,5,9986,4,12,0,146,6.6,0,0,3
11,60439,패배,자르반 4세,P2k Key,7,1,7,7447,2,17,9,130,5.9,0,0,3
12,60439,패배,케넨,송하영 팬,3,5,6,11795,3,10,4,159,7.2,0,0,3
13,60439,패배,애쉬,튀자튀자아,4,5,6,12892,3,9,2,176,8.0,0,0,3
14,60439,패배,알리스타,FVV BETTY,1,5,6,4867,10,26,8,36,1.6,0,0,3
15,60439,승리,카밀,우철짱123,3,4,2,10820,2,4,1,158,7.2,1,1,3
16,60439,승리,니달리,Cuz2,4,1,8,13420,2,17,14,205,9.3,1,1,3
17,60439,승리,제이스,단군의청춘부재,6,5,5,11324,3,12,1,186,8.5,1,1,3
18,60439,승리,진,원딜둥이,3,3,9,8318,2,10,3,177,8.0,1,1,3
19,60439,승리,탐 켄치,삼성갤럭시CoreJJ,4,3,13,8851,7,22,15,33,1.5,1,1,3
20,60440,승리,카밀,chijixuanshou,6,3,6,10651,3,9,1,141,6.1,1,1,9
21,60440,승리,세주아니,P2k Key,5,3,11,9588,3,23,4,105,4.5,1,1,9
22,60440,승리,베이가,ZhanQiHuaYm,9,1,6,17767,4,9,9,172,7.4,1,1,9
23,60440,승리,자야,YM  zhongdan,7,5,8,18546,1,9,7,209,9.0,1,1,9
24,60440,승리,카르마,DS XiaoPeng,1,4,17,8489,2,23,9,19,0.8,1,1,9
25,60440,패배,나르,담원 너구리,2,5,1,12232,5,15,5,204,8.8,0,1,3
26,60440,패배,렉사이,Wilder,1,5,5,4285,3,18,3,112,4.8,0,1,3
27,60440,패배,탈리야,푸딩은푸딩해,4,7,4,15759,3,8,0,148,6.4,0,1,3
28,60440,패배,진,FeelsAwesomeMan,8,5,5,11234,5,18,2,151,6.5,0,1,3
29,60440,패배,알리스타,나는야베이베이1,1,6,9,5359,7,31,5,35,1.5,0,1,3
30,60441,승리,잭스,나네쫓다꿈소년,8,3,4,14783,0,9,0,153,8.7,0,2,2
31,60441,승리,쉬바나,M1anhua,3,2,3,5019,9,12,3,125,7.1,0,2,2
32,60441,승리,라이즈,ktmgs,2,4,3,8715,1,8,1,115,6.6,0,2,2
33,60441,승리,칼리스타,P2k Key,1,2,7,8279,2,8,4,157,9.0,0,2,2
34,60441,승리,알리스타,어두운결과,1,0,6,3627,3,13,3,19,1.1,0,2,2
35,60441,패배,카밀,mianma,4,5,1,7578,0,4,1,116,6.6,0,0,1
36,60441,패배,세주아니,Believe in Allah,3,3,7,6757,2,6,0,84,4.8,0,0,1
37,60441,패배,아지르,푸딩은푸딩해,2,2,3,8047,3,16,3,128,7.3,0,0,1
38,60441,패배,트리스타나,whisper snow,2,2,1,6757,0,6,3,146,8.3,0,0,1
39,60441,패배,브라움,atlenismydaddy,0,3,2,2594,3,12,0,27,1.5,0,0,1
40,60442,승리,잭스,나네쫓다꿈소년,8,2,3,13756,1,11,1,185,9.3,0,2,11
41,60442,승리,세주아니,P2k Key,3,2,6,5009,4,13,6,110,5.6,0,2,11
42,60442,승리,탈리야,APK Rainbow,6,2,0,11336,2,19,4,176,8.9,0,2,11
43,60442,승리,칼리스타,ktmgs,4,2,6,8254,1,7,4,157,7.9,0,2,11
44,60442,승리,알리스타,M1anhua,1,1,14,6369,6,21,7,33,1.7,0,2,11
45,60442,패배,오른,Lvmao,0,8,0,5834,1,6,0,127,6.4,0,0,0
46,60442,패배,카직스,장난 꾸러기 돼지,3,1,5,5299,1,12,3,92,4.6,0,0,0
47,60442,패배,아지르,mcmglllc,3,2,5,17687,1,21,10,160,8.1,0,0,0
48,60442,패배,시비르,mentalboomKid,2,5,4,9181,0,7,1,122,6.2,0,0,0
49,60442,패배,잔나,찹 또,1,6,6,8651,5,17,2,10,0.5,0,0,0
50,60443,패배,오른,무슨말이야,1,8,1,10945,0,4,1,89,5.0,0,0,0
51,60443,패배,니달리,P2k Key,0,3,0,3188,1,13,3,76,4.2,0,0,0
52,60443,패배,제이스,bbq Tempt,4,10,2,13657,1,17,2,129,7.2,0,0,0
53,60443,패배,자야,킬안주면꼬라박음,1,8,1,9196,0,3,1,127,7.1,0,0,0
54,60443,패배,쉔,Lvmao,3,6,3,4487,3,6,0,16,0.9,0,0,0
55,60443,승리,나르,FeelsIronMan,4,1,13,16161,2,14,1,112,6.3,0,1,8
56,60443,승리,신 짜오,장난 꾸러기 돼지,7,4,6,8523,5,10,2,90,5.0,0,1,8
57,60443,승리,탈리야,송하영 팬,15,0,3,17592,0,6,2,154,8.6,0,1,8
58,60443,승리,미스 포츈,혼자해도충분하다,4,3,11,11780,0,6,0,128,7.2,0,1,8
59,60443,승리,알리스타,mentalboomKid,5,1,17,6587,5,21,4,40,2.2,0,1,8
60,60444,패배,피오라,Heiz4,5,9,1,15191,0,5,1,138,6.9,0,0,2
61,60444,패배,세주아니,P2k Key,1,2,4,4244,5,10,4,114,5.7,0,0,2
62,60444,패배,말자하,상어가족,1,4,0,4393,2,8,8,157,7.8,0,0,2
63,60444,패배,진,VIP 민형,2,4,2,6814,3,9,4,168,8.4,0,0,2
64,60444,패배,블리츠크랭크,푸딩은푸딩해,1,8,3,5451,4,21,8,27,1.3,0,0,2
65,60444,승리,카밀,FeelsIronMan,6,5,2,12988,1,8,3,126,6.3,0,2,7
66,60444,승리,쉬바나,XinyiQAQ,6,2,6,12078,3,6,2,135,6.7,0,2,7
67,60444,승리,탈리야,송하영 팬,8,0,3,16016,1,8,0,218,10.9,0,2,7
68,60444,승리,미스 포츈,혼자해도충분하다,5,2,4,12755,0,6,5,175,8.7,0,2,7
69,60444,승리,브라움,갱만가드림,2,2,9,4433,7,49,13,37,1.8,0,2,7
70,60445,승리,나르,kfo,5,4,12,17182,2,19,3,281,7.6,2,0,10
71,60445,승리,자르반 4세,P2k Key,1,6,16,8682,14,74,18,194,5.2,2,0,10
72,60445,승리,탈리야,푸딩은푸딩해,9,3,7,33306,6,11,2,345,9.3,2,0,10
73,60445,승리,미스 포츈,Mengqiuqiu,10,3,8,41645,4,19,12,398,10.7,2,0,10
74,60445,승리,탐 켄치,Dutch Coffee,0,2,14,6645,13,52,14,68,1.8,2,0,10
75,60445,패배,카밀,삼성갤럭시 cuvee,3,10,7,25443,4,34,4,279,7.5,0,2,3
76,60445,패배,쉬바나,Eth4n,4,3,8,20691,6,10,20,230,6.2,0,2,3
77,60445,패배,말자하,인정쓰,4,4,8,33973,2,11,13,336,9.0,0,2,3
78,60445,패배,진,진에어 저스티스,2,4,8,15201,4,15,14,301,8.1,0,2,3
79,60445,패배,레오나,진쟤승,5,4,7,6540,12,51,19,76,2.0,0,2,3
80,60446,승리,럼블,삼성갤럭시 cuvee,5,4,3,15396,2,10,1,202,9.1,1,2,6
81,60446,승리,니달리,P2k Key,6,0,9,10276,2,22,7,180,8.1,1,2,6
82,60446,승리,루시안,LPL noob ad QAQ,6,3,7,13472,4,23,7,194,8.7,1,2,6
