,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10275,승리,카밀,쌀국수뚝붸기,13,7,11,32374,2,22,10,324,7.2,1,1,8
1,10275,승리,카직스,6학년4반장용준,7,5,11,19712,12,46,17,239,5.3,1,1,8
2,10275,승리,탈리야,DWG ShowMaker,8,7,17,46065,6,11,8,404,9.0,1,1,8
3,10275,승리,진,상어가족,6,7,19,31983,2,19,17,263,5.9,1,1,8
4,10275,승리,제라스,PawN God,7,9,17,35704,11,101,28,117,2.6,1,1,8
5,10275,패배,나르,빅파이초코파이,5,11,5,23516,2,23,8,343,7.6,2,3,10
6,10275,패배,렝가,담원 크러쉬,5,9,8,21878,6,28,19,216,4.8,2,3,10
7,10275,패배,라이즈,마산가자,8,8,11,37073,9,29,10,369,8.2,2,3,10
8,10275,패배,미스 포츈,Greed A Pride,14,6,6,31110,9,58,34,373,8.3,2,3,10
9,10275,패배,레오나,160810,3,7,16,12144,18,68,23,78,1.7,2,3,10
10,10276,패배,케넨,PawN God,0,5,5,12211,3,12,3,162,6.5,0,0,0
11,10276,패배,카직스,일견무시도성빈,3,6,5,9598,6,22,10,98,3.9,0,0,0
12,10276,패배,말자하,KDM PERT,6,1,1,14488,2,11,12,256,10.2,0,0,0
13,10276,패배,시비르,DWG ShowMaker,1,5,2,11154,1,13,8,180,7.2,0,0,0
14,10276,패배,카르마,DDDDNNNN,2,7,6,8560,11,33,15,26,1.0,0,0,0
15,10276,승리,일라오이,xaxaxaxaxa,8,5,3,16764,2,16,4,224,8.9,0,1,9
16,10276,승리,세주아니,F0y,3,0,12,6350,4,43,13,170,6.8,0,1,9
17,10276,승리,카사딘,chirchri,8,0,4,14888,3,16,4,232,9.3,0,1,9
18,10276,승리,미스 포츈,담원 크러쉬,5,3,4,14843,2,8,5,207,8.3,0,1,9
19,10276,승리,바드,으아으앙으아앙,0,4,12,6965,5,27,16,26,1.0,0,1,9
20,10277,승리,카밀,덤벼보던가,8,3,5,21773,1,10,2,181,8.1,0,1,6
21,10277,승리,니달리,분당고 엄성현,8,2,6,10057,3,17,8,160,7.1,0,1,6
22,10277,승리,오리아나,PawN God,3,0,4,11745,5,26,7,249,11.1,0,1,6
23,10277,승리,미스 포츈,FVV BETTY,4,1,3,12992,3,13,2,205,9.1,0,1,6
24,10277,승리,알리스타,BKKK,0,4,8,4169,4,28,4,30,1.3,0,1,6
25,10277,패배,갱플랭크,피넛사냥개2,1,10,3,14356,1,10,1,154,6.9,0,1,1
26,10277,패배,렝가,오억만,3,4,6,9818,1,20,11,129,5.8,0,1,1
27,10277,패배,말자하,최석배 사생팬,2,3,5,9360,2,7,11,176,7.9,0,1,1
28,10277,패배,진,SnakeLight,2,4,3,7663,0,6,3,212,9.5,0,1,1
29,10277,패배,타릭,스마트섹시뷰티,2,2,5,3500,7,22,7,53,2.4,0,1,1
30,10278,승리,케넨,학교밀베포친키,2,8,8,10864,2,18,4,167,6.9,1,2,7
31,10278,승리,렝가,스마트섹시뷰티,11,3,9,16283,2,18,8,120,5.0,1,2,7
32,10278,승리,라이즈,PawN God,4,0,16,17288,6,16,10,195,8.1,1,2,7
33,10278,승리,진,비 브이 오 와이,10,2,9,19662,5,13,5,199,8.2,1,2,7
34,10278,승리,탐 켄치,호경모드,1,3,18,6943,9,26,9,47,1.9,1,2,7
35,10278,패배,나르,분당고 엄성현,8,3,3,16814,4,26,7,181,7.5,0,0,2
36,10278,패배,카직스,TeawaN,6,6,3,11344,5,22,6,117,4.8,0,0,2
37,10278,패배,트위스티드 페이트,SnakeLight,0,7,6,7372,3,9,3,176,7.3,0,0,2
38,10278,패배,칼리스타,FVV BETTY,1,5,3,7928,2,10,6,193,8.0,0,0,2
39,10278,패배,알리스타,Mengqiuqiu,1,7,5,5900,7,20,5,33,1.4,0,0,2
40,10279,패배,나르,Co1dplay,4,3,3,12332,3,25,4,222,8.5,0,1,4
41,10279,패배,엘리스,마이엠브,7,4,4,14315,10,29,6,136,5.2,0,1,4
42,10279,패배,조이,PawN God,2,7,4,13032,3,24,4,209,8.0,0,1,4
43,10279,패배,미스 포츈,GALA,3,4,2,13559,2,19,3,190,7.3,0,1,4
44,10279,패배,알리스타,강고릴,0,2,5,2949,9,31,7,37,1.4,0,1,4
45,10279,승리,카밀,TnTeddy,1,7,5,12730,2,13,3,213,8.2,0,2,6
46,10279,승리,쉬바나,75387,7,2,2,8106,6,12,15,171,6.6,0,2,6
47,10279,승리,코르키,ysdgqxcj,10,1,2,23028,2,12,11,280,10.8,0,2,6
48,10279,승리,코그모,6학년4반장용준,2,3,2,11232,1,11,5,249,9.6,0,2,6
49,10279,승리,브라움,GuGer,0,3,6,5956,10,31,18,61,2.3,0,2,6
50,10280,승리,일라오이,xaxaxaxaxa,2,6,2,14351,0,11,1,166,7.7,0,1,4
51,10280,승리,세주아니,75387,3,1,9,6293,6,23,9,110,5.1,0,1,4
52,10280,승리,아지르,PawN God,4,0,3,12888,1,10,4,231,10.7,0,1,4
53,10280,승리,진,먹는건즐거워,6,2,3,11452,4,11,3,185,8.6,0,1,4
54,10280,승리,알리스타,Nem2sis,2,0,7,5048,2,35,7,52,2.4,0,1,4
55,10280,패배,케넨,담원 너구리,4,3,3,13320,1,9,1,152,7.0,0,1,1
56,10280,패배,쉬바나,분당고 엄성현,3,2,2,8204,5,10,8,156,7.2,0,1,1
57,10280,패배,르블랑,승 로,1,2,2,8654,4,22,5,130,6.0,0,1,1
58,10280,패배,바루스,sqb,1,4,0,8824,0,6,5,190,8.8,0,1,1
59,10280,패배,마오카이,Nova1,0,6,2,6863,9,23,13,44,2.0,0,1,1
60,10281,패배,이렐리아,승 로,3,5,3,17327,1,13,2,267,8.5,0,1,1
61,10281,패배,니달리,PeanuToT,4,6,6,18187,8,32,13,228,7.2,0,1,1
62,10281,패배,조이,PawN God,3,4,5,25049,5,33,7,225,7.2,0,1,1
63,10281,패배,미스 포츈,Afreeca Kramer,3,8,3,15016,3,29,8,240,7.6,0,1,1
64,10281,패배,소라카,YOYOuuuuuO,1,9,7,3994,5,27,3,9,0.3,0,1,1
65,10281,승리,갱플랭크,Gazuaaaaaaa,5,2,13,26989,10,24,8,246,7.8,1,3,6
66,10281,승리,쉬바나,yizhiyu,3,6,13,19696,6,12,15,202,6.4,1,3,6
67,10281,승리,라이즈,KDM 유준,6,3,4,17564,1,14,9,283,9.0,1,3,6
68,10281,승리,바루스,쌀국수뚝붸기,9,3,5,15919,5,16,5,226,7.2,1,3,6
69,10281,승리,제라스,호잇이,9,0,11,32642,7,21,20,48,1.5,1,3,6
70,10282,패배,제이스,Alielie,7,4,5,16055,3,10,6,209,7.7,0,1,3
71,10282,패배,엘리스,jinwandalaohu,0,7,3,5586,4,38,9,105,3.9,0,1,3
72,10282,패배,아지르,PawN God,3,2,4,19503,4,14,5,243,8.9,0,1,3
73,10282,패배,진,6학년4반장용준,2,4,2,10015,4,11,3,183,6.7,0,1,3
74,10282,패배,쉔,w1sdom ovo,1,5,3,5359,5,32,10,56,2.1,0,1,3
75,10282,승리,자르반 4세,Co1dplay,4,4,9,12280,0,11,3,229,8.4,1,2,10
76,10282,승리,니달리,PuncHh,2,3,10,10805,3,24,8,183,6.7,1,2,10
77,10282,승리,다이애나,이야공,9,2,6,20306,4,9,7,218,8.0,1,2,10
78,10282,승리,바루스,Afreeca Ruby,4,3,9,17468,2,11,3,231,8.5,1,2,10
79,10282,승리,레오나,강고릴,3,1,16,7060,13,63,7,57,2.1,1,2,10
80,10283,패배,오른,Co1dplay,3,6,10,14575,1,17,5,309,8.6,1,1,5
81,10283,패배,카직스,갱만가드림,7,7,7,17701,8,32,12,194,5.4,1,1,5
82,10283,패배,블라디미르,PawN God,4,8,8,25523,7,21,10,274,7.6,1,1,5
83,10283,패배,이즈리얼,PuncHh,11,4,9,37140,2,24,12,314,8.8,1,1,5
84,10283,패배,쓰레쉬,강고릴,1,6,18,9162,11,79,14,47,1.3,1,1,5
85,10283,승리,갱플랭크,이재훈다딱,6,4,10,29245,2,19,5,300,8.4,1,1,8
86,10283,승리,렝가,DS XiaoPeng,12,7,6,23491,9,40,22,208,5.8,1,1,8
87,10283,승리,탈리야,푸딩은푸딩해,9,5,13,34522,4,9,9,317,8.8,1,1,8
88,10283,승리,진,수지Suzy,3,6,12,20599,2,13,13,243,6.8,1,1,8
89,10283,승리,브라움,마이엠브,1,4,14,6624,13,46,18,70,2.0,1,1,8
90,10284,패배,제이스,Co1dplay,7,9,3,22286,1,28,6,258,8.7,0,1,4
91,10284,패배,세주아니,마이엠브,1,4,10,7974,8,45,13,138,4.7,0,1,4
92,10284,패배,아지르,삼성갤럭시 Crown,3,13,3,15325,4,27,4,227,7.7,0,1,4
93,10284,패배,바루스,PawN God,3,8,11,28029,5,14,10,217,7.3,0,1,4
94,10284,패배,쓰레쉬,강고릴,6,10,11,8066,12,57,9,32,1.1,0,1,4
95,10284,승리,갈리오,푸딩은푸딩해,4,4,20,17792,2,14,4,199,6.7,1,1,7
96,10284,승리,자르반 4세,chijixuanshou,10,4,17,23433,4,28,23,186,6.3,1,1,7
97,10284,승리,베이가,ZhanQiHuaYm,14,3,8,23670,4,10,22,241,8.2,1,1,7
98,10284,승리,진,상어가족,10,3,13,24584,0,12,11,208,7.0,1,1,7
99,10284,승리,모르가나,BtC Joker,6,7,22,13273,23,62,30,34,1.1,1,1,7
100,10285,승리,오른,미율치에오,5,3,8,20304,2,13,3,261,8.7,0,1,6
101,10285,승리,렝가,SKT T1 WoIf,12,6,8,31208,3,19,15,223,7.4,0,1,6
102,10285,승리,블라디미르,PawN God,5,6,3,14156,6,19,3,247,8.2,0,1,6
103,10285,승리,시비르,xaxaxaxaxa,2,4,6,11312,0,11,6,295,9.8,0,1,6
104,10285,승리,트런들,Lvmao,3,6,9,6718,8,37,23,65,2.2,0,1,6
105,10285,패배,갱플랭크,Kingen,2,6,7,25158,0,20,1,216,7.2,1,1,6
106,10285,패배,리 신,성혁님미드가신다,13,6,3,22634,5,41,4,149,5.0,1,1,6
107,10285,패배,카르마,reMember Mistake,2,5,6,18001,5,15,4,213,7.1,1,1,6
108,10285,패배,미스 포츈,FVV BETTY,4,7,10,19704,6,21,5,263,8.8,1,1,6
109,10285,패배,쉔,XinMo,4,3,12,8855,11,42,14,72,2.4,1,1,6
110,10286,승리,블라디미르,최석배 사생팬,6,6,10,29684,3,13,9,385,9.7,1,4,9
111,10286,승리,초가스,TeachersWu,1,6,5,3931,4,32,7,177,4.5,1,4,9
