,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30896,패배,마오카이,푸딩은푸딩해,4,5,5,12128,2,11,6,193,7.2,0,2,3
1,30896,패배,쉬바나,ROX 곰,4,3,3,18273,8,10,9,201,7.5,0,2,3
2,30896,패배,르블랑,Firework37,3,4,3,15427,3,12,7,188,7.0,0,2,3
3,30896,패배,애쉬,Zhongdan XD,1,7,5,11198,5,13,11,197,7.4,0,2,3
4,30896,패배,쉔,PeanuToT,1,8,8,4651,7,32,19,61,2.3,0,2,3
5,30896,승리,갱플랭크,love left,4,4,9,20590,6,17,1,217,8.1,1,1,4
6,30896,승리,세주아니,FeelsSosoMan,7,2,15,12883,6,24,6,134,5.0,1,1,4
7,30896,승리,아지르,KDM PERT,4,2,8,17682,4,16,15,229,8.6,1,1,4
8,30896,승리,바루스,Yeeclipse,6,2,13,21987,1,11,4,209,7.8,1,1,4
9,30896,승리,잔나,XinMo,6,3,18,13482,15,63,9,15,0.6,1,1,4
10,30897,패배,사이온,춘봉박,4,6,11,20077,2,19,10,257,6.4,1,1,5
11,30897,패배,케인,PeanuToT,6,8,8,22132,11,38,34,258,6.5,1,1,5
12,30897,패배,빅토르,학교밀베포친키,6,4,9,32089,3,23,26,324,8.1,1,1,5
13,30897,패배,이즈리얼,비 브이 오 와이,8,3,10,49444,2,25,18,359,9.0,1,1,5
14,30897,패배,세주아니,MataMataMata,2,11,11,10559,21,99,25,78,2.0,1,1,5
15,30897,승리,제이스,JAG S0hwan,7,7,16,34163,7,50,11,348,8.7,1,2,11
16,30897,승리,자르반 4세,ROX Se0ngHwan,0,6,19,10892,11,69,20,162,4.1,1,2,11
17,30897,승리,라이즈,푸딩은푸딩해,13,4,6,49556,4,26,14,409,10.3,1,2,11
18,30897,승리,칼리스타,구름꽃길만걷자,11,4,11,32445,1,13,31,355,8.9,1,2,11
19,30897,승리,쓰레쉬,chorongie,1,5,23,10960,17,106,30,65,1.6,1,2,11
20,30898,승리,티모,춘봉박,7,5,6,30515,3,9,8,248,8.1,1,2,8
21,30898,승리,쉬바나,PeanuToT,8,4,6,14517,9,13,16,214,7.0,1,2,8
22,30898,승리,갱플랭크,뒷텔와드점,4,6,11,13768,2,16,6,276,9.0,1,2,8
23,30898,승리,이즈리얼,담원 얼라이브,8,4,15,24943,2,14,17,296,9.7,1,2,8
24,30898,승리,세주아니,MataMataMata,4,5,16,10383,15,75,20,78,2.6,1,2,8
25,30898,패배,블라디미르,빅파이초코파이,4,7,4,18994,3,17,9,235,7.7,0,1,2
26,30898,패배,렝가,chorongie,10,6,4,20871,9,27,11,169,5.5,0,1,2
27,30898,패배,탈리야,푸딩은푸딩해,3,3,4,17986,2,14,5,312,10.2,0,1,2
28,30898,패배,미스 포츈,먹는건즐거워,6,10,3,12216,7,32,19,249,8.2,0,1,2
29,30898,패배,마오카이,진쟤승,0,5,9,10179,5,36,12,67,2.2,0,1,2
30,30899,패배,제이스,춘봉박,0,0,0,793,0,2,0,11,3.4,2,0,4
31,30899,패배,니달리,chorongie,0,0,0,0,0,2,1,21,6.5,2,0,4
32,30899,패배,아지르,겸손하고 근면한,0,0,0,657,0,0,0,18,5.6,2,0,4
33,30899,패배,칼리스타,담원 얼라이브,0,0,0,681,0,1,0,13,4.0,2,0,4
34,30899,패배,쉔,PeanuToT,0,0,0,485,1,2,0,2,0.6,2,0,4
35,30899,승리,제이스,담원 너구리,7,4,10,32085,6,59,16,412,9.4,0,4,9
36,30899,승리,카직스,Cuz2,9,6,6,29671,2,27,30,266,6.1,0,4,9
37,30899,승리,라이즈,FeelsAwesomeMan,5,4,13,29516,9,15,28,387,8.9,0,4,9
38,30899,승리,미스 포츈,담원 얼라이브,14,5,10,57436,5,16,19,364,8.3,0,4,9
39,30899,승리,제라스,종학윙,3,3,11,34597,3,12,13,91,2.1,0,4,9
40,30900,패배,갱플랭크,Cuz2,4,7,0,11548,1,14,2,197,7.0,0,1,3
