,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30697,승리,제이스,pppyp,0,5,7,19063,4,12,2,201,7.5,1,2,11
1,30697,승리,세주아니,Peanut,3,2,7,9181,2,21,4,100,3.7,1,2,11
2,30697,승리,갈리오,누구를 위한,4,3,8,12324,1,11,3,153,5.7,1,2,11
3,30697,승리,자야,Afreeca Kramer,9,2,2,28841,3,13,2,260,9.7,1,2,11
4,30697,승리,라칸,160810,2,1,10,6523,10,29,9,17,0.6,1,2,11
5,30697,패배,나르,GabrielCRO,4,5,3,18740,3,11,2,218,8.1,0,1,1
6,30697,패배,니달리,감자갓,2,6,5,12327,6,10,9,175,6.5,0,1,1
7,30697,패배,르블랑,FeelsAwesomeMan,3,3,5,14204,5,8,2,183,6.8,0,1,1
8,30697,패배,트리스타나,뽀허니,4,1,3,22118,1,11,8,230,8.6,0,1,1
9,30697,패배,모르가나,진쟤승,0,3,6,5923,5,25,2,9,0.3,0,1,1
10,30698,승리,갈리오,Bbrother,2,5,22,16961,3,17,4,166,5.3,1,2,11
11,30698,승리,자르반 4세,Peanut,3,8,19,11796,2,23,5,106,3.4,1,2,11
12,30698,승리,아지르,Yaharong,15,6,9,33419,2,16,4,192,6.2,1,2,11
13,30698,승리,트위치,TnTeddy,16,5,14,45299,0,12,4,284,9.1,1,2,11
14,30698,승리,룰루,진쟤승,1,7,29,2027,2,11,2,3,0.1,1,2,11
15,30698,패배,오른,Kingen,6,7,7,17562,1,11,2,210,6.7,0,1,3
16,30698,패배,이즈리얼,GabrielCRO,5,8,11,17935,3,10,4,116,3.7,0,1,3
17,30698,패배,카타리나,미 키,8,10,8,22734,7,20,4,253,8.1,0,1,3
18,30698,패배,트리스타나,아이러니,10,4,11,24258,2,10,3,276,8.8,0,1,3
19,30698,패배,블리츠크랭크,Lvmao,2,8,11,5965,9,36,0,12,0.4,0,1,3
20,30699,승리,오른,두 런,2,4,6,11291,2,10,1,173,6.5,0,2,7
21,30699,승리,니달리,Peanut,1,4,4,12846,1,10,3,111,4.2,0,2,7
22,30699,승리,아지르,BtC Dove,3,6,4,19926,3,12,2,242,9.1,0,2,7
23,30699,승리,케이틀린,뽀허니,7,1,1,18231,1,11,4,217,8.2,0,2,7
24,30699,승리,라칸,은종섭,0,7,10,4029,5,40,8,15,0.6,0,2,7
25,30699,패배,피오라,커피물조절장인,8,2,9,17004,1,11,0,228,8.6,1,0,6
26,30699,패배,엘리스,빵재애오,12,3,4,14542,6,10,7,93,3.5,1,0,6
27,30699,패배,카사딘,너와나의연결Gori,0,3,8,12738,3,10,2,189,7.1,1,0,6
28,30699,패배,징크스,악시 뒷바라지,0,3,6,8241,1,10,4,190,7.2,1,0,6
