,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60518,패배,블라디미르,7hal,9,9,6,52667,2,22,6,372,8.5,0,1,4
1,60518,패배,자르반 4세,Alielie,13,7,13,34541,4,34,14,228,5.2,0,1,4
2,60518,패배,오리아나,Yaharong,4,10,12,34569,4,48,9,341,7.8,0,1,4
3,60518,패배,미스 포츈,Peecaboo,7,10,11,40326,4,12,17,320,7.4,0,1,4
4,60518,패배,쓰레쉬,Nebo,2,11,12,12490,4,47,26,63,1.4,0,1,4
5,60518,승리,오른,뱃살만찌는사람,9,3,24,45398,6,28,6,334,7.7,2,3,10
6,60518,승리,리 신,TeachersWu,9,11,18,21578,4,41,13,204,4.7,2,3,10
7,60518,승리,르블랑,쪼렙이다말로하자,12,9,20,51268,4,21,17,262,6.0,2,3,10
8,60518,승리,진,nekoneko1,8,4,27,53714,4,18,4,329,7.6,2,3,10
9,60518,승리,탐 켄치,Empmuyi,9,8,22,16737,6,98,29,81,1.9,2,3,10
10,60519,패배,제이스,우철짱123,4,5,3,12623,2,27,7,206,7.7,0,1,2
11,60519,패배,세주아니,춘봉박,5,2,7,9842,4,10,11,158,5.9,0,1,2
12,60519,패배,아지르,LFT MID,1,4,6,15807,2,13,4,251,9.4,0,1,2
13,60519,패배,진,Peecaboo,6,4,4,17493,1,7,0,181,6.8,0,1,2
14,60519,패배,알리스타,Misdate,0,5,9,5033,6,19,8,29,1.1,0,1,2
15,60519,승리,사이온,마부두파,5,2,3,9901,2,12,6,224,8.4,1,1,5
16,60519,승리,자르반 4세,J Spectre G,1,6,11,8331,5,25,10,133,5.0,1,1,5
17,60519,승리,라이즈,FeelsAwesomeMan,5,2,6,14970,2,14,4,244,9.2,1,1,5
18,60519,승리,베인,그러면안돼요짜샤,8,3,8,23129,1,10,3,214,8.0,1,1,5
19,60519,승리,브라움,yizhiyu,1,3,14,6617,4,25,8,36,1.4,1,1,5
