,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50973,패배,일라오이,xaxaxaxaxa,4,7,0,17274,1,15,0,205,8.6,0,0,3
1,50973,패배,자르반 4세,w1sdom ovo,2,6,4,5509,4,18,6,97,4.1,0,0,3
2,50973,패배,아지르,chirchri,6,5,3,15132,4,10,9,201,8.4,0,0,3
3,50973,패배,시비르,RRRuleRRR,0,9,2,8017,3,12,6,185,7.8,0,0,3
4,50973,패배,탐 켄치,Plz No Die,0,6,5,6377,3,39,6,33,1.4,0,0,3
5,50973,승리,오른,진쟤승,4,2,8,13079,1,5,4,140,5.9,1,1,10
6,50973,승리,렝가,shirushi,12,2,6,16659,8,24,10,109,4.6,1,1,10
7,50973,승리,라이즈,삼성갤럭시 Crown,5,4,6,13745,8,28,6,215,9.0,1,1,10
8,50973,승리,이즈리얼,FVV BETTY,9,0,11,32875,5,12,8,264,11.1,1,1,10
9,50973,승리,알리스타,BKKK,3,4,11,7132,6,24,7,43,1.8,1,1,10
10,50974,패배,마오카이,h1rb,0,6,2,8370,1,8,0,111,5.2,0,0,0
11,50974,패배,세주아니,Plz No Die,0,9,4,6400,2,31,5,81,3.8,0,0,0
12,50974,패배,오리아나,PuncHh,2,7,3,6699,2,18,4,129,6.0,0,0,0
13,50974,패배,칼리스타,FVV BETTY,4,3,2,11388,2,11,3,206,9.6,0,0,0
14,50974,패배,잔나,IgNar,2,3,4,4883,9,28,2,6,0.3,0,0,0
15,50974,승리,갱플랭크,피넛사냥개2,5,2,7,18368,2,14,2,187,8.7,1,1,10
16,50974,승리,렝가,스마트섹시뷰티,8,1,5,11703,3,9,16,166,7.7,1,1,10
17,50974,승리,아지르,피넛사냥개1,13,1,6,22978,3,19,7,199,9.2,1,1,10
18,50974,승리,이즈리얼,혼자가 편해졌어,2,3,7,11103,2,14,10,181,8.4,1,1,10
19,50974,승리,탐 켄치,160810,0,1,10,4298,5,15,8,49,2.3,1,1,10
20,50975,승리,판테온,Plz No Die,9,3,8,23886,2,28,4,220,7.6,1,2,10
21,50975,승리,카직스,Cuz2,12,6,9,23954,2,15,9,163,5.7,1,2,10
22,50975,승리,라이즈,Lucete,9,5,7,23917,2,11,5,252,8.8,1,2,10
23,50975,승리,이즈리얼,Afreeca Kramer,7,3,13,35260,4,24,3,266,9.2,1,2,10
24,50975,승리,쉔,덤벼보던가,4,6,25,10443,1,28,8,61,2.1,1,2,10
25,50975,패배,갱플랭크,춘봉박,6,5,7,20917,1,12,4,245,8.5,0,0,1
26,50975,패배,자르반 4세,FVV BETTY,6,10,3,11275,5,23,10,130,4.5,0,0,1
27,50975,패배,애니비아,송하영 팬,5,7,8,23314,3,13,11,218,7.6,0,0,1
28,50975,패배,바루스,Please find it,2,10,9,14269,0,6,4,161,5.6,0,0,1
29,50975,패배,알리스타,Afreeca Kuro,4,9,7,7264,9,44,12,48,1.7,0,0,1
30,50976,승리,사이온,Plz No Die,2,0,2,9282,1,6,0,180,9.5,0,0,1
31,50976,승리,카직스,THE KING 2000,7,2,5,8920,2,17,0,125,6.6,0,0,1
32,50976,승리,신드라,wo yao qu daye,6,1,2,10631,4,13,2,183,9.7,0,0,1
33,50976,승리,칼리스타,시즌8빡고수ad1,5,8,3,8448,1,6,3,131,6.9,0,0,1
34,50976,승리,쓰레쉬,챌 희,2,3,7,4567,3,30,10,20,1.1,0,0,1
35,50976,패배,자르반 4세,cbzOvO,0,3,0,5473,0,4,0,176,9.3,0,0,1
36,50976,패배,니달리,아우라백,2,6,4,4872,4,10,7,111,5.9,0,0,1
37,50976,패배,럭스,Mengqiuqiu,1,5,1,6508,2,8,3,110,5.8,0,0,1
38,50976,패배,미스 포츈,whisper snow,10,6,2,16277,0,6,4,123,6.5,0,0,1
39,50976,패배,쉔,A weak youth,1,2,11,5034,3,33,11,44,2.3,0,0,1
40,50977,패배,자르반 4세,Plz No Die,1,5,6,8140,3,11,8,141,5.9,0,0,0
41,50977,패배,카직스,Hermas,6,8,3,10849,6,18,2,89,3.8,0,0,0
42,50977,패배,아지르,나라카일,4,4,3,13542,2,9,1,184,7.8,0,0,0
43,50977,패배,애쉬,아 백,1,6,4,8707,2,8,1,171,7.2,0,0,0
44,50977,패배,제라스,Sim Student,1,6,6,12510,4,19,8,20,0.8,0,0,0
45,50977,승리,제이스,Zhongdan XD,5,4,7,16156,5,27,8,204,8.6,1,1,9
46,50977,승리,이즈리얼,9346,8,3,14,22357,3,11,4,160,6.7,1,1,9
47,50977,승리,피들스틱,1414774182,6,2,8,12052,7,13,4,194,8.2,1,1,9
48,50977,승리,미스 포츈,혼자가 편해졌어,6,2,6,16437,1,10,4,208,8.8,1,1,9
49,50977,승리,탐 켄치,Jacen,4,3,11,5091,6,24,3,36,1.5,1,1,9
50,50978,패배,카밀,Heiz4,5,9,4,12605,0,14,7,218,6.6,0,1,4
51,50978,패배,세주아니,sanspareil1,3,5,10,9381,10,17,23,162,4.9,0,1,4
52,50978,패배,카타리나,DWG ShowMaker,13,6,9,28840,2,12,8,261,8.0,0,1,4
53,50978,패배,진,나라카일,4,4,13,24830,0,11,14,291,8.9,0,1,4
54,50978,패배,사이온,Plz No Die,3,4,11,9933,7,35,14,68,2.1,0,1,4
55,50978,승리,제이스,담원 너구리,9,5,10,27125,5,34,8,311,9.5,2,2,10
56,50978,승리,리 신,Like Waves,2,6,19,10253,7,29,1,155,4.7,2,2,10
57,50978,승리,탈리야,Leelaa,4,8,9,26961,3,13,7,243,7.4,2,2,10
58,50978,승리,트리스타나,VIP 민형,10,5,5,27986,1,12,1,280,8.5,2,2,10
59,50978,승리,바드,reMember Mistake,3,5,17,14187,11,61,8,18,0.5,2,2,10
60,50979,승리,제이스,Plz No Die,5,6,8,16015,3,26,2,197,7.3,1,3,7
61,50979,승리,쉬바나,F0y,8,7,9,14089,6,14,26,183,6.8,1,3,7
62,50979,승리,르블랑,11 14 9 7 8 20,9,2,15,27999,5,12,6,206,7.6,1,3,7
63,50979,승리,미스 포츈,Yeeclipse,5,5,13,16883,2,12,5,211,7.8,1,3,7
64,50979,승리,쓰레쉬,나라카일,3,3,17,8158,0,23,15,36,1.3,1,3,7
65,50979,패배,카밀,MVP ADD,7,6,5,19748,4,14,3,196,7.3,0,0,2
66,50979,패배,리 신,h1rb,10,6,3,14670,6,42,3,171,6.3,0,0,2
67,50979,패배,트위스티드 페이트,w1sdom ovo,5,3,11,15644,2,12,4,236,8.7,0,0,2
68,50979,패배,트위치,으아으앙으아앙,1,7,2,5928,2,19,5,179,6.6,0,0,2
69,50979,패배,탐 켄치,다시 돌아갈까요,0,8,6,8568,4,42,5,41,1.5,0,0,2
