,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3599,승리,나르,ROX Hoon,8,1,9,29431,3,14,7,215,7.9,1,1,10
1,3599,승리,니달리,So1o,6,4,12,14834,4,22,11,192,7.1,1,1,10
2,3599,승리,르블랑,너와나의연결Gori,21,2,4,31189,2,25,2,206,7.6,1,1,10
3,3599,승리,애쉬,Reborn3,3,4,6,11667,1,9,5,159,5.9,1,1,10
4,3599,승리,쉔,JAG S0hwan,3,3,16,11976,4,25,9,65,2.4,1,1,10
5,3599,패배,카밀,쌀국수뚝붸기,1,10,1,13596,2,18,0,182,6.7,0,0,3
6,3599,패배,자르반 4세,삼성갤럭시 하루,3,8,3,12884,7,27,6,110,4.0,0,0,3
7,3599,패배,아지르,삼성갤럭시 Crown,2,12,1,17559,1,8,3,212,7.8,0,0,3
8,3599,패배,바루스,단군의청춘부재,7,7,1,24668,4,13,4,184,6.8,0,0,3
9,3599,패배,카르마,Jin air Yaharong,1,4,9,12129,4,23,10,26,1.0,0,0,3
10,3600,패배,카밀,암고잉빽투더스탙,7,6,5,23347,2,15,10,256,8.2,1,0,6
11,3600,패배,세주아니,오억만,7,7,11,17190,2,5,8,136,4.4,1,0,6
12,3600,패배,야스오,kenzhu9,4,9,10,21961,4,33,7,280,9.0,1,0,6
13,3600,패배,미스 포츈,Dingchenyu,6,13,4,22688,3,13,6,208,6.7,1,0,6
14,3600,패배,제라스,ROX Hoon,5,7,12,27814,6,26,8,60,1.9,1,0,6
15,3600,승리,피오라,baramgaebi,7,4,11,24084,3,17,4,308,9.9,1,4,9
16,3600,승리,쉬바나,yizhiyu,16,3,11,28883,5,7,4,247,7.9,1,4,9
17,3600,승리,조이,으아으앙으아앙,4,7,14,29837,2,21,2,190,6.1,1,4,9
18,3600,승리,이즈리얼,ZhanQiHuaYm,8,8,14,22549,6,21,10,189,6.0,1,4,9
19,3600,승리,쓰레쉬,chijixuanshou,7,7,23,12350,12,62,11,42,1.3,1,4,9
20,3601,승리,오른,baramgaebi,1,1,6,6960,2,10,2,140,7.6,0,0,4
21,3601,승리,카직스,kenzhu9,6,0,4,9770,7,24,4,106,5.8,0,0,4
22,3601,승리,라이즈,PawN God,5,1,6,11504,3,11,0,152,8.3,0,0,4
23,3601,승리,진,암고잉빽투더스탙,6,1,3,9480,3,10,3,169,9.2,0,0,4
24,3601,승리,타릭,ROX Hoon,1,3,6,2798,7,19,4,30,1.6,0,0,4
25,3601,패배,다리우스,7hal,0,5,1,5914,1,8,2,128,7.0,0,0,0
26,3601,패배,니달리,으아으앙으아앙,1,4,5,5776,2,21,8,82,4.5,0,0,0
27,3601,패배,베이가,FW Maple,3,1,1,7066,2,5,1,155,8.4,0,0,0
28,3601,패배,이즈리얼,Dingchenyu,1,5,1,8058,0,7,2,147,8.0,0,0,0
29,3601,패배,바드,534N,1,5,3,5504,2,19,6,8,0.4,0,0,0
30,3602,승리,카밀,춘봉박,9,4,5,19255,2,23,5,209,8.5,1,2,10
31,3602,승리,니달리,나는야베이베이1,4,5,7,8032,2,26,5,140,5.7,1,2,10
32,3602,승리,아지르,성민콩,7,2,3,17579,2,8,2,218,8.9,1,2,10
33,3602,승리,진,SKT T1 Bang,7,0,7,15460,3,12,4,220,9.0,1,2,10
34,3602,승리,나미,ROX Hoon,1,1,13,5223,7,22,5,6,0.2,1,2,10
35,3602,패배,신지드,MVP ADD,2,7,2,10359,3,11,4,136,5.6,0,0,1
36,3602,패배,쉬바나,Alielie,5,4,4,10572,1,5,7,154,6.3,0,0,1
37,3602,패배,조이,PawN God,4,6,1,13339,1,11,5,159,6.5,0,0,1
38,3602,패배,바루스,Possible tts,0,7,2,7349,1,10,1,168,6.9,0,0,1
39,3602,패배,제라스,JAG Wraith,1,4,4,16031,6,26,7,47,1.9,0,0,1
40,3603,승리,올라프,Super Secret,7,2,11,22806,1,6,3,229,7.5,1,2,11
41,3603,승리,자르반 4세,ROX Hoon,9,4,20,13460,6,42,8,156,5.1,1,2,11
42,3603,승리,르블랑,박효신사생팬,18,1,12,33864,0,6,3,184,6.1,1,2,11
43,3603,승리,이즈리얼,tul12,5,7,16,29851,1,16,1,209,6.9,1,2,11
44,3603,승리,탈리야,소추소심,4,4,23,24332,4,45,11,69,2.3,1,2,11
45,3603,패배,오른,Give Top Pls,3,8,6,13271,1,14,1,174,5.7,0,1,0
46,3603,패배,쉬바나,MansN0tHot,5,6,5,20623,3,15,13,226,7.4,0,1,0
47,3603,패배,말자하,상어가족,2,11,4,10573,1,11,4,205,6.8,0,1,0
48,3603,패배,미스 포츈,성민콩,6,9,6,28908,1,8,6,226,7.4,0,1,0
49,3603,패배,타릭,YOYOuuuuuO,2,9,9,6387,4,28,15,51,1.7,0,1,0
50,3604,패배,오른,ROX Hoon,0,7,0,4713,1,6,2,104,6.5,0,0,0
51,3604,패배,렝가,Dragon Shaco,3,5,1,3740,3,16,1,76,4.7,0,0,0
52,3604,패배,르블랑,chirchri,3,3,1,5871,3,16,5,122,7.6,0,0,0
53,3604,패배,칼리스타,Hades9,2,5,2,3993,1,7,3,130,8.1,0,0,0
54,3604,패배,잔나,찹 또,1,4,4,5060,4,10,8,10,0.6,0,0,0
55,3604,승리,올라프,코w코,7,0,3,10347,2,7,0,144,9.0,0,0,4
56,3604,승리,자르반 4세,일견무시도성빈,5,1,9,5936,5,18,6,78,4.9,0,0,4
57,3604,승리,탈리야,이치방츠요이야츠,5,3,1,6143,1,14,7,117,7.3,0,0,4
58,3604,승리,진,메 끠,4,1,4,4558,3,9,2,116,7.2,0,0,4
59,3604,승리,제라스,PawN God,3,4,3,7905,5,13,7,22,1.4,0,0,4
60,3605,패배,카밀,ROX Hoon,2,4,1,9721,1,6,1,119,6.7,0,0,1
61,3605,패배,리 신,나에게 기회를,0,5,2,3979,1,21,3,76,4.3,0,0,1
62,3605,패배,카사딘,이치방츠요이야츠,1,2,1,4881,2,9,3,135,7.6,0,0,1
