,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50713,승리,갱플랭크,피넛사냥개2,9,10,4,29733,0,18,3,291,8.6,0,3,7
1,50713,승리,세주아니,JAG UmTi,8,4,13,11710,8,27,18,141,4.2,0,3,7
2,50713,승리,아지르,성혁님미드가신다,7,3,13,21798,7,22,16,283,8.3,0,3,7
3,50713,승리,애쉬,ROX Sangyoon,4,3,11,16492,2,9,3,307,9.1,0,3,7
4,50713,승리,알리스타,du jia0 shou,3,8,14,6553,9,62,10,35,1.0,0,3,7
5,50713,패배,카밀,jkasjhiufgha,7,8,6,24639,3,18,6,217,6.4,1,1,5
6,50713,패배,니달리,F0y,4,6,15,16586,6,35,20,227,6.7,1,1,5
7,50713,패배,제라스,나라카일,2,6,8,17040,1,12,7,241,7.1,1,1,5
8,50713,패배,이즈리얼,Greed A Pride,13,5,5,35657,8,28,15,242,7.1,1,1,5
9,50713,패배,카르마,BKKK,2,6,14,12829,15,61,13,19,0.6,1,1,5
10,50714,패배,제이스,woaichengxiao,6,3,1,21771,1,12,7,249,10.3,0,0,3
11,50714,패배,쉬바나,du jia0 shou,0,4,1,7039,5,12,6,137,5.7,0,0,3
12,50714,패배,신드라,reMember Mistake,1,3,3,8687,3,21,4,189,7.8,0,0,3
13,50714,패배,미스 포츈,ROX Sangyoon,3,5,0,10792,2,20,4,197,8.2,0,0,3
14,50714,패배,쉔,익산시 홍보대사,1,4,5,3937,5,27,7,47,1.9,0,0,3
15,50714,승리,사이온,JAG UmTi,5,4,7,10577,4,26,3,158,6.5,1,1,3
16,50714,승리,렝가,w1sdom ovo,3,4,3,9279,4,19,7,130,5.4,1,1,3
17,50714,승리,아지르,성혁님미드가신다,6,1,3,15414,3,14,9,234,9.7,1,1,3
18,50714,승리,진,STITCH2,2,1,10,13590,3,10,6,202,8.4,1,1,3
19,50714,승리,레오나,아주그냥쪼개준다,3,1,10,4579,7,28,14,40,1.7,1,1,3
20,50715,패배,쉔,ROX Sangyoon,5,4,5,17653,1,13,2,273,8.1,0,0,2
21,50715,패배,엘리스,chirchri,4,7,7,11099,7,36,10,91,2.7,0,0,2
22,50715,패배,아지르,By myself,4,4,3,21149,6,36,11,282,8.4,0,0,2
