,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40338,패배,나르,Firework37,6,9,1,15556,2,24,2,163,5.5,0,1,1
1,40338,패배,세주아니,ROX Se0ngHwan,3,4,9,8325,10,50,6,102,3.5,0,1,1
2,40338,패배,제라스,아테나찡,4,3,4,25145,3,13,2,247,8.4,0,1,1
3,40338,패배,진,비 브이 오 와이,3,6,3,11369,2,11,7,236,8.0,0,1,1
4,40338,패배,미스 포츈,슬프다고말하면,3,6,8,15597,8,41,17,50,1.7,0,1,1
5,40338,승리,케넨,담원 너구리,7,3,2,21995,3,16,18,284,9.6,1,2,10
6,40338,승리,쉬바나,GuGer,4,3,4,16679,7,10,13,213,7.2,1,2,10
7,40338,승리,아지르,republic123,2,6,2,7291,3,13,7,239,8.1,1,2,10
8,40338,승리,이즈리얼,Yeeclipse,9,3,6,29378,4,22,7,277,9.4,1,2,10
9,40338,승리,라칸,꿀 칸,6,4,13,10267,17,40,17,20,0.7,1,2,10
10,40339,패배,야스오,JAG S0hwan,5,6,8,23278,3,50,15,431,10.5,0,2,6
11,40339,패배,카직스,ROX Se0ngHwan,12,8,8,31050,8,52,20,167,4.1,0,2,6
12,40339,패배,말자하,bbq Tempt,5,5,9,43283,8,21,9,362,8.8,0,2,6
13,40339,패배,진,비 브이 오 와이,1,5,10,27024,3,15,17,336,8.2,0,2,6
14,40339,패배,쉔,GuGer,2,9,6,5934,16,55,23,93,2.3,0,2,6
15,40339,승리,나르,담원 너구리,2,4,15,20706,5,25,14,339,8.2,3,2,9
16,40339,승리,리 신,담원 얼라이브,12,5,13,17882,9,56,22,213,5.2,3,2,9
17,40339,승리,자이라,행운의 변화,8,6,12,37368,4,14,7,311,7.6,3,2,9
18,40339,승리,칼리스타,구름꽃길만걷자,8,5,13,19501,2,10,15,359,8.7,3,2,9
19,40339,승리,세주아니,MataMataMata,3,5,24,12724,18,99,21,79,1.9,3,2,9
20,40340,승리,제이스,JAG S0hwan,7,7,16,34163,7,50,11,348,8.7,1,2,11
21,40340,승리,자르반 4세,ROX Se0ngHwan,0,6,19,10892,11,69,20,162,4.1,1,2,11
22,40340,승리,라이즈,푸딩은푸딩해,13,4,6,49556,4,26,14,409,10.3,1,2,11
23,40340,승리,칼리스타,구름꽃길만걷자,11,4,11,32445,1,13,31,355,8.9,1,2,11
24,40340,승리,쓰레쉬,chorongie,1,5,23,10960,17,106,30,65,1.6,1,2,11
25,40340,패배,사이온,춘봉박,4,6,11,20077,2,19,10,257,6.4,1,1,5
26,40340,패배,케인,PeanuToT,6,8,8,22132,11,38,34,258,6.5,1,1,5
27,40340,패배,빅토르,학교밀베포친키,6,4,9,32089,3,23,26,324,8.1,1,1,5
