,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60856,승리,나르,JAG S0hwan,2,1,8,11897,2,19,2,210,9.4,1,3,5
1,60856,승리,쉬바나,작전동 노란머리,7,2,7,9007,6,16,3,159,7.1,1,3,5
2,60856,승리,카사딘,ROX 라바,7,1,7,17222,3,13,2,191,8.5,1,3,5
3,60856,승리,미스 포츈,삼성갤럭시CoreJJ,5,3,8,13977,6,32,14,182,8.1,1,3,5
4,60856,승리,탐 켄치,160810,3,1,7,6141,10,27,2,36,1.6,1,3,5
5,60856,패배,애니,Gazuaaaaaaa,0,3,0,7721,4,10,3,166,7.4,0,0,1
6,60856,패배,렝가,KDM 유준,1,5,1,8223,3,9,7,113,5.1,0,0,1
7,60856,패배,말자하,이치방츠요이야츠,0,6,2,9398,2,9,4,179,8.0,0,0,1
8,60856,패배,이즈리얼,DWG BeryL,4,2,2,15803,5,15,9,191,8.5,0,0,1
9,60856,패배,알리스타,먹는건즐거워,3,8,4,6796,2,22,11,42,1.9,0,0,1
10,60857,패배,자르반 4세,Like Waves,0,4,1,5152,4,18,2,122,6.4,0,1,0
11,60857,패배,쉬바나,마이엠브,1,4,0,4591,6,17,0,104,5.5,0,1,0
12,60857,패배,카사딘,DWG ShowMaker,0,2,0,3403,4,11,3,173,9.1,0,1,0
13,60857,패배,미스 포츈,ROX Sangyoon,1,5,0,5454,1,7,1,158,8.3,0,1,0
14,60857,패배,잔나,ROX 라바,1,4,0,2910,5,21,4,15,0.8,0,1,0
15,60857,승리,갱플랭크,Gazuaaaaaaa,0,1,6,7506,2,11,5,166,8.8,0,1,5
16,60857,승리,렝가,KDM 유준,12,2,1,15533,3,7,7,124,6.5,0,1,5
17,60857,승리,말자하,이치방츠요이야츠,1,0,2,3182,1,7,3,169,8.9,0,1,5
18,60857,승리,진,DWG BeryL,4,0,5,8536,4,10,3,188,9.9,0,1,5
19,60857,승리,알리스타,160810,2,0,4,3091,6,17,12,39,2.1,0,1,5
20,60858,패배,제이스,Like Waves,1,9,5,16718,5,34,9,248,7.5,0,1,3
21,60858,패배,니달리,해운대잠만보,4,7,4,9307,4,22,18,187,5.6,0,1,3
22,60858,패배,라이즈,ROX 라바,4,3,3,16277,4,19,3,353,10.7,0,1,3
23,60858,패배,진,ROX Sangyoon,3,1,6,16595,3,9,2,312,9.4,0,1,3
24,60858,패배,카르마,wo yao qu daye,1,5,5,5582,11,65,20,24,0.7,0,1,3
25,60858,승리,카밀,Gazuaaaaaaa,2,2,9,15865,6,20,11,319,9.6,1,2,11
