,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30020,패배,케넨,RRRuleRRR,9,6,8,18113,1,16,9,251,7.6,0,0,4
1,30020,패배,럼블,작전동 노란머리,5,5,9,14536,6,27,4,187,5.6,0,0,4
2,30020,패배,라이즈,푸딩은푸딩해,4,3,3,9985,4,30,14,319,9.6,0,0,4
3,30020,패배,이즈리얼,메 끠,0,4,9,11722,3,13,9,279,8.4,0,0,4
4,30020,패배,탐 켄치,엄청강한 올빼미,3,3,5,5377,17,50,11,67,2.0,0,0,4
5,30020,승리,제이스,chirchri,4,7,8,16533,2,25,7,251,7.6,1,1,8
6,30020,승리,렝가,ROX 곰,6,4,6,13709,6,24,7,208,6.3,1,1,8
7,30020,승리,아지르,으아으앙으아앙,6,4,7,26647,3,17,12,305,9.2,1,1,8
8,30020,승리,미스 포츈,학식먹을나이,5,3,6,21453,3,29,7,289,8.7,1,1,8
9,30020,승리,카르마,160810,0,4,11,5563,13,41,17,26,0.8,1,1,8
10,30021,패배,일라오이,MVP ADD,2,9,6,11710,3,15,2,161,6.7,0,1,1
11,30021,패배,쉬바나,작전동 노란머리,7,7,2,9935,6,10,7,134,5.6,0,1,1
12,30021,패배,르블랑,chirchri,8,2,5,17288,3,17,2,154,6.4,0,1,1
13,30021,패배,진,RRRuleRRR,1,14,4,7826,2,4,1,133,5.5,0,1,1
14,30021,패배,제라스,아테나찡,1,7,8,13995,3,13,8,49,2.0,0,1,1
15,30021,승리,베인,메 끠,8,6,6,26385,2,8,2,155,6.4,0,1,10
16,30021,승리,람머스,학식먹을나이,7,4,9,8617,4,7,1,92,3.8,0,1,10
17,30021,승리,탈리야,으아으앙으아앙,4,3,5,20046,3,13,5,206,8.5,0,1,10
18,30021,승리,미스 포츈,DWG BeryL,9,4,15,19774,5,11,6,190,7.9,0,1,10
19,30021,승리,오른,진쟤승,11,2,16,16542,3,23,5,62,2.6,0,1,10
20,30022,패배,일라오이,xaxaxaxaxa,4,7,0,17274,1,15,0,205,8.6,0,0,3
21,30022,패배,자르반 4세,w1sdom ovo,2,6,4,5509,4,18,6,97,4.1,0,0,3
22,30022,패배,아지르,chirchri,6,5,3,15132,4,10,9,201,8.4,0,0,3
23,30022,패배,시비르,RRRuleRRR,0,9,2,8017,3,12,6,185,7.8,0,0,3
24,30022,패배,탐 켄치,Plz No Die,0,6,5,6377,3,39,6,33,1.4,0,0,3
25,30022,승리,오른,진쟤승,4,2,8,13079,1,5,4,140,5.9,1,1,10
26,30022,승리,렝가,shirushi,12,2,6,16659,8,24,10,109,4.6,1,1,10
