,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30120,승리,나르,RVS Poss,4,6,6,14913,3,15,5,193,6.9,1,2,9
1,30120,승리,니달리,종학윙,5,1,8,9951,4,20,10,177,6.3,1,2,9
2,30120,승리,르블랑,Fotune,7,3,3,22303,3,23,3,198,7.1,1,2,9
3,30120,승리,베인,Afreeca Kramer,10,0,5,22897,4,15,8,290,10.4,1,2,9
4,30120,승리,알리스타,진에어 저스티스,0,0,13,4280,11,44,10,46,1.6,1,2,9
5,30120,패배,갱플랭크,Cuz2,4,7,0,11548,1,14,2,197,7.0,0,1,3
6,30120,패배,카직스,PeanuToT,3,3,3,12713,4,24,11,143,5.1,0,1,3
7,30120,패배,아지르,마산가자,3,3,3,23374,4,13,12,264,9.4,0,1,3
8,30120,패배,이즈리얼,Excal1bur1,0,8,2,16571,2,11,3,219,7.8,0,1,3
9,30120,패배,카르마,FeelsCoffeeMan,0,5,3,9281,6,23,10,26,0.9,0,1,3
10,30121,승리,잭스,RVS Poss,11,1,2,9976,1,8,1,126,7.8,0,1,5
11,30121,승리,자르반 4세,ZhanQiHuaYm,3,2,11,4895,2,14,2,70,4.3,0,1,5
12,30121,승리,탈리야,송하영 팬,8,1,8,12980,3,7,2,115,7.1,0,1,5
13,30121,승리,칼리스타,chijixuanshou,2,2,7,6597,4,17,1,148,9.1,0,1,5
14,30121,승리,라칸,삼성갤럭시CoreJJ,2,3,12,5443,3,16,5,6,0.4,0,1,5
15,30121,패배,카밀,Heiz4,1,9,1,5963,0,5,0,63,3.9,0,0,0
16,30121,패배,니달리,종학윙,4,3,3,4059,2,7,2,79,4.9,0,0,0
17,30121,패배,말자하,Heart,1,6,4,6624,2,8,2,121,7.5,0,0,0
18,30121,패배,이즈리얼,DS XiaoPeng,2,5,1,4861,2,6,4,89,5.5,0,0,0
19,30121,패배,알리스타,천천히올라감,1,3,4,3541,4,19,4,14,0.9,0,0,0
20,30122,패배,갱플랭크,RVS Poss,0,3,0,9190,2,8,2,114,7.1,0,0,0
21,30122,패배,신지드,네 명의 짐승 팀,2,3,0,2980,2,4,0,70,4.4,0,0,0
22,30122,패배,조이,멘탈 실력 운,0,3,2,4490,1,13,1,147,9.2,0,0,0
23,30122,패배,코그모,VIP 민형,0,3,0,3460,1,6,3,128,8.0,0,0,0
24,30122,패배,타릭,삼성갤럭시CoreJJ,0,3,0,2017,3,11,5,27,1.7,0,0,0
25,30122,승리,피오라,지현이의빗자루,4,0,2,11345,2,17,1,127,8.0,0,2,5
26,30122,승리,쉬바나,yizhiyu,6,0,3,5619,2,5,3,117,7.3,0,2,5
27,30122,승리,말자하,삼성갤럭시 Crown,2,2,2,3961,4,9,1,144,9.0,0,2,5
28,30122,승리,이즈리얼,991126,1,0,6,6758,0,7,2,137,8.6,0,2,5
29,30122,승리,알리스타,IGS Coli,2,0,7,2612,4,12,3,22,1.4,0,2,5
30,30123,패배,갱플랭크,RVS Poss,1,4,1,5284,1,9,4,98,6.4,0,0,0
31,30123,패배,카직스,h1rb,1,1,1,3351,2,19,3,70,4.6,0,0,0
32,30123,패배,아지르,FW Maple,1,5,0,5032,2,15,0,88,5.8,0,0,0
33,30123,패배,진,DWG BeryL,1,5,1,4700,1,5,0,92,6.0,0,0,0
34,30123,패배,알리스타,토마토페이스트,0,5,2,2951,3,8,2,18,1.2,0,0,0
35,30123,승리,케넨,뒷텔와드점,4,0,3,6473,1,7,3,135,8.9,0,0,4
36,30123,승리,렝가,SKT T1 WoIf,4,1,5,8157,2,12,5,107,7.0,0,0,4
37,30123,승리,조이,마산가자,5,0,3,10884,2,5,2,153,10.0,0,0,4
38,30123,승리,미스 포츈,Afreeca Aiming,3,3,9,9396,2,13,0,115,7.5,0,0,4
39,30123,승리,쉔,Lvmao,4,0,7,4296,3,10,4,33,2.2,0,0,4
40,30124,패배,오른,암고잉빽투더스탙,4,8,7,16613,0,11,2,174,6.4,0,1,2
41,30124,패배,렝가,작전동 노란머리,7,10,3,21050,5,25,6,137,5.0,0,1,2
42,30124,패배,탈리야,으아으앙으아앙,2,5,3,19875,3,25,3,242,8.9,0,1,2
43,30124,패배,미스 포츈,상어가족,2,7,3,16428,1,11,2,193,7.1,0,1,2
44,30124,패배,쉔,RVS Poss,4,5,2,7545,6,31,9,40,1.5,0,1,2
45,30124,승리,갱플랭크,세메론,7,7,10,18632,2,19,0,174,6.4,0,1,7
46,30124,승리,니달리,sanspareil1,11,3,9,17756,6,11,15,182,6.7,0,1,7
47,30124,승리,아우렐리온 솔,푸딩은푸딩해,15,3,6,23503,2,7,10,223,8.2,0,1,7
48,30124,승리,진,비 브이 오 와이,0,2,16,19091,3,11,11,221,8.1,0,1,7
49,30124,승리,탐 켄치,호경모드,2,4,13,8735,12,32,7,52,1.9,0,1,7
50,30125,패배,나르,RVS Poss,1,6,0,5808,4,12,0,75,4.9,0,0,0
51,30125,패배,리 신,TeawaN,2,8,0,3566,5,17,5,54,3.5,0,0,0
52,30125,패배,갈리오,kenzhu9,1,5,1,4654,2,12,1,101,6.6,0,0,0
53,30125,패배,시비르,비 브이 오 와이,0,3,1,5459,2,7,2,98,6.4,0,0,0
54,30125,패배,제라스,세메론,0,4,0,5069,2,8,2,8,0.5,0,0,0
55,30125,승리,카밀,kfo,4,1,3,7408,1,5,3,119,7.8,0,0,4
56,30125,승리,카직스,KDM 유준,11,0,4,12440,1,12,5,73,4.8,0,0,4
57,30125,승리,탈리야,으아으앙으아앙,2,2,5,8294,3,15,4,137,9.0,0,0,4
58,30125,승리,진,LPL noob ad QAQ,6,1,5,8474,1,6,0,123,8.1,0,0,4
59,30125,승리,탐 켄치,Gazuaaaaaaa,3,0,7,3898,5,14,2,28,1.8,0,0,4
60,30126,승리,제이스,RVS Poss,6,2,11,21242,2,27,8,245,9.8,1,2,9
61,30126,승리,자르반 4세,DaYE,0,3,17,7557,6,44,12,117,4.7,1,2,9
62,30126,승리,탈리야,Lucete,14,3,10,23154,5,13,9,242,9.6,1,2,9
63,30126,승리,이즈리얼,mide gui tou,7,1,9,12816,3,15,7,192,7.7,1,2,9
64,30126,승리,제라스,라인전이기니갱와,3,1,6,12852,3,24,9,41,1.6,1,2,9
65,30126,패배,블라디미르,wjhfjihtiu,1,7,4,6565,1,11,4,171,6.8,0,0,0
66,30126,패배,세주아니,쁘띠예리사랑해요,1,6,5,4657,5,32,12,132,5.3,0,0,0
67,30126,패배,베이가,ZhanQiHuaYm,3,5,0,8833,6,11,10,233,9.3,0,0,0
68,30126,패배,미스 포츈,혼자가 편해졌어,5,6,2,17941,3,9,4,198,7.9,0,0,0
69,30126,패배,잔나,삼성갤럭시CoreJJ,0,6,5,4205,3,37,12,13,0.5,0,0,0
70,30127,승리,갱플랭크,Gazuaaaaaaa,6,5,8,22120,7,23,2,233,8.6,1,2,8
71,30127,승리,카직스,진쟤승,13,3,4,23002,2,18,6,120,4.4,1,2,8
