,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60538,패배,애니,Gazuaaaaaaa,2,4,3,16658,2,10,2,182,7.2,0,1,2
1,60538,패배,자르반 4세,선비모드,8,7,5,16674,1,20,10,103,4.1,0,1,2
2,60538,패배,코르키,11 14 9 7 8 20,5,5,2,21025,1,7,6,223,8.9,0,1,2
3,60538,패배,미스 포츈,Rachel Berry,2,9,6,13152,2,10,7,135,5.4,0,1,2
4,60538,패배,제라스,TeachersWu,1,11,6,7164,8,29,6,16,0.6,0,1,2
5,60538,승리,갱플랭크,피넛사냥개2,3,6,8,13802,1,11,3,222,8.8,1,0,11
6,60538,승리,카직스,5gak,12,3,2,16838,8,32,4,138,5.5,1,0,11
7,60538,승리,라이즈,으아으앙으아앙,5,3,4,15271,3,6,3,220,8.7,1,0,11
8,60538,승리,이즈리얼,KDM SSol,11,3,12,29488,2,13,4,200,7.9,1,0,11
9,60538,승리,노틸러스,선기박,5,3,15,11583,9,33,13,57,2.3,1,0,11
10,60539,승리,럼블,Afreeca Summit,4,5,2,16146,5,19,3,153,6.8,0,1,9
11,60539,승리,자르반 4세,So1o,5,1,10,11926,2,16,4,116,5.1,0,1,9
12,60539,승리,르블랑,11 14 9 7 8 20,6,4,9,17256,2,11,5,159,7.1,0,1,9
13,60539,승리,미스 포츈,Rachel Berry,12,1,6,21727,5,12,6,154,6.8,0,1,9
14,60539,승리,나미,YOYOuuuuuO,3,3,9,8011,5,24,7,17,0.8,0,1,9
15,60539,패배,카밀,피넛사냥개2,4,7,4,11462,2,10,6,119,5.3,0,0,1
16,60539,패배,세주아니,Wilder,5,5,4,8146,4,43,10,117,5.2,0,0,1
17,60539,패배,오리아나,LFT MID,1,7,2,11550,3,9,2,160,7.1,0,0,1
18,60539,패배,칼리스타,LPL noob ad QAQ,3,6,2,11875,1,14,3,160,7.1,0,0,1
19,60539,패배,쓰레쉬,YserAoA,1,5,5,5418,5,18,5,28,1.2,0,0,1
20,60540,패배,이렐리아,뒷텔와드점,4,10,4,17954,3,25,1,247,8.0,0,1,3
21,60540,패배,니달리,DS XiaoPeng,12,6,10,22623,1,15,10,178,5.8,0,1,3
22,60540,패배,르블랑,덤벼보던가,5,10,12,17968,2,13,1,198,6.4,0,1,3
23,60540,패배,진,Rachel Berry,4,7,13,14791,2,13,1,189,6.2,0,1,3
24,60540,패배,미스 포츈,VIP 민형,8,9,13,23037,11,72,25,61,2.0,0,1,3
25,60540,승리,카밀,Heiz4,9,8,6,21082,0,13,7,200,6.5,2,2,8
26,60540,승리,자르반 4세,XinyiQAQ,8,9,20,22316,11,12,11,152,4.9,2,2,8
27,60540,승리,제이스,Rain1ng,9,5,10,26429,2,14,8,221,7.2,2,2,8
28,60540,승리,바루스,삼성갤럭시 Ru1er,7,4,13,23584,4,27,12,267,8.7,2,2,8
29,60540,승리,쉔,삼성갤럭시CoreJJ,9,7,13,11956,10,39,21,60,2.0,2,2,8
30,60541,패배,나르,SKT T1 Bang,0,5,1,7687,0,15,1,136,7.2,0,0,0
31,60541,패배,렝가,SKT T1 WoIf,3,6,0,2795,3,19,6,88,4.7,0,0,0
32,60541,패배,아지르,LFT MID,2,6,2,8583,4,9,5,151,8.0,0,0,0
33,60541,패배,진,Rachel Berry,0,5,2,6004,2,9,0,137,7.3,0,0,0
34,60541,패배,쉔,중요한건마음가짐,1,4,1,2478,7,17,2,38,2.0,0,0,0
35,60541,승리,갱플랭크,ysdgqxcj,1,0,8,7816,0,9,3,198,10.5,0,2,8
36,60541,승리,쉬바나,yizhiyu,10,1,11,14390,1,8,6,135,7.2,0,2,8
37,60541,승리,르블랑,풀 뜯는 미드,12,3,7,14970,4,14,0,127,6.8,0,2,8
38,60541,승리,애쉬,hard girl,1,1,4,5518,3,9,1,169,9.0,0,2,8
39,60541,승리,잔나,Dutch Coffee,2,1,14,5964,3,17,9,15,0.8,0,2,8
40,60542,승리,카밀,피넛사냥개2,8,1,3,13789,2,11,5,180,8.0,0,1,5
41,60542,승리,세주아니,Wilder,2,0,13,9473,5,31,5,119,5.3,0,1,5
42,60542,승리,말자하,혼자해도충분하다,2,3,4,5948,1,9,2,192,8.6,0,1,5
43,60542,승리,트리스타나,RRRuleRRR,5,5,5,14728,4,18,7,173,7.7,0,1,5
44,60542,승리,잔나,Rachel Berry,2,6,8,4248,5,21,5,11,0.5,0,1,5
45,60542,패배,제이스,Gon123,1,6,1,8353,1,10,4,138,6.2,0,0,2
46,60542,패배,자르반 4세,XinyiQAQ,3,4,7,8208,6,9,6,114,5.1,0,0,2
47,60542,패배,라이즈,FeelsAwesomeMan,3,3,3,8788,2,9,3,220,9.8,0,0,2
48,60542,패배,진,비 브이 오 와이,6,3,4,12175,2,8,4,200,8.9,0,0,2
49,60542,패배,레오나,fengquyunbuhui,2,3,8,4974,7,45,7,46,2.1,0,0,2
