,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,31274,패배,럼블,7hal,5,4,1,20905,3,9,1,264,9.7,0,1,5
1,31274,패배,카직스,sanspareil1,4,6,4,9845,8,27,12,134,4.9,0,1,5
2,31274,패배,코르키,성민콩,2,4,4,13960,3,11,6,250,9.2,0,1,5
3,31274,패배,시비르,Rain1ng,2,2,3,16728,0,8,13,235,8.7,0,1,5
4,31274,패배,레오나,호잇이,1,5,4,4895,10,36,26,63,2.3,0,1,5
5,31274,승리,마오카이,세메론,4,3,9,12065,0,12,4,195,7.2,1,1,7
6,31274,승리,리 신,PeanuToT,3,5,9,10464,3,44,7,156,5.7,1,1,7
7,31274,승리,탈리야,풀 뜯는 미드,7,4,5,20392,4,27,6,240,8.8,1,1,7
8,31274,승리,미스 포츈,FVV BETTY,4,2,8,12365,4,19,6,276,10.2,1,1,7
9,31274,승리,쉔,FeelsIronMan,3,0,11,5464,10,42,14,72,2.7,1,1,7
10,31275,패배,사이온,7hal,1,4,2,6676,0,16,4,123,6.1,0,0,1
11,31275,패배,니달리,h1rb,0,4,2,4692,2,12,8,106,5.3,0,0,1
12,31275,패배,라이즈,풀 뜯는 미드,2,2,2,10255,0,15,5,172,8.5,0,0,1
13,31275,패배,진,Rain1ng,5,4,2,9957,0,6,3,158,7.8,0,0,1
14,31275,패배,알리스타,supbest,1,5,5,4433,3,18,9,25,1.2,0,0,1
15,31275,승리,제이스,삶이힘든사람,5,2,6,8794,1,16,7,167,8.3,0,0,5
16,31275,승리,세주아니,점점나의마음이끌,4,0,9,7776,7,36,7,145,7.2,0,0,5
17,31275,승리,카사딘,Delicious Fish,7,1,2,9573,2,9,3,162,8.0,0,0,5
18,31275,승리,미스 포츈,Lucete,1,4,8,9395,2,7,2,139,6.9,0,0,5
19,31275,승리,브라움,DaYE,2,2,10,3871,3,20,7,39,1.9,0,0,5
20,31276,승리,카밀,Heiz4,9,8,6,21082,0,13,7,200,6.5,2,2,8
21,31276,승리,자르반 4세,XinyiQAQ,8,9,20,22316,11,12,11,152,4.9,2,2,8
22,31276,승리,제이스,Rain1ng,9,5,10,26429,2,14,8,221,7.2,2,2,8
23,31276,승리,바루스,삼성갤럭시 Ru1er,7,4,13,23584,4,27,12,267,8.7,2,2,8
24,31276,승리,쉔,삼성갤럭시CoreJJ,9,7,13,11956,10,39,21,60,2.0,2,2,8
25,31276,패배,이렐리아,뒷텔와드점,4,10,4,17954,3,25,1,247,8.0,0,1,3
26,31276,패배,니달리,DS XiaoPeng,12,6,10,22623,1,15,10,178,5.8,0,1,3
27,31276,패배,르블랑,덤벼보던가,5,10,12,17968,2,13,1,198,6.4,0,1,3
28,31276,패배,진,Rachel Berry,4,7,13,14791,2,13,1,189,6.2,0,1,3
29,31276,패배,미스 포츈,VIP 민형,8,9,13,23037,11,72,25,61,2.0,0,1,3
30,31277,패배,사이온,Eth4n,1,3,6,8506,1,9,4,122,5.3,0,0,0
31,31277,패배,리 신,Rain1ng,6,5,8,11374,4,21,6,99,4.3,0,0,0
32,31277,패배,탈리야,chirchri,4,10,9,16801,3,24,13,154,6.7,0,0,0
33,31277,패배,진,아트가 앗뜨거,7,6,6,18678,4,9,4,173,7.5,0,0,0
34,31277,패배,탐 켄치,진에어 저스티스,1,9,4,4842,2,21,12,31,1.3,0,0,0
35,31277,승리,제이스,해운대잠만보,4,6,4,13008,1,15,0,140,6.1,1,1,9
36,31277,승리,카직스,PeanuToT,5,3,4,8262,6,21,7,139,6.1,1,1,9
37,31277,승리,라이즈,송하영 팬,12,4,9,22564,2,11,7,160,7.0,1,1,9
38,31277,승리,칼리스타,GALAAAA,9,3,7,17544,2,19,5,220,9.6,1,1,9
39,31277,승리,알리스타,By myself,2,3,17,6386,13,50,7,25,1.1,1,1,9
