,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60976,패배,제이스,젊은 사랑,3,6,3,19108,3,13,2,185,7.9,0,0,0
1,60976,패배,리 신,Reborn3,6,6,3,9955,7,23,5,106,4.5,0,0,0
2,60976,패배,라이즈,웨이 지안,2,4,4,9473,8,18,8,181,7.7,0,0,0
3,60976,패배,진,벤센트불탄,0,3,4,7763,0,7,3,157,6.7,0,0,0
4,60976,패배,제라스,무이무익,3,3,3,14436,3,12,0,16,0.7,0,0,0
5,60976,승리,자르반 4세,Taitei letgodori,4,6,3,10667,2,11,4,151,6.4,1,1,8
6,60976,승리,쉬바나,Gon123,8,3,7,13263,0,4,4,143,6.1,1,1,8
7,60976,승리,탈리야,mcmglllc,3,1,11,13539,4,23,5,228,9.7,1,1,8
8,60976,승리,이즈리얼,Atlen,5,2,8,12738,0,11,0,152,6.5,1,1,8
9,60976,승리,알리스타,walking300 fan,2,2,12,4786,5,16,5,27,1.1,1,1,8
10,60977,승리,요릭,나는여자가좋아요,3,3,2,9793,0,5,3,237,9.4,1,1,9
11,60977,승리,리 신,Reborn3,2,5,17,12938,4,21,2,112,4.4,1,1,9
12,60977,승리,카사딘,젊은 사랑,20,6,4,31880,5,8,7,170,6.7,1,1,9
13,60977,승리,미스 포츈,벤센트불탄,8,5,17,24793,0,5,5,170,6.7,1,1,9
14,60977,승리,제라스,TaNa OuO,5,2,11,13304,6,31,14,47,1.9,1,1,9
15,60977,패배,나르,Taitei letgodori,7,6,7,20971,2,19,0,159,6.3,0,1,4
16,60977,패배,자르반 4세,6 18 5 25 1,2,7,5,6751,2,15,0,123,4.9,0,1,4
17,60977,패배,갱플랭크,I Must Go Top,9,5,4,23278,3,23,4,253,10.0,0,1,4
18,60977,패배,칼리스타,공대누나쀼2,0,12,7,10146,0,4,0,146,5.8,0,1,4
19,60977,패배,나미,YOYOuuuuuO,3,8,13,11098,4,23,7,21,0.8,0,1,4
20,60978,승리,올라프,Super Secret,5,1,3,12090,1,5,1,197,8.8,1,1,6
21,60978,승리,자르반 4세,dafdfdsdsffsd,6,4,18,13252,3,16,4,132,5.9,1,1,6
22,60978,승리,조이,젊은 사랑,17,5,10,26093,2,11,2,132,5.9,1,1,6
23,60978,승리,진,Reborn3,1,3,13,13149,3,11,2,161,7.2,1,1,6
24,60978,승리,쉔,TaNa OuO,4,1,17,8981,5,24,11,46,2.1,1,1,6
25,60978,패배,피오라,서울강남개포4동,2,7,2,9524,0,8,1,128,5.7,0,1,1
