,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50554,패배,일라오이,MVP ADD,2,5,0,9698,3,11,0,104,6.5,0,0,0
1,50554,패배,렝가,SKT T1 WoIf,0,7,1,2837,2,8,0,65,4.0,0,0,0
2,50554,패배,제이스,Lucete,4,6,0,5722,3,9,0,89,5.5,0,0,0
3,50554,패배,티모,학식먹을나이,2,6,0,5073,1,7,1,95,5.9,0,0,0
4,50554,패배,제라스,김메피,0,4,1,3460,4,7,0,38,2.4,0,0,0
5,50554,승리,오른,KDM Edge,1,1,5,10246,1,3,0,98,6.1,0,1,4
6,50554,승리,이즈리얼,작전동 노란머리,10,2,3,10136,3,8,2,94,5.8,0,1,4
7,50554,승리,말자하,피넛사냥개1,9,4,1,8079,0,7,0,120,7.5,0,1,4
8,50554,승리,진,PuncHh,4,1,3,4454,1,6,1,128,8.0,0,1,4
9,50554,승리,카르마,슬프다고말하면,4,0,11,8608,3,13,5,11,0.7,0,1,4
10,50555,승리,카밀,이도류,2,3,3,8283,2,8,4,120,7.4,0,1,4
11,50555,승리,렝가,SKT T1 WoIf,6,3,5,7518,4,9,6,80,5.0,0,1,4
12,50555,승리,르블랑,아 백,7,1,3,9016,2,14,6,110,6.8,0,1,4
13,50555,승리,시비르,RRRuleRRR,2,2,4,6665,1,14,4,124,7.7,0,1,4
14,50555,승리,알리스타,담원 얼라이브,4,2,5,5308,5,11,1,27,1.7,0,1,4
15,50555,패배,피오라,BKKK,2,4,1,5348,2,7,0,78,4.8,0,0,0
16,50555,패배,렉사이,wo yao qu daye,4,4,3,6327,5,22,6,90,5.6,0,0,0
17,50555,패배,조이,작전동 노란머리,1,5,4,7919,2,13,5,98,6.1,0,0,0
18,50555,패배,진,김메피,2,3,1,6710,2,8,1,89,5.5,0,0,0
19,50555,패배,나서스,진쟤승,2,5,0,8123,0,6,1,34,2.1,0,0,0
