,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10354,승리,올라프,Super Secret,4,4,16,20412,2,6,10,270,8.1,2,2,9
1,10354,승리,렝가,해운대잠만보,5,5,21,21462,3,19,7,198,5.9,2,2,9
2,10354,승리,아지르,Sakura Devil,13,4,12,46862,0,31,1,323,9.7,2,2,9
3,10354,승리,칼리스타,구름꽃길만걷자,16,5,12,37173,3,11,11,285,8.6,2,2,9
4,10354,승리,쓰레쉬,Sim Student,2,3,22,8569,11,43,6,37,1.1,2,2,9
5,10354,패배,사이온,Co2dplay,0,7,11,15691,1,16,3,231,6.9,0,2,3
6,10354,패배,쉬바나,Cuz2,5,8,7,16840,2,4,16,227,6.8,0,2,3
7,10354,패배,벨코즈,스마트섹시뷰티,7,8,8,23367,3,14,4,212,6.4,0,2,3
8,10354,패배,이즈리얼,Peray,7,7,9,39121,2,19,2,248,7.4,0,2,3
9,10354,패배,알리스타,나는야베이베이1,2,10,8,8175,17,53,11,41,1.2,0,2,3
10,10355,승리,마오카이,푸딩은푸딩해,2,2,10,11292,1,7,2,194,8.3,0,1,6
11,10355,승리,세주아니,욘 드,5,1,8,10150,2,14,10,145,6.2,0,1,6
12,10355,승리,빅토르,Sakura Devil,5,1,5,15076,2,23,10,191,8.2,0,1,6
13,10355,승리,시비르,튀자튀자아,5,3,7,14657,1,7,8,233,9.9,0,1,6
14,10355,승리,쉔,Lvmao,6,2,10,9546,4,19,6,37,1.6,0,1,6
15,10355,패배,카밀,WENJUNXI,2,3,0,15450,1,11,0,157,6.7,0,1,1
16,10355,패배,리 신,커닝시티 피그미,2,3,4,6849,5,36,3,135,5.8,0,1,1
17,10355,패배,트위스티드 페이트,TeachersWu,0,6,4,9310,1,10,5,159,6.8,0,1,1
18,10355,패배,진,Afreeca Kramer,2,5,5,12337,5,19,3,180,7.7,0,1,1
19,10355,패배,제라스,FeelsLovelyMan,3,6,4,15543,7,23,5,31,1.3,0,1,1
20,10356,패배,피오라,리인제이,2,10,1,25865,2,32,2,167,6.1,0,1,2
21,10356,패배,카직스,Sakura Devil,4,8,6,14764,0,15,2,128,4.7,0,1,2
22,10356,패배,베이가,Heart,4,9,4,19354,2,14,2,207,7.6,0,1,2
23,10356,패배,이즈리얼,호주 AD,4,10,1,15290,0,11,9,224,8.2,0,1,2
24,10356,패배,나미,Empmuyi,0,8,9,7076,2,40,10,18,0.7,0,1,2
25,10356,승리,마오카이,푸딩은푸딩해,4,3,7,21774,0,8,3,224,8.2,1,0,10
26,10356,승리,리 신,카페베네설탕도둑,12,1,12,18157,0,20,7,142,5.2,1,0,10
27,10356,승리,아지르,republic123,13,4,6,26885,1,9,9,255,9.4,1,0,10
28,10356,승리,코그모,whisper snow,14,3,5,17489,0,15,4,264,9.7,1,0,10
29,10356,승리,쓰레쉬,루시퍼메이데이,2,3,19,8469,7,37,19,45,1.7,1,0,10
30,10357,패배,마오카이,Sakura Devil,1,7,24,22826,0,15,1,183,5.2,1,2,5
31,10357,패배,세주아니,M1anhua,6,6,17,17304,13,70,17,154,4.3,1,2,5
32,10357,패배,탈리야,he  nan    yu,6,7,20,41382,2,17,12,222,6.3,1,2,5
33,10357,패배,트리스타나,whisper snow,22,5,8,49678,0,13,13,321,9.0,1,2,5
34,10357,패배,알리스타,walking300 fan,4,10,22,9350,10,38,5,26,0.7,1,2,5
35,10357,승리,나르,my head,8,7,12,33619,3,17,4,266,7.5,1,1,10
36,10357,승리,자르반 4세,XinyiQAQ,6,10,18,17657,10,36,17,151,4.3,1,1,10
37,10357,승리,조이,담원 쇼메이커,8,7,15,50546,4,35,8,230,6.5,1,1,10
38,10357,승리,자야,11 14 9 7 8 20,13,7,7,54713,2,14,19,378,10.6,1,1,10
39,10357,승리,타릭,Empmuyi,0,8,24,5748,7,43,8,51,1.4,1,1,10
40,10358,승리,요릭,VIP 민형,5,4,17,30458,3,6,6,250,8.6,0,4,7
41,10358,승리,리 신,9346,7,7,13,10976,3,43,4,122,4.2,0,4,7
42,10358,승리,아지르,Sakura Devil,10,3,14,31666,4,36,9,290,9.9,0,4,7
43,10358,승리,진,해강고원딜 팬,10,9,12,20696,3,12,7,170,5.8,0,4,7
44,10358,승리,제라스,T 1 a n,10,6,11,17551,3,29,11,64,2.2,0,4,7
45,10358,패배,사이온,Gazuaaaaaaa,8,4,7,16359,2,27,1,215,7.4,1,0,7
46,10358,패배,카직스,우철짱123,3,9,8,12068,6,22,10,133,4.6,1,0,7
