,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60717,승리,카밀,mide gui tou,4,9,9,15395,3,19,4,232,6.7,1,2,6
1,60717,승리,카직스,Seroum,13,3,13,27536,3,8,17,179,5.2,1,2,6
2,60717,승리,르블랑,11 14 9 7 8 20,17,7,9,46389,5,20,8,261,7.6,1,2,6
3,60717,승리,애쉬,아트가 앗뜨거,4,2,13,25492,4,13,20,352,10.2,1,2,6
4,60717,승리,브라움,Dutch Coffee,3,3,20,8680,8,44,19,61,1.8,1,2,6
5,60717,패배,제이스,PuncHh,10,12,4,28097,1,35,9,288,8.4,0,3,3
6,60717,패배,쉬바나,J Spectre G,2,7,10,18710,4,10,13,200,5.8,0,3,3
7,60717,패배,아지르,마산가자,2,13,4,22668,7,22,3,233,6.8,0,3,3
8,60717,패배,진,혼자해도충분하다,5,4,6,19032,1,14,6,264,7.7,0,3,3
9,60717,패배,레오나,Nem2sis,5,5,6,7961,11,72,13,61,1.8,0,3,3
10,60718,승리,오른,Eth4n,3,1,7,14011,3,15,6,221,7.5,2,1,10
11,60718,승리,카직스,Seroum,9,3,4,18473,2,7,9,137,4.7,2,1,10
12,60718,승리,카시오페아,진에어 저스티스,4,1,3,16480,8,10,7,288,9.8,2,1,10
13,60718,승리,미스 포츈,LPL noob ad QAQ,0,3,12,16844,2,11,4,275,9.4,2,1,10
14,60718,승리,타릭,토마토페이스트,2,1,9,6207,5,33,8,69,2.3,2,1,10
15,60718,패배,나르,챌린져 등반가,1,5,0,9545,5,25,6,249,8.5,0,2,3
16,60718,패배,쉬바나,THE KING 2000,0,3,1,5094,1,21,6,224,7.6,0,2,3
17,60718,패배,탈리야,푸딩은푸딩해,3,4,4,23732,0,7,3,262,8.9,0,2,3
18,60718,패배,진,먹는건즐거워,5,1,2,14867,4,13,5,260,8.8,0,2,3
19,60718,패배,알리스타,YserAoA,0,5,5,6225,8,37,5,34,1.2,0,2,3
20,60719,패배,잭스,TOP아빠,7,8,9,38191,9,33,4,356,9.0,1,2,8
21,60719,패배,렝가,Seroum,6,4,8,25739,5,10,12,194,4.9,1,2,8
22,60719,패배,탈리야,최석배 사생팬,7,5,7,30816,7,14,8,400,10.1,1,2,8
23,60719,패배,칼리스타,fengquyunbuhui,5,8,9,16181,1,16,20,324,8.1,1,2,8
24,60719,패배,미스 포츈,Find Realey,3,10,7,16166,9,102,28,74,1.9,1,2,8
25,60719,승리,마오카이,Nem2sis,1,3,7,27017,3,20,5,286,7.2,1,0,8
26,60719,승리,카직스,9346,10,8,6,24949,3,21,19,173,4.4,1,0,8
27,60719,승리,트위스티드 페이트,UcaL,6,6,8,25250,4,18,5,426,10.7,1,0,8
28,60719,승리,진,구름꽃길만걷자,16,4,8,42181,3,13,15,368,9.3,1,0,8
29,60719,승리,쉔,Nova1,2,7,17,7077,26,80,33,89,2.2,1,0,8
30,60720,승리,나르,kfo,4,3,4,15902,1,9,2,213,8.6,0,1,8
31,60720,승리,카직스,Seroum,8,2,6,11431,2,9,10,108,4.4,0,1,8
32,60720,승리,제라스,YserAoA,5,1,8,16034,3,12,6,201,8.1,0,1,8
33,60720,승리,미스 포츈,Rachel Berry,3,1,8,12132,4,14,9,173,7.0,0,1,8
34,60720,승리,알리스타,천천히올라감,1,1,16,6056,5,27,7,40,1.6,0,1,8
35,60720,패배,케넨,Kerla,3,3,2,12942,0,11,2,162,6.5,0,0,1
