,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10730,패배,갱플랭크,피넛사냥개2,1,10,3,14356,1,10,1,154,6.9,0,1,1
1,10730,패배,렝가,오억만,3,4,6,9818,1,20,11,129,5.8,0,1,1
2,10730,패배,말자하,최석배 사생팬,2,3,5,9360,2,7,11,176,7.9,0,1,1
3,10730,패배,진,SnakeLight,2,4,3,7663,0,6,3,212,9.5,0,1,1
4,10730,패배,타릭,스마트섹시뷰티,2,2,5,3500,7,22,7,53,2.4,0,1,1
5,10730,승리,카밀,덤벼보던가,8,3,5,21773,1,10,2,181,8.1,0,1,6
6,10730,승리,니달리,분당고 엄성현,8,2,6,10057,3,17,8,160,7.1,0,1,6
7,10730,승리,오리아나,PawN God,3,0,4,11745,5,26,7,249,11.1,0,1,6
8,10730,승리,미스 포츈,FVV BETTY,4,1,3,12992,3,13,2,205,9.1,0,1,6
9,10730,승리,알리스타,BKKK,0,4,8,4169,4,28,4,30,1.3,0,1,6
10,10731,패배,나르,분당고 엄성현,8,3,3,16814,4,26,7,181,7.5,0,0,2
11,10731,패배,카직스,TeawaN,6,6,3,11344,5,22,6,117,4.8,0,0,2
12,10731,패배,트위스티드 페이트,SnakeLight,0,7,6,7372,3,9,3,176,7.3,0,0,2
13,10731,패배,칼리스타,FVV BETTY,1,5,3,7928,2,10,6,193,8.0,0,0,2
14,10731,패배,알리스타,Mengqiuqiu,1,7,5,5900,7,20,5,33,1.4,0,0,2
15,10731,승리,케넨,학교밀베포친키,2,8,8,10864,2,18,4,167,6.9,1,2,7
16,10731,승리,렝가,스마트섹시뷰티,11,3,9,16283,2,18,8,120,5.0,1,2,7
17,10731,승리,라이즈,PawN God,4,0,16,17288,6,16,10,195,8.1,1,2,7
18,10731,승리,진,비 브이 오 와이,10,2,9,19662,5,13,5,199,8.2,1,2,7
19,10731,승리,탐 켄치,호경모드,1,3,18,6943,9,26,9,47,1.9,1,2,7
