,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3678,패배,나르,우에하라 크롱,4,6,5,10771,4,14,0,175,7.2,1,0,2
1,3678,패배,세주아니,F0y,4,2,7,8713,5,43,11,126,5.1,1,0,2
2,3678,패배,르블랑,피넛사냥개1,9,6,5,17979,5,16,1,184,7.5,1,0,2
3,3678,패배,진,BKKK,0,5,3,6929,1,9,6,172,7.0,1,0,2
4,3678,패배,바드,So1o,3,7,4,7958,5,26,7,19,0.8,1,0,2
5,3678,승리,갱플랭크,쌀국수뚝붸기,4,6,3,8449,0,9,2,189,7.7,0,0,6
6,3678,승리,자르반 4세,오억만,6,5,8,15976,3,16,7,170,6.9,0,0,6
7,3678,승리,라이즈,마산가자,8,4,4,19682,4,12,8,193,7.9,0,0,6
8,3678,승리,이즈리얼,FVV BETTY,7,3,5,17155,3,15,7,207,8.5,0,0,6
9,3678,승리,카르마,PuncHh,1,2,12,10934,11,29,13,18,0.7,0,0,6
10,3679,승리,사이온,Gazuaaaaaaa,2,1,12,15946,10,26,6,292,7.6,2,4,8
11,3679,승리,니달리,So1o,13,7,9,26833,1,26,15,217,5.7,2,4,8
12,3679,승리,탈리야,송하영 팬,11,5,8,31873,2,19,5,322,8.4,2,4,8
13,3679,승리,트리스타나,KDM SSol,10,4,10,48219,2,25,10,375,9.8,2,4,8
14,3679,승리,알리스타,KDM 유준,1,6,17,7281,13,52,16,35,0.9,2,4,8
15,3679,패배,제이스,우에하라 크롱,3,6,6,26328,4,41,10,298,7.8,0,0,3
16,3679,패배,세주아니,좋은날,0,12,9,11305,11,38,23,154,4.0,0,0,3
17,3679,패배,코르키,reMember Mistake,11,5,8,34868,5,23,10,377,9.9,0,0,3
18,3679,패배,미스 포츈,MVP Ian,2,8,9,27987,3,16,4,294,7.7,0,0,3
19,3679,패배,쉔,오억만,7,6,6,18089,0,53,11,92,2.4,0,0,3
20,3680,패배,카밀,TnTeddy,3,12,5,17463,0,18,2,145,6.1,0,0,0
21,3680,패배,니달리,So1o,4,10,3,7416,4,20,11,122,5.1,0,0,0
22,3680,패배,탈리야,최석배 사생팬,2,6,6,11645,2,9,4,222,9.3,0,0,0
23,3680,패배,미스 포츈,Greed A Pride,5,1,4,17245,5,21,2,165,6.9,0,0,0
24,3680,패배,마오카이,Lucete,0,7,5,4218,3,21,2,24,1.0,0,0,0
25,3680,승리,오른,Co1dplay,3,4,8,14012,1,9,4,144,6.0,0,2,8
26,3680,승리,렝가,w1sdom ovo,17,1,5,26357,2,18,11,141,5.9,0,2,8
27,3680,승리,애니비아,송하영 팬,2,3,8,12454,2,11,4,194,8.1,0,2,8
28,3680,승리,이즈리얼,KDM SSol,12,3,4,20080,1,13,5,176,7.4,0,2,8
29,3680,승리,카르마,강고릴,2,3,11,10035,7,20,7,26,1.1,0,2,8
30,3681,패배,카밀,Co1dplay,2,2,0,4076,2,9,5,140,7.1,0,0,0
31,3681,패배,카직스,So1o,0,2,2,3738,5,15,6,103,5.2,0,0,0
32,3681,패배,르블랑,Jin air Yaharong,1,4,0,7076,2,20,6,150,7.6,0,0,0
33,3681,패배,진,김메피,1,5,1,4470,2,9,3,150,7.6,0,0,0
34,3681,패배,제라스,강고릴,0,3,2,8103,1,9,8,33,1.7,0,0,0
35,3681,승리,제이스,Delicious Fish,5,1,0,14228,3,22,5,185,9.3,0,2,8
36,3681,승리,니달리,점점나의마음이끌,0,0,5,5608,4,19,7,125,6.3,0,2,8
37,3681,승리,탈리야,Lucete,3,1,3,10864,3,11,4,185,9.3,0,2,8
38,3681,승리,트리스타나,GALA,8,1,1,5634,4,19,4,190,9.6,0,2,8
