,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3239,승리,제이스,T 1 a n,9,6,4,26912,2,10,4,267,8.2,2,0,9
1,3239,승리,세주아니,dafdfdsdsffsd,7,3,12,18952,4,10,6,211,6.5,2,0,9
2,3239,승리,카사딘,커닝시티 피그미,5,6,13,23139,4,19,8,232,7.1,2,0,9
3,3239,승리,진,성혁님미드가신다,7,6,9,29943,7,17,4,216,6.6,2,0,9
4,3239,승리,잔나,Lvmao,0,2,20,16212,4,38,10,28,0.9,2,0,9
5,3239,패배,자르반 4세,Kingen,6,6,7,18388,4,17,7,295,9.0,0,3,7
6,3239,패배,쉬바나,스마트섹시뷰티,5,3,8,20532,6,8,14,190,5.8,0,3,7
7,3239,패배,라이즈,성민콩,6,6,5,22593,5,13,1,262,8.0,0,3,7
8,3239,패배,트리스타나,aeternitas,6,6,6,18751,0,12,4,277,8.5,0,3,7
9,3239,패배,알리스타,republic123,0,7,11,6370,4,20,5,38,1.2,0,3,7
10,3240,승리,마오카이,Kingen,1,5,10,9221,2,9,0,79,4.3,0,2,9
11,3240,승리,쉬바나,T 1 a n,10,2,4,12537,5,11,4,111,6.0,0,2,9
12,3240,승리,아지르,mide gui tou,5,0,9,10459,3,8,4,139,7.5,0,2,9
13,3240,승리,칼리스타,Yeeclipse,6,2,11,8176,1,8,1,131,7.1,0,2,9
14,3240,승리,제라스,성혁님미드가신다,6,2,7,12417,1,8,2,31,1.7,0,2,9
15,3240,패배,나르,마산가자,3,5,2,12910,1,8,0,112,6.0,0,0,0
16,3240,패배,니달리,F0y,3,3,1,6239,2,18,4,112,6.0,0,0,0
17,3240,패배,조이,By myself,3,4,2,10521,4,10,1,139,7.5,0,0,0
18,3240,패배,자야,wjhfjihtiu,0,8,3,5683,2,5,0,123,6.6,0,0,0
19,3240,패배,라칸,FVV BETTY,2,8,1,6428,3,12,1,7,0.4,0,0,0
20,3241,승리,아지르,mcmglllc,9,4,8,17233,2,11,4,245,9.5,1,3,9
21,3241,승리,블리츠크랭크,아이러니,2,2,17,7435,7,17,9,43,1.7,1,3,9
22,3241,승리,쉬바나,T 1 a n,8,4,14,21223,5,11,9,167,6.5,1,3,9
23,3241,승리,케넨,ROX Lindarang,12,1,11,23769,2,13,7,194,7.5,1,3,9
24,3241,승리,진,그러면안돼요짜샤,7,6,9,14459,7,13,3,175,6.8,1,3,9
25,3241,패배,카르마,SnakeLight,0,7,11,8086,3,21,2,28,1.1,0,0,2
