,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60916,승리,갱플랭크,당신을 영원히,10,3,5,23544,4,32,10,216,8.1,1,1,11
1,60916,승리,세주아니,p1g farm,10,3,10,15073,2,36,7,176,6.6,1,1,11
2,60916,승리,조이,Tae nooh,11,7,8,24792,2,29,6,138,5.2,1,1,11
3,60916,승리,드레이븐,xiaolonda,9,4,7,23862,4,15,10,203,7.6,1,1,11
4,60916,승리,알리스타,wdmdsyqf,1,2,19,7864,7,18,6,48,1.8,1,1,11
5,60916,패배,나르,돌잔치때도란잡음,2,7,3,20745,3,20,8,169,6.3,0,0,1
6,60916,패배,자르반 4세,커피물조절장인,5,12,3,8553,4,35,5,72,2.7,0,0,1
7,60916,패배,에코,이도류,6,10,4,16852,2,22,6,182,6.8,0,0,1
8,60916,패배,진,입이더러운사람,2,4,9,16199,1,8,2,172,6.5,0,0,1
9,60916,패배,제라스,덤벼보던가,4,8,9,20902,4,31,9,54,2.0,0,0,1
10,60917,승리,마오카이,YOYOuuuuuO,2,2,7,5539,1,8,3,152,6.1,1,0,7
11,60917,승리,그레이브즈,Tae nooh,4,5,9,14035,1,16,4,175,7.0,1,0,7
12,60917,승리,말자하,싸우지 마a,6,6,8,13978,3,11,3,186,7.4,1,0,7
13,60917,승리,이즈리얼,LPL noob ad QAQ,16,7,8,30105,0,12,2,185,7.4,1,0,7
14,60917,승리,카르마,ZSsunxiaochuan,2,4,19,9875,8,37,4,24,1.0,1,0,7
15,60917,패배,오른,xaxaxaxaxa,1,6,4,8773,0,11,4,186,7.4,0,1,3
16,60917,패배,이블린,모 모,11,3,6,13002,2,9,2,122,4.9,0,1,3
17,60917,패배,라이즈,Yaharong,5,6,6,10181,2,11,1,206,8.2,0,1,3
18,60917,패배,애쉬,republic123,4,8,10,14187,1,8,1,179,7.2,0,1,3
19,60917,패배,쓰레쉬,Gantz,3,7,12,6376,4,27,7,36,1.4,0,1,3
20,60918,패배,아칼리,J푸른하늘,5,7,7,9886,3,8,4,165,5.0,1,0,8
21,60918,패배,헤카림,좋은날,9,9,10,17372,5,8,4,148,4.4,1,0,8
22,60918,패배,아리,Tae nooh,5,3,11,27091,3,8,1,271,8.1,1,0,8
23,60918,패배,루시안,삼성갤럭시 Ru1er,9,10,11,26328,1,10,8,240,7.2,1,0,8
24,60918,패배,브라움,BtC Joker,1,8,18,6781,14,61,13,61,1.8,1,0,8
25,60918,승리,퀸,커피물조절장인,9,4,11,22923,3,15,2,234,7.0,1,1,7
26,60918,승리,자르반 4세,republic123,6,6,16,18122,3,5,5,127,3.8,1,1,7
27,60918,승리,말자하,PawN God,11,7,9,26342,4,17,4,305,9.2,1,1,7
28,60918,승리,자야,덤벼보던가,9,8,15,37674,5,16,3,306,9.2,1,1,7
29,60918,승리,룰루,진쟤승,2,5,26,5950,6,29,7,10,0.3,1,1,7
30,60919,승리,자르반 4세,돌잔치때도란잡음,6,4,11,20596,2,13,3,177,6.5,1,0,7
31,60919,승리,리 신,AAAA1234,18,5,5,19254,3,31,3,131,4.8,1,0,7
32,60919,승리,베이가,Tae nooh,16,9,14,35664,0,12,1,188,6.9,1,0,7
33,60919,승리,베인,삼성갤럭시 Ru1er,8,10,7,18598,4,9,8,170,6.3,1,0,7
34,60919,승리,제라스,진쟤승,5,7,16,20622,1,13,1,62,2.3,1,0,7
35,60919,패배,아칼리,J푸른하늘,8,9,5,14233,1,5,4,100,3.7,0,0,2
36,60919,패배,카직스,좋은날,9,11,6,14007,3,20,5,114,4.2,0,0,2
37,60919,패배,퀸,커피물조절장인,12,11,8,22223,2,13,1,178,6.6,0,0,2
38,60919,패배,진,덤벼보던가,4,8,20,20005,4,13,2,215,7.9,0,0,2
39,60919,패배,레오나,BtC Joker,2,14,13,5810,11,40,4,35,1.3,0,0,2
40,60920,패배,갱플랭크,bbq Tempt,2,6,3,9463,3,13,1,159,7.9,0,0,1
