,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50317,패배,마오카이,우철짱123,3,9,12,16882,5,19,9,201,5.4,1,2,5
1,50317,패배,자르반 4세,F0y,8,12,14,19084,5,22,15,173,4.7,1,2,5
2,50317,패배,아지르,Tank KK,9,4,7,31561,6,14,15,367,9.9,1,2,5
3,50317,패배,미스 포츈,whisper snow,8,7,9,23705,2,13,14,292,7.9,1,2,5
4,50317,패배,제라스,Fission,9,4,16,33354,3,50,7,80,2.2,1,2,5
5,50317,승리,나르,커피물조절장인,7,6,12,25482,1,18,6,271,7.3,1,1,8
6,50317,승리,니달리,Kingen,8,7,12,22426,7,30,15,171,4.6,1,1,8
7,50317,승리,제이스,RVS Poss,9,6,9,30356,4,25,11,319,8.6,1,1,8
8,50317,승리,이즈리얼,TnTeddy,11,9,11,44894,5,23,3,341,9.2,1,1,8
9,50317,승리,쓰레쉬,FlaSH Lucifer,1,9,14,7131,6,46,9,54,1.5,1,1,8
10,50318,승리,오른,우르프rider,4,0,1,5796,1,6,4,146,9.1,0,1,4
11,50318,승리,신 짜오,나는야베이베이1,2,2,4,3264,2,7,4,91,5.7,0,1,4
12,50318,승리,탈리야,Tank KK,6,2,1,10036,1,5,1,145,9.0,0,1,4
13,50318,승리,코그모,Martin VG,4,5,2,10410,0,6,0,131,8.2,0,1,4
14,50318,승리,잔나,우지나 나 갸영이,1,3,5,5701,1,11,4,11,0.7,0,1,4
15,50318,패배,제이스,돌잔치때도란잡음,2,6,1,5349,0,12,0,101,6.3,0,0,0
16,50318,패배,자르반 4세,rxyyyyyyyyyyyyy,0,1,8,2569,4,13,1,73,4.5,0,0,0
17,50318,패배,아리,F0y,1,3,0,3435,0,4,1,99,6.2,0,0,0
18,50318,패배,베인,Sorrymybad2,7,4,4,7405,0,2,0,108,6.7,0,0,0
19,50318,패배,나미,12월27,2,3,8,5900,6,18,1,10,0.6,0,0,0
20,50319,패배,제이스,JAG S0hwan,4,6,7,26537,6,40,6,355,10.3,0,0,4
21,50319,패배,엘리스,삼성갤럭시 하루,4,10,8,14173,10,59,13,144,4.2,0,0,4
22,50319,패배,피즈,By myself,6,8,11,18870,7,42,6,232,6.7,0,0,4
23,50319,패배,바루스,Tank KK,11,9,6,24594,2,13,5,218,6.3,0,0,4
24,50319,패배,제라스,삼성갤럭시CoreJJ,3,7,14,35691,8,62,11,47,1.4,0,0,4
25,50319,승리,마오카이,YeIl0w,3,2,15,19298,3,18,17,229,6.6,2,3,11
26,50319,승리,쉬바나,강고릴,5,6,8,12327,7,22,21,225,6.5,2,3,11
27,50319,승리,트위스티드 페이트,republic123,11,4,13,28103,1,11,9,266,7.7,2,3,11
28,50319,승리,미스 포츈,열심히하겠슴다,18,7,8,37905,4,15,19,233,6.8,2,3,11
29,50319,승리,레오나,구직자 쭈스,3,9,15,10700,14,38,14,48,1.4,2,3,11
30,50320,패배,리산드라,Tank KK,3,6,8,21218,2,12,3,217,7.2,1,1,4
31,50320,패배,렝가,분당고 엄성현,11,7,6,23725,4,27,12,154,5.1,1,1,4
32,50320,패배,조이,By myself,2,4,7,19492,7,19,5,214,7.1,1,1,4
33,50320,패배,진,republic123,4,8,8,21353,0,9,4,227,7.5,1,1,4
34,50320,패배,야스오,ROX 라바,6,11,6,11537,1,13,3,99,3.3,1,1,4
35,50320,승리,마오카이,JAG S0hwan,7,3,15,22800,4,15,1,202,6.7,0,1,9
36,50320,승리,니달리,마이엠브,8,5,13,15743,3,6,8,168,5.6,0,1,9
37,50320,승리,탈리야,Lucete,7,6,9,22741,3,22,5,230,7.6,0,1,9
38,50320,승리,트리스타나,wjhfjihtiu,8,8,12,13369,1,9,3,193,6.4,0,1,9
39,50320,승리,오른,진쟤승,6,4,20,15986,4,29,8,63,2.1,0,1,9
40,50321,패배,블라디미르,많이 보고 싶어요,1,9,6,13626,3,13,3,221,6.5,0,2,4
41,50321,패배,렉사이,F0y,8,3,5,12887,9,27,10,176,5.2,0,2,4
42,50321,패배,루시안,Tank KK,7,4,4,18651,2,24,9,335,9.8,0,2,4
43,50321,패배,트리스타나,fndasjkfkqw,5,4,2,15712,1,21,7,334,9.8,0,2,4
44,50321,패배,소라카,쪼렙이다말로하자,0,8,9,5650,7,43,7,21,0.6,0,2,4
45,50321,승리,제이스,find myself,11,6,7,34913,3,10,6,227,6.7,2,1,10
46,50321,승리,자르반 4세,정글노바,3,5,17,16425,14,17,11,222,6.5,2,1,10
47,50321,승리,말자하,LFT MID,3,5,8,18238,5,11,2,275,8.1,2,1,10
48,50321,승리,진,Dingchenyu,5,2,12,23255,3,16,16,297,8.7,2,1,10
49,50321,승리,제라스,검은머리사나이,6,3,5,21773,6,41,23,28,0.8,2,1,10
50,50322,승리,올라프,Super Secret,4,2,5,7655,2,6,9,181,8.2,0,2,4
51,50322,승리,신 짜오,Dingchenyu,8,4,8,13180,5,7,6,119,5.4,0,2,4
52,50322,승리,트위스티드 페이트,Tank KK,4,3,5,8857,4,13,3,220,9.9,0,2,4
53,50322,승리,이즈리얼,해강고 원딜,5,5,6,13669,1,13,3,171,7.7,0,2,4
54,50322,승리,조이,IndonesiaMassage,2,4,7,7050,11,31,23,33,1.5,0,2,4
55,50322,패배,케넨,우에하라 크롱,5,5,1,10172,4,11,1,171,7.7,0,1,1
56,50322,패배,리 신,망고코코아,8,7,6,10512,4,37,4,93,4.2,0,1,1
57,50322,패배,아지르,Zhongdan XD,3,4,3,8687,4,23,7,192,8.6,0,1,1
58,50322,패배,애쉬,아트가 앗뜨거,0,4,7,6552,0,8,1,184,8.3,0,1,1
59,50322,패배,카르마,YserAoA,2,3,7,6463,7,23,5,15,0.7,0,1,1
60,50323,패배,제이스,ysdgqxcj,0,4,1,7618,1,3,0,106,6.8,0,0,0
61,50323,패배,렉사이,이노리QAQ,1,4,0,1771,3,6,3,86,5.5,0,0,0
62,50323,패배,아지르,Tank KK,0,2,0,7300,1,3,1,122,7.8,0,0,0
63,50323,패배,미스 포츈,Atlen,0,4,2,5288,0,4,3,117,7.5,0,0,0
64,50323,패배,블리츠크랭크,MinKOOK2,2,2,1,2641,4,10,1,15,1.0,0,0,0
65,50323,승리,오른,격세지감,4,0,3,6299,0,6,0,149,9.6,0,1,6
66,50323,승리,누누,She Jinping,2,1,5,2857,2,21,1,81,5.2,0,1,6
67,50323,승리,제라스,Sakura Angel,2,0,4,6740,1,7,1,110,7.1,0,1,6
68,50323,승리,트리스타나,아이러니,4,1,4,8011,2,6,0,139,8.9,0,1,6
69,50323,승리,쓰레쉬,AGanQAQ,4,1,7,4617,4,12,6,21,1.4,0,1,6
70,50324,승리,갱플랭크,Fabu,2,3,7,12567,0,12,5,231,9.2,1,2,7
71,50324,승리,카직스,XinyiQAQ,4,2,7,13285,6,11,10,135,5.4,1,2,7
72,50324,승리,말자하,Tank KK,2,1,5,7213,2,6,8,276,11.0,1,2,7
73,50324,승리,미스 포츈,아이러니,8,0,2,19515,2,7,9,259,10.3,1,2,7
74,50324,승리,레오나,Kerla,0,1,13,4858,9,35,11,33,1.3,1,2,7
75,50324,패배,케넨,MVP ADD,3,4,2,9688,4,32,5,216,8.6,0,1,0
76,50324,패배,세주아니,우에하라 크롱,1,3,4,4158,3,21,9,103,4.1,0,1,0
77,50324,패배,오리아나,LFT MID,2,2,1,5721,2,7,5,233,9.2,0,1,0
78,50324,패배,트리스타나,ysdgqxcj,0,0,3,7152,3,10,0,218,8.7,0,1,0
79,50324,패배,쓰레쉬,Find Realey,1,7,2,3150,9,25,8,28,1.1,0,1,0
80,50325,패배,갱플랭크,Shiroma Anna,4,4,3,20983,3,13,2,207,8.3,0,0,2
81,50325,패배,자르반 4세,Tank KK,1,5,5,4879,3,40,8,125,5.0,0,0,2
82,50325,패배,트위스티드 페이트,상어가족,1,6,3,8012,2,7,3,166,6.7,0,0,2
83,50325,패배,이즈리얼,뽀허니,5,3,2,18948,1,12,3,193,7.8,0,0,2
84,50325,패배,바드,RVS Poss,0,6,7,8132,8,39,10,11,0.4,0,0,2
85,50325,승리,마오카이,로리쇼타조아욘,2,2,7,9742,1,11,7,166,6.7,1,1,8
86,50325,승리,세주아니,정글노바,5,3,10,8880,4,7,9,141,5.7,1,1,8
87,50325,승리,아지르,find myself,7,2,4,18723,2,10,11,227,9.1,1,1,8
88,50325,승리,케이틀린,Veritas522,8,0,2,15949,3,10,11,228,9.2,1,1,8
89,50325,승리,조이,DWG BeryL,2,4,10,12414,10,34,13,25,1.0,1,1,8
90,50326,승리,오른,빅파이초코파이,3,4,17,23937,1,21,2,287,7.2,1,4,10
91,50326,승리,리 신,P2k Key,10,11,13,17246,9,99,18,199,5.0,1,4,10
92,50326,승리,트위스티드 페이트,Tank KK,9,7,11,38394,1,18,6,383,9.6,1,4,10
93,50326,승리,트리스타나,fndasjkfkqw,12,6,11,38183,5,35,12,347,8.7,1,4,10
94,50326,승리,알리스타,Find Realey,3,7,25,14876,12,54,11,61,1.5,1,4,10
95,50326,패배,아칼리,J푸른하늘,3,11,9,14317,3,11,5,300,7.5,1,1,5
96,50326,패배,루시안,일견무시도성빈,9,7,14,20243,6,12,44,221,5.5,1,1,5
97,50326,패배,탈리야,으아으앙으아앙,8,7,17,55735,4,23,7,348,8.7,1,1,5
98,50326,패배,이즈리얼,RRRuleRRR,13,8,12,52941,3,19,20,368,9.2,1,1,5
99,50326,패배,브라움,꼬맹이전쟁,2,5,23,9672,4,46,19,82,2.0,1,1,5
100,50327,패배,사이온,삼성갤럭시 cuvee,3,8,6,12364,3,15,1,172,5.9,0,0,2
101,50327,패배,자르반 4세,sanspareil1,13,11,7,21737,7,12,6,151,5.2,0,0,2
102,50327,패배,아지르,Tank KK,9,9,8,25088,2,8,2,207,7.1,0,0,2
103,50327,패배,루시안,VIP 민형,9,6,15,30649,4,12,6,235,8.1,0,0,2
104,50327,패배,브라움,Find Realey,1,9,20,8807,4,26,7,60,2.1,0,0,2
105,50327,승리,제이스,p1g farm,19,7,7,39401,1,10,1,228,7.8,1,2,10
106,50327,승리,잭스,Cuz2,6,6,11,15987,0,10,5,167,5.7,1,2,10
107,50327,승리,말자하,wdmdsyqf,11,3,17,47509,1,10,2,226,7.8,1,2,10
108,50327,승리,칼리스타,RRRuleRRR,3,10,9,16129,6,18,4,214,7.3,1,2,10
109,50327,승리,소라카,LPL noob ad QAQ,4,9,23,10864,4,35,4,17,0.6,1,2,10
110,50328,패배,잭스,Iicorice,2,6,2,5343,2,5,0,89,4.9,0,0,0
111,50328,패배,리 신,not for self,1,4,1,2052,0,23,0,40,2.2,0,0,0
112,50328,패배,리산드라,Tank KK,3,4,2,9538,0,6,1,149,8.2,0,0,0
113,50328,패배,이즈리얼,Lz Tv SuShi,4,8,2,9320,1,7,1,86,4.8,0,0,0
114,50328,패배,바드,L1sure,1,5,5,8504,1,13,5,9,0.5,0,0,0
115,50328,승리,럼블,Flyquest Flame,5,5,6,10144,2,7,1,125,6.9,0,1,9
116,50328,승리,세주아니,이 차가 식기전에,7,0,9,9577,4,8,1,121,6.7,0,1,9
117,50328,승리,아지르,인정쓰,4,1,9,12206,0,4,2,143,7.9,0,1,9
118,50328,승리,칼리스타,FeelsWowMan,10,3,9,15237,2,8,3,107,5.9,0,1,9
119,50328,승리,쓰레쉬,twice손채영,1,2,18,5927,8,18,1,30,1.7,0,1,9
120,50329,패배,나르,DWG Nuguri,5,3,4,18750,6,16,2,230,8.4,0,0,7
121,50329,패배,엘리스,Lz Tv SuShi,7,9,5,10645,2,8,1,159,5.8,0,0,7
122,50329,패배,제라스,Tank KK,1,4,6,20109,1,12,2,250,9.2,0,0,7
123,50329,패배,드레이븐,FeelsWowMan,10,5,3,20057,4,13,12,202,7.4,0,0,7
124,50329,패배,소라카,Rousal,2,5,10,7178,7,27,7,14,0.5,0,0,7
125,50329,승리,마오카이,xaxaxaxaxa,2,5,10,11245,0,11,1,125,4.6,1,2,9
126,50329,승리,트리스타나,유내현,17,4,6,28677,0,9,6,175,6.4,1,2,9
127,50329,승리,오리아나,he  nan    yu,2,3,12,9749,3,14,1,183,6.7,1,2,9
128,50329,승리,자야,Afreeca Aiming,3,8,8,13035,3,11,2,216,7.9,1,2,9
129,50329,승리,알리스타,튀자튀자아,2,5,15,8018,7,38,5,34,1.2,1,2,9
130,50330,패배,마오카이,xaxaxaxaxa,2,8,0,10572,1,5,1,110,5.5,0,0,0
131,50330,패배,자르반 4세,Rousal,1,10,7,6769,3,7,6,71,3.5,0,0,0
132,50330,패배,베이가,Tank KK,1,7,0,2974,3,12,2,148,7.4,0,0,0
133,50330,패배,트리스타나,그러면안돼요짜샤,5,6,5,12602,1,8,2,146,7.3,0,0,0
134,50330,패배,룰루,Afreeca Aiming,5,7,6,6874,4,10,9,25,1.2,0,0,0
135,50330,승리,잭스,DWG Nuguri,4,3,8,16383,5,11,1,157,7.8,0,2,11
136,50330,승리,엘리스,Lz Tv SuShi,10,3,9,11608,3,10,1,105,5.2,0,2,11
137,50330,승리,아지르,유내현,10,2,8,14903,2,11,6,193,9.6,0,2,11
138,50330,승리,칼리스타,튀자튀자아,8,3,10,13115,2,7,3,167,8.3,0,2,11
139,50330,승리,레오나,DWG BeryL,5,3,21,7494,5,36,3,34,1.7,0,2,11
140,50331,승리,피오라,Meow OuO,12,1,3,16150,3,35,2,274,8.9,1,1,10
141,50331,승리,렉사이,TeawaN,2,5,8,9581,9,16,15,166,5.4,1,1,10
142,50331,승리,아지르,Tank KK,6,5,6,19026,1,9,4,320,10.4,1,1,10
143,50331,승리,트리스타나,Fate Rin,6,2,9,15874,3,14,14,273,8.9,1,1,10
144,50331,승리,바드,RVS Poss,1,4,11,6687,9,45,16,26,0.8,1,1,10
145,50331,패배,잭스,Heiz4,2,15,3,14747,0,9,3,242,7.9,0,2,3
146,50331,패배,자르반 4세,cbzOvO,5,3,7,7403,4,46,6,154,5.0,0,2,3
147,50331,패배,오리아나,whisper snow,5,3,7,13307,5,15,6,280,9.1,0,2,3
148,50331,패배,미스 포츈,STITCH1,5,4,5,17516,5,13,6,290,9.5,0,2,3
149,50331,패배,레오나,분당고 엄성현,0,2,14,7221,5,41,16,58,1.9,0,2,3
150,50332,승리,제이스,Meow OuO,5,1,2,7698,2,8,1,123,7.9,0,0,7
151,50332,승리,렉사이,BtC RYAN,2,2,9,5396,0,14,3,97,6.2,0,0,7
152,50332,승리,트위스티드 페이트,Tank KK,5,0,6,7654,1,4,0,154,9.9,0,0,7
153,50332,승리,이즈리얼,아삭아삭아삭,7,2,5,9922,1,8,0,132,8.5,0,0,7
154,50332,승리,레오나,IgNar,4,1,8,3752,2,15,2,18,1.2,0,0,7
155,50332,패배,말파이트,xaxaxaxaxa,1,3,3,3709,0,6,0,75,4.8,0,0,0
156,50332,패배,신 짜오,뿡뿡뿡뿡뿡쁑,2,5,1,4954,1,13,2,53,3.4,0,0,0
157,50332,패배,탈리야,꾸자니 똑땅해,1,6,3,5797,0,6,0,103,6.6,0,0,0
158,50332,패배,자야,상어가족,0,5,2,2910,0,5,0,81,5.2,0,0,0
159,50332,패배,라칸,FeelsLovelyMan,2,4,3,3457,18,82,1,6,0.4,0,0,0
160,50333,패배,오른,문장 분석기,1,4,1,5119,0,41,0,99,5.8,0,0,0
161,50333,패배,니달리,Lz Tv SuShi,2,2,0,2938,3,9,7,78,4.6,0,0,0
162,50333,패배,베이가,Tank KK,1,2,0,2007,2,4,0,107,6.3,0,0,0
163,50333,패배,케이틀린,튀자튀자아,0,6,0,3775,1,3,2,102,6.0,0,0,0
164,50333,패배,레오나,온몸에 담,0,4,0,871,2,238,2,20,1.2,0,0,0
165,50333,승리,나르,IGS Bear,3,2,2,9456,2,7,2,123,7.2,0,0,10
166,50333,승리,카직스,IGS Coli,6,1,3,5751,3,14,0,130,7.6,0,0,10
167,50333,승리,탈리야,뿡뿡뿡뿡뿡쁑,3,0,1,8257,3,14,1,151,8.8,0,0,10
168,50333,승리,이즈리얼,6학년4반장용준,4,1,5,11163,0,6,2,177,10.4,0,0,10
169,50333,승리,잔나,7895123,2,0,9,4791,4,15,5,11,0.6,0,0,10
170,50334,패배,잭스,Iicorice,13,6,3,28193,3,15,1,255,7.6,1,0,6
171,50334,패배,자르반 4세,republic123,10,12,12,16839,1,5,3,109,3.2,1,0,6
172,50334,패배,아지르,Tank KK,2,9,6,12858,2,11,1,224,6.7,1,0,6
173,50334,패배,자야,GG00NG,4,4,7,13321,0,14,2,256,7.6,1,0,6
174,50334,패배,라칸,승 로,1,7,21,7053,1,45,4,13,0.4,1,0,6
175,50334,승리,올라프,코w코,12,5,8,25690,2,17,2,239,7.1,1,3,9
176,50334,승리,카직스,SKT T1 BIank,9,6,11,24453,2,7,2,185,5.5,1,3,9
177,50334,승리,말자하,FW Maple,7,5,14,29412,7,18,0,305,9.1,1,3,9
178,50334,승리,케이틀린,담원 얼라이브,2,9,11,16930,6,14,8,278,8.3,1,3,9
179,50334,승리,카르마,담원 호잇이,8,5,18,27113,0,9,5,54,1.6,1,3,9
180,50335,패배,마오카이,Tank KK,1,2,0,4474,0,5,4,146,8.6,0,0,0
181,50335,패배,자르반 4세,Only caozuo,0,2,3,2786,2,7,3,78,4.6,0,0,0
