,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10019,패배,피들스틱,Tar2an,6,17,31,43269,7,14,2,143,3.6,2,2,6
1,10019,패배,칼리스타,담원 크러쉬,17,13,21,47122,0,8,3,206,5.1,2,2,6
2,10019,패배,다이애나,7 5,19,15,12,45825,0,17,4,310,7.7,2,2,6
3,10019,패배,아지르,이도류,15,15,17,43384,3,19,7,229,5.7,2,2,6
4,10019,패배,바드,Lehends,5,20,33,20673,15,48,2,31,0.8,2,2,6
5,10019,승리,오른,호잇이,7,8,47,30280,0,11,2,76,1.9,1,0,11
6,10019,승리,자르반 4세,DWG ShowMaker,22,15,32,45246,5,17,5,157,3.9,1,0,11
7,10019,승리,애쉬,TnTeddy,27,14,31,58788,3,15,9,270,6.7,1,0,11
8,10019,승리,다리우스,진쟤승,17,13,14,35806,0,13,1,193,4.8,1,0,11
9,10019,승리,마오카이,마이엠브,7,13,34,44419,6,24,6,115,2.9,1,0,11
10,10020,패배,잭스,DWG Nuguri,3,8,8,20252,6,24,10,342,8.8,0,2,6
11,10020,패배,카직스,handcIap,7,4,8,18513,6,9,7,144,3.7,0,2,6
12,10020,패배,카사딘,Tar2an,5,3,7,22921,5,24,6,309,8.0,0,2,6
13,10020,패배,진,Dingchenyu,4,4,7,29207,3,16,13,410,10.6,0,2,6
14,10020,패배,알리스타,IndonesiaMassage,1,7,15,7157,15,49,15,30,0.8,0,2,6
15,10020,승리,오른,이도류,6,4,10,30853,3,22,4,299,7.7,2,2,8
16,10020,승리,리 신,땅우양,3,4,10,14192,1,31,6,180,4.7,2,2,8
17,10020,승리,카타리나,I am ZIatan,11,5,9,33915,3,22,5,284,7.3,2,2,8
18,10020,승리,케이틀린,deft123456,4,4,13,32118,4,20,10,382,9.9,2,2,8
19,10020,승리,라칸,토마토페이스트,2,3,14,11385,12,53,9,11,0.3,2,2,8
20,10021,승리,뽀삐,누구를 위한,5,4,10,18994,1,13,2,172,5.6,1,3,10
21,10021,승리,자르반 4세,ROX Se0ngHwan,4,4,19,13599,6,20,12,136,4.4,1,3,10
22,10021,승리,아지르,Jin air Yaharong,8,3,13,30088,4,14,5,250,8.1,1,3,10
23,10021,승리,트리스타나,Tar2an,11,4,11,25890,0,12,11,211,6.9,1,3,10
24,10021,승리,오른,유내현,2,6,17,12447,11,42,7,67,2.2,1,3,10
25,10021,패배,레넥톤,땅우양,6,6,5,14609,0,12,3,254,8.3,0,0,3
26,10021,패배,그라가스,MVP Beyond,2,5,4,11838,7,25,11,104,3.4,0,0,3
27,10021,패배,르블랑,PawN God,4,10,6,14131,7,19,3,185,6.0,0,0,3
28,10021,패배,자야,Veritas522,7,4,11,28750,4,14,4,268,8.7,0,0,3
29,10021,패배,소나,ESRS10,2,5,13,12691,12,35,12,21,0.7,0,0,3
30,10022,승리,제이스,Jisu2,4,2,2,10912,1,11,2,187,8.4,0,0,5
31,10022,승리,세주아니,Tar2an,8,1,9,10469,8,14,3,101,4.6,0,0,5
32,10022,승리,에코,PawN God,3,4,7,13782,1,10,3,152,6.9,0,0,5
33,10022,승리,케이틀린,L1sure,7,5,11,18868,2,9,3,138,6.2,0,0,5
34,10022,승리,알리스타,Dutch Coffee,3,4,8,4809,6,20,7,27,1.2,0,0,5
35,10022,패배,럼블,땅우양,2,3,4,8744,2,10,1,172,7.8,0,0,0
36,10022,패배,리 신,나는야베이베이1,5,7,6,6640,8,24,3,78,3.5,0,0,0
37,10022,패배,신드라,kn9ght,4,5,4,13020,1,9,3,179,8.1,0,0,0
38,10022,패배,트리스타나,FeelsWowMan,5,5,2,13885,1,9,1,144,6.5,0,0,0
39,10022,패배,브라움,멘탈 실력 운,0,5,7,4918,4,17,2,23,1.0,0,0,0
40,10023,승리,잭스,수영장파티박종우,3,5,1,9504,1,7,2,145,6.7,1,0,4
41,10023,승리,엘리스,Tar2an,4,2,12,11271,7,13,7,85,3.9,1,0,4
42,10023,승리,탈리야,ROX Iava,12,0,6,19059,2,11,4,191,8.8,1,0,4
43,10023,승리,이즈리얼,NekoL,7,3,7,14616,3,7,5,139,6.4,1,0,4
