,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40793,패배,카밀,TnTeddy,3,12,5,17463,0,18,2,145,6.1,0,0,0
1,40793,패배,니달리,So1o,4,10,3,7416,4,20,11,122,5.1,0,0,0
2,40793,패배,탈리야,최석배 사생팬,2,6,6,11645,2,9,4,222,9.3,0,0,0
3,40793,패배,미스 포츈,Greed A Pride,5,1,4,17245,5,21,2,165,6.9,0,0,0
4,40793,패배,마오카이,Lucete,0,7,5,4218,3,21,2,24,1.0,0,0,0
5,40793,승리,오른,Co1dplay,3,4,8,14012,1,9,4,144,6.0,0,2,8
6,40793,승리,렝가,w1sdom ovo,17,1,5,26357,2,18,11,141,5.9,0,2,8
7,40793,승리,애니비아,송하영 팬,2,3,8,12454,2,11,4,194,8.1,0,2,8
8,40793,승리,이즈리얼,KDM SSol,12,3,4,20080,1,13,5,176,7.4,0,2,8
9,40793,승리,카르마,강고릴,2,3,11,10035,7,20,7,26,1.1,0,2,8
10,40794,승리,카밀,TnTeddy,1,7,5,12730,2,13,3,213,8.2,0,2,6
11,40794,승리,쉬바나,75387,7,2,2,8106,6,12,15,171,6.6,0,2,6
12,40794,승리,코르키,ysdgqxcj,10,1,2,23028,2,12,11,280,10.8,0,2,6
13,40794,승리,코그모,6학년4반장용준,2,3,2,11232,1,11,5,249,9.6,0,2,6
14,40794,승리,브라움,GuGer,0,3,6,5956,10,31,18,61,2.3,0,2,6
15,40794,패배,나르,Co1dplay,4,3,3,12332,3,25,4,222,8.5,0,1,4
16,40794,패배,엘리스,마이엠브,7,4,4,14315,10,29,6,136,5.2,0,1,4
17,40794,패배,조이,PawN God,2,7,4,13032,3,24,4,209,8.0,0,1,4
18,40794,패배,미스 포츈,GALA,3,4,2,13559,2,19,3,190,7.3,0,1,4
19,40794,패배,알리스타,강고릴,0,2,5,2949,9,31,7,37,1.4,0,1,4
20,40795,패배,럼블,암고잉빽투더스탙,2,7,6,12440,3,17,16,288,8.8,0,0,2
21,40795,패배,카직스,매우뚱뚱한고양이,7,7,4,16785,2,14,5,155,4.8,0,0,2
22,40795,패배,조이,Jin air Yaharong,4,7,9,20307,5,14,6,280,8.6,0,0,2
23,40795,패배,칼리스타,TnTeddy,6,11,5,21366,1,11,10,289,8.9,0,0,2
24,40795,패배,알리스타,Kingen,1,7,13,8824,8,32,16,60,1.8,0,0,2
25,40795,승리,케넨,God보보,4,3,14,21093,2,18,5,290,8.9,2,3,11
26,40795,승리,리 신,분당고 엄성현,11,5,11,21009,7,55,13,139,4.3,2,3,11
27,40795,승리,라이즈,마산가자,8,5,6,21017,8,23,4,225,6.9,2,3,11
28,40795,승리,진,aquariusz,13,2,8,36365,3,14,4,278,8.5,2,3,11
29,40795,승리,탐 켄치,KT MATA,3,5,15,10478,9,62,5,49,1.5,2,3,11
30,40796,패배,갱플랭크,TnTeddy,1,11,3,10318,0,9,1,96,4.9,0,0,0
31,40796,패배,자르반 4세,yizhiyu,5,6,6,7811,1,15,8,117,6.0,0,0,0
32,40796,패배,말자하,마레말해뭘말해,0,6,5,10656,1,8,0,86,4.4,0,0,0
33,40796,패배,진,aquariusz,10,6,6,15400,3,9,3,126,6.4,0,0,0
34,40796,패배,제라스,AGanQAQ,2,13,9,7133,0,7,0,11,0.6,0,0,0
35,40796,승리,케넨,ktmgs,7,2,9,12571,1,7,1,123,6.3,0,1,10
36,40796,승리,렝가,챌도못찍냐,14,2,8,12769,3,14,6,117,6.0,0,1,10
37,40796,승리,라이즈,Jin air Yaharong,11,3,4,13741,2,5,1,155,7.9,0,1,10
38,40796,승리,애쉬,아트가 앗뜨거,4,6,9,8385,2,7,3,133,6.8,0,1,10
39,40796,승리,오른,진쟤승,6,5,12,8166,3,17,7,40,2.0,0,1,10
40,40797,패배,나르,마부두파,3,4,2,9766,1,10,0,103,6.6,0,0,1
41,40797,패배,자르반 4세,yizhiyu,3,7,1,4225,2,10,1,63,4.0,0,0,1
42,40797,패배,르블랑,쪼렙이다말로하자,0,7,2,7155,1,14,1,74,4.7,0,0,1
43,40797,패배,바루스,TnTeddy,2,9,1,4216,2,8,5,68,4.3,0,0,1
44,40797,패배,제라스,유 댕,1,4,2,5884,0,7,2,35,2.2,0,0,1
45,40797,승리,올라프,Super Secret,4,4,1,6416,1,6,1,65,4.1,0,1,3
46,40797,승리,니달리,해운대잠만보,8,1,10,10059,1,13,6,98,6.3,0,1,3
47,40797,승리,카사딘,chirchri,8,1,4,12240,2,8,2,114,7.3,0,1,3
48,40797,승리,미스 포츈,처음은누구나초보,4,3,8,6608,2,14,3,129,8.2,0,1,3
49,40797,승리,블리츠크랭크,bbq Tempt,6,0,8,5821,3,11,2,23,1.5,0,1,3
50,40798,승리,제이스,WENJUNXI,5,7,14,25045,2,30,10,294,8.8,2,1,10
51,40798,승리,자르반 4세,taesang,7,5,19,16663,5,31,18,137,4.1,2,1,10
52,40798,승리,말자하,삼성갤럭시 Crown,8,7,7,27064,10,23,19,314,9.4,2,1,10
53,40798,승리,칼리스타,TnTeddy,17,5,10,43966,5,14,15,334,10.0,2,1,10
54,40798,승리,탐 켄치,12월27,1,5,24,10039,11,35,21,49,1.5,2,1,10
55,40798,패배,카밀,Co2dplay,9,8,10,29776,0,15,3,251,7.5,0,2,4
56,40798,패배,리 신,J Spectre G,8,8,12,12757,9,55,10,156,4.6,0,2,4
57,40798,패배,카서스,진에어 저스티스,2,9,17,31840,6,21,12,266,7.9,0,2,4
58,40798,패배,미스 포츈,bbq Crazy,6,6,12,29374,2,15,13,307,9.2,0,2,4
59,40798,패배,카르마,VeryBitter,4,7,15,12454,11,66,16,38,1.1,0,2,4
60,40799,승리,제이스,bbq Crazy,13,8,9,35801,3,18,8,222,6.3,1,2,8
61,40799,승리,자르반 4세,일견무시도성빈,1,10,25,15906,10,65,24,128,3.7,1,2,8
62,40799,승리,조이,Yaharong,16,7,14,45297,1,15,5,221,6.3,1,2,8
63,40799,승리,바루스,TnTeddy,19,9,12,36290,4,16,12,297,8.5,1,2,8
64,40799,승리,제라스,JAG SnowFlower,7,9,18,32477,5,18,7,94,2.7,1,2,8
65,40799,패배,올라프,Rousal,14,8,5,24638,7,20,5,183,5.2,0,0,3
66,40799,패배,세주아니,FeelsSosoMan,8,9,16,16101,7,31,2,154,4.4,0,0,3
67,40799,패배,탈리야,chirchri,8,10,8,25544,4,18,5,263,7.5,0,0,3
68,40799,패배,애쉬,중요한건마음가짐,2,15,11,22839,2,6,2,153,4.4,0,0,3
69,40799,패배,미스 포츈,BtC Joker,11,14,10,31235,4,65,27,90,2.6,0,0,3
70,40800,패배,카밀,TnTeddy,8,14,4,17922,0,7,3,95,4.1,0,0,0
71,40800,패배,자르반 4세,KDM PERT,6,10,7,7341,2,33,3,75,3.2,0,0,0
72,40800,패배,모르가나,삼성갤럭시 Crown,1,9,3,10606,0,8,3,181,7.8,0,0,0
