,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50893,패배,오른,Kingen,5,7,7,29964,1,17,9,256,7.3,1,3,5
1,50893,패배,자르반 4세,Twink1e,8,7,9,15705,4,22,11,162,4.6,1,3,5
2,50893,패배,탈리야,송하영 팬,6,11,11,26038,4,18,3,216,6.1,1,3,5
3,50893,패배,미스 포츈,Excal1bur1,6,6,11,23742,4,34,19,305,8.7,1,3,5
4,50893,패배,제라스,최석배 사생팬,5,5,11,30835,4,37,11,56,1.6,1,3,5
5,50893,승리,갱플랭크,피넛사냥개2,6,4,13,32263,1,25,5,344,9.8,1,1,8
6,50893,승리,니달리,PuncHh,7,4,14,23788,5,23,13,225,6.4,1,1,8
7,50893,승리,라이즈,마산가자,7,7,14,30909,5,17,8,301,8.5,1,1,8
8,50893,승리,진,구름꽃길만걷자,9,7,11,30136,2,12,7,265,7.5,1,1,8
9,50893,승리,쉔,534N,7,8,14,10958,5,64,16,90,2.6,1,1,8
10,50894,승리,피오라,뒷텔와드점,4,1,5,13707,2,32,3,264,10.6,1,1,11
11,50894,승리,카직스,Twink1e,7,5,10,14502,4,17,1,154,6.2,1,1,11
12,50894,승리,카타리나,h1rb,10,4,12,25914,3,10,2,182,7.3,1,1,11
13,50894,승리,미스 포츈,혼자해도충분하다,5,3,10,15051,1,10,2,205,8.2,1,1,11
14,50894,승리,쉔,Afreeca Kuro,8,1,18,8293,5,33,9,64,2.6,1,1,11
15,50894,패배,카밀,쌀국수뚝붸기,1,8,2,11166,0,9,6,162,6.5,0,0,1
16,50894,패배,니달리,담원 크러쉬,6,7,4,6820,6,23,11,107,4.3,0,0,1
17,50894,패배,말자하,겸손하고 근면한,4,7,3,20379,3,10,2,208,8.3,0,0,1
18,50894,패배,칼리스타,혼자가 편해졌어,2,8,5,15214,4,13,4,185,7.4,0,0,1
