,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10414,패배,초가스,삶이힘든사람,1,4,1,5394,2,7,1,120,6.7,0,0,0
1,10414,패배,렉사이,wo yao qu daye,1,2,1,3105,4,10,2,94,5.3,0,0,0
2,10414,패배,라이즈,JAG UmTi,0,4,1,2664,1,6,0,102,5.7,0,0,0
3,10414,패배,케이틀린,UaoDE0,2,3,2,9434,0,6,1,152,8.5,0,0,0
4,10414,패배,오른,사 용 수,2,2,1,5201,3,22,2,28,1.6,0,0,0
5,10414,승리,카시오페아,secpe,3,2,2,9352,2,9,0,139,7.8,0,1,4
6,10414,승리,세주아니,빵재애오,5,0,6,7135,2,10,5,85,4.8,0,1,4
7,10414,승리,신드라,PawN God,5,0,1,7985,4,8,2,178,10.0,0,1,4
8,10414,승리,트리스타나,원딜둥이,2,3,4,7813,0,6,1,150,8.4,0,1,4
9,10414,승리,브라움,진쟤승,0,1,9,4437,2,18,6,32,1.8,0,1,4
10,10415,패배,케넨,bbq Crazy,9,10,6,34707,1,17,1,282,8.1,0,0,1
11,10415,패배,그라가스,심심풀이 남신,4,5,9,12051,11,35,10,124,3.6,0,0,1
12,10415,패배,탈론,사스갓지지,3,6,8,13691,6,22,1,212,6.1,0,0,1
13,10415,패배,코그모,UaoDE0,9,5,9,34456,0,8,1,316,9.1,0,0,1
14,10415,패배,브라움,Nem2sis,0,5,18,7884,8,34,9,63,1.8,0,0,1
15,10415,승리,나르,Awe BarOh,5,5,8,23219,0,13,2,245,7.1,2,3,11
16,10415,승리,엘리스,sanspareil1,5,5,8,17072,6,11,13,186,5.4,2,3,11
17,10415,승리,피즈,he  nan    yu,13,5,4,25496,1,5,10,257,7.4,2,3,11
18,10415,승리,자야,FeelsCoffeeMan,5,5,9,27980,1,9,2,270,7.8,2,3,11
19,10415,승리,알리스타,walking300 fan,3,5,13,8658,10,38,12,47,1.4,2,3,11
20,10416,승리,럼블,sanspareil1,2,7,5,13562,4,12,4,196,7.4,1,1,9
21,10416,승리,자르반 4세,rainbow321,3,3,10,5644,7,22,7,133,5.0,1,1,9
22,10416,승리,아지르,bbq Tempt,9,1,8,23910,5,13,4,223,8.4,1,1,9
23,10416,승리,케이틀린,UaoDE0,2,3,6,11780,1,9,2,238,8.9,1,1,9
24,10416,승리,브라움,Nem2sis,4,2,9,5926,9,34,7,54,2.0,1,1,9
25,10416,패배,오른,bbq Crazy,3,3,6,12343,2,14,3,174,6.5,0,0,2
26,10416,패배,이블린,마이엠브,4,4,4,10398,5,10,4,121,4.5,0,0,2
27,10416,패배,탈리야,Yaharong,4,7,5,11240,2,12,6,233,8.7,0,0,2
28,10416,패배,진,아이러니,4,2,1,12609,1,7,4,258,9.7,0,0,2
29,10416,패배,탐 켄치,심심풀이 남신,1,4,2,6058,7,26,3,39,1.5,0,0,2
30,10417,승리,오른,bbq Crazy,3,2,10,23201,2,23,11,324,7.7,2,1,8
31,10417,승리,자르반 4세,Iicorice,4,6,15,14933,13,27,11,135,3.2,2,1,8
32,10417,승리,야스오,JAG S0hwan,4,9,8,15643,3,20,6,360,8.6,2,1,8
33,10417,승리,코그모,UaoDE0,12,2,5,40520,1,13,7,388,9.2,2,1,8
34,10417,승리,룰루,호잇이,0,1,16,4623,13,59,17,25,0.6,2,1,8
35,10417,패배,블라디미르,뿡뿡뿡뿡뿡쁑,2,4,5,20672,5,26,4,351,8.4,1,3,6
36,10417,패배,엘리스,마이엠브,9,7,10,33101,6,10,11,150,3.6,1,3,6
37,10417,패배,제이스,bbq Tempt,7,3,9,35397,3,20,8,348,8.3,1,3,6
38,10417,패배,자야,수입뿌드,1,5,4,13729,1,14,5,345,8.2,1,3,6
