,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,31374,승리,뽀삐,누구를 위한,4,5,10,14608,2,15,3,238,7.4,1,1,9
1,31374,승리,이블린,h1rb,10,3,12,19533,4,29,3,129,4.0,1,1,9
2,31374,승리,조이,UcaL,15,4,11,37887,2,16,5,284,8.8,1,1,9
3,31374,승리,애쉬,nekoneko1,5,4,11,13559,5,16,9,278,8.6,1,1,9
4,31374,승리,카르마,DDDDNNNN,2,5,21,9432,15,44,13,24,0.7,1,1,9
5,31374,패배,신지드,네 명의 짐승 팀,2,9,5,14790,0,13,2,291,9.1,0,2,3
6,31374,패배,자르반 4세,STITCH2,5,7,8,9480,4,8,13,205,6.4,0,2,3
7,31374,패배,카타리나,피넛사냥개1,4,8,3,13969,5,19,2,232,7.2,0,2,3
8,31374,패배,이즈리얼,VIP 민형,6,6,10,24845,1,15,10,300,9.3,0,2,3
9,31374,패배,나미,JAG Wraith,4,6,7,6028,6,32,17,18,0.6,0,2,3
10,31375,패배,나르,chijixuanshou,0,4,3,5280,1,14,1,131,7.0,0,1,1
11,31375,패배,쉬바나,yizhiyu,10,4,0,9761,3,6,5,116,6.2,0,1,1
12,31375,패배,조이,UcaL,0,6,7,7939,2,9,2,115,6.1,0,1,1
13,31375,패배,미스 포츈,혼자가 편해졌어,0,6,3,11281,4,18,2,145,7.7,0,1,1
14,31375,패배,알리스타,상어가족,1,5,3,5314,1,18,4,29,1.5,0,1,1
15,31375,승리,케넨,MVP ADD,2,0,8,13501,4,20,9,164,8.7,0,0,3
16,31375,승리,이블린,h1rb,7,2,4,7963,3,16,2,101,5.4,0,0,3
17,31375,승리,코르키,YM  zhongdan,12,3,3,19734,2,7,2,158,8.4,0,0,3
18,31375,승리,진,일견무시도성빈,3,2,7,9773,2,7,3,113,6.0,0,0,3
19,31375,승리,마오카이,코w코,1,4,10,7430,2,17,5,36,1.9,0,0,3
20,31376,패배,럼블,빅파이초코파이,2,2,8,22190,4,18,4,286,9.3,0,3,3
21,31376,패배,쉬바나,작전동 노란머리,6,5,3,12423,10,15,21,226,7.3,0,3,3
22,31376,패배,조이,UcaL,2,9,2,12719,8,17,4,259,8.4,0,3,3
23,31376,패배,미스 포츈,비 브이 오 와이,3,5,3,21324,6,15,20,232,7.5,0,3,3
24,31376,패배,쉔,호경모드,2,6,6,5767,12,41,11,62,2.0,0,3,3
25,31376,승리,카밀,우철짱123,4,4,4,11464,2,13,7,246,8.0,1,0,10
26,31376,승리,니달리,장난 꾸러기 돼지,8,2,11,17462,4,35,9,188,6.1,1,0,10
27,31376,승리,말자하,FW Maple,7,4,13,29814,4,16,4,270,8.8,1,0,10
28,31376,승리,진,RRRuleRRR,6,3,9,21422,8,28,8,296,9.6,1,0,10
29,31376,승리,알리스타,MataMataMata,2,2,16,8718,14,46,10,43,1.4,1,0,10
30,31377,패배,나르,뱃살만찌는사람,3,3,2,10949,2,11,3,192,8.5,0,0,3
31,31377,패배,니달리,DS XiaoPeng,2,5,3,8092,2,19,14,145,6.4,0,0,3
32,31377,패배,조이,UcaL,3,7,5,13190,6,13,3,156,6.9,0,0,3
