,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30757,승리,제이스,담원 너구리,5,4,2,12402,4,28,10,239,10.0,0,0,5
1,30757,승리,킨드레드,J Spectre G,2,4,10,11426,2,18,11,152,6.4,0,0,5
2,30757,승리,카사딘,Heart,9,3,6,23901,3,14,5,186,7.8,0,0,5
3,30757,승리,트리스타나,Veritas522,6,5,7,12131,2,8,7,184,7.7,0,0,5
4,30757,승리,쓰레쉬,JackeyLove,1,3,9,4579,3,20,9,45,1.9,0,0,5
5,30757,패배,카밀,mide gui tou,1,4,6,6635,4,11,2,162,6.8,0,2,2
6,30757,패배,니달리,분당고 엄성현,10,5,5,13575,1,16,13,136,5.7,0,2,2
7,30757,패배,아지르,mcmglllc,2,4,6,14870,2,14,2,179,7.5,0,2,2
8,30757,패배,미스 포츈,Afreeca Aiming,2,6,8,13081,5,13,4,233,9.8,0,2,2
9,30757,패배,탐 켄치,Empmuyi,4,4,8,7350,8,45,11,51,2.1,0,2,2
10,30758,패배,제이스,mide gui tou,4,8,7,18793,4,37,14,218,6.1,0,0,6
11,30758,패배,카직스,분당고 엄성현,11,11,11,25293,4,22,18,148,4.1,0,0,6
12,30758,패배,벨코즈,삼성갤럭시 Crown,10,9,8,34539,7,21,7,305,8.5,0,0,6
13,30758,패배,이즈리얼,Veritas522,9,7,12,46109,4,18,12,267,7.5,0,0,6
14,30758,패배,카르마,Empmuyi,5,7,10,12065,2,68,30,65,1.8,0,0,6
15,30758,승리,카밀,나는야 누구일까,13,6,7,33852,4,18,1,260,7.3,1,2,9
16,30758,승리,세주아니,마이엠브,8,6,19,23214,12,59,20,202,5.7,1,2,9
17,30758,승리,말자하,Heart,4,12,10,19443,2,20,11,307,8.6,1,2,9
18,30758,승리,미스 포츈,으아으앙으아앙,12,9,11,23372,2,39,20,246,6.9,1,2,9
19,30758,승리,탐 켄치,점점나의마음이끌,5,6,24,11024,14,69,18,78,2.2,1,2,9
20,30759,패배,나르,Co1dplay,6,6,2,18150,2,25,11,234,8.2,0,0,2
21,30759,패배,리 신,분당고 엄성현,3,8,10,12918,7,30,8,126,4.4,0,0,2
22,30759,패배,라이즈,Heart,1,9,5,13766,3,16,3,246,8.6,0,0,2
23,30759,패배,미스 포츈,Veritas522,6,4,6,20279,1,9,6,221,7.8,0,0,2
24,30759,패배,럭스,Co2dplay,2,9,6,10039,6,33,17,43,1.5,0,0,2
25,30759,승리,케넨,마이엠브,7,3,9,27263,3,29,8,203,7.1,1,0,8
26,30759,승리,카직스,PeanuToT,13,5,10,20740,5,20,7,134,4.7,1,0,8
27,30759,승리,말자하,삼성갤럭시 Crown,5,3,5,16338,9,21,7,303,10.6,1,0,8
28,30759,승리,바루스,Mengqiuqiu,7,5,11,21326,0,10,4,219,7.7,1,0,8
29,30759,승리,카르마,Empmuyi,4,2,18,8580,2,39,11,36,1.3,1,0,8
30,30760,승리,잭스,나네쫓다꿈소년,3,2,3,6853,1,11,6,183,7.8,1,2,7
31,30760,승리,자르반 4세,M1anhua,4,2,6,4377,7,22,7,123,5.3,1,2,7
32,30760,승리,카사딘,mide gui tou,2,1,3,9937,3,7,7,234,10.0,1,2,7
33,30760,승리,자야,Veritas522,9,4,7,23885,1,7,4,213,9.1,1,2,7
34,30760,승리,라칸,호잇이,3,1,13,10525,7,46,9,12,0.5,1,2,7
35,30760,패배,나르,SKT T1 Untara,0,5,6,9883,6,24,4,165,7.1,0,0,2
36,30760,패배,카직스,지현이의빗자루,6,2,3,8396,2,16,6,101,4.3,0,0,2
37,30760,패배,리산드라,God보보,1,3,5,6304,1,11,5,182,7.8,0,0,2
38,30760,패배,트리스타나,whisper snow,3,5,3,7154,0,7,6,195,8.4,0,0,2
39,30760,패배,소라카,구운몽임,0,6,8,3685,3,19,16,21,0.9,0,0,2
40,30761,승리,카밀,세메론,4,7,7,24565,1,16,4,258,7.8,2,0,10
41,30761,승리,렝가,DS XiaoPeng,7,10,9,19507,3,34,23,158,4.8,2,0,10
42,30761,승리,아지르,mide gui tou,8,7,5,29190,7,17,8,243,7.4,2,0,10
43,30761,승리,미스 포츈,Veritas522,5,4,9,23179,1,13,8,290,8.8,2,0,10
44,30761,승리,탐 켄치,fengquyunbuhui,3,8,14,14438,7,44,7,72,2.2,2,0,10
45,30761,패배,자르반 4세,RSARTU,7,3,18,29564,2,46,5,245,7.4,0,2,6
46,30761,패배,니달리,So1o,8,9,12,23014,8,23,11,182,5.5,0,2,6
47,30761,패배,트위스티드 페이트,TeachersWu,8,6,8,15135,3,15,5,261,7.9,0,2,6
48,30761,패배,루시안,FVV BETTY,6,6,6,19012,1,23,7,230,7.0,0,2,6
49,30761,패배,쉔,FeelsLovelyMan,7,4,17,10524,10,39,11,85,2.6,0,2,6
50,30762,승리,럼블,쌀국수뚝붸기,4,6,6,15243,2,10,6,172,6.7,1,2,10
51,30762,승리,자르반 4세,XinyiQAQ,5,2,16,9990,10,11,8,127,4.9,1,2,10
52,30762,승리,라이즈,Heart,10,3,6,22698,5,17,4,245,9.5,1,2,10
53,30762,승리,자야,Veritas522,9,1,10,17356,4,12,7,267,10.3,1,2,10
54,30762,승리,라칸,YserAoA,2,4,18,7478,10,30,7,9,0.3,1,2,10
55,30762,패배,나르,Lucete,5,5,4,20258,2,24,2,144,5.6,0,0,1
56,30762,패배,니달리,DS XiaoPeng,2,6,4,9572,2,20,8,135,5.2,0,0,1
57,30762,패배,제라스,최석배 사생팬,6,5,2,21494,3,14,3,203,7.9,0,0,1
58,30762,패배,칼리스타,쓰레기새기들,1,8,2,5729,3,10,4,166,6.4,0,0,1
59,30762,패배,레오나,호잇이,1,6,5,7304,5,22,6,26,1.0,0,0,1
60,30763,패배,자르반 4세,F0y,2,3,1,5613,1,10,1,98,6.3,0,0,0
61,30763,패배,니달리,sanspareil1,1,2,1,3031,3,7,2,84,5.4,0,0,0
62,30763,패배,조이,단군의청춘부재,0,4,2,2670,2,11,3,98,6.3,0,0,0
63,30763,패배,칼리스타,Veritas522,0,3,2,2703,0,13,5,112,7.3,0,0,0
64,30763,패배,레오나,정글노바,0,2,2,2674,3,12,4,31,2.0,0,0,0
65,30763,승리,럼블,7hal,3,2,4,10250,2,7,5,130,8.4,0,0,2
66,30763,승리,리 신,h1rb,7,0,3,5789,2,16,3,90,5.8,0,0,2
67,30763,승리,탈리야,푸딩은푸딩해,3,0,2,7703,2,5,3,150,9.7,0,0,2
68,30763,승리,자야,VIP 민형,1,1,6,5897,2,12,4,130,8.4,0,0,2
69,30763,승리,라칸,fengquyunbuhui,0,0,8,2919,4,19,9,11,0.7,0,0,2
70,30764,승리,오른,Mengqiuqiu,7,5,12,26408,1,18,5,225,6.3,1,1,7
71,30764,승리,세주아니,담원 크러쉬,8,4,21,19890,9,63,10,180,5.1,1,1,7
72,30764,승리,르블랑,MVP Ian,11,7,18,28126,4,38,8,195,5.5,1,1,7
73,30764,승리,애쉬,Veritas522,11,6,17,44126,1,11,6,303,8.5,1,1,7
74,30764,승리,제라스,아테나찡,5,4,25,35138,8,36,10,53,1.5,1,1,7
75,30764,패배,마오카이,sanspareil1,1,10,5,23289,3,16,7,205,5.8,1,1,5
76,30764,패배,엘리스,좋은날,9,4,9,27968,9,51,20,202,5.7,1,1,5
77,30764,패배,카타리나,DWG ShowMaker,9,9,5,26527,4,16,6,235,6.6,1,1,5
78,30764,패배,진,F0y,3,10,8,21880,3,12,17,272,7.6,1,1,5
79,30764,패배,탐 켄치,중요한건마음가짐,4,9,8,9074,5,24,12,80,2.2,1,1,5
80,30765,승리,사이온,Fabu,1,6,29,13126,9,19,14,181,4.8,0,0,8
81,30765,승리,자르반 4세,KT MATA,21,3,16,34921,6,33,22,142,3.8,0,0,8
82,30765,승리,카사딘,ROX Iava,22,5,14,46196,2,21,7,300,8.0,0,0,8
83,30765,승리,바루스,Veritas522,5,5,18,25701,7,17,6,246,6.5,0,0,8
84,30765,승리,제라스,Destiny,4,3,21,16918,16,57,20,50,1.3,0,0,8
85,30765,패배,제이스,춘봉박,3,12,4,23719,4,43,13,328,8.7,0,0,5
86,30765,패배,렝가,ROX Se0ngHwan,9,9,1,19346,7,39,8,227,6.0,0,0,5
87,30765,패배,조이,PawN God,7,10,4,35891,9,33,4,192,5.1,0,0,5
88,30765,패배,애쉬,Rain1ng,1,9,10,15330,3,10,14,297,7.9,0,0,5
89,30765,패배,탐 켄치,아테나찡,2,13,7,9670,7,39,14,71,1.9,0,0,5
90,30766,패배,피오라,ROX Iava,7,12,7,28160,1,32,6,296,7.2,2,1,5
91,30766,패배,세주아니,KT MATA,4,8,11,10412,15,83,19,167,4.1,2,1,5
92,30766,패배,탈리야,아테나찡,8,7,8,34235,6,24,15,368,9.0,2,1,5
93,30766,패배,진,Veritas522,9,9,14,27912,5,14,5,293,7.1,2,1,5
94,30766,패배,쉔,Destiny,2,9,20,8916,17,67,26,87,2.1,2,1,5
95,30766,승리,갱플랭크,피넛사냥개2,9,6,15,48372,2,30,18,390,9.5,0,2,7
