,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,31314,패배,나르,DWG BeryL,2,4,4,13927,2,12,1,228,9.0,1,0,2
1,31314,패배,자르반 4세,Wawa,7,3,6,6382,7,11,7,131,5.2,1,0,2
2,31314,패배,탈리야,DWG ShowMaker,6,7,3,14581,4,24,4,173,6.8,1,0,2
3,31314,패배,자야,담원 얼라이브,0,9,4,7429,2,6,1,168,6.6,1,0,2
4,31314,패배,잔나,담원 호잇이,2,8,7,8017,2,19,7,22,0.9,1,0,2
5,31314,승리,잭스,코w코,5,4,5,10308,1,8,3,200,7.9,0,2,8
6,31314,승리,그레이브즈,마산가자,5,3,8,13258,8,13,5,147,5.8,0,2,8
7,31314,승리,아지르,Hide on bush,11,4,7,24615,4,13,13,273,10.7,0,2,8
8,31314,승리,미스 포츈,whisper snow,7,2,9,20171,0,9,5,193,7.6,0,2,8
9,31314,승리,알리스타,진쟤승,3,6,9,7335,6,30,2,37,1.5,0,2,8
10,31315,패배,쉔,lover li,3,3,9,8320,3,11,2,143,6.4,0,1,2
11,31315,패배,렉사이,wo liang le,4,5,4,7179,6,10,2,96,4.3,0,1,2
12,31315,패배,카르마,Wawa,4,6,7,14889,2,11,3,133,6.0,0,1,2
13,31315,패배,트리스타나,SKT T1 Bang,5,6,5,10693,1,8,2,171,7.7,0,1,2
14,31315,패배,신지드,진쟤승,3,5,7,5311,2,13,6,44,2.0,0,1,2
15,31315,승리,제이스,돌잔치때도란잡음,5,4,7,15330,1,9,2,181,8.1,0,1,8
16,31315,승리,리 신,Hide on bush,4,4,10,10740,1,32,1,108,4.9,0,1,8
17,31315,승리,탈리야,Nebo,10,4,5,19360,1,9,5,185,8.3,0,1,8
18,31315,승리,자야,퓨 Zl,5,4,5,11098,2,11,4,219,9.8,0,1,8
19,31315,승리,블리츠크랭크,taesang,1,3,10,5098,4,17,1,31,1.4,0,1,8
20,31316,승리,마오카이,atlenismydaddy,0,1,8,7124,3,15,1,109,6.8,0,1,4
21,31316,승리,니달리,종학윙,11,0,6,10438,2,5,2,102,6.3,0,1,4
22,31316,승리,제드,진에어 저스티스,3,1,4,6344,3,15,3,115,7.1,0,1,4
23,31316,승리,트리스타나,Wawa,6,0,9,5070,2,8,1,99,6.1,0,1,4
24,31316,승리,알리스타,AGanQAQ,0,3,13,3374,4,10,4,26,1.6,0,1,4
25,31316,패배,자르반 4세,돌잔치때도란잡음,0,3,0,5908,2,7,1,136,8.4,0,0,3
26,31316,패배,렉사이,wo liang le,1,4,0,2575,2,7,2,67,4.2,0,0,3
27,31316,패배,르블랑,Siste aeterno,0,2,2,6065,1,8,3,120,7.4,0,0,3
28,31316,패배,바루스,STITCH1,3,5,1,10110,1,7,0,114,7.1,0,0,3
29,31316,패배,카르마,lover li,1,6,3,6717,4,14,2,11,0.7,0,0,3
30,31317,승리,카르마,IndonesiaMassage,1,4,16,10100,10,40,15,36,1.3,1,0,8
31,31317,승리,자르반 4세,츠코파이,3,7,13,13153,2,14,2,173,6.2,1,0,8
32,31317,승리,엘리스,Wawa,8,4,10,16253,5,12,3,166,6.0,1,0,8
