,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60777,패배,제이스,p1g farm,9,6,4,29278,3,15,3,304,9.1,0,1,6
1,60777,패배,리 신,Wilder,2,8,9,9229,5,67,16,145,4.3,0,1,6
2,60777,패배,다이애나,이야공,6,3,5,30702,1,6,6,309,9.2,0,1,6
3,60777,패배,진,GALA,4,6,6,21095,1,12,7,279,8.3,0,1,6
4,60777,패배,탐 켄치,Sim Student,1,4,12,9443,10,36,6,79,2.4,0,1,6
5,60777,승리,카밀,P2k Key,7,5,9,24787,3,18,7,230,6.8,2,3,10
6,60777,승리,세주아니,망고코코아,6,5,14,17159,9,33,12,168,5.0,2,3,10
7,60777,승리,라이즈,나에게 기회를,6,2,5,22229,5,10,11,319,9.5,2,3,10
8,60777,승리,바루스,ktmgs,8,6,5,26523,4,32,8,261,7.8,2,3,10
9,60777,승리,타릭,Zhongdan XD,0,4,18,7590,9,39,21,65,1.9,2,3,10
10,60778,패배,카밀,피넛사냥개2,0,5,0,5925,1,9,2,108,5.2,0,0,0
11,60778,패배,렝가,Wilder,3,7,2,6603,3,16,6,86,4.1,0,0,0
12,60778,패배,라이즈,find myself,1,5,1,7243,5,15,7,160,7.7,0,0,0
13,60778,패배,이즈리얼,Bvoy,1,4,2,5689,1,10,1,176,8.4,0,0,0
14,60778,패배,쉔,Nova1,1,2,3,3148,12,30,25,47,2.3,0,0,0
15,60778,승리,잭스,담원 너구리,7,0,2,14866,4,12,1,185,8.9,0,1,9
16,60778,승리,카직스,kenzhu9,7,3,5,10827,5,43,14,141,6.8,0,1,9
17,60778,승리,트위스티드 페이트,상어가족,3,0,8,9194,2,5,7,175,8.4,0,1,9
18,60778,승리,바루스,쌀국수뚝붸기,5,2,4,9025,3,11,4,183,8.8,0,1,9
19,60778,승리,미스 포츈,YserAoA,1,1,9,7789,5,35,4,27,1.3,0,1,9
20,60779,패배,제이스,pppyp,4,7,3,14978,4,12,4,153,6.3,0,2,3
21,60779,패배,렝가,Wilder,7,2,1,8814,1,17,10,149,6.1,0,2,3
22,60779,패배,탈리야,아테나찡,0,7,4,9685,2,22,6,195,8.0,0,2,3
23,60779,패배,미스 포츈,NekoL,4,1,4,12620,3,7,1,196,8.0,0,2,3
24,60779,패배,카르마,Empmuyi,2,3,7,9643,3,46,14,28,1.1,0,2,3
25,60779,승리,오른,미율치에오,3,4,3,11884,2,11,6,189,7.7,1,0,7
26,60779,승리,세주아니,so nihao zaijian,3,3,8,7780,4,38,9,145,5.9,1,0,7
27,60779,승리,신드라,ROYG,6,1,5,18225,4,7,8,226,9.2,1,0,7
28,60779,승리,이즈리얼,RRRuleRRR,4,2,8,16699,3,15,7,202,8.3,1,0,7
29,60779,승리,제라스,161561,4,7,5,12115,5,17,6,27,1.1,1,0,7
30,60780,패배,오른,미율치에오,7,4,2,21209,1,13,11,284,9.1,0,1,3
31,60780,패배,엘리스,종학윙,8,9,5,14369,3,8,14,166,5.3,0,1,3
32,60780,패배,라이즈,단군의청춘부재,2,8,8,11789,2,19,6,214,6.8,0,1,3
33,60780,패배,미스 포츈,RRRuleRRR,8,7,6,25992,6,11,11,264,8.4,0,1,3
34,60780,패배,자이라,Wilder,1,8,11,17353,12,51,18,38,1.2,0,1,3
35,60780,승리,피오라,Gon123,4,4,5,15768,2,26,3,254,8.1,1,1,7
36,60780,승리,리 신,Boldness,7,5,10,10915,7,50,10,128,4.1,1,1,7
37,60780,승리,말자하,LPL noob ad QAQ,9,5,4,15900,6,9,7,236,7.6,1,1,7
38,60780,승리,자야,원딜둥이,14,8,9,32929,2,12,8,307,9.8,1,1,7
39,60780,승리,라칸,FVV BETTY,2,4,26,7961,9,39,7,24,0.8,1,1,7
40,60781,패배,잭스,쌀국수뚝붸기,1,8,3,9148,0,10,4,169,6.6,0,1,4
41,60781,패배,렝가,Wilder,2,4,3,5733,0,18,5,159,6.2,0,1,4
42,60781,패배,말자하,LPL noob ad QAQ,5,9,1,7373,3,9,5,148,5.8,0,1,4
43,60781,패배,이즈리얼,RRRuleRRR,2,5,0,13250,3,7,8,250,9.7,0,1,4
44,60781,패배,블리츠크랭크,Mengqiuqiu,2,2,4,5262,9,35,8,47,1.8,0,1,4
45,60781,승리,카밀,Gon123,7,1,6,13778,2,12,1,205,8.0,1,0,7
46,60781,승리,세주아니,Boldness,3,2,12,7588,5,21,6,125,4.9,1,0,7
47,60781,승리,라이즈,단군의청춘부재,8,4,9,16872,4,20,4,180,7.0,1,0,7
48,60781,승리,바루스,FVV BETTY,3,4,10,7958,4,19,2,177,6.9,1,0,7
49,60781,승리,제라스,fengquyunbuhui,7,1,13,14861,6,26,8,39,1.5,1,0,7
50,60782,승리,카밀,담원 너구리,6,3,9,30938,2,15,7,260,9.1,1,2,8
51,60782,승리,렝가,Wilder,8,5,4,17149,5,23,9,173,6.0,1,2,8
52,60782,승리,신드라,reMember Mistake,6,2,8,20643,2,28,3,238,8.3,1,2,8
53,60782,승리,진,Bvoy,6,0,10,18308,5,12,5,275,9.6,1,2,8
54,60782,승리,쉔,호잇이,1,1,11,5046,8,33,26,75,2.6,1,2,8
55,60782,패배,일라오이,JAG S0hwan,0,8,3,11286,3,15,3,207,7.2,0,1,2
56,60782,패배,쉬바나,작전동 노란머리,1,4,4,13762,7,12,11,197,6.9,0,1,2
57,60782,패배,제이스,Fotune,6,5,1,17411,4,14,7,257,9.0,0,1,2
58,60782,패배,케이틀린,쌀국수뚝붸기,2,5,1,9059,1,9,3,221,7.7,0,1,2
59,60782,패배,쓰레쉬,IgNar,2,5,4,4142,12,60,11,38,1.3,0,1,2
60,60783,패배,말파이트,바보처럼 왜,3,3,1,7852,0,11,4,89,5.7,0,0,0
61,60783,패배,카직스,Wilder,2,4,4,4602,2,16,5,90,5.8,0,0,0
62,60783,패배,코르키,Fotune,3,2,2,8447,1,6,0,150,9.6,0,0,0
63,60783,패배,미스 포츈,비 브이 오 와이,1,4,0,4809,3,12,2,80,5.1,0,0,0
64,60783,패배,제라스,IgNar,0,5,2,4794,1,6,3,4,0.3,0,0,0
65,60783,승리,카밀,쌀국수뚝붸기,5,2,0,8105,1,11,3,110,7.1,0,0,1
66,60783,승리,자르반 4세,5gak,3,2,6,3052,3,25,5,89,5.7,0,0,1
67,60783,승리,아지르,MSC TRY,1,3,3,7457,1,6,0,109,7.0,0,0,1
68,60783,승리,바루스,YM  zhongdan,5,1,2,7283,0,5,2,132,8.5,0,0,1
69,60783,승리,카르마,선기박,4,1,7,8163,4,17,6,12,0.8,0,0,1
70,60784,패배,나르,담원 너구리,2,5,1,12232,5,15,5,204,8.8,0,1,3
71,60784,패배,렉사이,Wilder,1,5,5,4285,3,18,3,112,4.8,0,1,3
