,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40496,승리,카서스,Xavelin,13,6,14,25922,2,8,0,165,7.8,0,1,10
1,40496,승리,세주아니,7hal,4,3,20,8088,2,18,0,81,3.8,0,1,10
2,40496,승리,탈리야,뿡뿡뿡뿡뿡쁑,14,3,20,26631,2,6,0,140,6.6,0,1,10
3,40496,승리,트리스타나,VIP 민형,11,2,15,24275,0,5,3,156,7.4,0,1,10
4,40496,승리,블리츠크랭크,피넛사냥개1,12,5,15,9826,3,24,2,13,0.6,0,1,10
5,40496,패배,올라프,Co1dplay,6,15,6,10157,1,7,0,81,3.8,0,0,0
6,40496,패배,리 신,해운대잠만보,6,10,4,11768,1,15,0,73,3.5,0,0,0
7,40496,패배,말자하,뽀오뽀오,1,7,4,3030,0,7,0,87,4.1,0,0,0
8,40496,패배,케넨,릴리스타나,3,7,5,10122,0,5,0,119,5.6,0,0,0
9,40496,패배,사이온,학식먹을나이,3,15,7,15418,2,25,0,38,1.8,0,0,0
10,40497,승리,잭스,yizhiyu,3,4,0,12558,1,9,1,162,7.3,1,2,8
11,40497,승리,카직스,Klmjg,12,2,3,17659,1,6,6,88,4.0,1,2,8
12,40497,승리,카서스,Xavelin,7,1,10,18866,4,14,2,226,10.1,1,2,8
13,40497,승리,트리스타나,wjhfjihtiu,6,1,5,10260,1,7,2,198,8.9,1,2,8
14,40497,승리,레오나,MinKOOK2,0,1,13,3815,5,22,7,21,0.9,1,2,8
15,40497,패배,블라디미르,xaxaxaxaxa,3,4,1,11719,1,10,0,163,7.3,0,0,3
16,40497,패배,자르반 4세,F0y,1,3,5,4432,2,8,3,87,3.9,0,0,3
17,40497,패배,신드라,Zhongdan XD,2,11,0,7003,2,10,2,149,6.7,0,0,3
18,40497,패배,코그모,튀자튀자아,2,7,1,9740,2,8,2,163,7.3,0,0,3
19,40497,패배,알리스타,이책인지심책기,1,3,1,3417,2,17,1,39,1.8,0,0,3
20,40498,승리,초가스,아라가키 유이,6,1,13,16032,3,14,5,163,6.1,1,2,10
21,40498,승리,자르반 4세,최악의 한 달,6,6,18,15980,7,11,6,102,3.8,1,2,10
22,40498,승리,카서스,Xavelin,11,4,12,39988,2,14,2,225,8.4,1,2,10
23,40498,승리,자야,bbq Tempt,8,4,12,17935,4,13,5,218,8.2,1,2,10
24,40498,승리,룰루,닷지장인 심포갓,2,6,22,5423,3,33,4,8,0.3,1,2,10
25,40498,패배,쉔,walking300 fan,2,5,9,10314,0,11,2,131,4.9,0,1,0
26,40498,패배,잭스,real gankster,1,6,9,6002,11,12,1,105,3.9,0,1,0
27,40498,패배,블라디미르,토마토페이스트,10,6,4,30488,4,12,0,229,8.6,0,1,0
28,40498,패배,트위치,쫄깃한 우동사리,4,8,9,21997,5,13,4,188,7.0,0,1,0
29,40498,패배,레오나,광지니형개잘함,4,8,10,7868,7,29,11,45,1.7,0,1,0
30,40499,승리,피오라,kfo,1,0,0,2886,2,6,1,108,8.9,0,1,7
