,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60677,승리,카밀,jkasjhiufgha,16,0,16,34369,1,12,11,203,7.2,1,1,8
1,60677,승리,세주아니,the unf0rgiven,8,4,10,10949,4,9,3,126,4.5,1,1,8
2,60677,승리,트위스티드 페이트,상어가족,6,2,15,19068,1,12,5,217,7.7,1,1,8
3,60677,승리,케이틀린,Yeeclipse,5,11,8,9709,3,23,6,166,5.9,1,1,8
4,60677,승리,소나,ESRS10,2,8,20,9292,7,26,9,15,0.5,1,1,8
5,60677,패배,리븐,Good luck c,1,9,1,5076,0,7,2,177,6.3,0,1,4
6,60677,패배,렝가,YoudangXQiao,5,8,5,12204,8,32,7,135,4.8,0,1,4
7,60677,패배,블라디미르,whisper snow,5,5,8,25208,1,13,1,198,7.0,0,1,4
8,60677,패배,이즈리얼,BKKK,12,7,10,31951,0,16,4,227,8.0,0,1,4
9,60677,패배,쓰레쉬,LaoGanDie,2,9,15,12019,3,27,5,47,1.7,0,1,4
10,60678,패배,말파이트,chirchri,3,8,5,19761,6,19,7,240,5.7,1,1,6
11,60678,패배,올라프,작전동 노란머리,5,6,4,13322,17,21,21,220,5.2,1,1,6
12,60678,패배,탈리야,푸딩은푸딩해,6,4,6,38656,0,28,6,426,10.2,1,1,6
13,60678,패배,미스 포츈,비 브이 오 와이,5,2,9,27984,2,39,16,350,8.3,1,1,6
14,60678,패배,알리스타,Yeeclipse,1,7,9,8498,20,91,16,52,1.2,1,1,6
15,60678,승리,제이스,reMember Mistake,5,8,12,32835,4,47,14,320,7.6,1,4,10
16,60678,승리,세주아니,커피물조절장인,6,4,15,17771,3,8,24,231,5.5,1,4,10
17,60678,승리,제라스,아테나찡,7,2,11,40445,5,25,16,366,8.7,1,4,10
18,60678,승리,진,STITCH2,8,3,8,36923,3,13,18,358,8.5,1,4,10
19,60678,승리,탐 켄치,160810,1,3,16,7291,19,67,19,89,2.1,1,4,10
20,60679,승리,케넨,담원 너구리,7,3,2,21995,3,16,18,284,9.6,1,2,10
21,60679,승리,쉬바나,GuGer,4,3,4,16679,7,10,13,213,7.2,1,2,10
22,60679,승리,아지르,republic123,2,6,2,7291,3,13,7,239,8.1,1,2,10
23,60679,승리,이즈리얼,Yeeclipse,9,3,6,29378,4,22,7,277,9.4,1,2,10
24,60679,승리,라칸,꿀 칸,6,4,13,10267,17,40,17,20,0.7,1,2,10
25,60679,패배,나르,Firework37,6,9,1,15556,2,24,2,163,5.5,0,1,1
26,60679,패배,세주아니,ROX Se0ngHwan,3,4,9,8325,10,50,6,102,3.5,0,1,1
