,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30420,승리,잭스,담원 너구리,7,0,2,14866,4,12,1,185,8.9,0,1,9
1,30420,승리,카직스,kenzhu9,7,3,5,10827,5,43,14,141,6.8,0,1,9
2,30420,승리,트위스티드 페이트,상어가족,3,0,8,9194,2,5,7,175,8.4,0,1,9
3,30420,승리,바루스,쌀국수뚝붸기,5,2,4,9025,3,11,4,183,8.8,0,1,9
4,30420,승리,미스 포츈,YserAoA,1,1,9,7789,5,35,4,27,1.3,0,1,9
5,30420,패배,카밀,피넛사냥개2,0,5,0,5925,1,9,2,108,5.2,0,0,0
6,30420,패배,렝가,Wilder,3,7,2,6603,3,16,6,86,4.1,0,0,0
7,30420,패배,라이즈,find myself,1,5,1,7243,5,15,7,160,7.7,0,0,0
8,30420,패배,이즈리얼,Bvoy,1,4,2,5689,1,10,1,176,8.4,0,0,0
9,30420,패배,쉔,Nova1,1,2,3,3148,12,30,25,47,2.3,0,0,0
10,30421,승리,오른,쌀국수뚝붸기,2,5,9,11365,2,14,6,191,6.4,1,1,6
11,30421,승리,카직스,피넛사냥개2,18,5,6,27064,5,23,14,174,5.9,1,1,6
12,30421,승리,라이즈,ysdgqxcj,4,6,7,18870,3,14,6,243,8.2,1,1,6
13,30421,승리,자야,Bvoy,5,2,10,24573,6,31,13,293,9.9,1,1,6
14,30421,승리,라칸,YserAoA,0,2,17,6979,13,38,13,16,0.5,1,1,6
15,30421,패배,나르,커피물조절장인,5,3,5,19221,2,25,4,233,7.8,0,2,4
16,30421,패배,엘리스,kenzhu9,5,7,4,18008,8,52,15,188,6.3,0,2,4
17,30421,패배,아지르,find myself,7,7,4,23379,2,11,9,265,8.9,0,2,4
18,30421,패배,루시안,ADEPT1,1,9,4,14458,1,9,7,199,6.7,0,2,4
19,30421,패배,브라움,XinMo,2,3,7,6882,11,37,13,60,2.0,0,2,4
20,30422,승리,라이즈,Like Waves,3,2,0,9710,1,11,1,203,9.0,1,2,5
21,30422,승리,렝가,kenzhu9,6,2,6,11877,3,27,6,169,7.5,1,2,5
22,30422,승리,카타리나,find myself,5,2,2,10487,1,7,5,203,9.0,1,2,5
23,30422,승리,미스 포츈,그러면안돼요짜샤,2,1,6,13734,1,13,1,198,8.8,1,2,5
24,30422,승리,탐 켄치,YserAoA,1,2,9,2850,5,18,7,40,1.8,1,2,5
25,30422,패배,갱플랭크,피넛사냥개2,1,5,1,6979,1,9,1,163,7.2,0,0,0
26,30422,패배,카직스,XinyiQAQ,2,3,4,7268,7,11,6,115,5.1,0,0,0
27,30422,패배,탈리야,아테나찡,5,2,1,9613,3,20,5,190,8.5,0,0,0
28,30422,패배,바루스,Bvoy,1,3,1,6147,2,11,3,172,7.7,0,0,0
29,30422,패배,쉔,땅우양,0,4,4,3941,6,22,3,53,2.4,0,0,0
30,30423,승리,케넨,Like Waves,2,3,2,10104,3,9,1,200,8.3,1,3,8
31,30423,승리,쉬바나,yizhiyu,5,3,5,10787,4,7,13,197,8.2,1,3,8
32,30423,승리,피즈,피넛사냥개1,6,4,5,14439,3,19,5,162,6.7,1,3,8
33,30423,승리,미스 포츈,그러면안돼요짜샤,3,2,8,19707,2,17,3,206,8.6,1,3,8
34,30423,승리,탐 켄치,YserAoA,4,1,5,8127,9,27,7,42,1.7,1,3,8
35,30423,패배,라이즈,find myself,7,3,0,17781,2,4,2,234,9.7,0,0,2
36,30423,패배,렝가,삼성갤럭시 하루,3,3,1,5823,5,20,5,136,5.7,0,0,2
37,30423,패배,신드라,송하영 팬,3,5,4,13888,3,12,9,187,7.8,0,0,2
38,30423,패배,이즈리얼,으아으앙으아앙,0,5,0,10166,3,15,5,156,6.5,0,0,2
39,30423,패배,쉔,삼성갤럭시CoreJJ,0,4,2,4815,7,23,8,50,2.1,0,0,2
40,30424,승리,마오카이,YOYOuuuuuO,0,2,8,6263,1,3,3,124,7.7,0,2,6
41,30424,승리,자르반 4세,삼성갤럭시 하루,1,2,16,8471,2,14,2,79,4.9,0,2,6
42,30424,승리,카타리나,find myself,18,1,3,22585,1,4,1,124,7.7,0,2,6
43,30424,승리,칼리스타,송하영 팬,10,0,7,10642,1,5,3,144,8.9,0,2,6
44,30424,승리,레오나,YserAoA,0,0,17,5485,3,21,1,21,1.3,0,2,6
45,30424,패배,클레드,VIP 민형,3,5,1,10557,1,6,1,103,6.4,0,0,0
46,30424,패배,세주아니,DS XiaoPeng,1,6,1,2889,2,11,4,71,4.4,0,0,0
47,30424,패배,아지르,으아으앙으아앙,0,7,0,7290,1,7,1,85,5.3,0,0,0
48,30424,패배,미스 포츈,Afreeca Aiming,0,4,0,5009,1,9,4,144,8.9,0,0,0
49,30424,패배,오른,진쟤승,1,8,0,3985,1,10,3,26,1.6,0,0,0
50,30425,패배,자르반 4세,M1anhua,2,5,2,9295,4,23,2,140,5.9,0,0,0
51,30425,패배,리 신,jinwandalaohu,5,3,3,7216,3,33,1,68,2.9,0,0,0
52,30425,패배,카사딘,나네쫓다꿈소년,2,9,2,9805,2,6,1,149,6.3,0,0,0
53,30425,패배,이즈리얼,FVV BETTY,5,6,2,14941,3,9,3,190,8.1,0,0,0
54,30425,패배,미스 포츈,YserAoA,1,7,6,11366,4,38,10,48,2.0,0,0,0
55,30425,승리,럼블,Gazuaaaaaaa,2,0,5,16579,3,13,7,235,10.0,1,2,10
56,30425,승리,쉬바나,yizhiyu,5,2,5,12939,3,8,13,199,8.5,1,2,10
57,30425,승리,아지르,KDM PERT,7,5,4,19958,2,11,6,193,8.2,1,2,10
58,30425,승리,진,어껭간만에찾아뵙,6,2,7,13220,1,9,8,189,8.0,1,2,10
59,30425,승리,렝가,KDM 유준,10,6,4,10777,2,9,13,42,1.8,1,2,10
60,30426,패배,럼블,HKA Riris,2,10,5,13857,1,14,6,189,6.4,0,1,1
61,30426,패배,카직스,멘탈 실력 운,6,13,8,19460,4,13,3,100,3.4,0,1,1
62,30426,패배,르블랑,Heart,13,8,5,28623,4,29,0,214,7.2,0,1,1
63,30426,패배,바루스,VIP 민형,4,6,11,24299,3,11,14,256,8.6,0,1,1
64,30426,패배,제라스,YserAoA,3,5,11,19904,5,25,5,58,2.0,0,1,1
65,30426,승리,갱플랭크,Shi  Yue,12,4,7,31139,1,9,3,256,8.6,1,0,11
66,30426,승리,자르반 4세,DaYE,6,6,16,13603,9,23,5,133,4.5,1,0,11
67,30426,승리,카타리나,duibuqiziji,8,8,9,25978,0,8,5,229,7.7,1,0,11
