,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40754,승리,레넥톤,Gazuaaaaaaa,3,4,8,22749,3,36,12,338,8.6,2,1,8
1,40754,승리,자르반 4세,KDM 유준,3,3,18,10129,10,80,22,165,4.2,2,1,8
2,40754,승리,베이가,ZhanQiHuaYm,11,6,5,38202,3,8,25,361,9.2,2,1,8
3,40754,승리,미스 포츈,6학년4반장용준,6,5,12,32738,1,13,19,374,9.5,2,1,8
4,40754,승리,쉔,좋은날,5,5,11,9186,16,101,22,70,1.8,2,1,8
5,40754,패배,카밀,쌀국수뚝붸기,2,7,7,24669,3,20,8,296,7.5,0,2,4
6,40754,패배,세주아니,reMember Mistake,4,5,12,14251,13,64,27,158,4.0,0,2,4
7,40754,패배,조이,MVP Ian,9,6,7,41798,5,44,17,303,7.7,0,2,4
8,40754,패배,트리스타나,우에하라 크롱,7,3,6,27714,2,13,17,403,10.3,0,2,4
9,40754,패배,브라움,1414774182,1,7,11,8449,17,58,28,84,2.1,0,2,4
10,40755,패배,나르,VIP 민형,2,10,5,12667,2,4,6,186,6.8,0,1,3
11,40755,패배,렝가,chijixuanshou,8,6,4,11242,10,25,8,183,6.7,0,1,3
12,40755,패배,베이가,ZhanQiHuaYm,7,8,5,13388,8,18,8,188,6.9,0,1,3
13,40755,패배,미스 포츈,nekoneko1,3,4,8,16429,8,15,7,204,7.5,0,1,3
14,40755,패배,제라스,xintai,3,7,8,16997,4,14,4,24,0.9,0,1,3
15,40755,승리,잭스,나네쫓다꿈소년,9,7,3,19020,1,16,1,250,9.1,1,1,6
16,40755,승리,카직스,IGS Coli,13,7,5,23334,5,24,8,157,5.7,1,1,6
17,40755,승리,라이즈,M1anhua,4,3,10,15522,3,7,7,232,8.5,1,1,6
18,40755,승리,이즈리얼,수지Suzy,5,2,11,18921,4,19,8,235,8.6,1,1,6
19,40755,승리,모르가나,BtC Joker,4,4,11,10226,13,45,16,24,0.9,1,1,6
20,40756,패배,나르,FeelsAwesomeMan,2,6,1,7595,1,7,3,109,5.9,0,1,0
21,40756,패배,리 신,chijixuanshou,0,3,3,3825,5,25,2,75,4.1,0,1,0
22,40756,패배,베이가,ZhanQiHuaYm,2,5,2,6958,3,6,4,155,8.4,0,1,0
23,40756,패배,미스 포츈,GALA,4,7,2,10694,1,13,1,136,7.3,0,1,0
24,40756,패배,알리스타,강고릴,2,3,2,4585,5,17,3,30,1.6,0,1,0
25,40756,승리,카밀,Gazuaaaaaaa,3,1,5,6689,2,9,3,178,9.6,0,0,5
26,40756,승리,세주아니,종학윙,6,2,6,8074,2,20,2,94,5.1,0,0,5
27,40756,승리,라이즈,KDM 유준,7,1,4,10954,1,7,4,185,10.0,0,0,5
28,40756,승리,이즈리얼,161561,4,5,8,12623,0,9,7,135,7.3,0,0,5
29,40756,승리,탐 켄치,SKT T1 WoIf,4,1,5,5212,3,15,6,45,2.4,0,0,5
30,40757,패배,카밀,미율치에오,5,12,3,20784,1,14,4,176,5.3,1,1,2
31,40757,패배,카직스,chijixuanshou,4,10,8,17716,13,29,8,165,5.0,1,1,2
32,40757,패배,베이가,ZhanQiHuaYm,9,6,4,22324,3,7,21,293,8.9,1,1,2
33,40757,패배,이즈리얼,성민콩,10,9,2,26866,2,16,10,242,7.3,1,1,2
34,40757,패배,제라스,Fotune,6,6,10,21614,7,40,8,72,2.2,1,1,2
35,40757,승리,갱플랭크,피넛사냥개2,14,5,10,34522,4,18,3,320,9.7,0,2,8
36,40757,승리,렝가,SKT T1 WoIf,9,10,12,21019,5,15,9,172,5.2,0,2,8
37,40757,승리,아지르,ktmgs,3,6,11,15051,4,37,11,248,7.5,0,2,8
38,40757,승리,진,GALA,4,5,13,16276,2,14,4,226,6.8,0,2,8
39,40757,승리,조이,Afreeca Aiming,13,8,8,24657,11,68,9,66,2.0,0,2,8
40,40758,승리,잭스,RVS Poss,11,1,2,9976,1,8,1,126,7.8,0,1,5
41,40758,승리,자르반 4세,ZhanQiHuaYm,3,2,11,4895,2,14,2,70,4.3,0,1,5
42,40758,승리,탈리야,송하영 팬,8,1,8,12980,3,7,2,115,7.1,0,1,5
43,40758,승리,칼리스타,chijixuanshou,2,2,7,6597,4,17,1,148,9.1,0,1,5
44,40758,승리,라칸,삼성갤럭시CoreJJ,2,3,12,5443,3,16,5,6,0.4,0,1,5
45,40758,패배,카밀,Heiz4,1,9,1,5963,0,5,0,63,3.9,0,0,0
46,40758,패배,니달리,종학윙,4,3,3,4059,2,7,2,79,4.9,0,0,0
