,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3857,패배,럼블,God보보,5,4,8,18342,3,14,1,219,7.7,0,0,1
1,3857,패배,자르반 4세,appearflawless,1,7,13,6780,8,52,9,116,4.1,0,0,1
2,3857,패배,라이즈,FW Maple,9,4,5,22457,1,14,2,228,8.0,0,0,1
3,3857,패배,미스 포츈,whisper snow,7,5,7,22322,3,8,10,245,8.6,0,0,1
4,3857,패배,카르마,나는야베이베이1,0,9,13,9055,11,47,5,19,0.7,0,0,1
5,3857,승리,카밀,Heiz4,5,6,5,18157,0,12,3,248,8.7,1,2,10
6,3857,승리,쉬바나,정글노바,8,3,11,17962,9,12,11,207,7.2,1,2,10
7,3857,승리,말자하,이치방츠요이야츠,4,6,8,14477,3,7,8,201,7.0,1,2,10
8,3857,승리,진,wjhfjihtiu,9,2,12,20537,2,12,3,259,9.1,1,2,10
9,3857,승리,알리스타,6학년4반장용준,3,5,16,10236,8,40,10,62,2.2,1,2,10
10,3858,승리,케넨,1987 Plls,1,5,6,5773,2,11,3,148,6.5,1,1,6
11,3858,승리,카직스,appearflawless,6,2,15,19404,6,34,7,132,5.8,1,1,6
12,3858,승리,아지르,mide gui tou,8,2,7,13384,2,10,6,213,9.3,1,1,6
13,3858,승리,미스 포츈,Mengqiuqiu,7,4,3,12696,4,13,5,199,8.7,1,1,6
14,3858,승리,소라카,토마토페이스트,1,2,15,5074,6,22,9,11,0.5,1,1,6
15,3858,패배,제이스,JAG S0hwan,3,5,3,12377,0,22,3,222,9.7,0,0,4
16,3858,패배,자르반 4세,삼성갤럭시 하루,6,6,7,10898,7,28,4,86,3.8,0,0,4
17,3858,패배,라이즈,삼성갤럭시 Crown,5,6,3,10965,4,13,4,203,8.9,0,0,4
18,3858,패배,진,Plz No Die,1,1,6,10959,2,6,3,174,7.6,0,0,4
19,3858,패배,잔나,Empmuyi,0,5,8,5450,3,26,11,13,0.6,0,0,4
20,3859,승리,이렐리아,우르프rider,1,5,5,8784,3,11,0,139,6.4,1,3,3
21,3859,승리,쉬바나,yizhiyu,5,0,8,14190,4,8,7,167,7.7,1,3,3
22,3859,승리,탈리야,너와나의연결Gori,6,1,4,16755,1,21,3,192,8.8,1,3,3
23,3859,승리,베인,appearflawless,4,1,4,9931,3,10,4,203,9.3,1,3,3
24,3859,승리,쉔,양팡우,4,0,12,8374,4,22,4,50,2.3,1,3,3
25,3859,패배,카밀,Possible tts,2,5,3,10329,2,10,3,155,7.1,0,0,1
26,3859,패배,세주아니,Cuz2,1,4,4,5831,2,18,3,121,5.6,0,0,1
27,3859,패배,트위스티드 페이트,바보처럼 왜,2,4,1,10655,4,9,2,170,7.8,0,0,1
28,3859,패배,미스 포츈,NekoL,2,4,0,8205,0,5,2,206,9.5,0,0,1
29,3859,패배,알리스타,Boldness,0,3,2,4070,6,17,8,31,1.4,0,0,1
30,3860,패배,잭스,h1rb,3,6,4,14438,4,15,2,257,7.8,0,0,6
31,3860,패배,자크,appearflawless,1,4,13,11285,11,32,6,178,5.4,0,0,6
32,3860,패배,조이,마산가자,6,6,8,28398,6,17,4,257,7.8,0,0,6
33,3860,패배,바루스,republic123,8,8,7,28385,2,9,10,256,7.7,0,0,6
34,3860,패배,쓰레쉬,챌 희,3,7,11,7502,10,44,6,28,0.8,0,0,6
35,3860,승리,쉔,땅우양,4,3,17,19562,2,17,4,286,8.6,1,1,9
36,3860,승리,세주아니,DaYE,5,4,13,12437,8,31,14,164,5.0,1,1,9
37,3860,승리,카사딘,Mengqiuqiu,14,4,11,37219,4,18,2,272,8.2,1,1,9
38,3860,승리,진,쓰레기새기들,6,5,13,28853,3,14,6,284,8.6,1,1,9
39,3860,승리,타릭,천천히올라감,2,5,24,8616,6,35,7,89,2.7,1,1,9
40,3861,패배,그라가스,커피물조절장인,1,5,5,7470,2,9,5,163,6.7,0,0,0
41,3861,패배,카직스,appearflawless,4,6,4,10560,5,45,7,104,4.3,0,0,0
42,3861,패배,피즈,ysdgqxcj,3,3,2,6009,2,14,6,171,7.1,0,0,0
43,3861,패배,진,sqb,2,4,3,9864,2,6,5,190,7.8,0,0,0
44,3861,패배,제라스,푸딩은푸딩해,3,7,2,14721,4,19,4,36,1.5,0,0,0
45,3861,승리,제이스,zaqzxcazxcv,5,5,6,14507,3,22,7,220,9.1,1,1,9
46,3861,승리,니달리,DS XiaoPeng,8,2,9,16215,6,23,13,120,5.0,1,1,9
47,3861,승리,아지르,MVP Ian,5,5,3,14583,5,14,7,185,7.6,1,1,9
48,3861,승리,칼리스타,김메피,6,0,6,12021,3,10,5,238,9.8,1,1,9
49,3861,승리,블리츠크랭크,Fission,1,2,11,4863,6,28,3,33,1.4,1,1,9
50,3862,승리,갱플랭크,뒷텔와드점,7,2,8,25906,2,20,8,312,9.8,0,3,8
51,3862,승리,카직스,appearflawless,7,4,6,21984,5,43,8,162,5.1,0,3,8
52,3862,승리,오리아나,미율치에오,7,7,4,21057,2,33,13,289,9.1,0,3,8
53,3862,승리,미스 포츈,VIP 민형,3,3,5,19721,3,13,9,261,8.2,0,3,8
54,3862,승리,브라움,fengquyunbuhui,1,4,11,8185,9,64,16,66,2.1,0,3,8
55,3862,패배,오른,삶이힘든사람,3,4,10,17199,5,19,10,271,8.5,0,0,2
56,3862,패배,렉사이,find myself,5,5,10,12111,4,15,15,154,4.8,0,0,2
57,3862,패배,라이즈,마산가자,4,6,4,17726,4,26,9,273,8.6,0,0,2
58,3862,패배,진,구름꽃길만걷자,7,4,6,23207,2,13,19,266,8.3,0,0,2
59,3862,패배,제라스,Find Realey,1,6,7,13327,8,31,32,59,1.8,0,0,2
60,3863,승리,카밀,미율치에오,3,3,1,14514,2,10,7,175,8.6,0,3,5
61,3863,승리,쉬바나,appearflawless,0,1,4,3707,6,11,4,149,7.4,0,3,5
62,3863,승리,카타리나,find myself,17,2,3,25645,4,8,1,154,7.6,0,3,5
63,3863,승리,바루스,aquariusz,3,2,3,10653,3,10,4,182,9.0,0,3,5
64,3863,승리,라칸,fengquyunbuhui,1,2,11,3841,2,16,6,14,0.7,0,3,5
65,3863,패배,나르,뒷텔와드점,1,4,3,8825,4,22,2,157,7.8,0,0,1
66,3863,패배,리 신,마산가자,3,6,4,6709,4,28,4,107,5.3,0,0,1
67,3863,패배,아지르,GReenshower,2,6,0,8266,4,10,4,147,7.3,0,0,1
68,3863,패배,이즈리얼,구름꽃길만걷자,3,4,1,8276,0,11,6,193,9.5,0,0,1
69,3863,패배,브라움,heeseong,1,4,3,3299,3,14,1,35,1.7,0,0,1
70,3864,승리,럼블,챌린져 등반가,10,1,2,8637,3,10,5,116,6.8,0,1,2
71,3864,승리,렝가,THE KING 2000,9,2,5,11820,2,9,1,119,7.0,0,1,2
72,3864,승리,카르마,appearflawless,1,2,4,6160,1,7,9,128,7.5,0,1,2
73,3864,승리,이즈리얼,VIP 민형,7,2,6,13408,0,7,2,144,8.5,0,1,2
74,3864,승리,소라카,구운몽임,1,7,10,4001,4,13,6,11,0.6,0,1,2
75,3864,패배,제이스,우르프rider,2,7,0,7944,4,16,2,115,6.8,0,0,0
76,3864,패배,리 신,wojiuyizhangzui,2,8,3,3127,3,11,1,79,4.6,0,0,0
77,3864,패배,라이즈,ysdgqxcj,0,3,3,3671,2,7,4,136,8.0,0,0,0
78,3864,패배,칼리스타,Rain1ng,8,5,2,12516,1,6,3,142,8.3,0,0,0
79,3864,패배,쓰레쉬,A weak youth,2,5,9,4364,3,20,2,10,0.6,0,0,0
80,3865,패배,나르,Kingen,10,8,8,27881,3,19,10,262,7.5,1,1,6
81,3865,패배,이블린,appearflawless,7,10,16,25574,6,16,3,120,3.4,1,1,6
82,3865,패배,아지르,IGS Dasher,5,7,9,29373,5,21,19,255,7.3,1,1,6
83,3865,패배,진,먹는건즐거워,6,8,14,21260,4,13,12,241,6.9,1,1,6
84,3865,패배,알리스타,천천히올라감,4,8,12,10825,15,39,16,54,1.5,1,1,6
85,3865,승리,제이스,JAG S0hwan,8,7,14,40956,1,38,8,284,8.1,1,2,9
86,3865,승리,자르반 4세,9346,8,5,19,17995,1,54,5,149,4.3,1,2,9
87,3865,승리,라이즈,UcaL,12,8,12,33268,6,25,0,282,8.1,1,2,9
88,3865,승리,미스 포츈,SKT T1 Bang,10,8,17,28603,2,36,15,263,7.5,1,2,9
89,3865,승리,레오나,MinKOOK2,3,4,24,11046,16,41,9,57,1.6,1,2,9
90,3866,패배,애니,먹는건즐거워,5,8,11,31878,0,28,3,220,6.0,1,1,7
91,3866,패배,카직스,appearflawless,13,8,4,33804,7,44,8,177,4.8,1,1,7
92,3866,패배,조이,love left,7,7,7,37853,6,39,4,284,7.7,1,1,7
93,3866,패배,코그모,Atlen,6,7,7,40826,1,10,8,294,8.0,1,1,7
94,3866,패배,타릭,YOYOuuuuuO,1,8,13,7601,8,37,13,72,1.9,1,1,7
95,3866,승리,갱플랭크,Shi  Yue,7,5,15,28512,1,18,7,348,9.4,1,2,11
96,3866,승리,쉬바나,말고 계속 항복,6,5,16,17544,7,12,23,215,5.8,1,2,11
97,3866,승리,카타리나,find myself,10,10,9,24055,4,6,10,227,6.1,1,2,11
98,3866,승리,자야,By myself,9,5,12,25491,4,17,12,337,9.1,1,2,11
99,3866,승리,알리스타,혼자가 편해졌어,6,7,23,12700,22,60,11,42,1.1,1,2,11
100,3867,패배,자르반 4세,appearflawless,0,3,2,4871,0,7,2,124,5.7,0,0,1
101,3867,패배,엘리스,종학윙,8,4,4,10845,3,8,2,106,4.9,0,0,1
102,3867,패배,아지르,mide gui tou,2,5,6,11779,3,9,4,139,6.4,0,0,1
103,3867,패배,진,SKT T1 Bang,5,3,8,12729,2,10,2,148,6.9,0,0,1
104,3867,패배,레오나,ollehKing,2,4,10,6167,6,30,4,34,1.6,0,0,1
105,3867,승리,나르,SKT T1 Untara,3,0,3,14164,2,21,4,189,8.8,1,3,5
106,3867,승리,쉬바나,yizhiyu,6,3,8,13328,2,7,5,170,7.9,1,3,5
107,3867,승리,라이즈,duibuqiziji,4,3,8,9420,4,11,3,142,6.6,1,3,5
108,3867,승리,미스 포츈,Gon123,6,5,5,10378,1,8,2,138,6.4,1,3,5
109,3867,승리,알리스타,SKT T1 WoIf,0,6,12,5318,4,16,4,19,0.9,1,3,5
110,3868,승리,카밀,세메론,9,3,8,31441,0,15,2,299,9.1,1,3,8
111,3868,승리,카직스,appearflawless,3,6,4,9825,12,56,13,162,4.9,1,3,8
112,3868,승리,아지르,푸딩은푸딩해,5,2,10,32912,1,24,14,305,9.3,1,3,8
113,3868,승리,이즈리얼,supbest,5,3,12,30849,2,23,12,248,7.5,1,3,8
114,3868,승리,탐 켄치,YserAoA,1,5,12,6797,14,46,15,60,1.8,1,3,8
115,3868,패배,레넥톤,yizhiyu,2,7,4,16294,1,15,5,266,8.1,0,1,7
116,3868,패배,세주아니,mid push gogo,5,3,9,12656,4,56,15,187,5.7,0,1,7
