,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10177,패배,케일,피넛사냥개2,6,10,4,27365,4,20,13,377,10.4,1,2,5
1,10177,패배,자르반 4세,KDM 유준,11,8,7,24091,4,9,14,171,4.7,1,2,5
2,10177,패배,탈리야,bbq Tempt,12,5,8,27822,5,28,9,338,9.3,1,2,5
3,10177,패배,진,Gazuaaaaaaa,4,7,10,16862,4,17,10,267,7.3,1,2,5
4,10177,패배,미스 포츈,Nem2sis,2,5,11,18095,5,86,30,72,2.0,1,2,5
5,10177,승리,갱플랭크,MVP ADD,7,8,9,27991,12,38,8,298,8.2,1,2,8
6,10177,승리,니달리,chijixuanshou,6,7,8,12800,2,26,23,251,6.9,1,2,8
7,10177,승리,아지르,FW Maple,10,7,12,26566,9,45,15,260,7.1,1,2,8
8,10177,승리,이즈리얼,ysdgqxcj,9,8,11,29258,2,24,15,303,8.3,1,2,8
9,10177,승리,제라스,ZhanQiHuaYm,3,5,9,17406,7,50,17,100,2.7,1,2,8
10,10178,승리,오른,Alielie,5,3,11,12503,0,5,1,208,7.0,2,1,9
11,10178,승리,렝가,w1sdom ovo,18,5,2,28586,7,28,16,190,6.4,2,1,9
12,10178,승리,카사딘,bbq Tempt,10,3,5,22303,3,17,4,261,8.8,2,1,9
13,10178,승리,바루스,161561,3,10,5,15774,1,10,5,213,7.2,2,1,9
14,10178,승리,제라스,아테나찡,5,6,13,16422,7,34,16,51,1.7,2,1,9
15,10178,패배,야스오,그러면안돼요짜샤,3,8,2,16977,1,14,1,236,8.0,0,1,6
16,10178,패배,니달리,삼성갤럭시 하루,9,9,5,13668,8,27,8,130,4.4,0,1,6
17,10178,패배,아지르,삼성갤럭시 Crown,2,8,6,19115,3,25,2,212,7.2,0,1,6
18,10178,패배,트리스타나,RRRuleRRR,6,11,6,22946,1,19,6,232,7.8,0,1,6
19,10178,패배,카르마,Nem2sis,7,6,6,12262,6,26,10,39,1.3,0,1,6
20,10179,패배,오른,무슨말이야,1,8,1,10945,0,4,1,89,5.0,0,0,0
21,10179,패배,니달리,P2k Key,0,3,0,3188,1,13,3,76,4.2,0,0,0
22,10179,패배,제이스,bbq Tempt,4,10,2,13657,1,17,2,129,7.2,0,0,0
23,10179,패배,자야,킬안주면꼬라박음,1,8,1,9196,0,3,1,127,7.1,0,0,0
24,10179,패배,쉔,Lvmao,3,6,3,4487,3,6,0,16,0.9,0,0,0
25,10179,승리,나르,FeelsIronMan,4,1,13,16161,2,14,1,112,6.3,0,1,8
26,10179,승리,신 짜오,장난 꾸러기 돼지,7,4,6,8523,5,10,2,90,5.0,0,1,8
27,10179,승리,탈리야,송하영 팬,15,0,3,17592,0,6,2,154,8.6,0,1,8
28,10179,승리,미스 포츈,혼자해도충분하다,4,3,11,11780,0,6,0,128,7.2,0,1,8
29,10179,승리,알리스타,mentalboomKid,5,1,17,6587,5,21,4,40,2.2,0,1,8
30,10180,승리,오른,암고잉빽투더스탙,6,3,15,22154,0,11,0,171,6.4,0,2,10
31,10180,승리,자르반 4세,삼성갤럭시 하루,12,5,11,18563,5,26,12,102,3.8,0,2,10
32,10180,승리,르블랑,bbq Tempt,9,5,7,21345,6,25,1,145,5.4,0,2,10
33,10180,승리,바루스,선비모드,14,3,7,33937,5,14,4,229,8.5,0,2,10
34,10180,승리,타릭,양팡우,2,4,19,12083,12,30,6,63,2.3,0,2,10
35,10180,패배,에코,뒷텔와드점,3,10,2,15068,1,12,1,179,6.7,0,0,1
36,10180,패배,니달리,DS XiaoPeng,5,7,3,21544,5,22,14,164,6.1,0,0,1
37,10180,패배,라이즈,덤벼보던가,5,6,3,19014,1,11,6,265,9.9,0,0,1
38,10180,패배,트리스타나,VIP 민형,5,13,4,16352,0,6,2,141,5.3,0,0,1
39,10180,패배,브라움,YOYOuuuuuO,1,7,8,6186,5,27,6,44,1.6,0,0,1
40,10181,승리,갱플랭크,bbq Tempt,3,5,3,13498,3,24,3,170,7.3,1,1,5
41,10181,승리,렝가,9346,10,6,3,14352,1,24,12,137,5.9,1,1,5
42,10181,승리,베이가,kt Ucal,4,0,6,12852,2,11,3,226,9.7,1,1,5
43,10181,승리,진,여청추,10,4,4,14810,4,13,2,175,7.5,1,1,5
44,10181,승리,브라움,yizhiyu,1,2,14,6740,5,23,12,44,1.9,1,1,5
45,10181,패배,카밀,쌀국수뚝붸기,4,5,3,17918,1,10,5,171,7.3,0,0,3
46,10181,패배,엘리스,161561,3,9,4,6848,3,23,5,84,3.6,0,0,3
47,10181,패배,코르키,11 14 9 7 8 20,6,4,3,20620,2,9,8,218,9.3,0,0,3
48,10181,패배,트리스타나,VIP 민형,3,5,4,10106,5,9,5,160,6.8,0,0,3
49,10181,패배,알리스타,Kerla,0,5,9,6812,16,41,7,27,1.2,0,0,3
50,10182,패배,나르,PeanuToT,2,7,2,10920,1,23,8,251,8.6,1,0,2
51,10182,패배,아이번,장난 꾸러기 돼지,2,3,6,7787,2,15,13,135,4.6,1,0,2
52,10182,패배,아지르,bbq Tempt,2,8,2,12773,4,21,10,247,8.5,1,0,2
53,10182,패배,트리스타나,AGanQAQ,6,4,3,16085,1,9,7,230,7.9,1,0,2
54,10182,패배,쓰레쉬,A weak youth,2,6,5,5189,9,58,28,47,1.6,1,0,2
