,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3100,승리,갱플랭크,담원 너구리,2,3,4,7877,4,20,5,182,9.6,0,0,4
1,3100,승리,니달리,sanspareil1,4,1,4,11243,2,8,9,132,7.0,0,0,4
2,3100,승리,카사딘,bbq bono33,5,0,3,11386,3,11,1,139,7.3,0,0,4
3,3100,승리,미스 포츈,Peecaboo,1,1,3,7180,2,9,1,181,9.5,0,0,4
4,3100,승리,잔나,Destiny,2,3,6,5232,3,29,6,13,0.7,0,0,4
5,3100,패배,피오라,BtC Joker,1,3,3,5262,3,16,5,128,6.7,0,0,0
6,3100,패배,그라가스,챌도못찍냐,3,3,2,3576,4,27,2,86,4.5,0,0,0
7,3100,패배,아지르,republic123,1,4,1,6726,2,7,2,132,7.0,0,0,0
8,3100,패배,진,ROX Sangyoon,2,1,2,8006,3,10,10,177,9.3,0,0,0
9,3100,패배,알리스타,삼성갤럭시CoreJJ,1,3,3,2059,5,15,4,21,1.1,0,0,0
10,3101,패배,사이온,Gazuaaaaaaa,8,6,8,23658,5,16,11,237,7.0,1,1,4
11,3101,패배,자르반 4세,bbq bono33,8,6,10,16312,11,34,14,148,4.4,1,1,4
12,3101,패배,신드라,reMember Mistake,6,6,4,20723,2,29,3,275,8.2,1,1,4
13,3101,패배,드레이븐,해강고원딜 팬,2,9,6,24645,1,14,16,264,7.8,1,1,4
14,3101,패배,레오나,은종섭,0,6,14,7895,10,48,11,71,2.1,1,1,4
15,3101,승리,제이스,Afreeca Summit,7,7,11,31195,3,36,7,320,9.5,0,1,7
16,3101,승리,카직스,매우뚱뚱한고양이,7,6,12,13643,7,29,24,159,4.7,0,1,7
17,3101,승리,카사딘,Bvoy,10,1,11,34886,1,17,17,248,7.4,0,1,7
18,3101,승리,바루스,아이러니,7,4,16,31666,2,9,6,270,8.0,0,1,7
19,3101,승리,탐 켄치,Destiny,2,6,22,14970,12,58,15,54,1.6,0,1,7
20,3102,승리,럼블,오뚜기3분미트볼,12,2,4,16405,3,11,5,179,8.8,0,1,5
21,3102,승리,헤카림,bbq bono33,8,3,10,11944,4,13,5,110,5.4,0,1,5
22,3102,승리,카사딘,검은머리사나이,6,2,4,14251,1,6,3,152,7.5,0,1,5
23,3102,승리,이즈리얼,whisper snow,10,4,5,13820,0,6,6,157,7.8,0,1,5
24,3102,승리,오른,기리기리기억되리,3,3,18,7540,3,14,4,43,2.1,0,1,5
25,3102,패배,갱플랭크,bbq Tempt,2,6,3,9463,3,13,1,159,7.9,0,0,1
26,3102,패배,카직스,VIP 민형,5,6,3,10234,2,5,2,87,4.3,0,0,1
27,3102,패배,빅토르,Tae nooh,2,8,0,7891,1,9,0,125,6.2,0,0,1
28,3102,패배,애쉬,삼성갤럭시 Ru1er,3,9,3,12302,4,7,3,142,7.0,0,0,1
29,3102,패배,레오나,리인제이,2,10,5,7960,4,34,6,37,1.8,0,0,1
30,3103,승리,나르,king2n,2,0,5,8012,1,6,2,117,7.7,0,0,4
31,3103,승리,세주아니,bbq bono33,4,1,9,6050,4,9,1,34,2.2,0,0,4
32,3103,승리,라이즈,Kingen,5,2,3,9872,2,8,2,125,8.2,0,0,4
33,3103,승리,자야,구직자 zzus,7,2,3,11259,2,7,2,123,8.1,0,0,4
34,3103,승리,쓰레쉬,AKG Bene,0,3,8,2233,3,10,2,16,1.1,0,0,4
35,3103,패배,오른,사 용 수,0,3,0,6227,2,7,0,70,4.6,0,1,0
36,3103,패배,자르반 4세,LinLan,2,5,1,4339,3,9,1,46,3.0,0,1,0
37,3103,패배,카시오페아,쫄깃한 우동사리,3,3,1,7566,6,9,1,101,6.6,0,1,0
38,3103,패배,트리스타나,LPL noob ad QAQ,1,5,2,4762,0,5,0,88,5.8,0,1,0
39,3103,패배,타릭,Sim Student,2,2,3,1698,5,12,2,25,1.6,0,1,0
40,3104,승리,오른,세메론,3,5,15,19844,3,23,8,266,6.4,3,2,7
41,3104,승리,세주아니,bbq bono33,7,5,17,17528,12,16,5,150,3.6,3,2,7
42,3104,승리,라이즈,Cepteddddddddddd,9,5,7,31371,2,12,3,368,8.9,3,2,7
43,3104,승리,트리스타나,아트가 앗뜨거,12,8,9,40375,1,14,8,285,6.9,3,2,7
44,3104,승리,잔나,사스갓지지,0,3,22,4211,13,55,9,13,0.3,3,2,7
45,3104,패배,케넨,MVP ADD,2,7,9,24748,7,27,4,319,7.7,0,2,4
46,3104,패배,자르반 4세,SnakeLight,4,8,15,18001,3,5,12,188,4.5,0,2,4
47,3104,패배,블라디미르,21312312414214,10,4,10,28680,1,19,3,389,9.4,0,2,4
48,3104,패배,트위치,쫄깃한 우동사리,9,8,13,44514,3,14,7,340,8.2,0,2,4
49,3104,패배,룰루,Sim Student,1,4,19,6201,16,47,13,30,0.7,0,2,4
50,3105,승리,오른,세메론,2,0,4,6840,1,8,0,134,6.9,0,1,4
51,3105,승리,엘리스,bbq bono33,7,3,6,9699,4,15,4,67,3.5,0,1,4
52,3105,승리,탈론,사스갓지지,5,2,4,12285,3,7,2,130,6.7,0,1,4
53,3105,승리,트리스타나,IGS Dasher,6,0,4,9243,2,9,4,180,9.3,0,1,4
54,3105,승리,쓰레쉬,KT MATA,6,1,11,6277,9,31,5,20,1.0,0,1,4
55,3105,패배,제이스,Afreeca Summit,0,6,1,11310,1,8,2,161,8.3,0,0,0
56,3105,패배,리 신,Klmjg,3,3,2,4332,3,21,3,91,4.7,0,0,0
57,3105,패배,카사딘,GabrielCRO,1,6,1,5197,4,10,3,112,5.8,0,0,0
58,3105,패배,자야,쫄깃한 우동사리,1,4,2,9580,3,9,4,132,6.8,0,0,0
59,3105,패배,라칸,Sim Student,1,7,2,1758,10,18,5,13,0.7,0,0,0
60,3106,승리,초가스,박투신,3,8,1,16147,3,14,3,170,5.9,1,2,8
61,3106,승리,세주아니,bbq bono33,1,3,13,8985,8,27,7,89,3.1,1,2,8
62,3106,승리,오리아나,he  nan    yu,12,1,4,20053,3,13,9,253,8.8,1,2,8
63,3106,승리,트리스타나,IGS Dasher,1,1,5,17518,4,15,11,321,11.2,1,2,8
64,3106,승리,알리스타,Sim Student,2,1,10,6213,11,37,13,50,1.7,1,2,8
65,3106,패배,쉔,KT MATA,7,3,6,28078,3,16,5,195,6.8,0,0,2
66,3106,패배,니달리,5gak,3,6,6,9683,7,11,12,170,5.9,0,0,2
67,3106,패배,라이즈,bbq Tempt,4,4,3,18056,5,14,1,218,7.6,0,0,2
68,3106,패배,진,사스갓지지,0,3,1,9469,3,12,5,245,8.6,0,0,2
69,3106,패배,브라움,LinLan,0,3,0,4558,9,38,9,41,1.4,0,0,2
70,3107,패배,나르,커피물조절장인,4,5,2,12416,1,10,2,201,8.4,0,0,2
71,3107,패배,니달리,bbq bono33,5,3,4,10229,6,8,7,102,4.2,0,0,2
72,3107,패배,아지르,FeelsCoffeeMan,2,5,4,12985,4,13,1,179,7.4,0,0,2
73,3107,패배,바루스,좋은날,1,3,7,9090,1,5,0,185,7.7,0,0,2
74,3107,패배,블리츠크랭크,리인제이,2,4,6,4998,6,22,10,32,1.3,0,0,2
75,3107,승리,잭스,IGS Bear,2,3,8,9580,3,8,3,185,7.7,1,1,8
76,3107,승리,엘리스,박투신,1,4,12,10592,6,22,4,83,3.5,1,1,8
77,3107,승리,피즈,he  nan    yu,10,2,6,15137,2,7,4,160,6.7,1,1,8
78,3107,승리,코그모,STITCH1,7,4,4,23515,4,10,1,204,8.5,1,1,8
79,3107,승리,룰루,FW SwordArT,0,1,14,2987,5,18,3,10,0.4,1,1,8
80,3108,승리,초가스,Klmjg,4,7,7,12028,2,10,3,148,5.5,1,2,4
81,3108,승리,자르반 4세,bbq bono33,8,5,12,14882,9,12,5,81,3.0,1,2,4
82,3108,승리,다이애나,이야공,11,3,8,27488,3,7,2,225,8.4,1,2,4
83,3108,승리,코그모,wowowowoowowowo,8,5,4,16545,1,10,5,207,7.7,1,2,4
84,3108,승리,라칸,커소리어스나,1,3,16,3609,13,44,9,40,1.5,1,2,4
85,3108,패배,잭스,Riyon,12,6,4,25827,1,9,4,194,7.2,0,0,3
86,3108,패배,세주아니,5gak,1,7,12,7976,8,27,4,116,4.3,0,0,3
87,3108,패배,탈리야,Siste aeterno,5,6,5,20207,4,9,2,189,7.0,0,0,3
88,3108,패배,자야,세메론,3,5,6,19491,0,10,6,210,7.8,0,0,3
89,3108,패배,룰루,bbq Crazy,2,8,3,6171,9,31,8,14,0.5,0,0,3
90,3109,패배,제이스,king2n,12,8,4,38974,1,16,2,265,7.9,2,2,8
91,3109,패배,리 신,망고코코아,6,7,6,13221,9,28,2,127,3.8,2,2,8
92,3109,패배,카사딘,bbq bono33,8,7,5,32055,4,15,4,182,5.4,2,2,8
93,3109,패배,칼리스타,잡채밥과마파두부,4,11,9,20958,2,10,8,247,7.3,2,2,8
94,3109,패배,잔나,VeryBitter,1,7,18,4812,10,36,7,19,0.6,2,2,8
95,3109,승리,말파이트,wowowowoowowowo,2,8,11,11770,9,20,2,150,4.5,0,1,5
96,3109,승리,자르반 4세,deft123456,9,5,16,19780,10,31,13,161,4.8,0,1,5
97,3109,승리,블라디미르,Zhongdan XD,3,6,17,23931,3,16,8,219,6.5,0,1,5
98,3109,승리,트위치,나의것김혜성그래,25,6,10,59828,0,10,6,348,10.3,0,1,5
99,3109,승리,룰루,혼자혼자,1,6,33,3832,0,14,3,7,0.2,0,1,5
100,3110,승리,초가스,박투신,5,1,4,5427,2,8,0,110,6.1,0,1,10
101,3110,승리,이즈리얼,귀여운스티치,7,3,8,12429,3,4,2,131,7.3,0,1,10
102,3110,승리,카사딘,bbq bono33,8,1,4,12883,3,9,0,131,7.3,0,1,10
103,3110,승리,자야,마이엠브,0,0,2,5194,2,8,1,141,7.8,0,1,10
104,3110,승리,쓰레쉬,이상호,1,1,7,2190,5,14,2,23,1.3,0,1,10
105,3110,패배,제이스,JAG S0hwan,1,6,2,8914,1,7,0,122,6.8,0,0,1
106,3110,패배,렝가,sanspareil1,3,5,2,4173,2,8,0,63,3.5,0,0,1
107,3110,패배,블라디미르,토마토페이스트,1,6,2,6595,3,8,1,93,5.2,0,0,1
108,3110,패배,바루스,reMember Mistake,1,3,0,6008,1,7,2,151,8.4,0,0,1
109,3110,패배,라칸,wadid,0,1,1,3894,6,20,0,3,0.2,0,0,1
110,3111,승리,신지드,네 명의 짐승 팀,2,6,10,11943,0,9,0,149,6.2,1,2,9
111,3111,승리,니달리,bbq bono33,3,2,8,9016,6,8,5,109,4.5,1,2,9
112,3111,승리,코르키,WENJUNXI,6,2,3,10598,2,6,1,180,7.5,1,2,9
113,3111,승리,케이틀린,선비모드,8,2,10,29054,1,9,4,219,9.1,1,2,9
114,3111,승리,룰루,토마토페이스트,4,3,14,6592,8,25,3,9,0.4,1,2,9
115,3111,패배,자르반 4세,수기슈기슈기,3,5,6,9277,2,10,2,164,6.8,0,0,0
116,3111,패배,이즈리얼,작전동 노란머리,8,5,0,15567,3,8,7,112,4.7,0,0,0
117,3111,패배,말자하,reMember Mistake,2,3,4,9844,4,14,2,173,7.2,0,0,0
118,3111,패배,칼리스타,혼자해도충분하다,0,5,3,4552,0,9,2,149,6.2,0,0,0
119,3111,패배,라칸,GabrielCRO,1,5,8,3227,5,20,3,8,0.3,0,0,0
120,3112,승리,잭스,Nantatata,5,1,6,9082,2,9,1,147,7.0,0,1,9
121,3112,승리,렉사이,나츠카린,8,0,11,13460,3,10,2,119,5.7,0,1,9
122,3112,승리,르블랑,페이커화이팅up,9,1,9,21981,2,9,1,140,6.7,0,1,9
123,3112,승리,트리스타나,열심히할게요오,7,1,10,13230,1,9,2,171,8.2,0,1,9
124,3112,승리,알리스타,bbq bono33,4,1,14,6413,5,23,4,34,1.6,0,1,9
125,3112,패배,제이스,Yaharong,2,8,0,14633,2,9,3,141,6.7,0,0,1
126,3112,패배,자르반 4세,사스갓지지,0,7,0,6443,2,10,2,93,4.4,0,0,1
127,3112,패배,카타리나,nTMnbzm,0,7,1,7273,2,9,1,107,5.1,0,0,1
128,3112,패배,진,담원 크러쉬,2,7,0,14608,0,6,0,130,6.2,0,0,1
129,3112,패배,룰루,쪼렙이다말로하자,0,5,0,5686,4,24,3,29,1.4,0,0,1
130,3113,승리,잭스,수영장파티박종우,6,1,3,13509,2,11,0,228,7.8,1,1,10
131,3113,승리,세주아니,담원 크러쉬,5,4,14,14801,8,13,6,148,5.0,1,1,10
132,3113,승리,카르마,bbq bono33,6,3,18,22303,2,12,5,159,5.4,1,1,10
133,3113,승리,자야,iotjeun01,10,0,11,42128,5,11,7,279,9.5,1,1,10
134,3113,승리,라칸,IGS Doran,1,4,19,7727,8,32,6,11,0.4,1,1,10
135,3113,패배,초가스,암고잉빽투더스탙,0,6,2,9383,2,13,1,223,7.6,0,1,1
136,3113,패배,룰루,작전동 노란머리,5,2,5,16753,5,10,4,120,4.1,0,1,1
137,3113,패배,카사딘,Iime,2,10,2,13786,3,14,5,166,5.7,0,1,1
138,3113,패배,트리스타나,이제 졸려,4,6,2,30323,2,11,5,249,8.5,0,1,1
139,3113,패배,브라움,광지니형개잘함,0,4,8,5024,8,33,10,46,1.6,0,1,1
140,3114,패배,초가스,Nova1,1,5,5,7921,1,10,3,159,7.2,0,1,1
