,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,20000,패배,나르,KDM PERT,1,9,1,7182,1,15,2,144,6.4,0,0,0
1,20000,패배,카직스,9346,4,7,4,7612,1,10,12,97,4.3,0,0,0
2,20000,패배,라이즈,으아으앙으아앙,2,4,3,10446,2,7,12,191,8.5,0,0,0
3,20000,패배,코르키,deft123456,4,6,3,18195,3,18,5,183,8.2,0,0,0
4,20000,패배,쉔,구름꽃길만걷자,0,9,4,4260,0,10,4,37,1.7,0,0,0
5,20000,승리,오른,쌀국수뚝붸기,6,0,15,13299,2,11,2,178,7.9,0,1,10
6,20000,승리,자르반 4세,일견무시도성빈,10,4,20,15977,5,19,5,105,4.7,0,1,10
7,20000,승리,탈리야,MVP Ian,5,1,16,23267,6,28,9,223,10.0,0,1,10
8,20000,승리,트리스타나,어껭간만에찾아뵙,11,3,7,20841,3,18,6,166,7.4,0,1,10
9,20000,승리,알리스타,마산가자,3,3,11,6068,5,11,3,30,1.3,0,1,10
10,20001,승리,럼블,쌀국수뚝붸기,4,3,7,8965,2,11,4,184,7.9,1,3,9
11,20001,승리,쉬바나,M1anhua,4,2,8,9236,7,12,10,180,7.7,1,3,9
12,20001,승리,코르키,deft123456,6,2,8,17764,2,20,12,232,9.9,1,3,9
13,20001,승리,진,어껭간만에찾아뵙,3,1,9,10302,3,9,1,204,8.7,1,3,9
14,20001,승리,레오나,Nem2sis,3,2,11,5003,6,47,20,53,2.3,1,3,9
15,20001,패배,케넨,우에하라 크롱,1,3,2,7644,4,12,6,191,8.2,0,0,1
16,20001,패배,엘리스,5gak,2,4,4,6780,5,29,3,96,4.1,0,0,1
17,20001,패배,제드,KDM PERT,2,4,0,9676,2,28,14,181,7.7,0,0,1
18,20001,패배,칼리스타,담원 크러쉬,1,6,4,9318,1,14,8,193,8.2,0,0,1
19,20001,패배,알리스타,선기박,3,3,1,4004,8,25,15,46,2.0,0,0,1
20,20002,패배,피오라,chijixuanshou,3,11,7,16921,2,11,0,169,5.9,0,0,1
21,20002,패배,킨드레드,5gak,5,9,7,21127,6,48,3,136,4.8,0,0,1
22,20002,패배,르블랑,YM  zhongdan,4,4,4,23402,2,14,4,190,6.7,0,0,1
23,20002,패배,애쉬,deft123456,4,10,9,21801,7,26,5,184,6.5,0,0,1
24,20002,패배,미스 포츈,선기박,3,7,9,15816,9,36,6,29,1.0,0,0,1
25,20002,승리,나르,Gon123,15,3,4,26025,2,13,3,249,8.8,1,3,8
26,20002,승리,쉬바나,yizhiyu,8,4,13,19208,4,12,16,178,6.3,1,3,8
27,20002,승리,카르마,우에하라 크롱,4,5,18,13929,4,14,5,167,5.9,1,3,8
28,20002,승리,이즈리얼,SnakeLight,10,4,14,29480,2,14,5,217,7.6,1,3,8
29,20002,승리,트런들,MVP ADD,4,3,15,9716,7,32,17,68,2.4,1,3,8
30,20003,승리,카밀,Gon123,5,3,8,14389,2,11,4,183,8.5,1,2,4
31,20003,승리,세주아니,5gak,5,0,10,8260,2,16,7,129,6.0,1,2,4
32,20003,승리,탈리야,IGS Dasher,10,2,6,14898,5,27,6,197,9.2,1,2,4
33,20003,승리,진,deft123456,3,1,11,9409,4,18,2,171,8.0,1,2,4
34,20003,승리,알리스타,선기박,1,3,11,5508,7,27,6,36,1.7,1,2,4
35,20003,패배,잭스,MVP ADD,2,6,2,7273,3,14,2,138,6.4,0,0,2
36,20003,패배,자르반 4세,F0y,2,6,5,6879,3,24,9,106,4.9,0,0,2
37,20003,패배,트위스티드 페이트,YM  zhongdan,3,4,2,8485,3,11,10,189,8.8,0,0,2
