,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30240,승리,제이스,MVP ADD,3,4,5,13738,4,15,9,235,8.9,0,2,8
1,30240,승리,니달리,삼성갤럭시 하루,13,3,8,23468,7,22,10,157,5.9,0,2,8
2,30240,승리,조이,Fotune,3,4,12,14352,3,17,2,207,7.8,0,2,8
3,30240,승리,진,삼성갤럭시CoreJJ,9,5,12,21397,7,14,6,207,7.8,0,2,8
4,30240,승리,타릭,fengquyunbuhui,5,3,17,3290,1,30,6,60,2.3,0,2,8
5,30240,패배,카밀,FeelsIronMan,3,2,4,8882,2,13,6,196,7.4,1,0,1
6,30240,패배,카직스,Cuz2,7,6,4,13603,1,21,12,118,4.5,1,0,1
7,30240,패배,애니비아,송하영 팬,5,6,4,12771,4,12,3,216,8.1,1,0,1
8,30240,패배,이즈리얼,튀자튀자아,1,10,5,13703,3,14,4,172,6.5,1,0,1
9,30240,패배,카르마,으아으앙으아앙,2,9,4,9259,3,30,8,24,0.9,1,0,1
10,30241,승리,카밀,Gon123,7,1,6,13778,2,12,1,205,8.0,1,0,7
11,30241,승리,세주아니,Boldness,3,2,12,7588,5,21,6,125,4.9,1,0,7
12,30241,승리,라이즈,단군의청춘부재,8,4,9,16872,4,20,4,180,7.0,1,0,7
13,30241,승리,바루스,FVV BETTY,3,4,10,7958,4,19,2,177,6.9,1,0,7
14,30241,승리,제라스,fengquyunbuhui,7,1,13,14861,6,26,8,39,1.5,1,0,7
15,30241,패배,잭스,쌀국수뚝붸기,1,8,3,9148,0,10,4,169,6.6,0,1,4
16,30241,패배,렝가,Wilder,2,4,3,5733,0,18,5,159,6.2,0,1,4
17,30241,패배,말자하,LPL noob ad QAQ,5,9,1,7373,3,9,5,148,5.8,0,1,4
18,30241,패배,이즈리얼,RRRuleRRR,2,5,0,13250,3,7,8,250,9.7,0,1,4
19,30241,패배,블리츠크랭크,Mengqiuqiu,2,2,4,5262,9,35,8,47,1.8,0,1,4
20,30242,승리,블라디미르,멘탈 실력 운,4,5,10,23877,3,19,6,237,6.4,1,3,8
21,30242,승리,쉬바나,yizhiyu,7,7,11,29502,4,6,26,290,7.8,1,3,8
22,30242,승리,베이가,By myself,9,5,8,22983,2,21,5,298,8.0,1,3,8
23,30242,승리,이즈리얼,Eyes,11,4,13,49735,3,25,9,300,8.1,1,3,8
24,30242,승리,레오나,fengquyunbuhui,3,4,19,9340,14,88,18,82,2.2,1,3,8
25,30242,패배,카밀,미율치에오,9,4,3,36927,1,19,5,371,10.0,1,2,7
26,30242,패배,자크,FVV BETTY,3,4,10,10001,10,29,7,155,4.2,1,2,7
27,30242,패배,아지르,mcmglllc,4,8,3,21352,4,24,5,310,8.4,1,2,7
28,30242,패배,칼리스타,바보팀원,7,10,5,20306,2,31,16,298,8.0,1,2,7
29,30242,패배,바드,단군의청춘부재,2,8,11,16125,10,47,24,44,1.2,1,2,7
30,30243,승리,카밀,Alielie,16,6,7,32917,0,13,2,225,8.1,1,2,9
31,30243,승리,세주아니,w1sdom ovo,4,3,14,14392,1,16,3,150,5.4,1,2,9
32,30243,승리,조이,멘탈 실력 운,8,5,9,28602,2,18,0,215,7.8,1,2,9
33,30243,승리,칼리스타,튀자튀자아,4,6,6,10785,4,25,6,196,7.1,1,2,9
34,30243,승리,라칸,fengquyunbuhui,3,3,12,5184,7,39,10,24,0.9,1,2,9
35,30243,패배,갱플랭크,mianma,4,8,8,17761,2,10,2,226,8.2,0,0,1
36,30243,패배,렉사이,Believe in Allah,2,8,11,6780,2,12,6,135,4.9,0,0,1
37,30243,패배,카타리나,find myself,11,11,4,22551,3,9,3,180,6.5,0,0,1
38,30243,패배,이즈리얼,VIP 민형,4,5,10,23140,2,14,9,217,7.8,0,0,1
39,30243,패배,레오나,아테나찡,2,4,12,8162,2,16,9,46,1.7,0,0,1
40,30244,승리,제이스,find myself,4,11,14,31784,1,18,9,241,6.8,2,3,9
41,30244,승리,쉬바나,yizhiyu,9,9,10,31230,2,8,11,266,7.5,2,3,9
42,30244,승리,베이가,By myself,7,6,8,28206,1,15,3,289,8.1,2,3,9
43,30244,승리,진,GALA,12,4,8,35989,2,13,4,252,7.1,2,3,9
44,30244,승리,브라움,fengquyunbuhui,1,4,20,8615,11,68,15,66,1.9,2,3,9
45,30244,패배,루시안,11 14 9 7 8 20,11,9,6,35554,5,22,10,303,8.5,0,1,7
46,30244,패배,렉사이,Wilder,7,4,15,20474,4,20,6,178,5.0,0,1,7
47,30244,패배,조이,마산가자,7,7,11,36059,6,17,8,234,6.6,0,1,7
48,30244,패배,칼리스타,Mengqiuqiu,5,7,11,20586,2,27,10,331,9.3,0,1,7
49,30244,패배,알리스타,J Spectre G,4,6,14,10979,13,39,10,59,1.7,0,1,7
50,30245,승리,일라오이,1987 Plls,1,4,6,15084,1,9,2,169,8.6,0,0,8
51,30245,승리,니달리,종학윙,8,2,5,12259,2,9,6,130,6.6,0,0,8
52,30245,승리,라이즈,KDM PERT,7,3,4,9329,0,8,6,139,7.1,0,0,8
53,30245,승리,베인,어껭간만에찾아뵙,8,1,3,13732,0,5,2,164,8.3,0,0,8
54,30245,승리,쉔,fengquyunbuhui,2,1,10,4533,2,22,1,34,1.7,0,0,8
