,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50198,패배,갱플랭크,뒷텔와드점,3,6,9,24864,1,22,9,354,10.6,0,1,5
1,50198,패배,카직스,스마트섹시뷰티,10,5,5,20116,4,18,9,134,4.0,0,1,5
2,50198,패배,아지르,삼성갤럭시 Crown,4,9,3,19060,9,39,13,310,9.3,0,1,5
3,50198,패배,애쉬,fndasjkfkqw,2,4,5,8891,5,23,11,231,6.9,0,1,5
4,50198,패배,조이,으아으앙으아앙,1,11,3,7383,3,33,6,47,1.4,0,1,5
5,50198,승리,리븐,춘봉박,8,2,3,24112,2,32,6,335,10.0,2,2,10
6,50198,승리,자르반 4세,Yeeclipse,10,6,10,16085,8,30,15,147,4.4,2,2,10
7,50198,승리,탈리야,푸딩은푸딩해,4,7,13,18877,3,7,5,304,9.1,2,2,10
8,50198,승리,칼리스타,담원 얼라이브,10,2,11,17515,2,20,9,355,10.6,2,2,10
9,50198,승리,쓰레쉬,LinLan,3,3,19,9790,9,34,14,45,1.3,2,2,10
10,50199,패배,올라프,코w코,2,6,5,19121,4,36,11,228,7.0,1,1,2
11,50199,패배,자르반 4세,오억만,3,8,15,17798,0,17,12,180,5.6,1,1,2
12,50199,패배,오리아나,TeachersWu,1,9,7,9691,3,15,6,229,7.1,1,1,2
13,50199,패배,트리스타나,fndasjkfkqw,16,5,4,36140,3,37,15,326,10.1,1,1,2
14,50199,패배,마오카이,진쟤승,4,6,17,17262,5,35,15,54,1.7,1,1,2
15,50199,승리,갱플랭크,피넛사냥개2,9,2,9,27856,0,15,3,301,9.3,0,2,5
16,50199,승리,카직스,kenzhu9,7,5,8,23459,9,40,16,195,6.0,0,2,5
17,50199,승리,신드라,FeelsCoffeeMan,5,2,13,23170,3,18,1,282,8.7,0,2,5
18,50199,승리,이즈리얼,덤벼보던가,7,8,14,32758,3,22,19,299,9.2,0,2,5
19,50199,승리,바드,Afreeca Kuro,6,9,15,11421,13,53,23,32,1.0,0,2,5
20,50200,패배,나르,7hal,3,5,9,26657,1,41,5,327,8.3,0,1,5
21,50200,패배,니달리,나는야베이베이1,7,9,10,29390,5,48,7,194,4.9,0,1,5
22,50200,패배,말자하,성민콩,5,6,7,22644,5,17,4,306,7.8,0,1,5
23,50200,패배,바루스,fndasjkfkqw,8,7,11,33340,3,31,8,318,8.1,0,1,5
24,50200,패배,피들스틱,deft123456,2,8,14,16562,28,68,11,65,1.7,0,1,5
25,50200,승리,케넨,커피물조절장인,6,5,8,27869,3,21,12,353,9.0,2,3,7
26,50200,승리,세주아니,PeanuToT,4,2,18,12868,12,17,26,221,5.6,2,3,7
27,50200,승리,아지르,11 14 9 7 8 20,7,6,10,24639,2,7,15,358,9.1,2,3,7
28,50200,승리,칼리스타,승 로,13,7,12,28087,0,13,18,328,8.3,2,3,7
29,50200,승리,그라가스,MataMataMata,5,5,20,14289,25,71,23,77,2.0,2,3,7
30,50201,승리,마오카이,xaxaxaxaxa,8,2,19,17892,0,11,5,170,5.5,1,2,11
31,50201,승리,카직스,kenzhu9,7,5,11,21344,15,69,6,143,4.6,1,2,11
32,50201,승리,말자하,상어가족,4,4,15,19250,1,5,6,242,7.8,1,2,11
33,50201,승리,미스 포츈,FVV BETTY,13,4,10,33692,6,32,18,288,9.3,1,2,11
34,50201,승리,알리스타,fndasjkfkqw,5,2,20,7105,11,35,11,55,1.8,1,2,11
35,50201,패배,럼블,암고잉빽투더스탙,7,9,5,34293,2,15,8,234,7.6,0,1,3
36,50201,패배,그레이브즈,피넛사냥개2,6,11,5,19330,4,27,14,148,4.8,0,1,3
37,50201,패배,라이즈,reMember Mistake,2,5,5,18652,5,17,5,262,8.5,0,1,3
38,50201,패배,이즈리얼,ROX Sangyoon,2,6,6,30803,4,18,10,291,9.4,0,1,3
39,50201,패배,탐 켄치,Sim Student,0,6,9,7656,10,29,7,52,1.7,0,1,3
40,50202,패배,일라오이,xaxaxaxaxa,2,5,0,9589,0,12,2,199,9.1,0,0,2
41,50202,패배,렝가,HanGuo Xiao Daye,2,3,0,4485,7,21,5,120,5.5,0,0,2
42,50202,패배,아지르,푸딩은푸딩해,0,1,3,12767,4,18,4,204,9.4,0,0,2
43,50202,패배,칼리스타,fndasjkfkqw,2,2,0,7869,2,14,1,201,9.2,0,0,2
44,50202,패배,알리스타,나에게 기회를,0,5,1,3555,4,10,5,18,0.8,0,0,2
45,50202,승리,나르,담원 너구리,6,2,5,13748,5,22,2,200,9.2,1,2,4
46,50202,승리,쉬바나,7895123,7,0,5,7925,10,14,13,147,6.7,1,2,4
47,50202,승리,카사딘,쌀국수뚝붸기,1,2,4,8290,4,9,8,163,7.5,1,2,4
48,50202,승리,이즈리얼,nekoneko1,2,0,6,13207,0,12,4,202,9.3,1,2,4
49,50202,승리,브라움,Nem2sis,0,2,11,3876,4,22,8,40,1.8,1,2,4
50,50203,승리,갱플랭크,쌀국수뚝붸기,14,1,1,21862,1,12,2,191,8.6,1,0,5
51,50203,승리,세주아니,스마트섹시뷰티,2,0,8,5344,3,18,3,102,4.6,1,0,5
52,50203,승리,탈리야,푸딩은푸딩해,4,2,6,11680,3,10,0,198,9.0,1,0,5
53,50203,승리,미스 포츈,fndasjkfkqw,4,1,6,8905,3,23,7,185,8.4,1,0,5
54,50203,승리,탐 켄치,nekoneko1,3,0,5,5319,7,25,3,31,1.4,1,0,5
55,50203,패배,카밀,Alielie,0,8,1,5713,1,0,2,103,4.7,0,0,0
56,50203,패배,킨드레드,w1sdom ovo,0,6,1,4431,3,10,4,108,4.9,0,0,0
57,50203,패배,조이,어껭간만에찾아뵙,2,5,1,10245,2,9,5,154,7.0,0,0,0
58,50203,패배,진,Afreeca Kramer,2,4,1,6419,2,18,5,175,7.9,0,0,0
59,50203,패배,알리스타,7895123,0,4,2,2786,5,21,7,35,1.6,0,0,0
60,50204,승리,마오카이,푸딩은푸딩해,3,6,17,16500,0,15,6,276,7.1,1,1,8
61,50204,승리,자르반 4세,chirchri,8,9,25,27017,10,34,19,162,4.2,1,1,8
62,50204,승리,라이즈,피넛사냥개1,15,3,12,38430,6,41,7,351,9.1,1,1,8
63,50204,승리,진,fndasjkfkqw,12,5,17,31309,5,26,10,276,7.1,1,1,8
64,50204,승리,미스 포츈,스마트섹시뷰티,5,11,14,22763,13,77,22,49,1.3,1,1,8
65,50204,패배,제이스,Alielie,7,11,7,29012,4,6,2,308,7.9,1,3,6
66,50204,패배,세주아니,w1sdom ovo,5,6,9,11292,11,28,11,182,4.7,1,3,6
67,50204,패배,르블랑,DWG ShowMaker,14,5,9,29283,2,17,15,318,8.2,1,3,6
68,50204,패배,바루스,Afreeca Kramer,6,11,8,23377,7,41,22,351,9.1,1,3,6
69,50204,패배,레오나,GuGer,2,10,13,8329,16,64,29,82,2.1,1,3,6
70,50205,패배,나르,fndasjkfkqw,1,4,1,9071,0,17,4,147,7.2,0,0,0
71,50205,패배,세주아니,스마트섹시뷰티,1,6,1,6146,3,21,3,106,5.2,0,0,0
72,50205,패배,말자하,DWG ShowMaker,0,6,0,8313,1,3,3,128,6.3,0,0,0
73,50205,패배,미스 포츈,LPL noob ad QAQ,1,4,1,11088,0,4,2,120,5.9,0,0,0
74,50205,패배,트런들,GuGer,1,3,0,3231,3,22,4,35,1.7,0,0,0
75,50205,승리,라이즈,푸딩은푸딩해,4,0,10,15468,1,8,1,162,7.9,0,2,8
76,50205,승리,쉬바나,yizhiyu,9,0,5,13324,3,8,4,165,8.1,0,2,8
77,50205,승리,탈리야,chirchri,5,2,8,13971,2,18,2,168,8.2,0,2,8
78,50205,승리,진,Afreeca Kramer,5,1,9,14803,3,17,3,175,8.6,0,2,8
79,50205,승리,탐 켄치,160810,0,1,8,4396,5,19,4,43,2.1,0,2,8
80,50206,승리,카밀,미율치에오,3,1,4,10147,2,8,3,126,7.9,0,0,3
81,50206,승리,렝가,스마트섹시뷰티,9,2,2,9635,1,6,8,95,5.9,0,0,3
82,50206,승리,카사딘,TeachersWu,1,0,5,9744,2,8,3,119,7.5,0,0,3
83,50206,승리,미스 포츈,fndasjkfkqw,1,0,1,7862,2,16,3,156,9.8,0,0,3
84,50206,승리,쉔,먹는건즐거워,3,1,2,5223,2,8,3,33,2.1,0,0,3
85,50206,패배,일라오이,춘봉박,1,7,0,4988,3,11,1,111,7.0,0,0,0
86,50206,패배,세주아니,마이엠브,1,2,2,4093,4,23,2,109,6.8,0,0,0
87,50206,패배,라이즈,푸딩은푸딩해,1,6,0,7659,3,7,0,96,6.0,0,0,0
88,50206,패배,트리스타나,Mengqiuqiu,1,0,1,4428,0,11,3,111,7.0,0,0,0
89,50206,패배,알리스타,7895123,0,3,2,2489,3,10,0,14,0.9,0,0,0
90,50207,승리,갱플랭크,지현이의빗자루,2,3,13,23469,3,31,3,195,7.6,1,3,8
91,50207,승리,쉬바나,yizhiyu,12,3,5,19690,3,8,2,170,6.6,1,3,8
92,50207,승리,카사딘,아테나찡,5,2,7,16649,4,13,8,223,8.7,1,3,8
93,50207,승리,바루스,fndasjkfkqw,3,3,9,16648,2,23,8,223,8.7,1,3,8
94,50207,승리,노틸러스,커소리어스나,2,5,13,8574,6,42,4,41,1.6,1,3,8
95,50207,패배,나르,코w코,4,3,7,12413,5,15,4,198,7.7,0,0,2
96,50207,패배,그레이브즈,asfd12,5,6,7,12861,5,21,7,120,4.7,0,0,2
97,50207,패배,아지르,으아으앙으아앙,2,5,4,15130,2,12,16,213,8.3,0,0,2
98,50207,패배,미스 포츈,Hades9,5,4,5,14721,4,14,12,214,8.3,0,0,2
99,50207,패배,알리스타,ROX Lindarang,0,6,7,6679,7,32,12,38,1.5,0,0,2
100,50208,패배,카밀,ROX Hoon,2,4,1,9721,1,6,1,119,6.7,0,0,1
101,50208,패배,리 신,나에게 기회를,0,5,2,3979,1,21,3,76,4.3,0,0,1
102,50208,패배,카사딘,이치방츠요이야츠,1,2,1,4881,2,9,3,135,7.6,0,0,1
103,50208,패배,미스 포츈,fndasjkfkqw,2,2,1,6912,1,17,4,151,8.5,0,0,1
104,50208,패배,타릭,Empmuyi,0,2,2,3035,1,12,4,36,2.0,0,0,1
105,50208,승리,갱플랭크,피넛사냥개2,6,1,3,12987,0,5,1,151,8.5,0,0,3
106,50208,승리,자르반 4세,chirchri,3,2,5,5093,2,16,3,92,5.2,0,0,3
107,50208,승리,오리아나,LFT MID,5,1,5,10195,3,10,3,149,8.4,0,0,3
108,50208,승리,진,풀 뜯는 미드,1,2,5,10176,2,6,1,149,8.4,0,0,3
109,50208,승리,알리스타,상어가족,0,0,8,5399,1,16,6,31,1.8,0,0,3
110,50209,승리,카밀,담원 너구리,3,5,8,8398,2,10,7,124,6.6,0,1,6
111,50209,승리,리 신,kfo,7,1,5,7485,1,15,6,110,5.8,0,1,6
112,50209,승리,카사딘,아테나찡,9,0,3,13040,5,7,2,171,9.0,0,1,6
113,50209,승리,바루스,fndasjkfkqw,4,0,6,8257,3,15,1,175,9.3,0,1,6
114,50209,승리,미스 포츈,덤벼보던가,0,4,10,7912,3,30,7,21,1.1,0,1,6
115,50209,패배,럼블,jkasjhiufgha,3,8,1,5709,3,17,3,109,5.8,0,0,3
116,50209,패배,자르반 4세,ROX Lindarang,1,3,7,4306,5,20,3,67,3.5,0,0,3
