,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60199,패배,마오카이,h1rb,0,6,2,8370,1,8,0,111,5.2,0,0,0
1,60199,패배,세주아니,Plz No Die,0,9,4,6400,2,31,5,81,3.8,0,0,0
2,60199,패배,오리아나,PuncHh,2,7,3,6699,2,18,4,129,6.0,0,0,0
3,60199,패배,칼리스타,FVV BETTY,4,3,2,11388,2,11,3,206,9.6,0,0,0
4,60199,패배,잔나,IgNar,2,3,4,4883,9,28,2,6,0.3,0,0,0
5,60199,승리,갱플랭크,피넛사냥개2,5,2,7,18368,2,14,2,187,8.7,1,1,10
6,60199,승리,렝가,스마트섹시뷰티,8,1,5,11703,3,9,16,166,7.7,1,1,10
7,60199,승리,아지르,피넛사냥개1,13,1,6,22978,3,19,7,199,9.2,1,1,10
8,60199,승리,이즈리얼,혼자가 편해졌어,2,3,7,11103,2,14,10,181,8.4,1,1,10
9,60199,승리,탐 켄치,160810,0,1,10,4298,5,15,8,49,2.3,1,1,10
10,60200,승리,뽀삐,누구를 위한,4,5,10,14608,2,15,3,238,7.4,1,1,9
11,60200,승리,이블린,h1rb,10,3,12,19533,4,29,3,129,4.0,1,1,9
12,60200,승리,조이,UcaL,15,4,11,37887,2,16,5,284,8.8,1,1,9
13,60200,승리,애쉬,nekoneko1,5,4,11,13559,5,16,9,278,8.6,1,1,9
14,60200,승리,카르마,DDDDNNNN,2,5,21,9432,15,44,13,24,0.7,1,1,9
15,60200,패배,신지드,네 명의 짐승 팀,2,9,5,14790,0,13,2,291,9.1,0,2,3
16,60200,패배,자르반 4세,STITCH2,5,7,8,9480,4,8,13,205,6.4,0,2,3
17,60200,패배,카타리나,피넛사냥개1,4,8,3,13969,5,19,2,232,7.2,0,2,3
18,60200,패배,이즈리얼,VIP 민형,6,6,10,24845,1,15,10,300,9.3,0,2,3
19,60200,패배,나미,JAG Wraith,4,6,7,6028,6,32,17,18,0.6,0,2,3
20,60201,승리,케넨,MVP ADD,2,0,8,13501,4,20,9,164,8.7,0,0,3
21,60201,승리,이블린,h1rb,7,2,4,7963,3,16,2,101,5.4,0,0,3
22,60201,승리,코르키,YM  zhongdan,12,3,3,19734,2,7,2,158,8.4,0,0,3
23,60201,승리,진,일견무시도성빈,3,2,7,9773,2,7,3,113,6.0,0,0,3
24,60201,승리,마오카이,코w코,1,4,10,7430,2,17,5,36,1.9,0,0,3
25,60201,패배,나르,chijixuanshou,0,4,3,5280,1,14,1,131,7.0,0,1,1
26,60201,패배,쉬바나,yizhiyu,10,4,0,9761,3,6,5,116,6.2,0,1,1
27,60201,패배,조이,UcaL,0,6,7,7939,2,9,2,115,6.1,0,1,1
28,60201,패배,미스 포츈,혼자가 편해졌어,0,6,3,11281,4,18,2,145,7.7,0,1,1
29,60201,패배,알리스타,상어가족,1,5,3,5314,1,18,4,29,1.5,0,1,1
30,60202,승리,피오라,뒷텔와드점,4,1,5,13707,2,32,3,264,10.6,1,1,11
31,60202,승리,카직스,Twink1e,7,5,10,14502,4,17,1,154,6.2,1,1,11
32,60202,승리,카타리나,h1rb,10,4,12,25914,3,10,2,182,7.3,1,1,11
33,60202,승리,미스 포츈,혼자해도충분하다,5,3,10,15051,1,10,2,205,8.2,1,1,11
34,60202,승리,쉔,Afreeca Kuro,8,1,18,8293,5,33,9,64,2.6,1,1,11
35,60202,패배,카밀,쌀국수뚝붸기,1,8,2,11166,0,9,6,162,6.5,0,0,1
36,60202,패배,니달리,담원 크러쉬,6,7,4,6820,6,23,11,107,4.3,0,0,1
37,60202,패배,말자하,겸손하고 근면한,4,7,3,20379,3,10,2,208,8.3,0,0,1
38,60202,패배,칼리스타,혼자가 편해졌어,2,8,5,15214,4,13,4,185,7.4,0,0,1
39,60202,패배,알리스타,춘봉박,1,4,7,5335,4,22,9,46,1.8,0,0,1
40,60203,패배,럼블,담원 너구리,2,5,3,10201,3,11,6,143,7.0,0,0,2
