,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40813,승리,초가스,handcIap,3,8,9,14532,5,37,9,245,6.5,0,4,11
1,40813,승리,카직스,PeanuToT,15,6,11,24929,8,40,13,198,5.3,0,4,11
2,40813,승리,벨코즈,삼성갤럭시 Crown,11,8,14,35337,6,23,12,289,7.7,0,4,11
3,40813,승리,진,구름꽃길만걷자,14,3,23,44988,1,12,10,366,9.7,0,4,11
4,40813,승리,알리스타,삼성갤럭시CoreJJ,5,5,26,11931,9,37,10,64,1.7,0,4,11
5,40813,패배,제이스,암고잉빽투더스탙,6,11,8,36713,1,45,17,288,7.7,2,0,4
6,40813,패배,니달리,죠토마킹,5,8,9,19786,7,11,23,199,5.3,2,0,4
7,40813,패배,아지르,마산가자,10,12,8,41026,6,29,9,343,9.1,2,0,4
8,40813,패배,이즈리얼,Yeeclipse,4,11,6,29234,1,22,4,235,6.2,2,0,4
9,40813,패배,제라스,Co2dplay,5,7,10,42535,7,22,7,91,2.4,2,0,4
10,40814,승리,케넨,Like Waves,5,4,13,40519,2,17,10,300,8.1,1,2,11
11,40814,승리,자르반 4세,handcIap,7,7,22,19186,5,70,21,236,6.3,1,2,11
12,40814,승리,피들스틱,1414774182,10,6,20,26640,8,18,12,268,7.2,1,2,11
13,40814,승리,미스 포츈,Atlen,11,3,14,37785,4,13,6,297,8.0,1,2,11
14,40814,승리,라칸,FVV BETTY,5,2,29,14838,19,58,18,48,1.3,1,2,11
15,40814,패배,마오카이,Delicious Fish,2,6,8,22403,4,21,10,240,6.5,1,1,4
16,40814,패배,렝가,FeelsSosoMan,5,7,4,14749,7,46,17,262,7.0,1,1,4
17,40814,패배,말자하,HKA Riris,8,9,7,29209,6,21,17,335,9.0,1,1,4
18,40814,패배,진,whisper snow,4,6,6,24386,2,14,11,293,7.9,1,1,4
19,40814,패배,알리스타,DDDDNNNN,2,10,8,13501,22,60,21,43,1.2,1,1,4
20,40815,패배,잭스,DWG Nuguri,3,8,8,20252,6,24,10,342,8.8,0,2,6
21,40815,패배,카직스,handcIap,7,4,8,18513,6,9,7,144,3.7,0,2,6
22,40815,패배,카사딘,Tar2an,5,3,7,22921,5,24,6,309,8.0,0,2,6
23,40815,패배,진,Dingchenyu,4,4,7,29207,3,16,13,410,10.6,0,2,6
24,40815,패배,알리스타,IndonesiaMassage,1,7,15,7157,15,49,15,30,0.8,0,2,6
25,40815,승리,오른,이도류,6,4,10,30853,3,22,4,299,7.7,2,2,8
26,40815,승리,리 신,땅우양,3,4,10,14192,1,31,6,180,4.7,2,2,8
27,40815,승리,카타리나,I am ZIatan,11,5,9,33915,3,22,5,284,7.3,2,2,8
28,40815,승리,케이틀린,deft123456,4,4,13,32118,4,20,10,382,9.9,2,2,8
29,40815,승리,라칸,토마토페이스트,2,3,14,11385,12,53,9,11,0.3,2,2,8
30,40816,승리,케넨,커피물조절장인,4,3,12,19869,6,20,2,246,7.9,2,2,10
31,40816,승리,엘리스,handcIap,14,3,11,30115,4,10,10,123,3.9,2,2,10
32,40816,승리,신드라,온몸에 담,8,6,8,22216,3,15,3,231,7.4,2,2,10
33,40816,승리,칼리스타,혼자해도충분하다,7,5,15,24330,0,12,7,240,7.7,2,2,10
34,40816,승리,룰루,문장 분석기,2,6,22,10495,1,21,4,9,0.3,2,2,10
35,40816,패배,쉔,Lvmao,4,11,6,11253,2,15,5,174,5.6,0,0,1
36,40816,패배,렉사이,백수 JJUN,6,6,3,10931,3,8,6,175,5.6,0,0,1
37,40816,패배,트위스티드 페이트,Reborn3,6,7,9,23537,2,7,4,225,7.2,0,0,1
38,40816,패배,트리스타나,Helpless,5,8,8,17488,2,12,5,291,9.3,0,0,1
39,40816,패배,오른,KT MATA,1,3,14,12591,12,49,6,61,2.0,0,0,1
40,40817,패배,야스오,Afreeca Summit,9,9,3,26335,7,18,2,247,8.3,0,1,3
41,40817,패배,자르반 4세,챌도못찍냐,5,4,7,14269,9,32,11,101,3.4,0,1,3
42,40817,패배,카르마,handcIap,2,4,13,13776,3,12,2,177,6.0,0,1,3
43,40817,패배,트위치,혼자해도충분하다,1,7,3,22120,0,10,6,246,8.3,0,1,3
44,40817,패배,잔나,yizhiyu,2,8,8,4272,4,30,7,16,0.5,0,1,3
45,40817,승리,나르,커피물조절장인,8,4,10,17638,1,13,6,241,8.1,1,2,9
46,40817,승리,세주아니,백수 JJUN,5,4,15,12226,2,22,12,116,3.9,1,2,9
47,40817,승리,갈리오,뿡뿡뿡뿡뿡쁑,3,7,10,15341,2,7,3,218,7.3,1,2,9
48,40817,승리,진,학식먹을나이,12,2,14,28967,1,12,5,237,8.0,1,2,9
49,40817,승리,레오나,MinKOOK2,4,2,21,7030,9,29,7,49,1.6,1,2,9
50,40818,승리,초가스,handcIap,4,1,4,9566,0,8,0,163,7.3,1,2,9
51,40818,승리,이즈리얼,T 1 a n,4,3,14,15797,2,8,6,97,4.3,1,2,9
52,40818,승리,트위스티드 페이트,ablela,1,3,9,7566,3,12,1,162,7.2,1,2,9
53,40818,승리,칼리스타,Tae nooh,12,4,9,26819,1,8,1,202,9.0,1,2,9
54,40818,승리,룰루,CrazySound,3,3,19,5538,8,24,7,11,0.5,1,2,9
55,40818,패배,신지드,Here we go,1,5,5,10565,0,9,1,213,9.5,0,0,0
56,40818,패배,세주아니,5gak,1,5,5,5649,5,20,2,62,2.8,0,0,0
57,40818,패배,탈리야,IIs AP SuB,6,4,3,17424,1,8,1,195,8.7,0,0,0
58,40818,패배,트리스타나,에어맨,2,7,4,5520,1,8,1,129,5.8,0,0,0
59,40818,패배,렝가,not for self,3,3,4,4358,2,20,2,40,1.8,0,0,0
60,40819,승리,레넥톤,JAG S0hwan,3,1,7,10656,4,15,3,229,9.1,1,0,7
61,40819,승리,니달리,handcIap,3,2,7,5689,3,18,21,154,6.1,1,0,7
62,40819,승리,아지르,Siste aeterno,5,2,1,15528,3,12,6,217,8.6,1,0,7
63,40819,승리,진,마이엠브,2,1,9,11122,2,11,5,197,7.8,1,0,7
64,40819,승리,탐 켄치,Lvmao,1,2,9,3148,5,23,4,43,1.7,1,0,7
65,40819,패배,카밀,Kingen,1,4,1,8353,3,11,2,186,7.4,0,2,3
66,40819,패배,엘리스,BtC RYAN,1,4,4,7599,6,24,11,100,4.0,0,2,3
67,40819,패배,트위스티드 페이트,수영장파티박종우,2,2,2,10834,5,15,7,205,8.2,0,2,3
68,40819,패배,바루스,bbq Tempt,3,2,2,11939,5,14,2,243,9.7,0,2,3
69,40819,패배,브랜드,JAG SnowFlower,1,2,2,13266,6,26,1,6,0.2,0,2,3
70,40820,승리,야스오,JAG S0hwan,4,1,1,12791,3,12,3,253,10.2,1,2,9
71,40820,승리,이즈리얼,건드리지말라했다,8,2,9,16293,3,8,8,107,4.3,1,2,9
72,40820,승리,말자하,수영장파티박종우,3,2,12,14389,2,10,4,177,7.2,1,2,9
73,40820,승리,트리스타나,handcIap,6,2,11,11376,0,9,2,178,7.2,1,2,9
74,40820,승리,바드,Lvmao,2,3,18,11630,5,21,8,19,0.8,1,2,9
75,40820,패배,초가스,Siste aeterno,2,4,0,5197,3,9,0,187,7.6,0,0,1
76,40820,패배,잭스,마이엠브,1,3,5,5491,9,9,4,102,4.1,0,0,1
77,40820,패배,라이즈,군산신사장,5,6,2,7440,3,9,4,193,7.8,0,0,1
78,40820,패배,진,BtC RYAN,1,5,6,11334,1,10,2,189,7.6,0,0,1
79,40820,패배,오른,JAG SnowFlower,1,5,4,6523,5,23,2,39,1.6,0,0,1
80,40821,패배,초가스,handcIap,3,3,0,5560,0,2,0,125,7.7,0,0,0
81,40821,패배,샤코,챔프폭 늘리는중,1,4,2,4040,2,8,4,55,3.4,0,0,0
82,40821,패배,카사딘,KDM U jun,0,8,0,4941,0,6,1,83,5.1,0,0,0
83,40821,패배,케이틀린,네 옆에,0,4,1,4339,1,7,0,122,7.5,0,0,0
84,40821,패배,룰루,Flaycid,0,6,1,3036,2,18,0,14,0.9,0,0,0
85,40821,승리,제이스,오뚜기3분미트볼,4,3,0,8704,1,7,0,156,9.6,0,1,9
86,40821,승리,자르반 4세,T 1 a n,8,0,8,10737,3,9,3,73,4.5,0,1,9
87,40821,승리,오리아나,멘탈 실력 운,7,0,6,15105,2,7,0,136,8.3,0,1,9
88,40821,승리,진,땅우양,5,1,1,9285,1,6,0,124,7.6,0,1,9
89,40821,승리,바드,L1sure,1,0,8,5978,2,12,2,4,0.2,0,1,9
90,40822,패배,초가스,bbq Crazy,2,2,0,7183,1,7,1,118,7.3,0,0,0
91,40822,패배,세주아니,handcIap,1,5,1,2488,3,14,1,68,4.2,0,0,0
92,40822,패배,트위스티드 페이트,K T,0,2,2,3507,2,4,0,139,8.6,0,0,0
93,40822,패배,바루스,F0y,0,5,0,3929,1,5,1,114,7.0,0,0,0
94,40822,패배,바드,Lehends,1,4,1,7023,2,11,4,13,0.8,0,0,0
95,40822,승리,잭스,뒷텔와드점,3,1,3,6772,3,8,1,129,8.0,0,1,2
96,40822,승리,엘리스,마이엠브,8,1,1,6581,4,8,2,71,4.4,0,1,2
97,40822,승리,제이스,하늘킹,2,1,2,9604,2,5,3,137,8.5,0,1,2
98,40822,승리,코그모,STITCH1,4,1,5,8638,1,5,2,155,9.6,0,1,2
99,40822,승리,타릭,양갱뿌,1,0,9,4815,1,10,2,28,1.7,0,1,2
100,40823,승리,갈리오,7hal,2,4,10,15320,3,14,4,197,7.2,1,2,10
101,40823,승리,세주아니,handcIap,9,0,14,13660,1,19,14,175,6.4,1,2,10
102,40823,승리,아지르,The Quibbler,15,4,10,32352,3,6,7,228,8.3,1,2,10
103,40823,승리,트리스타나,구직자 쭈스,6,4,11,20084,2,8,4,163,5.9,1,2,10
104,40823,승리,라칸,Lvmao,3,3,20,7879,10,31,16,19,0.7,1,2,10
105,40823,패배,제이스,JAG S0hwan,3,4,4,25244,2,14,3,238,8.7,0,0,2
106,40823,패배,아이번,jinwandalaohu,0,10,5,4966,6,16,9,67,2.4,0,0,2
107,40823,패배,빅토르,푸딩은푸딩해,4,6,1,19549,1,10,2,223,8.1,0,0,2
108,40823,패배,자야,Zhongdan XD,5,9,2,15518,1,10,6,225,8.2,0,0,2
109,40823,패배,레오나,FW SwordArT,2,6,6,8524,7,39,10,39,1.4,0,0,2
110,40824,승리,나르,JAG S0hwan,5,5,10,24892,5,22,5,284,7.9,1,2,11
111,40824,승리,샤코,챔프폭 늘리는중,6,5,14,18176,1,14,4,141,3.9,1,2,11
112,40824,승리,갈리오,handcIap,3,7,18,18971,2,18,0,191,5.3,1,2,11
113,40824,승리,트위치,진에어 테디,13,6,8,61273,2,10,13,334,9.3,1,2,11
114,40824,승리,룰루,VeryBitter,2,2,19,4622,9,38,8,14,0.4,1,2,11
115,40824,패배,사이온,귤렐루야,5,8,9,23707,3,8,5,222,6.2,1,1,6
116,40824,패배,세주아니,jinwandalaohu,7,6,13,15188,10,15,9,103,2.9,1,1,6
117,40824,패배,라이즈,오뚜기3분미트볼,5,5,9,29074,3,15,3,331,9.2,1,1,6
118,40824,패배,드레이븐,Greed A Pride,5,5,8,23335,2,12,8,297,8.3,1,1,6
119,40824,패배,쓰레쉬,FW SwordArT,3,5,12,5194,10,47,5,16,0.4,1,1,6
120,40825,패배,마오카이,미율치에오,1,3,6,8849,1,9,0,140,6.9,0,1,1
121,40825,패배,니달리,handcIap,2,7,1,5496,2,16,6,99,4.8,0,1,1
122,40825,패배,야스오,건드리지말라했다,3,6,1,7502,1,5,1,132,6.5,0,1,1
123,40825,패배,트리스타나,Dingchenyu,3,5,4,8349,0,7,0,150,7.3,0,1,1
124,40825,패배,라칸,GabrielCRO,0,4,5,3280,5,9,3,11,0.5,0,1,1
125,40825,승리,잭스,브리즈번,6,2,4,17841,1,7,2,190,9.3,0,1,7
126,40825,승리,렉사이,Wilder,9,3,3,11429,2,10,3,73,3.6,0,1,7
127,40825,승리,블라디미르,I am ZIatan,6,0,5,19148,2,10,1,165,8.1,0,1,7
128,40825,승리,미스 포츈,카우걸 미스 포츈,1,3,9,9530,0,5,0,90,4.4,0,1,7
129,40825,승리,타릭,도령니이임,3,1,12,6442,6,20,1,34,1.7,0,1,7
