,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50693,승리,판테온,Zhongdan XD,13,1,8,21128,5,10,5,139,6.8,0,2,10
1,50693,승리,쉬바나,yizhiyu,10,2,4,13004,4,9,10,149,7.3,0,2,10
2,50693,승리,트위스티드 페이트,TeachersWu,7,1,8,9901,2,10,3,172,8.4,0,2,10
3,50693,승리,바루스,hard girl,2,3,9,12233,4,11,3,165,8.1,0,2,10
4,50693,승리,제라스,11 14 9 7 8 20,3,5,10,14532,0,8,3,18,0.9,0,2,10
5,50693,패배,갱플랭크,Eth4n,1,10,4,9035,2,11,1,136,6.6,0,0,1
6,50693,패배,니달리,진에어 저스티스,4,5,3,8892,4,18,4,98,4.8,0,0,1
7,50693,패배,라이즈,마산가자,2,8,4,7012,4,10,1,122,6.0,0,0,1
8,50693,패배,이즈리얼,6학년4반장용준,4,6,3,11362,1,9,0,142,6.9,0,0,1
9,50693,패배,블리츠크랭크,Detiny,1,6,4,4994,3,27,2,44,2.1,0,0,1
10,50694,승리,갱플랭크,ysdgqxcj,1,0,8,7816,0,9,3,198,10.5,0,2,8
11,50694,승리,쉬바나,yizhiyu,10,1,11,14390,1,8,6,135,7.2,0,2,8
12,50694,승리,르블랑,풀 뜯는 미드,12,3,7,14970,4,14,0,127,6.8,0,2,8
13,50694,승리,애쉬,hard girl,1,1,4,5518,3,9,1,169,9.0,0,2,8
14,50694,승리,잔나,Dutch Coffee,2,1,14,5964,3,17,9,15,0.8,0,2,8
15,50694,패배,나르,SKT T1 Bang,0,5,1,7687,0,15,1,136,7.2,0,0,0
16,50694,패배,렝가,SKT T1 WoIf,3,6,0,2795,3,19,6,88,4.7,0,0,0
17,50694,패배,아지르,LFT MID,2,6,2,8583,4,9,5,151,8.0,0,0,0
18,50694,패배,진,Rachel Berry,0,5,2,6004,2,9,0,137,7.3,0,0,0
19,50694,패배,쉔,중요한건마음가짐,1,4,1,2478,7,17,2,38,2.0,0,0,0
20,50695,승리,피오라,chijixuanshou,3,5,4,19656,3,15,3,260,8.9,1,2,9
21,50695,승리,리 신,pokeryo,8,5,6,10978,12,58,13,126,4.3,1,2,9
