,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50337,승리,카밀,뒷텔와드점,0,0,0,606,0,0,0,12,3.7,0,1,6
1,50337,승리,카직스,kenzhu9,0,0,0,0,0,0,0,0,0.0,0,1,6
2,50337,승리,베이가,이도류,0,0,0,257,0,1,0,17,5.3,0,1,6
3,50337,승리,진,아 백,0,0,0,986,0,2,0,17,5.3,0,1,6
4,50337,승리,카르마,MataMataMata,0,0,0,1157,0,4,1,1,0.3,0,1,6
5,50337,패배,카밀,갱만가드림,2,3,1,6828,0,10,3,162,6.8,0,0,1
6,50337,패배,세주아니,마이엠브,3,0,7,6230,6,45,8,99,4.2,0,0,1
7,50337,패배,라이즈,승 로,3,3,4,10436,1,11,2,180,7.6,0,0,1
8,50337,패배,진,Greed A Pride,2,2,4,7001,4,11,8,214,9.0,0,0,1
9,50337,패배,갈리오,IgNar,0,4,7,3207,7,31,9,45,1.9,0,0,1
10,50338,패배,피오라,kenzhu9,2,5,1,5290,1,10,5,189,8.6,0,2,0
11,50338,패배,쉬바나,TeawaN,4,9,4,9915,3,9,7,131,5.9,0,2,0
12,50338,패배,라이즈,Lucete,1,5,3,5196,2,8,2,159,7.2,0,2,0
13,50338,패배,진,Yumemiru Shonen,2,7,4,5873,2,8,2,138,6.3,0,2,0
14,50338,패배,알리스타,Z 2017 11 25,0,4,6,3163,4,15,8,41,1.9,0,2,0
15,50338,승리,제이스,chirchri,1,2,9,13065,5,21,2,202,9.2,1,0,8
16,50338,승리,카직스,피넛사냥개1,9,1,7,13363,4,17,2,114,5.2,1,0,8
17,50338,승리,말자하,APK Rainbow,6,0,8,8871,2,10,3,209,9.5,1,0,8
18,50338,승리,미스 포츈,GALA,12,1,9,24929,3,17,3,166,7.5,1,0,8
19,50338,승리,브라움,supbest,2,5,15,5889,5,23,5,24,1.1,1,0,8
20,50339,승리,쉔,우철짱123,11,4,17,18625,1,12,6,206,7.5,1,0,9
21,50339,승리,아이번,kenzhu9,5,2,23,12541,3,12,4,137,5.0,1,0,9
22,50339,승리,탈리야,푸딩은푸딩해,11,5,7,18327,3,25,2,234,8.5,1,0,9
23,50339,승리,바루스,sqb,6,8,21,30474,1,6,1,186,6.7,1,0,9
24,50339,승리,레오나,XinyiQAQ,3,3,22,10660,6,38,8,49,1.8,1,0,9
25,50339,패배,말파이트,바보처럼 왜,2,7,6,11739,0,9,1,164,5.9,0,2,3
26,50339,패배,자르반 4세,피넛사냥개1,8,10,9,17290,4,23,2,112,4.1,0,2,3
