,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60637,승리,갱플랭크,피넛사냥개2,14,5,10,34522,4,18,3,320,9.7,0,2,8
1,60637,승리,렝가,SKT T1 WoIf,9,10,12,21019,5,15,9,172,5.2,0,2,8
2,60637,승리,아지르,ktmgs,3,6,11,15051,4,37,11,248,7.5,0,2,8
3,60637,승리,진,GALA,4,5,13,16276,2,14,4,226,6.8,0,2,8
4,60637,승리,조이,Afreeca Aiming,13,8,8,24657,11,68,9,66,2.0,0,2,8
5,60637,패배,카밀,미율치에오,5,12,3,20784,1,14,4,176,5.3,1,1,2
6,60637,패배,카직스,chijixuanshou,4,10,8,17716,13,29,8,165,5.0,1,1,2
7,60637,패배,베이가,ZhanQiHuaYm,9,6,4,22324,3,7,21,293,8.9,1,1,2
8,60637,패배,이즈리얼,성민콩,10,9,2,26866,2,16,10,242,7.3,1,1,2
9,60637,패배,제라스,Fotune,6,6,10,21614,7,40,8,72,2.2,1,1,2
10,60638,승리,카밀,P2k Key,7,5,9,24787,3,18,7,230,6.8,2,3,10
11,60638,승리,세주아니,망고코코아,6,5,14,17159,9,33,12,168,5.0,2,3,10
12,60638,승리,라이즈,나에게 기회를,6,2,5,22229,5,10,11,319,9.5,2,3,10
13,60638,승리,바루스,ktmgs,8,6,5,26523,4,32,8,261,7.8,2,3,10
14,60638,승리,타릭,Zhongdan XD,0,4,18,7590,9,39,21,65,1.9,2,3,10
15,60638,패배,제이스,p1g farm,9,6,4,29278,3,15,3,304,9.1,0,1,6
16,60638,패배,리 신,Wilder,2,8,9,9229,5,67,16,145,4.3,0,1,6
17,60638,패배,다이애나,이야공,6,3,5,30702,1,6,6,309,9.2,0,1,6
18,60638,패배,진,GALA,4,6,6,21095,1,12,7,279,8.3,0,1,6
19,60638,패배,탐 켄치,Sim Student,1,4,12,9443,10,36,6,79,2.4,0,1,6
20,60639,승리,케넨,JAG S0hwan,7,2,12,19196,3,11,3,176,7.1,0,0,9
21,60639,승리,이블린,h1rb,9,2,7,12468,1,23,8,165,6.6,0,0,9
22,60639,승리,말자하,DWG ShowMaker,10,1,14,23548,3,7,4,234,9.4,0,0,9
23,60639,승리,진,ktmgs,8,3,12,13614,3,9,2,129,5.2,0,0,9
24,60639,승리,조이,호잇이,2,2,16,13551,5,27,14,28,1.1,0,0,9
25,60639,패배,카밀,담원 너구리,3,9,1,10505,6,15,5,197,7.9,0,1,2
26,60639,패배,니달리,분당고 엄성현,2,7,3,6555,5,18,6,116,4.7,0,1,2
27,60639,패배,루시안,으아으앙으아앙,2,7,2,6764,3,27,5,197,7.9,0,1,2
28,60639,패배,미스 포츈,Yumemiru Shonen,2,7,4,13932,4,10,6,219,8.8,0,1,2
29,60639,패배,알리스타,Lucete,1,6,3,3971,5,22,5,40,1.6,0,1,2
30,60640,승리,잭스,나네쫓다꿈소년,8,3,4,14783,0,9,0,153,8.7,0,2,2
31,60640,승리,쉬바나,M1anhua,3,2,3,5019,9,12,3,125,7.1,0,2,2
32,60640,승리,라이즈,ktmgs,2,4,3,8715,1,8,1,115,6.6,0,2,2
33,60640,승리,칼리스타,P2k Key,1,2,7,8279,2,8,4,157,9.0,0,2,2
34,60640,승리,알리스타,어두운결과,1,0,6,3627,3,13,3,19,1.1,0,2,2
35,60640,패배,카밀,mianma,4,5,1,7578,0,4,1,116,6.6,0,0,1
36,60640,패배,세주아니,Believe in Allah,3,3,7,6757,2,6,0,84,4.8,0,0,1
37,60640,패배,아지르,푸딩은푸딩해,2,2,3,8047,3,16,3,128,7.3,0,0,1
38,60640,패배,트리스타나,whisper snow,2,2,1,6757,0,6,3,146,8.3,0,0,1
39,60640,패배,브라움,atlenismydaddy,0,3,2,2594,3,12,0,27,1.5,0,0,1
40,60641,승리,잭스,나네쫓다꿈소년,8,2,3,13756,1,11,1,185,9.3,0,2,11
41,60641,승리,세주아니,P2k Key,3,2,6,5009,4,13,6,110,5.6,0,2,11
42,60641,승리,탈리야,APK Rainbow,6,2,0,11336,2,19,4,176,8.9,0,2,11
43,60641,승리,칼리스타,ktmgs,4,2,6,8254,1,7,4,157,7.9,0,2,11
44,60641,승리,알리스타,M1anhua,1,1,14,6369,6,21,7,33,1.7,0,2,11
45,60641,패배,오른,Lvmao,0,8,0,5834,1,6,0,127,6.4,0,0,0
46,60641,패배,카직스,장난 꾸러기 돼지,3,1,5,5299,1,12,3,92,4.6,0,0,0
47,60641,패배,아지르,mcmglllc,3,2,5,17687,1,21,10,160,8.1,0,0,0
48,60641,패배,시비르,mentalboomKid,2,5,4,9181,0,7,1,122,6.2,0,0,0
49,60641,패배,잔나,찹 또,1,6,6,8651,5,17,2,10,0.5,0,0,0
50,60642,패배,오른,find myself,7,7,7,21952,2,9,3,220,6.9,0,2,3
51,60642,패배,니달리,DS XiaoPeng,4,7,6,15681,3,25,18,200,6.3,0,2,3
52,60642,패배,조이,Fotune,5,5,9,33467,1,20,4,236,7.4,0,2,3
