,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40674,승리,말파이트,mid push gogo,5,4,9,24292,0,13,2,242,8.2,2,1,9
1,40674,승리,렝가,kenzhu9,7,6,9,17710,14,59,15,197,6.7,2,1,9
2,40674,승리,오리아나,DWG ShowMaker,4,6,13,14504,4,12,11,212,7.2,2,1,9
3,40674,승리,자야,SnakeLight,13,3,12,29588,3,15,8,239,8.1,2,1,9
4,40674,승리,라칸,fengquyunbuhui,5,5,21,5678,11,44,15,20,0.7,2,1,9
5,40674,패배,자르반 4세,송하영 팬,8,7,4,16087,2,12,2,223,7.6,0,1,3
6,40674,패배,엘리스,삼성갤럭시 하루,8,8,5,15239,11,33,18,134,4.6,0,1,3
7,40674,패배,르블랑,삼성갤럭시 Crown,2,5,10,17951,7,33,10,208,7.1,0,1,3
8,40674,패배,이즈리얼,Afreeca Aiming,5,8,4,20347,2,16,1,227,7.7,0,1,3
9,40674,패배,카르마,h1rb,1,6,7,10297,6,34,13,40,1.4,0,1,3
10,40675,승리,카밀,zaqzxcazxcv,3,1,1,5936,0,5,1,129,8.4,0,2,3
11,40675,승리,쉬바나,DaYE,8,3,7,12993,2,5,4,110,7.2,0,2,3
12,40675,승리,르블랑,승 로,5,2,8,7930,2,14,4,99,6.5,0,2,3
13,40675,승리,트리스타나,어껭간만에찾아뵙,3,2,8,5774,0,12,3,111,7.2,0,2,3
14,40675,승리,브라움,mid push gogo,0,3,12,3676,2,10,1,23,1.5,0,2,3
15,40675,패배,제이스,분당고 엄성현,2,3,4,9602,2,15,3,80,5.2,0,0,1
16,40675,패배,렝가,트와이스 원스,3,6,5,7226,3,11,0,81,5.3,0,0,1
17,40675,패배,아지르,Jin air Yaharong,5,3,2,5982,3,7,3,122,8.0,0,0,1
18,40675,패배,바루스,Excal1bur1,0,3,5,7591,0,9,2,119,7.8,0,0,1
19,40675,패배,알리스타,치 열,1,4,2,3273,3,12,2,19,1.2,0,0,1
20,40676,승리,말파이트,mid push gogo,4,3,6,16441,0,10,6,193,7.4,1,2,7
21,40676,승리,자르반 4세,Heart,5,3,19,12545,4,16,9,119,4.6,1,2,7
22,40676,승리,탈리야,삼성갤럭시 Crown,5,7,9,18809,4,14,5,182,7.0,1,2,7
23,40676,승리,미스 포츈,아이러니,9,4,9,19486,4,7,5,222,8.6,1,2,7
24,40676,승리,카르마,Empmuyi,3,2,15,8515,3,46,15,28,1.1,1,2,7
25,40676,패배,트런들,Eth4n,3,3,7,11970,4,20,0,248,9.6,0,0,3
26,40676,패배,렝가,DS XiaoPeng,8,7,6,16543,3,17,7,140,5.4,0,0,3
27,40676,패배,카타리나,진에어 저스티스,6,6,2,9933,4,28,1,163,6.3,0,0,3
28,40676,패배,진,상어가족,1,5,6,9103,1,10,9,172,6.6,0,0,3
29,40676,패배,쓰레쉬,PeanuToT,1,5,6,3253,5,29,10,35,1.4,0,0,3
30,40677,승리,갱플랭크,피넛사냥개2,6,4,8,20169,3,11,1,218,8.9,0,0,10
31,40677,승리,리 신,마산가자,19,6,8,22494,7,44,3,132,5.4,0,0,10
32,40677,승리,라이즈,Leelaa,4,8,10,15839,1,10,3,144,5.9,0,0,10
33,40677,승리,미스 포츈,mid push gogo,19,2,9,28121,1,8,4,158,6.4,0,0,10
34,40677,승리,레오나,160810,4,1,19,8390,12,27,12,57,2.3,0,0,10
35,40677,패배,나르,jjijiijijljli,6,6,4,23265,3,12,5,153,6.2,0,0,1
36,40677,패배,자르반 4세,9346,5,13,9,11029,3,17,7,83,3.4,0,0,1
37,40677,패배,아지르,FW Maple,2,11,9,11233,3,21,5,171,7.0,0,0,1
38,40677,패배,진,PawN God,7,13,7,16168,4,11,1,132,5.4,0,0,1
39,40677,패배,제라스,UcaL,1,9,10,14933,3,19,2,33,1.3,0,0,1
