,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60299,승리,뽀삐,누구를 위한,4,5,10,14608,2,15,3,238,7.4,1,1,9
1,60299,승리,이블린,h1rb,10,3,12,19533,4,29,3,129,4.0,1,1,9
2,60299,승리,조이,UcaL,15,4,11,37887,2,16,5,284,8.8,1,1,9
3,60299,승리,애쉬,nekoneko1,5,4,11,13559,5,16,9,278,8.6,1,1,9
4,60299,승리,카르마,DDDDNNNN,2,5,21,9432,15,44,13,24,0.7,1,1,9
5,60299,패배,신지드,네 명의 짐승 팀,2,9,5,14790,0,13,2,291,9.1,0,2,3
6,60299,패배,자르반 4세,STITCH2,5,7,8,9480,4,8,13,205,6.4,0,2,3
7,60299,패배,카타리나,피넛사냥개1,4,8,3,13969,5,19,2,232,7.2,0,2,3
8,60299,패배,이즈리얼,VIP 민형,6,6,10,24845,1,15,10,300,9.3,0,2,3
9,60299,패배,나미,JAG Wraith,4,6,7,6028,6,32,17,18,0.6,0,2,3
10,60300,승리,카밀,Alielie,11,5,5,26277,4,16,4,208,7.6,1,1,8
11,60300,승리,니달리,9346,12,3,8,15604,2,47,18,184,6.7,1,1,8
12,60300,승리,조이,nekoneko1,3,5,14,17982,5,29,3,185,6.7,1,1,8
13,60300,승리,진,991126,14,5,12,29769,1,6,8,219,8.0,1,1,8
14,60300,승리,레오나,xintai,5,3,23,9827,8,41,8,35,1.3,1,1,8
15,60300,패배,마오카이,ollehKing,1,4,7,10247,2,11,3,166,6.0,0,0,3
16,60300,패배,자르반 4세,pokeryo,7,5,3,11222,6,50,20,120,4.4,0,0,3
17,60300,패배,라이즈,201505,6,7,4,24382,5,12,7,266,9.7,0,0,3
18,60300,패배,바루스,수지Suzy,3,13,4,15015,2,10,5,161,5.9,0,0,3
19,60300,패배,베이가,구운몽임,4,16,7,11248,4,30,12,37,1.3,0,0,3
20,60301,패배,나르,VIP 민형,2,10,5,12667,2,4,6,186,6.8,0,1,3
21,60301,패배,렝가,chijixuanshou,8,6,4,11242,10,25,8,183,6.7,0,1,3
22,60301,패배,베이가,ZhanQiHuaYm,7,8,5,13388,8,18,8,188,6.9,0,1,3
23,60301,패배,미스 포츈,nekoneko1,3,4,8,16429,8,15,7,204,7.5,0,1,3
24,60301,패배,제라스,xintai,3,7,8,16997,4,14,4,24,0.9,0,1,3
25,60301,승리,잭스,나네쫓다꿈소년,9,7,3,19020,1,16,1,250,9.1,1,1,6
26,60301,승리,카직스,IGS Coli,13,7,5,23334,5,24,8,157,5.7,1,1,6
27,60301,승리,라이즈,M1anhua,4,3,10,15522,3,7,7,232,8.5,1,1,6
28,60301,승리,이즈리얼,수지Suzy,5,2,11,18921,4,19,8,235,8.6,1,1,6
29,60301,승리,모르가나,BtC Joker,4,4,11,10226,13,45,16,24,0.9,1,1,6
30,60302,승리,제이스,무이무익,4,0,1,9335,3,23,7,194,9.3,0,2,3
31,60302,승리,자르반 4세,수지Suzy,1,0,7,5193,3,18,2,111,5.3,0,2,3
32,60302,승리,말자하,MSC TRY,3,1,6,6781,3,10,4,204,9.8,0,2,3
33,60302,승리,바루스,nekoneko1,6,1,2,8142,6,10,5,164,7.9,0,2,3
34,60302,승리,바드,xintai,0,1,7,3222,9,34,8,13,0.6,0,2,3
35,60302,패배,갱플랭크,yiwancibeishang,0,2,1,5491,0,6,4,207,10.0,0,0,2
36,60302,패배,세주아니,jinwandalaohu,0,3,1,2446,3,9,6,91,4.4,0,0,2
37,60302,패배,코르키,he  nan    yu,1,3,0,3230,3,11,7,175,8.4,0,0,2
38,60302,패배,진,mentalboomKid,2,4,0,6725,6,14,5,158,7.6,0,0,2
39,60302,패배,이즈리얼,Sim Student,0,2,1,6132,5,26,23,39,1.9,0,0,2
40,60303,승리,쉔,TOP아빠,1,2,4,8138,3,12,2,186,6.6,1,2,6
41,60303,승리,세주아니,이책인지심책기,2,1,6,4542,3,9,13,222,7.9,1,2,6
42,60303,승리,카타리나,챌 희,6,4,4,13829,1,27,9,198,7.1,1,2,6
43,60303,승리,미스 포츈,nekoneko1,6,1,6,17576,8,16,11,262,9.4,1,2,6
44,60303,승리,알리스타,xintai,3,1,8,3968,9,29,18,42,1.5,1,2,6
45,60303,패배,제이스,sweetygirl,1,3,1,12092,4,15,5,267,9.5,0,0,5
46,60303,패배,카직스,du jia0 shou,2,1,3,9522,6,21,6,155,5.5,0,0,5
47,60303,패배,카르마,18 01 1000 X D,3,5,5,13505,3,8,11,197,7.0,0,0,5
48,60303,패배,이즈리얼,mentalboomKid,1,7,3,15595,0,12,3,195,7.0,0,0,5
49,60303,패배,조이,Sim Student,2,2,2,16820,6,61,10,30,1.1,0,0,5
50,60304,승리,오른,6 18 5 25 1,5,6,12,22599,4,14,3,212,6.9,1,2,9
51,60304,승리,자르반 4세,walking300 fan,3,8,20,16161,3,27,10,81,2.6,1,2,9
52,60304,승리,베이가,aquariusz,14,6,9,30003,2,9,12,265,8.6,1,2,9
53,60304,승리,미스 포츈,nekoneko1,13,8,11,37340,5,15,13,205,6.7,1,2,9
54,60304,승리,알리스타,xintai,2,3,22,9974,9,31,8,35,1.1,1,2,9
55,60304,패배,갱플랭크,커피배달요기요,4,8,12,24952,3,11,5,180,5.8,1,0,5
56,60304,패배,렝가,Kiendeptrai,12,8,3,17276,6,12,7,166,5.4,1,0,5
57,60304,패배,라이즈,Peray,5,6,7,25338,2,15,4,242,7.9,1,0,5
58,60304,패배,칼리스타,Gambit Marksman,7,7,10,21598,1,11,2,245,8.0,1,0,5
