,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40219,승리,니달리,sanspareil1,9,3,12,16870,4,15,5,184,6.2,0,2,10
1,40219,승리,제이스,Fotune,8,2,12,23175,6,17,4,276,9.4,0,2,10
2,40219,승리,잭스,Possible tts,6,2,15,17591,1,19,8,217,7.4,0,2,10
3,40219,승리,케넨,슬프다고말하면,4,7,13,10567,14,49,13,15,0.5,0,2,10
4,40219,승리,미스 포츈,혼자해도충분하다,3,2,15,16463,2,12,3,214,7.3,0,2,10
5,40219,패배,자야,SnakeLight,10,4,3,21663,1,9,7,297,10.1,1,0,3
6,40219,패배,자르반 4세,송하영 팬,1,6,9,8639,6,18,4,140,4.7,1,0,3
7,40219,패배,라칸,호잇이,0,6,11,4319,10,38,15,20,0.7,1,0,3
8,40219,패배,라이즈,Awe BarOh,1,3,5,9944,2,13,0,268,9.1,1,0,3
9,40219,패배,카밀,Gon123,4,11,1,16606,2,14,0,180,6.1,1,0,3
10,40220,승리,갈리오,Possible tts,12,7,16,32521,1,35,4,257,6.8,2,2,9
11,40220,승리,카직스,sanspareil1,7,4,21,24594,6,12,11,242,6.4,2,2,9
12,40220,승리,제이스,Fotune,9,5,14,36482,7,22,8,305,8.0,2,2,9
13,40220,승리,진,p1g farm,6,9,13,21667,4,13,3,294,7.7,2,2,9
14,40220,승리,탐 켄치,wdmdsyqf,2,5,17,6643,19,55,10,64,1.7,2,2,9
15,40220,패배,르블랑,박효신사생팬,18,7,6,29832,1,6,11,243,6.4,0,2,7
16,40220,패배,자르반 4세,h1rb,4,9,17,17581,11,30,8,183,4.8,0,2,7
17,40220,패배,트위스티드 페이트,상어가족,2,7,14,21707,2,6,12,281,7.4,0,2,7
18,40220,패배,미스 포츈,혼자해도충분하다,5,6,14,42210,0,14,9,333,8.8,0,2,7
19,40220,패배,레오나,호잇이,1,7,16,6596,13,50,25,91,2.4,0,2,7
20,40221,패배,나르,피넛사냥개2,8,3,2,21753,5,20,3,294,8.7,0,0,3
21,40221,패배,자르반 4세,sanspareil1,5,5,7,10261,9,30,10,173,5.1,0,0,3
22,40221,패배,카사딘,PeanuToT,5,7,2,18646,4,15,7,275,8.1,0,0,3
23,40221,패배,미스 포츈,Afreeca Aiming,4,5,7,14226,8,18,16,332,9.8,0,0,3
24,40221,패배,바드,리인제이,1,7,10,8799,13,53,17,18,0.5,0,0,3
25,40221,승리,갱플랭크,뒷텔와드점,4,7,10,29964,5,19,3,296,8.8,1,3,7
26,40221,승리,카직스,SKT T1 WoIf,8,7,7,20769,6,23,9,156,4.6,1,3,7
27,40221,승리,라이즈,FW Maple,6,1,6,19592,7,24,11,332,9.8,1,3,7
28,40221,승리,이즈리얼,RRRuleRRR,6,6,7,30593,1,17,15,327,9.7,1,3,7
29,40221,승리,쉔,먹는건즐거워,3,2,14,6549,11,41,18,106,3.1,1,3,7
30,40222,승리,갱플랭크,뒷텔와드점,4,0,2,8526,3,14,4,203,9.7,0,2,8
31,40222,승리,카직스,SKT T1 WoIf,12,2,4,15833,4,14,3,133,6.3,0,2,8
32,40222,승리,말자하,상어가족,3,4,4,9433,1,7,3,168,8.0,0,2,8
33,40222,승리,칼리스타,RRRuleRRR,8,2,4,16664,4,21,8,208,9.9,0,2,8
34,40222,승리,브라움,sanspareil1,1,2,11,4197,3,19,2,35,1.7,0,2,8
35,40222,패배,사이온,피넛사냥개2,1,2,3,8323,2,18,3,192,9.2,0,0,0
36,40222,패배,세주아니,갱만가드림,1,5,6,5038,5,34,3,104,5.0,0,0,0
37,40222,패배,조이,KDM PERT,3,7,3,9710,1,9,4,121,5.8,0,0,0
38,40222,패배,이즈리얼,Afreeca Aiming,0,7,2,9953,1,12,8,134,6.4,0,0,0
39,40222,패배,제라스,다시 돌아갈까요,5,7,2,8420,3,10,8,23,1.1,0,0,0
40,40223,승리,카밀,세메론,5,1,3,11797,1,8,0,130,7.9,0,1,3
41,40223,승리,니달리,sanspareil1,5,4,6,8178,2,5,0,92,5.6,0,1,3
42,40223,승리,탈리야,푸딩은푸딩해,3,2,1,4628,3,8,1,150,9.1,0,1,3
43,40223,승리,미스 포츈,비 브이 오 와이,2,0,3,5510,3,8,3,159,9.7,0,1,3
44,40223,승리,쉔,호경모드,2,2,5,2879,4,15,6,35,2.1,0,1,3
45,40223,패배,나르,춘봉박,1,6,2,8479,1,6,1,102,6.2,0,0,0
46,40223,패배,렝가,chijixuanshou,2,4,5,5709,2,15,3,95,5.8,0,0,0
47,40223,패배,베이가,ZhanQiHuaYm,3,3,1,6177,2,7,1,118,7.2,0,0,0
48,40223,패배,진,FVV BETTY,3,4,0,4014,2,6,1,107,6.5,0,0,0
49,40223,패배,제라스,으아으앙으아앙,0,0,0,4597,2,10,4,11,0.7,0,0,0
50,40224,승리,갱플랭크,세메론,7,7,10,18632,2,19,0,174,6.4,0,1,7
