,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60817,패배,일라오이,xaxaxaxaxa,5,14,4,34465,0,29,9,237,5.7,2,2,3
1,60817,패배,니달리,해운대잠만보,5,7,9,16632,8,50,37,229,5.5,2,2,3
2,60817,패배,제라스,DWG ShowMaker,0,4,3,32757,8,23,16,369,8.9,2,2,3
3,60817,패배,칼리스타,구름꽃길만걷자,5,7,7,23244,2,11,26,372,9.0,2,2,3
4,60817,패배,조이,DWG BeryL,6,4,10,29195,23,66,35,73,1.8,2,2,3
5,60817,승리,나르,FVV BETTY,7,4,14,32247,6,46,12,353,8.5,0,1,8
6,60817,승리,엘리스,So1o,4,3,14,21437,10,73,20,195,4.7,0,1,8
7,60817,승리,라이즈,bbq Tempt,7,5,14,26370,6,22,8,389,9.4,0,1,8
8,60817,승리,진,NekoL,12,4,14,42416,3,25,17,370,8.9,0,1,8
9,60817,승리,쉔,XinMo,5,5,19,12122,16,71,26,108,2.6,0,1,8
10,60818,패배,일라오이,xaxaxaxaxa,4,7,0,17274,1,15,0,205,8.6,0,0,3
11,60818,패배,자르반 4세,w1sdom ovo,2,6,4,5509,4,18,6,97,4.1,0,0,3
12,60818,패배,아지르,chirchri,6,5,3,15132,4,10,9,201,8.4,0,0,3
13,60818,패배,시비르,RRRuleRRR,0,9,2,8017,3,12,6,185,7.8,0,0,3
14,60818,패배,탐 켄치,Plz No Die,0,6,5,6377,3,39,6,33,1.4,0,0,3
15,60818,승리,오른,진쟤승,4,2,8,13079,1,5,4,140,5.9,1,1,10
16,60818,승리,렝가,shirushi,12,2,6,16659,8,24,10,109,4.6,1,1,10
17,60818,승리,라이즈,삼성갤럭시 Crown,5,4,6,13745,8,28,6,215,9.0,1,1,10
18,60818,승리,이즈리얼,FVV BETTY,9,0,11,32875,5,12,8,264,11.1,1,1,10
19,60818,승리,알리스타,BKKK,3,4,11,7132,6,24,7,43,1.8,1,1,10
20,60819,승리,일라오이,xaxaxaxaxa,8,5,3,16764,2,16,4,224,8.9,0,1,9
21,60819,승리,세주아니,F0y,3,0,12,6350,4,43,13,170,6.8,0,1,9
22,60819,승리,카사딘,chirchri,8,0,4,14888,3,16,4,232,9.3,0,1,9
23,60819,승리,미스 포츈,담원 크러쉬,5,3,4,14843,2,8,5,207,8.3,0,1,9
24,60819,승리,바드,으아으앙으아앙,0,4,12,6965,5,27,16,26,1.0,0,1,9
25,60819,패배,케넨,PawN God,0,5,5,12211,3,12,3,162,6.5,0,0,0
26,60819,패배,카직스,일견무시도성빈,3,6,5,9598,6,22,10,98,3.9,0,0,0
27,60819,패배,말자하,KDM PERT,6,1,1,14488,2,11,12,256,10.2,0,0,0
28,60819,패배,시비르,DWG ShowMaker,1,5,2,11154,1,13,8,180,7.2,0,0,0
29,60819,패배,카르마,DDDDNNNN,2,7,6,8560,11,33,15,26,1.0,0,0,0
30,60820,패배,일라오이,xaxaxaxaxa,3,2,7,18417,2,15,1,241,9.2,0,0,2
31,60820,패배,엘리스,마이엠브,7,4,4,14700,6,16,2,153,5.8,0,0,2
32,60820,패배,라이즈,송하영 팬,3,6,2,8375,3,12,8,217,8.3,0,0,2
33,60820,패배,바루스,Greed A Pride,1,6,5,10126,5,24,3,196,7.5,0,0,2
34,60820,패배,미스 포츈,IgNar,0,8,4,9099,3,8,10,43,1.6,0,0,2
35,60820,승리,하이머딩거,Kingen,3,5,7,14381,1,10,1,167,6.4,1,3,8
36,60820,승리,쉬바나,F0y,11,2,4,19975,7,9,9,197,7.5,1,3,8
37,60820,승리,아지르,chirchri,5,1,7,13768,6,10,6,226,8.6,1,3,8
38,60820,승리,진,Afreeca Kramer,4,2,12,14773,4,19,6,233,8.9,1,3,8
39,60820,승리,쉔,Afreeca Kuro,3,4,12,8152,5,26,7,71,2.7,1,3,8
40,60821,승리,일라오이,xaxaxaxaxa,2,6,2,14351,0,11,1,166,7.7,0,1,4
41,60821,승리,세주아니,75387,3,1,9,6293,6,23,9,110,5.1,0,1,4
