,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,20100,패배,나르,chijixuanshou,0,4,3,5280,1,14,1,131,7.0,0,1,1
1,20100,패배,쉬바나,yizhiyu,10,4,0,9761,3,6,5,116,6.2,0,1,1
2,20100,패배,조이,UcaL,0,6,7,7939,2,9,2,115,6.1,0,1,1
3,20100,패배,미스 포츈,혼자가 편해졌어,0,6,3,11281,4,18,2,145,7.7,0,1,1
4,20100,패배,알리스타,상어가족,1,5,3,5314,1,18,4,29,1.5,0,1,1
5,20100,승리,케넨,MVP ADD,2,0,8,13501,4,20,9,164,8.7,0,0,3
6,20100,승리,이블린,h1rb,7,2,4,7963,3,16,2,101,5.4,0,0,3
7,20100,승리,코르키,YM  zhongdan,12,3,3,19734,2,7,2,158,8.4,0,0,3
8,20100,승리,진,일견무시도성빈,3,2,7,9773,2,7,3,113,6.0,0,0,3
9,20100,승리,마오카이,코w코,1,4,10,7430,2,17,5,36,1.9,0,0,3
10,20101,승리,나르,Gon123,15,3,4,26025,2,13,3,249,8.8,1,3,8
11,20101,승리,쉬바나,yizhiyu,8,4,13,19208,4,12,16,178,6.3,1,3,8
12,20101,승리,카르마,우에하라 크롱,4,5,18,13929,4,14,5,167,5.9,1,3,8
13,20101,승리,이즈리얼,SnakeLight,10,4,14,29480,2,14,5,217,7.6,1,3,8
14,20101,승리,트런들,MVP ADD,4,3,15,9716,7,32,17,68,2.4,1,3,8
15,20101,패배,피오라,chijixuanshou,3,11,7,16921,2,11,0,169,5.9,0,0,1
16,20101,패배,킨드레드,5gak,5,9,7,21127,6,48,3,136,4.8,0,0,1
17,20101,패배,르블랑,YM  zhongdan,4,4,4,23402,2,14,4,190,6.7,0,0,1
18,20101,패배,애쉬,deft123456,4,10,9,21801,7,26,5,184,6.5,0,0,1
19,20101,패배,미스 포츈,선기박,3,7,9,15816,9,36,6,29,1.0,0,0,1
20,20102,승리,갱플랭크,Gazuaaaaaaa,5,2,13,26989,10,24,8,246,7.8,1,3,6
21,20102,승리,쉬바나,yizhiyu,3,6,13,19696,6,12,15,202,6.4,1,3,6
22,20102,승리,라이즈,KDM 유준,6,3,4,17564,1,14,9,283,9.0,1,3,6
23,20102,승리,바루스,쌀국수뚝붸기,9,3,5,15919,5,16,5,226,7.2,1,3,6
24,20102,승리,제라스,호잇이,9,0,11,32642,7,21,20,48,1.5,1,3,6
25,20102,패배,이렐리아,승 로,3,5,3,17327,1,13,2,267,8.5,0,1,1
26,20102,패배,니달리,PeanuToT,4,6,6,18187,8,32,13,228,7.2,0,1,1
27,20102,패배,조이,PawN God,3,4,5,25049,5,33,7,225,7.2,0,1,1
28,20102,패배,미스 포츈,Afreeca Kramer,3,8,3,15016,3,29,8,240,7.6,0,1,1
29,20102,패배,소라카,YOYOuuuuuO,1,9,7,3994,5,27,3,9,0.3,0,1,1
30,20103,승리,오른,지현이의빗자루,11,4,10,18270,1,12,2,191,7.7,0,2,7
31,20103,승리,신 짜오,yizhiyu,16,3,10,20039,3,9,6,134,5.4,0,2,7
32,20103,승리,라이즈,FeelsAwesomeMan,6,6,11,16575,3,12,7,183,7.4,0,2,7
33,20103,승리,트리스타나,RRRuleRRR,3,8,9,8864,4,21,5,171,6.9,0,2,7
34,20103,승리,알리스타,IGS Coli,4,4,20,11394,8,34,3,41,1.7,0,2,7
35,20103,패배,제이스,뒷텔와드점,1,10,6,10403,2,21,1,179,7.2,1,0,5
36,20103,패배,카직스,DaYE,13,7,6,23004,4,22,8,116,4.7,1,0,5
37,20103,패배,탈리야,마산가자,2,8,9,21109,4,20,1,192,7.7,1,0,5
38,20103,패배,애쉬,161561,6,7,9,19022,0,8,2,155,6.2,1,0,5
39,20103,패배,모르가나,BtC Joker,3,8,12,12712,15,34,14,38,1.5,1,0,5
40,20104,승리,잭스,나네쫓다꿈소년,11,2,2,15520,0,10,8,242,10.9,1,2,6
