,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,31154,승리,제이스,zaqzxcazxcv,4,9,9,23971,3,39,5,299,8.3,0,2,10
1,31154,승리,니달리,sanspareil1,10,6,11,19302,6,27,8,220,6.1,0,2,10
2,31154,승리,조이,나는야 누구일까,7,7,12,33074,6,19,1,265,7.4,0,2,10
3,31154,승리,이즈리얼,혼자가 편해졌어,15,8,11,35712,1,10,8,282,7.9,0,2,10
4,31154,승리,미스 포츈,VIP 민형,4,9,12,20114,14,86,26,59,1.6,0,2,10
5,31154,패배,카밀,Heiz4,10,10,8,29726,0,16,5,226,6.3,1,0,4
6,31154,패배,자르반 4세,DaYE,9,9,10,15980,8,32,22,151,4.2,1,0,4
7,31154,패배,카사딘,IGS Dasher,7,5,8,26890,1,18,8,287,8.0,1,0,4
8,31154,패배,진,Lucete,5,9,16,19818,5,15,11,249,6.9,1,0,4
9,31154,패배,제라스,7895123,8,7,12,18667,9,45,21,66,1.8,1,0,4
10,31155,패배,제이스,Kingen,9,8,12,35567,3,39,5,253,7.1,0,1,4
11,31155,패배,렝가,wo yao qu daye,9,10,9,17959,16,30,6,147,4.1,0,1,4
12,31155,패배,라이즈,ysdgqxcj,6,5,7,41420,6,19,3,333,9.4,0,1,4
13,31155,패배,칼리스타,mcmglllc,4,10,12,16401,1,27,8,252,7.1,0,1,4
14,31155,패배,쉔,zaqzxcazxcv,6,8,18,15167,9,41,9,77,2.2,0,1,4
15,31155,승리,케넨,baramgaebi,6,4,9,25287,1,18,5,240,6.8,1,1,9
16,31155,승리,이즈리얼,9346,6,7,16,29325,2,15,24,200,5.6,1,1,9
17,31155,승리,탈리야,kt Ucal,13,5,11,40802,1,28,5,361,10.2,1,1,9
18,31155,승리,진,GALAAAA,13,6,12,39079,3,14,11,267,7.5,1,1,9
19,31155,승리,알리스타,Heart,3,12,21,12216,5,21,8,47,1.3,1,1,9
20,31156,패배,갱플랭크,zaqzxcazxcv,8,7,5,18083,1,10,6,182,8.1,1,0,0
21,31156,패배,세주아니,sanspareil1,1,9,9,6519,4,23,8,85,3.8,1,0,0
22,31156,패배,코르키,구름꽃길만걷자,3,11,4,11706,0,2,3,114,5.1,1,0,0
23,31156,패배,진,담원 얼라이브,2,7,6,10722,4,9,3,152,6.8,1,0,0
24,31156,패배,탐 켄치,Dutch Coffee,3,6,5,6292,4,19,3,39,1.7,1,0,0
25,31156,승리,나르,피넛사냥개2,8,2,12,18500,3,19,2,166,7.4,0,2,9
26,31156,승리,니달리,9346,16,3,11,17115,1,27,0,147,6.6,0,2,9
27,31156,승리,블라디미르,UcaL,8,4,10,21450,1,9,0,196,8.7,0,2,9
28,31156,승리,미스 포츈,덤벼보던가,6,4,9,17173,1,10,2,183,8.2,0,2,9
29,31156,승리,쉔,KT MATA,2,4,18,5507,10,28,8,38,1.7,0,2,9
30,31157,승리,신지드,zaqzxcazxcv,4,1,5,12094,1,12,2,207,8.5,1,1,5
31,31157,승리,카직스,sanspareil1,9,5,4,14036,4,30,5,146,6.0,1,1,5
32,31157,승리,라이즈,MVP Ian,3,1,7,14107,4,15,12,246,10.1,1,1,5
33,31157,승리,진,담원 얼라이브,7,3,8,15856,2,11,4,187,7.7,1,1,5
34,31157,승리,제라스,M1anhua,2,3,13,11066,9,24,14,29,1.2,1,1,5
35,31157,패배,오른,쌀국수뚝붸기,4,3,2,12649,0,9,0,198,8.1,0,1,2
36,31157,패배,세주아니,죠토마킹,1,3,6,8128,4,11,3,115,4.7,0,1,2
37,31157,패배,오리아나,ROX Se0ngHwan,1,6,3,8227,3,17,3,168,6.9,0,1,2
38,31157,패배,칼리스타,LPL noob ad QAQ,6,6,2,11380,3,20,4,174,7.1,0,1,2
39,31157,패배,쓰레쉬,BtC Joker,1,7,7,4129,11,35,11,29,1.2,0,1,2
40,31158,패배,카밀,zaqzxcazxcv,1,2,0,3254,2,4,0,41,3.7,0,0,0
41,31158,패배,자르반 4세,트와이스 원스,0,5,0,1210,2,8,4,34,3.1,0,0,0
42,31158,패배,브라움,fengquyunbuhui,0,2,0,696,2,7,0,9,0.8,0,0,0
43,31158,패배,루시안,Excal1bur1,0,1,0,1562,2,2,0,52,4.7,0,0,0
44,31158,패배,조이,By myself,1,5,0,3400,2,8,0,60,5.4,0,0,0
45,31158,승리,트리스타나,어껭간만에찾아뵙,2,0,3,2986,1,9,5,86,7.7,0,0,6
46,31158,승리,세주아니,분당고 엄성현,5,0,4,4674,2,6,3,39,3.5,0,0,6
47,31158,승리,아지르,KDM PERT,4,0,3,4252,1,5,3,98,8.8,0,0,6
48,31158,승리,제이스,Kingen,4,1,3,5889,0,7,1,88,7.9,0,0,6
49,31158,승리,레오나,YserAoA,0,1,3,1444,1,2,0,13,1.2,0,0,6
50,31159,승리,카밀,zaqzxcazxcv,3,1,1,5936,0,5,1,129,8.4,0,2,3
51,31159,승리,쉬바나,DaYE,8,3,7,12993,2,5,4,110,7.2,0,2,3
52,31159,승리,르블랑,승 로,5,2,8,7930,2,14,4,99,6.5,0,2,3
53,31159,승리,트리스타나,어껭간만에찾아뵙,3,2,8,5774,0,12,3,111,7.2,0,2,3
54,31159,승리,브라움,mid push gogo,0,3,12,3676,2,10,1,23,1.5,0,2,3
55,31159,패배,제이스,분당고 엄성현,2,3,4,9602,2,15,3,80,5.2,0,0,1
56,31159,패배,렝가,트와이스 원스,3,6,5,7226,3,11,0,81,5.3,0,0,1
57,31159,패배,아지르,Jin air Yaharong,5,3,2,5982,3,7,3,122,8.0,0,0,1
